Citance Number: 1 | Reference Article:  P06-1114.txt | Citing Article:  W06-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For more information on the TE system described in this section, please see (Hickl et al, 2006b) and (Harabagiu and Hickl, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance of the TE system described in Section 3 was first evaluated in the 2006 PASCAL RTE Challenge.</S><S sid = NA ssid = NA>As in (Hickl et al., 2006), we used a twostep approach to obtain sufficient training data for the Alignment Classifier.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-1114.txt | Citing Article:  P09-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Implementation of different TE models has previously shown to improve the QA task using supervised learning methods (Harabagiu and Hickl, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we describe three different methods for integrating a textual entailment (TE) system into the architecture of an open-domain Q/A system.</S><S sid = NA ssid = NA>Methods For Using Textual Entailment In Open-Domain Question Answering</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-1114.txt | Citing Article:  P09-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Instead of matching headline and first sentence of the document as in (Harabagiu and Hickl, 2006), we followed a different approach.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As in (Hickl et al., 2006), we used a twostep approach to obtain sufficient training data for the Alignment Classifier.</S><S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1114.txt | Citing Article:  W10-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In cases where simple question formulation is not satisfactory, many advanced QA systems implement more sophisticated syntactic, semantic and contextual processing such as named-entity recognition (Molla et al, 2006), coreference resolution (Vicedo and Ferrandez, 2000), logical inferences (abduction or entailment) (Harabagiu and Hickl, 2006) translation (Ma and McKeowon, 2009), etc., to improve answer ranking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As described in (Hickl et al., 2006), the Preprocessing module is used to syntactically parse texts, identify the semantic dependencies of predicates, label named entities, normalize temporal and spatial expressions, resolve instances of coreference, and annotate predicates with polarity, tense, and modality information.</S><S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1114.txt | Citing Article:  W10-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent work on textual entailment has shown improvements on QA results (Harabagiu and Hickl, 2006), (Celikyilmaz et al, 2009), when used for filtering and ranking answers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As in (Hickl et al., 2006), we used a twostep approach to obtain sufficient training data for the Alignment Classifier.</S><S sid = NA ssid = NA>Features derived from the entailment confidence were then combined with the keyword- and relation-based features described in (Harabagiu et al., 2005a) in order to produce a final ranking of candidate answers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1114.txt | Citing Article:  P09-2015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the task of Question Answering, (Harabagiu and Hickl, 2006) applied a TE component to rerank candidate answers returned by a retrieval step.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe that systems developed specifically for this task can provide current question-answering systems with valuable semantic information that can be leveraged to identify exact answers from ranked lists of candidate answers.</S><S sid = NA ssid = NA>Under this approach, candidate answers were initially ranked using features derived from entailment classifications performed between (1) the original question and each candidate answer and (2) the original question and the AGQ generated from each candidate answer.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1114.txt | Citing Article:  P10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Techniques developed for RTE have now been successfully applied in the domains of Question Answering (Harabagiu and Hickl, 2006) and Machine Translation (Pado et al, 2009), (Mirkin et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S><S sid = NA ssid = NA>(Prager et al., 2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1114.txt | Citing Article:  C10-2133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This includes finding question answer pairs (Cong et al, 2008) from online forums, auto-answering queries on a technical forum (Feng et al, 2006), ranking answers (Harabagiu and Hickl, 2006) etc.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S><S sid = NA ssid = NA>As in (Hickl et al., 2006), we used a twostep approach to obtain sufficient training data for the Alignment Classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1114.txt | Citing Article:  D09-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Being a challenging task, it has been shown that it is helpful to applications like question answering (Harabagiu and Hickl, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Methods For Using Textual Entailment In Open-Domain Question Answering</S><S sid = NA ssid = NA>We believe that systems developed specifically for this task can provide current question-answering systems with valuable semantic information that can be leveraged to identify exact answers from ranked lists of candidate answers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1114.txt | Citing Article:  N10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The great potential of integrating (monolingual) TE recognition components into NLP architectures has been reported in several works, such as question answering (Harabagiu and Hickl, 2006), information retrieval (Clinchant et al, 2006), information extraction (Romano et al, 2006), and document summarization (Lloret et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Prager et al., 2004)).</S><S sid = NA ssid = NA>As in (Hickl et al., 2006), we used a twostep approach to obtain sufficient training data for the Alignment Classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1114.txt | Citing Article:  C10-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>TE has been successfully applied to a variety of natural language processing applications, including information extraction (Romano et al, 2006) and question answering (Harabagiu and Hickl, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S><S sid = NA ssid = NA>In previous work (Harabagiu et al., 2005b), we have described techniques that can be used to automatically generate well-formed natural language questions from the text of paragraphs retrieved by a PR module.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1114.txt | Citing Article:  P09-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Knowledge about entailment is beneficial for NLP tasks such as Question Answering (Harabagiu and Hickl, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Methods For Using Textual Entailment In Open-Domain Question Answering</S><S sid = NA ssid = NA>Section 2 describes the three methods of using textual entailment in open-domain question answering that we have identified, while Section 3 presents the textual entailment system we have used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1114.txt | Citing Article:  S12-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Algorithms for computing semantic textual similarity (STS) are relevant for a variety of applications, including information extraction (Szpektor and Dagan, 2008), question answering (Harabagiu and Hickl, 2006) and machine translation (Mirkin et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recently, the task of automatically recognizing one form of semantic inference – textual entailment – has received much attention from groups participating in the 2005 and 2006 PASCAL Recognizing Textual Entailment (RTE) Challenges (Dagan et al., 2005).</S><S sid = NA ssid = NA>Four types of sentence pairs were evaluated in the 2006 RTE Challenge, including: pairs derived from the output of In previous work (Hickl et al., 2006), we have found that the type and amount of training data available to our TE system significantly (p < 0.05) impacted its performance on the 2006 RTE Test Set.</S> | Discourse Facet:  NA | Annotator: Automatic


