Citance Number: 1 | Reference Article:  J02-3001.txt | Citing Article:  P02-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gildea and Jurafsky (2002) describe a statistical system trained on the data from the FrameNet project to automatically assign semantic roles.</S> | Reference Offset:  ['2','13'] | Reference Text:  <S sid = 2 ssid = >Given an input sentence and a target word frame, the system labels constituents with either abstract semantic roles, such as or more domain-specific semantic roles, such as and The system is based on statistical classifiers trained on roughly 50,000 sentences that were hand-annotated with semantic roles by the FrameNet semantic labeling project.</S><S sid = 13 ssid = >The system is based on statistical classifiers trained on roughly 50,000 sentences that were hand-annotated with semantic roles by the FrameNet semantic labeling project.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J02-3001.txt | Citing Article:  N04-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the architecture of earlier semantic parsers like Gildea and Jurafsky (2002), we treat the semantic parsing task as a 1-of-N classification problem.</S> | Reference Offset:  ['34','606'] | Reference Text:  <S sid = 34 ssid = >For example, the JUDGEMENT frame contains roles like JUDGE, EVALUEE, and REASON, and the STATEMENT frame contains roles like SPEAKER, ADDRESSEE, and MESSAGE, as the following examples show: These shallow semantic roles could play an important role in information extraction.</S><S sid = 606 ssid = >It is not clear how difficult this problem is and how much it overlaps with the general problem of word-sense disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J02-3001.txt | Citing Article:  C08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Generally speaking, these SRL approaches use a two-stage architecture: i) argument identification; ii) argument classification, to solve the task as a derivation of Gildea and Jurafsky's pioneer work (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['441','556'] | Reference Text:  <S sid = 441 ssid = >Allowing role assignments to influence boundary identification improves results both on the unlabeled boundary identification task and on the combined identification and labeling task.</S><S sid = 556 ssid = >We would expect verbs in the same frame to be semantically similar and to have the same patterns of argument structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J02-3001.txt | Citing Article:  C08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The features are listed as follows: Path The path features are similar to the path feature which is designed by (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['168','192'] | Reference Text:  <S sid = 168 ssid = >Like the governing-category feature described above, the parse tree path feature (path) is designed to capture the syntactic relation of a constituent to the rest of the sentence.</S><S sid = 192 ssid = >In cases in which the path feature includes an S or VP ancestor of an NP node as part of the path to the target word, the gov feature is a function of the path feature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J02-3001.txt | Citing Article:  W10-2802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Automatic Semantic Role Labeling (SRL) is a natural language processing (NLP) technique that maps sentences to semantic representations and identifies the semantic roles conveyed by sentential constituents (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Automatic Labeling Of Semantic Roles</S><S sid = 2 ssid = >Given an input sentence and a target word frame, the system labels constituents with either abstract semantic roles, such as or more domain-specific semantic roles, such as and The system is based on statistical classifiers trained on roughly 50,000 sentences that were hand-annotated with semantic roles by the FrameNet semantic labeling project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J02-3001.txt | Citing Article:  P13-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our domain-independent layer bears some similarity to other semantic tasks, most notably Semantic-Role Labeling (SRL) introduced in (Gildea and Jurafsky, 2002), in which identifying the predicate-argument structure is considered a preprocessing step, prior to assigning argument labels.</S> | Reference Offset:  ['405','556'] | Reference Text:  <S sid = 405 ssid = >Then a simple system using the predicate’s argument structure, or syntactic signature, as the primary feature will be contrasted with previous systems based on local, independent features.</S><S sid = 556 ssid = >We would expect verbs in the same frame to be semantically similar and to have the same patterns of argument structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J02-3001.txt | Citing Article:  W04-2705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While previous programs with similar goals (Gildea and Jurafsky, 2002) were statistics-based, this tool will be based completely on hand-coded rules and lexical resources.</S> | Reference Offset:  ['281','401'] | Reference Text:  <S sid = 281 ssid = >Surprisingly, the EM-based interpolation performed better than the lattice-based system on the held-out test set, but not on the data used to set the weights in the EM-based system.</S><S sid = 401 ssid = >The WordNet experiment, on the other hand, indicates both the usefulness of hand-built resources when they apply and the difficulty of attaining broad coverage with such resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J02-3001.txt | Citing Article:  P07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, simply adding whether each word is part of a noun or verb phrase using the hand annotated parse tree (the so-called GOV feature from (Gildea and Jurafsky, 2002)) improves the performance of our system from 83.95% to 85.8%.</S> | Reference Offset:  ['85','362'] | Reference Text:  <S sid = 85 ssid = >Sentences from each subcorpus were then annotated by hand, marking boundaries of each frame element expressed in the sentence and assigning tags for the annotated constituent’s frame semantic role, syntactic category (e.g., noun phrase or prepositional phrase), and grammatical function in relation to the target word (e.g., object or complement of a verb).</S><S sid = 362 ssid = >When combined with the full system described above, clustered statistics increase performance on NP constituents from 83.4% to 85.0% (statistically significant at p < .05).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J02-3001.txt | Citing Article:  P06-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Automatic semantic role labeling was first introduced by Gildea and Jurafsky (2002).</S> | Reference Offset:  ['0','431'] | Reference Text:  <S sid = 0 ssid = >Automatic Labeling Of Semantic Roles</S><S sid = 431 ssid = >One way around this problem is to integrate boundary identification with role labeling, allowing the FEG priors and the role-labeling decisions to affect which constituents are frame elements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J02-3001.txt | Citing Article:  P06-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Their features are usually extended from Gildea and Jurafsky (2002)'s work, which uses flat information derived from a parse tree.</S> | Reference Offset:  ['119','167'] | Reference Text:  <S sid = 119 ssid = >The system will be extended in later sections.</S><S sid = 167 ssid = >4.1.3 Parse Tree Path.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J02-3001.txt | Citing Article:  P09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gildea and Jurafsky (2002) showed that classification accuracy was improved by manually replacing FrameNet roles into 18 thematic roles.</S> | Reference Offset:  ['66','104'] | Reference Text:  <S sid = 66 ssid = >FrameNet roles are defined for each semantic frame.</S><S sid = 104 ssid = >Section 9.1 describes an experiment in which we collapsed the FrameNet roles into a set of 18 abstract thematic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J02-3001.txt | Citing Article:  P09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some previous studies have employed this idea to remedy the data sparseness problem in the training data (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['418','566'] | Reference Text:  <S sid = 418 ssid = >Calculating empirical FEG priors from the training data is relatively straightforward, but the sparseness of the data presents a problem.</S><S sid = 566 ssid = >Each frame was used in turn as test data, with all other frames used as training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J02-3001.txt | Citing Article:  P09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The characteristics of x are: frame, frame evoking word, head word, content word (Surdeanu et al, 2003), first/last word, head word of left/right sister, phrase type, position, voice, syntactic path (directed/undirected/partial), governing category (Gildea and Jurafsky, 2002), WordNet supersense in the phrase, combination features of frame evoking word; head word, combination features of frame evoking word; phrase type, and combination features of voice; phrase type.</S> | Reference Offset:  ['131','215'] | Reference Text:  <S sid = 131 ssid = >4.1.1 Phrase Type.</S><S sid = 215 ssid = >4.1.6 Head Word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J02-3001.txt | Citing Article:  W04-2609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['201','613'] | Reference Text:  <S sid = 201 ssid = >4.1.4 Position.</S><S sid = 613 ssid = >This work was primarily funded by National Science Foundation grant ITR/HCI #0086132 to the FrameNet project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J02-3001.txt | Citing Article:  P09-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gildea and Jurafsky (2002) is the only one applying selectional preferences in a real SRL task.</S> | Reference Offset:  ['217','308'] | Reference Text:  <S sid = 217 ssid = >Head words of noun phrases can be used to express selectional restrictions on the semantic types of role fillers.</S><S sid = 308 ssid = >We do not address the task of identifying which frames come into play in a sentence but envision that existing word sense disambiguation techniques could be applied to the task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J02-3001.txt | Citing Article:  D09-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This includes the majority of work on shallow semantic analysis (Gildea and Jurafsky, 2002, inter alia).</S> | Reference Offset:  ['110','605'] | Reference Text:  <S sid = 110 ssid = >Data-driven techniques have recently been applied to template-based semantic interpretation in limited domains by “shallow” systems that avoid complex feature structures and often perform only shallow syntactic analysis.</S><S sid = 605 ssid = >A more complete semantic analysis system would thus require a module for frame disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


