Citance Number: 1 | Reference Article: W03-0410.xml | Citing Article: D07-1018.xml | Citation Marker Offset: ['9'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S> | Reference Offset: ['192','120','51'] | Reference Text: <S sid="51" ssid="1">We use the same classes and example verbs as in the supervised experiments of Joanis and Stevenson (2003) to enable a comparison between the performance of the unsupervised and supervised methods.</S> <S sid="120" ssid="70">Of these verbs, 20 from each class were randomly selected to use as training data for our supervised experiments in Joanis and Stevenson (2003).</S> <S sid="192" ssid="30">Following Joanis and Stevenson (2003), for each class, we systematically identified the subset of features 4 These results differ slightly from those reported in Joanis and Stevenson (2003), because of our slight changes in verb sets, discussed in Section 3.2.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha

Citance Number: 5 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['38'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['38'] | Citation Text: <S sid ="38" ssid = "5">We used three gold standards (and corresponding test sets) extracted from these resources in our experiments: T1: The first gold standard is a flat gold standard which includes 13 classes appearing in LevinÃḃÂÂs original taxonomy (Stevenson and Joanis, 2003).</S> | Reference Offset: ['28','34','157'] | Reference Text: <S sid="28" ssid="28">Although our motivation is verb class discovery, we perform our experiments on English, for which we have an accepted classification to serve as a gold standard (Levin, 1993).</S> <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> <S sid="157" ssid="28">4.2.3 Mean Silhouette gives an average of the individual goodness of the clusters, and a measure of the overall goodness, both with respect to the gold standard classes.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 6 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['40'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['40'] | Citation Text: <S sid ="40" ssid = "7">Following Stevenson and Joanis (2003), we selected 20 verbs from each class which occur at least 100 times in our corpus.</S> | Reference Offset: ['117','120','192'] | Reference Text: <S sid="117" ssid="67">We started with a list of all the verbs in the given classes from Levin, removing any verb that did not occur at least 100 times in our corpus (the BNC, described below).</S> <S sid="120" ssid="70">Of these verbs, 20 from each class were randomly selected to use as training data for our supervised experiments in Joanis and Stevenson (2003).</S> <S sid="192" ssid="30">Following Joanis and Stevenson (2003), for each class, we systematically identified the subset of features 4 These results differ slightly from those reported in Joanis and Stevenson (2003), because of our slight changes in verb sets, discussed in Section 3.2.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 7 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['54'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['54'] | Citation Text: <S sid ="54" ssid = "2">Previous works on Levin style verb classification have investigated optimal features for this task (Stevenson and Joanis, 2003; Li and Brew, 2008; Sun and Korhonen, 2009)).</S> | Reference Offset: ['2','17','54'] | Reference Text: <S sid="2" ssid="2">The feature set was previously shown to work well in a supervised learning setting, using known English verb classes.</S> <S sid="17" ssid="17">We have previously shown that a broad set of 220 noisy features performs well in supervised verb classification (Joanis and Stevenson, 2003).</S> <S sid="54" ssid="4">Pairs or triples of verb classes from Levin were selected to form the test pairs/triples for each of a number of separate classification tasks.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 8 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['82'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['82','83'] | Citation Text: <S sid ="82" ssid = "30">Although they can be removed using a cut-based method, this requires a predefined cutoff value which is difficult to set (Stevenson and Joanis, 2003).</S><S sid ="83" ssid = "31">In addition, a significant amount of information is lost in pairwise clustering.</S> | Reference Offset: ['136','178','7'] | Reference Text: <S sid="7" ssid="7">Computational linguists face a lexical acquisition bottleneck, as vast amounts of knowledge about individual words are required for language technologies.</S> <S sid="136" ssid="7">To explore this, we can induce any number of clusters by making a cut at a particular level in the clustering hierarchy.</S> <S sid="178" ssid="16">However, it gives important information about the quality of a clustering: The other measures being equal, a clustering with a higher value indicates tighter and more separated clusters, suggesting stronger inherent patterns in the data.</S> | Discourse Facet: Implication_Citation | Annotator: Fathima Vardha


Citance Number: 9 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['167'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['167'] | Citation Text: <S sid ="167" ssid = "16">Table 1: Comparison against Stevenson and Joanis (2003)ÃḃÂÂs result on T1 (using similar features).</S> | Reference Offset: ['51','192','120'] | Reference Text: <S sid="51" ssid="1">We use the same classes and example verbs as in the supervised experiments of Joanis and Stevenson (2003) to enable a comparison between the performance of the unsupervised and supervised methods.</S> <S sid="120" ssid="70">Of these verbs, 20 from each class were randomly selected to use as training data for our supervised experiments in Joanis and Stevenson (2003).</S> <S sid="192" ssid="30">Following Joanis and Stevenson (2003), for each class, we systematically identified the subset of features 4 These results differ slightly from those reported in Joanis and Stevenson (2003), because of our slight changes in verb sets, discussed in Section 3.2.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 10 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['168'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['168'] | Citation Text: <S sid ="168" ssid = "17">Table 1 shows our results and the results of Stevenson and Joanis (2003) on T1 when employing AGG using Ward as the linkage criterion.</S> | Reference Offset: ['188','192','149'] | Reference Text: <S sid="149" ssid="20">These figures are reported with our results in Table 2 below.</S> <S sid="188" ssid="26">The first subcolumn (Full) under each of the three clustering evaluation measures in Table 2 shows the results using the full set of features (i.e., no feature selection).</S> <S sid="192" ssid="30">Following Joanis and Stevenson (2003), for each class, we systematically identified the subset of features 4 These results differ slightly from those reported in Joanis and Stevenson (2003), because of our slight changes in verb sets, discussed in Section 3.2.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 11 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['169'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['169'] | Citation Text: <S sid ="169" ssid = "18">In this experiment, we used the same feature set as Stevenson and Joanis (2003) (set B, see section 3.1) and were therefore able to reproduce their AGG result with a difference smaller than 2%.</S> | Reference Offset: ['192','120','236'] | Reference Text: <S sid="120" ssid="70">Of these verbs, 20 from each class were randomly selected to use as training data for our supervised experiments in Joanis and Stevenson (2003).</S> <S sid="192" ssid="30">Following Joanis and Stevenson (2003), for each class, we systematically identified the subset of features 4 These results differ slightly from those reported in Joanis and Stevenson (2003), because of our slight changes in verb sets, discussed in Section 3.2.</S> <S sid="236" ssid="74">In our clustering experiments, we find that smaller subsets of features generally perform better than the full set of features.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 12 | Reference Article: W03-0410.xml | Citing Article: J06-2001.xml | Citation Marker Offset: ['397'] | Citation Marker: Stevenson and Joanis 2003 | Citation Offset: ['397'] | Citation Text: <S sid ="397" ssid = "325">For example, the accuracy/purity measure (Stevenson and Joanis 2003; Korhonen, Krymolowski, and Marx 2003) evaluates whether a verb is assigned to a correct cluster with respect to the gold standard class of the majority of cluster members.</S> | Reference Offset: ['142','157','151'] | Reference Text: <S sid="142" ssid="13">4.2.1 Accuracy We can assign each cluster the class label of the majority of its members.</S> <S sid="151" ssid="22">Our second measure, the adjusted Rand measure used by Schulte im Walde (2003), instead gives a measure of how consistent the given clustering is overall with respect to the gold standard classification.</S> <S sid="157" ssid="28">4.2.3 Mean Silhouette gives an average of the individual goodness of the clusters, and a measure of the overall goodness, both with respect to the gold standard classes.</S> | Discourse Facet: Implication_Citation | Annotator: Fathima Vardha


Citance Number: 13 | Reference Article: W03-0410.xml | Citing Article: J06-2001.xml | Citation Marker Offset: ['586'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['586','587','588','589'] | Citation Text: <S sid ="586" ssid = "35">In recent work, Stevenson and Joanis (2003) compared their supervised method for verb classification with semisupervised and unsupervised techniques.</S><S sid ="587" ssid = "36">In these experiments, they enlarged the number of gold standard English verb classes to 14 classes related to Levin classes, with a total of 841 verbs.</S><S sid ="588" ssid = "37">Low- frequency and ambiguous verbs were excluded from the classes.</S><S sid ="589" ssid = "38">They found that a semisupervised approach where the classifier was trained with five seed verbs from each verb class outperformed both a manual selection of features and the unsupervised 186 approach of Dash, Liu, and Yao (1997), which used an entropy measure to organize data into a multidimensional space.</S> | Reference Offset: ['120','261','51'] | Reference Text: <S sid="51" ssid="1">We use the same classes and example verbs as in the supervised experiments of Joanis and Stevenson (2003) to enable a comparison between the performance of the unsupervised and supervised methods.</S> <S sid="120" ssid="70">Of these verbs, 20 from each class were randomly selected to use as training data for our supervised experiments in Joanis and Stevenson (2003).</S> <S sid="261" ssid="1">We have explored manual, unsupervised, and semi- supervised methods for feature selection in a clustering approach for verb class discovery.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 14 | Reference Article: W03-0410.xml | Citing Article: N13-1118.xml | Citation Marker Offset: ['52'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['52'] | Citation Text: <S sid ="52" ssid = "8">Clustering The most widely used method for hierarchical word clustering is AGG (Schulte im Walde and Brew, 2001; Stevenson and Joanis, 2003; Ferrer, 2004; Devereux and Costello, 2005).</S> | Reference Offset: ['131','132','135'] | Reference Text: <S sid="131" ssid="2">We used the hierarchical clustering command in Matlab, which implements bottom-up agglomerative clustering, for all our unsupervised experiments.</S> <S sid="132" ssid="3">In performing hierarchical clustering, both a vector distance measure and a cluster distance (ÃḃÂÂlinkageÃḃÂÂ) measure are specified.</S> <S sid="135" ssid="6">We chose hierarchical clustering because it may be possible to find coherent subclusters of verbs even when there are not exactly good clusters, where is the number of classes.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 15 | Reference Article: W03-0410.xml | Citing Article: P03-1009.xml | Citation Marker Offset: ['124'] | Citation Marker: (Stevenson and Joanis, 2003) | Citation Offset: ['124'] | Citation Text: <S sid ="124" ssid = "67">Our second measure is derived from purity, a global measure which evaluates the mean precision of the clusters, weighted according to the cluster size (Stevenson and Joanis, 2003).</S> | Reference Offset: ['144','32','201'] | Reference Text: <S sid="32" ssid="32">We then describe our clustering methodology, the measures we use to evaluate a clustering, and our experimental results.</S> <S sid="144" ssid="15">Then accuracy has the standard definition:2 2 is equivalent to the weighted mean precision of the clusters, weighted according to cluster size.</S> <S sid="201" ssid="39">The results for these feature sets in clustering are given in the second subcolumn (Ling) under each of the , , and measures in Table 2.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 16 | Reference Article: W03-0410.xml | Citing Article: P03-1009.xml | Citation Marker Offset: ['143'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['143'] | Citation Text: <S sid ="143" ssid = "86">For example, Stevenson and Joanis (2003) report an accuracy of 29% (which implies mP U R ÃḃÂÄ 29%), but their task involves classifying 841 verbs to 14 classes based on differences in the predicate-argument structure.</S> | Reference Offset: ['192','51','196'] | Reference Text: <S sid="51" ssid="1">We use the same classes and example verbs as in the supervised experiments of Joanis and Stevenson (2003) to enable a comparison between the performance of the unsupervised and supervised methods.</S> <S sid="192" ssid="30">Following Joanis and Stevenson (2003), for each class, we systematically identified the subset of features 4 These results differ slightly from those reported in Joanis and Stevenson (2003), because of our slight changes in verb sets, discussed in Section 3.2.</S> <S sid="196" ssid="34">C5.0 is supervised accuracy; Base is on random clusters.</S> | Discourse Facet: Results_Citation | Annotator: Fathima Vardha


Citance Number: 17 | Reference Article: W03-0410.xml | Citing Article: P04-2007.xml | Citation Marker Offset: ['11'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">For this reason, various methods for automatically classifying verbs using machine learning techniques have been attempted ((Merlo and Stevenson, 2001), (Stevenson and Joanis, 2003), (Schulte im Walde, 2003)).</S> | Reference Offset: ['15','264','129'] | Reference Text: <S sid="15" ssid="15">Development of minimally supervised methods is of particular importance if we are to automatically classify verbs for languages other than English, where substantial amounts of labelled data are not available for training classifiers.</S> <S sid="129" ssid="79">From these extracted slots, we calculate the features described in Section 2, yielding a vector of 220 normalized counts for each verb, which forms the input to our machine learning experiments.</S> <S sid="264" ssid="4">We instead proposed a semi-supervised method in which a seed set of verbs is chosen for training a supervised classifier, from which the useful features are extracted for use in clustering.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 18 | Reference Article: W03-0410.xml | Citing Article: P04-2007.xml | Citation Marker Offset: ['75'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['75'] | Citation Text: <S sid ="75" ssid = "7">Our choice of the parameter settings is motivated by the work of (Stevenson and Joanis, 2003).</S> | Reference Offset: ['121','2','28'] | Reference Text: <S sid="2" ssid="2">The feature set was previously shown to work well in a supervised learning setting, using known English verb classes.</S> <S sid="28" ssid="28">Although our motivation is verb class discovery, we perform our experiments on English, for which we have an accepted classification to serve as a gold standard (Levin, 1993).</S> <S sid="121" ssid="71">We began with this same set of 20 verbs per class for our current work.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 19 | Reference Article: W03-0410.xml | Citing Article: P04-2007.xml | Citation Marker Offset: ['125'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['125'] | Citation Text: <S sid ="125" ssid = "57">Nevertheless, our results are comparable to a subset of experiments reported in (Stevenson and Joanis, 2003), where they perform similar clustering experiments on English verbs based on a general description of verbs, obtaining average Adjusted Rand measures of 0.04 and 0.07.</S> | Reference Offset: ['236','138','150'] | Reference Text: <S sid="138" ssid="9">However, we did experiment with (as in Strehl et al., 2000), and found that performance was generally better (even on our measure, described below, that discounts oversplitting).</S> <S sid="150" ssid="21">4.2.2 Adjusted Rand Measure Accuracy can be relatively high for a clustering when a few clusters are very good, and others are not good.</S> <S sid="236" ssid="74">In our clustering experiments, we find that smaller subsets of features generally perform better than the full set of features.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 20 | Reference Article: W03-0410.xml | Citing Article: P07-3016.xml | Citation Marker Offset: ['39'] | Citation Marker: (Stevenson and Joanis, 2003) | Citation Offset: ['39'] | Citation Text: <S sid ="39" ssid = "16">(Stevenson and Joanis, 2003) investigate the applicability of this general feature space to unsupervised verb clustering tasks.</S> | Reference Offset: ['22','11','268'] | Reference Text: <S sid="11" ssid="11">We focus here on extending the applicability of unsupervised methods, as in (Schulte im Walde and Brew, 2002; Stevenson and Merlo, 1999), to the lexical semantic classification of verbs.</S> <S sid="22" ssid="22">However, a general feature space means that most features will be irrelevant to any given verb discrimination task.</S> <S sid="268" ssid="8">More research is needed on the definition of the general feature space, as well as on the methods for selecting a more useful set of features for clustering.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Fathima Vardha


Citance Number: 21 | Reference Article: W03-0410.xml | Citing Article: W06-2910.xml | Citation Marker Offset: ['8'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['7','8'] | Citation Text: <S sid ="7" ssid = "7">As an alternative to the resource-intensive manual classifications, automatic methods such as classification and clustering are applied to induce verb classes from corpus data, e.g.</S><S sid ="8" ssid = "8">(Merlo and Stevenson, 2001; Joanis and Stevenson, 2003; Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003; Fer- rer, 2004).</S> | Reference Offset: ['5','207','14'] | Reference Text: <S sid="5" ssid="5">We find that the unsupervised method we tried cannot be consistently applied to our data.</S> <S sid="14" ssid="14">However, creating a verb classification is highly resource intensive, in terms of both required time and linguistic expertise.</S> <S sid="207" ssid="45">However, it is important to find a method that does not depend on having an existing classification, since we are interested in applying the approach when such a classification does not exist.</S> | Discourse Facet: ['Method_Citation','Aim_Citation'] | Annotator: Fathima Vardha


Citance Number: 22 | Reference Article: W03-0410.xml | Citing Article: W06-2910.xml | Citation Marker Offset: ['13'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">In larger-scale classifications such as (Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003), which model verb classes with similarity at the syntax-semantics interface, it is not clear which features are the most salient.</S> | Reference Offset: ['35','1','170'] | Reference Text: <S sid="1" ssid="1">We cluster verbs into lexical semantic classes, using a general set of noisy features that capture syntactic and semantic properties of the verbs.</S> <S sid="35" ssid="2">LevinÃḃÂÂs classes form a hierarchy of verb groupings with shared meaning and syntax.</S> <S sid="170" ssid="8">A value of 0 suggests that a point is not clearly in a particular cluster.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 23 | Reference Article: W03-0410.xml | Citing Article: W06-2910.xml | Citation Marker Offset: ['118'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['118','119'] | Citation Text: <S sid ="118" ssid = "21">For the evaluation of the clustering results, we calculated the accuracy of the clusters, a cluster similarity measure that has been applied before, cf.</S><S sid ="119" ssid = "22">(Stevenson and Joanis, 2003; Korhonen et al., 2003)</S> | Reference Offset: ['32','171','150'] | Reference Text: <S sid="32" ssid="32">We then describe our clustering methodology, the measures we use to evaluate a clustering, and our experimental results.</S> <S sid="150" ssid="21">4.2.2 Adjusted Rand Measure Accuracy can be relatively high for a clustering when a few clusters are very good, and others are not good.</S> <S sid="171" ssid="9">We calculate the mean silhouette of all points in a clustering to obtain an overall measure of how well the clusters are separated.</S> | Discourse Facet: Method_Citation | Annotator: Fathima Vardha


Citance Number: 24 | Reference Article: W03-0410.xml | Citing Article: E09-1072.xml | Citation Marker Offset: ['80'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['80'] | Citation Text: <S sid ="80" ssid = "6">Following a strategy in line with work on verb classification (Merlo and Stevenson, 2001; Stevenson and Joanis, 2003), we set out to classify common noun lemmas based on their morphosyntactic distribution in a considerably larger corpus.</S> | Reference Offset: ['12','176','121'] | Reference Text: <S sid="12" ssid="12">Such classes group together verbs that share both a common semantics (such as transfer of possession or change of state), and a set of syntactic frames for expressing the arguments of the verb (Levin, 1993; FrameNet, 2003).</S> <S sid="121" ssid="71">We began with this same set of 20 verbs per class for our current work.</S> <S sid="176" ssid="14">This captures what is reflected in the dendrogram, in that very short lines connect verbs low in the tree, and longer lines connect the two main clusters.</S> | Discourse Facet: Results_Citation | Annotator: Fathima Vardha


