Citance Number: 1 | Reference Article:  P04-1054.txt | Citing Article:  P04-3022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, (Zelenko et al, 2003) have proposed extracting relations by computing kernel functions between parse trees and (Culotta and Sorensen, 2004) have extended this work to estimate kernel functions between augmented dependency trees.</S> | Reference Offset:  ['89','105'] | Reference Text:  <S sid = 89 ssid = >We now define a kernel function for dependency trees.</S><S sid = 105 ssid = >See Zelenko et al. (2003) for a proof that K is kernel function.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P04-1054.txt | Citing Article:  W10-4146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['61','165'] | Reference Text:  <S sid = 61 ssid = >To classify an unseen instance x, the classifier first projects x into the feature space defined by the kernel function.</S><S sid = 165 ssid = >It is worthwhile to characterize relation types that are better captured by the sparse kernel, and to determine when using the sparse kernel is worth the increased computational burden.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1054.txt | Citing Article:  D09-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['61','165'] | Reference Text:  <S sid = 61 ssid = >To classify an unseen instance x, the classifier first projects x into the feature space defined by the kernel function.</S><S sid = 165 ssid = >It is worthwhile to characterize relation types that are better captured by the sparse kernel, and to determine when using the sparse kernel is worth the increased computational burden.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1054.txt | Citing Article:  W09-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus structure-based kernels can well model syntactic parse tree in a variety of applications, such as relation extraction (Zelenko et al, 2003), named entity recognition (Culotta and Sorensen, 2004), semantic role labeling (Moschitti et al, 2008) and so on.</S> | Reference Offset:  ['30','105'] | Reference Text:  <S sid = 30 ssid = >String kernels for text classification are explored in Lodhi et al. (2000), and tree kernel variants are described in (Zelenko et al., 2003; Collins and Duffy, 2002; Cumby and Roth, 2003).</S><S sid = 105 ssid = >See Zelenko et al. (2003) for a proof that K is kernel function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1054.txt | Citing Article:  I08-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, (Culotta and Sorensen, 2004) add hypernyms of entities to features derived from WordNet.</S> | Reference Offset:  ['3','129'] | Reference Text:  <S sid = 3 ssid = >We examine the utility of different features such as Wordnet hypernyms, parts of speech, and entity types, and find that the dependency tree kernel achieves a 20% F1 improvement over a “bag-of-words” kernel.</S><S sid = 129 ssid = >For example, we can increase the importance of two nodes having the same Wordnet hypernym2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1054.txt | Citing Article:  I08-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 5 summarizes the results of a comparison between the latent topic feature and the features used by (Culotta and Sorensen, 2004).</S> | Reference Offset:  ['126','147'] | Reference Text:  <S sid = 126 ssid = >The features used to represent each node are shown in Table 3.</S><S sid = 147 ssid = >These results are shown in Table 6.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1054.txt | Citing Article:  P09-2092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['61','165'] | Reference Text:  <S sid = 61 ssid = >To classify an unseen instance x, the classifier first projects x into the feature space defined by the kernel function.</S><S sid = 165 ssid = >It is worthwhile to characterize relation types that are better captured by the sparse kernel, and to determine when using the sparse kernel is worth the increased computational burden.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1054.txt | Citing Article:  P09-2092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Dependency Tree Kernel (DTK) of Culottaand Sorensen (2004) is based on the work of Zelenko et al (2003).</S> | Reference Offset:  ['31','105'] | Reference Text:  <S sid = 31 ssid = >Our algorithm is similar to that described by Zelenko et al. (2003).</S><S sid = 105 ssid = >See Zelenko et al. (2003) for a proof that K is kernel function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1054.txt | Citing Article:  P09-2092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To compare relations in two instance sentences X, Y Culotta and Sorensen (2004) proposes to compare the subtrees induced by the relation arguments x 1, x 2 and y 1, y 2, i.e. computing the node kernel between the two lowest common ancestors (lca) in the dependecy tree of the relation argument nodes K DTK (X, Y)=? (lca (x 1, x 2) ,lca (y 1, y 2)).</S> | Reference Offset:  ['80','83'] | Reference Text:  <S sid = 80 ssid = >The relation-argument feature specifies whether an entity is the first or second argument in a relation.</S><S sid = 83 ssid = >Formally, a relation instance is a dependency tree T with nodes It0 ... tn}.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1054.txt | Citing Article:  P09-2092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['61','165'] | Reference Text:  <S sid = 61 ssid = >To classify an unseen instance x, the classifier first projects x into the feature space defined by the kernel function.</S><S sid = 165 ssid = >It is worthwhile to characterize relation types that are better captured by the sparse kernel, and to determine when using the sparse kernel is worth the increased computational burden.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P04-1054.txt | Citing Article:  P08-2023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta and Sorensen (2004) extended this work to estimate similarity between augmented dependency trees.</S> | Reference Offset:  ['1','23'] | Reference Text:  <S sid = 1 ssid = >We extend previous work on tree kernels to estimate the similarity between the dependency trees of sentences.</S><S sid = 23 ssid = >We represent each relation instance as an augmented dependency tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P04-1054.txt | Citing Article:  W05-0407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Culotta and Sorensen, 2004) a dependency tree kernel is used to detect the Named Entity classes in natural language texts.</S> | Reference Offset:  ['68','141'] | Reference Text:  <S sid = 68 ssid = >For each entity pair, we create an augmented dependency tree (described below) representing this instance.</S><S sid = 141 ssid = >Here, we detect, but do not classify, relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P04-1054.txt | Citing Article:  C08-1134.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['61','165'] | Reference Text:  <S sid = 61 ssid = >To classify an unseen instance x, the classifier first projects x into the feature space defined by the kernel function.</S><S sid = 165 ssid = >It is worthwhile to characterize relation types that are better captured by the sparse kernel, and to determine when using the sparse kernel is worth the increased computational burden.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P04-1054.txt | Citing Article:  C10-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This suggests that dependency information play a critical role in PPI extraction as well as in relation extraction from newswire stories (Culotta and Sorensen, 2004).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Dependency Tree Kernels For Relation Extraction</S><S sid = 12 ssid = >We describe a relation extraction technique based on kernel methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P04-1054.txt | Citing Article:  P09-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lately, this formalism has been used as an alternative to phrase-based parsing for a variety of tasks, ranging from machine translation (Ding and Palmer, 2005) to relation extraction (Culotta and Sorensen, 2004) and question answering (Wang et al, 2007).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Dependency Tree Kernels For Relation Extraction</S><S sid = 12 ssid = >We describe a relation extraction technique based on kernel methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P04-1054.txt | Citing Article:  W06-1616.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dependency parsing is useful for applications such as relation extraction (Culotta and Sorensen, 2004) and machine translation (Ding and Palmer, 2005).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Dependency Tree Kernels For Relation Extraction</S><S sid = 12 ssid = >We describe a relation extraction technique based on kernel methods.</S> | Discourse Facet:  NA | Annotator: Automatic


