Citance Number: 1 | Reference Article:  C04-1051.txt | Citing Article:  W04-3219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We are currently experimenting with data extracted from the first two sentences in each article, which by journalistic convention tend to summarize content (Dolan et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>a newspaper article typically summarize its content.</S><S sid = NA ssid = NA>To isolate just those sentence pairs that represent likely paraphrases without requiring significant string similarity, we exploited a common journalistic convention: the first sentence or two of 3A maximum Levenshtein distance of 12 was selected for the purposes of this paper on the basis of experiments with corpora extracted at various edit distances.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C04-1051.txt | Citing Article:  N12-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We employ 8 different MT metrics for identifying paraphrases across two different datasets the well-known Microsoft Research paraphrase corpus (MSRP) (Dolan et al, 2004) and the plagiarism detection corpus (PAN) from the 2010 Uncovering Plagiarism, Authorship and Social Software Misuse shared task (Potthast et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Shinyama, et al 2002; Lin & Pantel 2001).</S><S sid = NA ssid = NA>Giza++ is a freely available implementation of IBM Models 1-5 (Brown et al 1993) and the HMM alignment (Vogel et al 1996), along with various improvements and modifications motivated by experimentation by Och & Ney (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C04-1051.txt | Citing Article:  E06-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, with the advent of news aggregator services such as GoogleNews, one can readily collect multiple news stories covering the same news item (Dolan et al,2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While the idea of exploiting multiple news reports for paraphrase acquisition is not new, previous efforts (for example, Shinyama et al 2002; Barzilay and Lee 2003) have been restricted to at most two news sources.</S><S sid = NA ssid = NA>Our two paraphrase datasets are distilled from a corpus of news articles gathered from thousands of news sources over an extended period.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C04-1051.txt | Citing Article:  E06-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dolan et al (2004) used Web-aggregated news stories to learn both sentence-level and word-level alignments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We investigate unsupervised techniques for acquiring monolingual sentence-level paraphrases from a corpus of temporally and topically clustered news articles collected from thousands of web-based news sources.</S><S sid = NA ssid = NA>A simple edit distance metric (Levenshtein 1966) was used to identify pairs of sentences within a cluster that are similar at the string level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C04-1051.txt | Citing Article:  C08-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Levenshtein distance has been used in natural language processing field as a component in the variety of tasks, including semantic role labeling (Tjong Kim Sang et al, 2005), construction of the paraphrase corpora (Dolan et al, 2004), evaluation of machine translation output (Leusch et al, 2003), and others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Shinyama, et al 2002; Lin & Pantel 2001).</S><S sid = NA ssid = NA>Giza++ is a freely available implementation of IBM Models 1-5 (Brown et al 1993) and the HMM alignment (Vogel et al 1996), along with various improvements and modifications motivated by experimentation by Och & Ney (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C04-1051.txt | Citing Article:  W08-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We remain, however, responsible for all content.</S><S sid = NA ssid = NA>The assumption that two first sentences are semantically related is thus based in part on linguistic information that is external to the sentences themselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C04-1051.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We remain, however, responsible for all content.</S><S sid = NA ssid = NA>The assumption that two first sentences are semantically related is thus based in part on linguistic information that is external to the sentences themselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C04-1051.txt | Citing Article:  D12-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We remain, however, responsible for all content.</S><S sid = NA ssid = NA>The assumption that two first sentences are semantically related is thus based in part on linguistic information that is external to the sentences themselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C04-1051.txt | Citing Article:  W11-1208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although the F2 heuristic proposed by Dolan et al (2004), which takes the first two sentences of each document pair, obtains higher relatedness score (we evaluated F2 sentences as 50% paraphrases, 37% related, and 13% unrelated), our n-gram overlap method extracted much more sentence pairs per document pair.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To prevent too high an incidence of unrelated sentences, one string-based heuristic filter was found useful: a pair is discarded if the sentences do not share at least 3 words of 4+ characters.</S><S sid = NA ssid = NA>First, the F2 data is less parallel, as evidenced by the higher percentage of Elaborations found in those sentence pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C04-1051.txt | Citing Article:  P12-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>the Microsoft Research Paraphrase Corpus (Dolan et al, 2004) [MSR04].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Shinyama, et al 2002; Lin & Pantel 2001).</S><S sid = NA ssid = NA>Giza++ is a freely available implementation of IBM Models 1-5 (Brown et al 1993) and the HMM alignment (Vogel et al 1996), along with various improvements and modifications motivated by experimentation by Och & Ney (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C04-1051.txt | Citing Article:  E12-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We remain, however, responsible for all content.</S><S sid = NA ssid = NA>The assumption that two first sentences are semantically related is thus based in part on linguistic information that is external to the sentences themselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C04-1051.txt | Citing Article:  P14-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast, traditional paraphrase detection (Dolan et al, 2004) and Recognizing Textual Entailment (RTE) tasks (Dagan et al., 2013) consider examples consisting of only a single pair of candidate paraphrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Shinyama, et al 2002; Lin & Pantel 2001).</S><S sid = NA ssid = NA>Giza++ is a freely available implementation of IBM Models 1-5 (Brown et al 1993) and the HMM alignment (Vogel et al 1996), along with various improvements and modifications motivated by experimentation by Och & Ney (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C04-1051.txt | Citing Article:  C10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A few unsupervised metrics have been applied to automatic paraphrase identification and extraction (Barzilay and McKeown, 2001) and (Dolan et al,2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The importance of learning to manipulate monolingual paraphrase relationships for applications like summarization, search, and dialog has been highlighted by a number of recent efforts (Barzilay & McKeown 2001; Shinyama et al 2002; Lee & Barzilay 2003; Lin & Pantel 2001).</S><S sid = NA ssid = NA>(Shinyama, et al 2002; Lin & Pantel 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C04-1051.txt | Citing Article:  C10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, (Cordeiro et al, 2007a) proposed the sumo metric specially designed for asymmetrical entailed pair identification in corpora which obtained better performance than previously established metrics, even in corpora with exclusively symmetrical entailed paraphrases as in the Microsoft Paraphrase Research Corpus (Dolan et al., 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Shinyama, et al 2002; Lin & Pantel 2001).</S><S sid = NA ssid = NA>Giza++ is a freely available implementation of IBM Models 1-5 (Brown et al 1993) and the HMM alignment (Vogel et al 1996), along with various improvements and modifications motivated by experimentation by Och & Ney (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C04-1051.txt | Citing Article:  N10-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tasks such as transliteration discovery (Klementiev and Roth, 2008), recognizing textual entailment (RTE) (Dagan et al, 2006) and paraphrase identification (Dolan et al, 2004) are a few prototypical examples.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Shinyama, et al 2002; Lin & Pantel 2001).</S><S sid = NA ssid = NA>Giza++ is a freely available implementation of IBM Models 1-5 (Brown et al 1993) and the HMM alignment (Vogel et al 1996), along with various improvements and modifications motivated by experimentation by Och & Ney (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C04-1051.txt | Citing Article:  N10-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We remain, however, responsible for all content.</S><S sid = NA ssid = NA>The assumption that two first sentences are semantically related is thus based in part on linguistic information that is external to the sentences themselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C04-1051.txt | Citing Article:  N10-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluated the systems performance across two datasets: (Dolan et al, 2004) dataset and the Extended dataset, see the text for details.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will refer to this dataset as L12.</S><S sid = NA ssid = NA>Our two paraphrase datasets are distilled from a corpus of news articles gathered from thousands of news sources over an extended period.</S> | Discourse Facet:  NA | Annotator: Automatic


