Citance Number: 1 | Reference Article:  H93-1061.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is due, in part, to the availability of public hand-tagged material, e.g. SemCor (Miller et al, 1993) and the DSO collection (Ng & Lee, 1996).</S> | Reference Offset:  ['14','15'] | Reference Text:  <S sid = 14 ssid = >The result can be viewed either as a collection of passages in which words have been tagged syntactically and semanti- eally, or as a lexicon in which illustrative sentences can be found for many definitions.</S><S sid = 15 ssid = >At the present time, the correla- tion of a lexical meaning with examples in which a word is used to express that meaning must be done by hand.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  H93-1061.txt | Citing Article:  P07-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the experiments reported in this section, we use a parallel corpus consisting of 107 documents from the SemCor corpus (Miller et al, 1993) and their manual translations into Romanian.</S> | Reference Offset:  ['3','172'] | Reference Text:  <S sid = 3 ssid = >The Brown Corpus is the text and WordNet is the lexicon.</S><S sid = 172 ssid = >We are now finishing a first installment of semantically tagged text consisting of 100 passages from the Brown Corpus; as soon as that much has been completed and satisfactorily cleaned up, we plan to make it, and the corresponding WordNet database, available to other labora- tories that also have permission to use the Brown Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  H93-1061.txt | Citing Article:  W06-3814.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Existing hand annotated corpora like SemCor (Miller et al, 1993), which is annotated with WordNet senses (Fellbaum, 1998) allow for a small improvement over the simple most frequent sense heuristic, as attested in the all words track of the last Senseval competition (Snyder and Palmer, 2004).</S> | Reference Offset:  ['121','187'] | Reference Text:  <S sid = 121 ssid = >This alone is a powerful improvement over p rsent .</S><S sid = 187 ssid = >Miller, G. A. and Fellbaum, C. Semantic networks of English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H93-1061.txt | Citing Article:  W07-2074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To train the classifiers for the all-words task we just used Semcor (Miller et al, 1993).</S> | Reference Offset:  ['36','157'] | Reference Text:  <S sid = 36 ssid = >Since collocations are less polysemous than are individual words, their inclusion in WordNet promises to simplify the task of sense resolution.</S><S sid = 157 ssid = >By itself, WordNet does not provide topical groupings of words that can be used for sense resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H93-1061.txt | Citing Article:  P10-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is roughly comparable with most frequent sense figures in standard annotated corpora such as Semcor (Miller et al, 1993) and the Senseval/Semeval data sets, which suggests that diversity may not play a major role in the current Google ranking algorithm.</S> | Reference Offset:  ['142','185'] | Reference Text:  <S sid = 142 ssid = >By providing them with the appropriate sense of an unfamiliar word, they are spared the task of selecting a sense from the several alternatives listed in a standard ic- tionary.</S><S sid = 185 ssid = >), WordNet: An on-line lexical data- base.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H93-1061.txt | Citing Article:  P05-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cor text collection (Miller et al, 1993), a subset of the Brown corpus manually tagged with WordNet senses (37,176 sentences in 352 newspaper articles).</S> | Reference Offset:  ['3','68'] | Reference Text:  <S sid = 3 ssid = >The Brown Corpus is the text and WordNet is the lexicon.</S><S sid = 68 ssid = >text, along with the WordNet synsets for all of the senses of that word (in the appropriate part of speech).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H93-1061.txt | Citing Article:  W06-1670.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To this extent, we cast the supersense tagging problem as a sequence labeling task and train a discriminative Hidden Markov Model (HMM), based on that of Collins (2002), on the manually annotated Semcor corpus (Miller et al, 1993).</S> | Reference Offset:  ['45','63'] | Reference Text:  <S sid = 45 ssid = >The task of semantic tagging has provided a useful stimulus to improve both coverage and precision.</S><S sid = 63 ssid = >CONTEXT: A TAGGING INTERFACE The task of semantically tagging a text by hand is notori- ously tedious, but the tedium can be reduced with an appropriate user interface.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H93-1061.txt | Citing Article:  W06-1670.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Semcor corpus (Miller et al, 1993), a fraction of the Brown corpus (Kucera and Francis, 1967) which has been manually annotated with Wordnet synset labels.</S> | Reference Offset:  ['3','46'] | Reference Text:  <S sid = 3 ssid = >The Brown Corpus is the text and WordNet is the lexicon.</S><S sid = 46 ssid = >THE BROWN CORPUS The textual component of our universal semantic oncor- dance is taken from the Brown Corpus [3, 4].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H93-1061.txt | Citing Article:  W09-2420.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most of current all-words generic supervised WSD systems take SemCor (Miller et al, 1993) as their source corpus, i.e. they are trained on SemCor examples and then applied to new examples.</S> | Reference Offset:  ['15','108'] | Reference Text:  <S sid = 15 ssid = >At the present time, the correla- tion of a lexical meaning with examples in which a word is used to express that meaning must be done by hand.</S><S sid = 108 ssid = >A new semantic tag must then be inserted by the tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H93-1061.txt | Citing Article:  E09-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This includes sense ranks in WordNet, SemCor statistics (Miller et al, 1993), and similarity scores and rankings in Lin's resources.</S> | Reference Offset:  ['32','135'] | Reference Text:  <S sid = 32 ssid = >WordNet contains only uninflected (or base) forms of words, so the interface to WordNet includes raorphy, a morpho- logical analyzer that is applied to input strings to generate the base forms.</S><S sid = 135 ssid = >APPL ICAT IONS Our reasons for building this universal semantic oncor- dance were to test and improve the coverage of WordNet and to develop resources for developing and testing pro- cedures for the automatic sense resolution in context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H93-1061.txt | Citing Article:  W09-2403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unless specified otherwise, we use WordNet 1.7.1 (Milleret al, 1990) and the associated sense annotated SemCor corpus (Miller et al, 1993) (translated to WordNet 1.7.1 by Rada Mihalcea).</S> | Reference Offset:  ['3','120'] | Reference Text:  <S sid = 3 ssid = >The Brown Corpus is the text and WordNet is the lexicon.</S><S sid = 120 ssid = >Additional search keys can be specified to find words that co-occur in sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H93-1061.txt | Citing Article:  S12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >ImCor dataset by associating images from the Corel database with text from the SemCor corpus (Miller et al, 1993).</S> | Reference Offset:  ['3','105'] | Reference Text:  <S sid = 3 ssid = >The Brown Corpus is the text and WordNet is the lexicon.</S><S sid = 105 ssid = >The WordNet database is constantly growing and changing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H93-1061.txt | Citing Article:  W07-2061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Coarse-grained English All-Words LexPar and SynWSD were trained on an 1 million words corpus comprising the George Orwell's 1984 novel and the SemCor corpus (Miller et al, 1993).</S> | Reference Offset:  ['187','200'] | Reference Text:  <S sid = 187 ssid = >Miller, G. A. and Fellbaum, C. Semantic networks of English.</S><S sid = 200 ssid = >New York: Scribners, 1984.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H93-1061.txt | Citing Article:  P06-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Then, we present a detailed comparison of their performance on SemCor (Miller et al, 1993).</S> | Reference Offset:  ['15','189'] | Reference Text:  <S sid = 15 ssid = >At the present time, the correla- tion of a lexical meaning with examples in which a word is used to express that meaning must be done by hand.</S><S sid = 189 ssid = >Ku~era, H. and Francis, W. N. Computational nalysis of present-day American English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H93-1061.txt | Citing Article:  P10-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A Times and SemCor corpora (Milleretal., 1993), and used to generate a training corpus, with manually-annotated positive and negative examples of part-whole relations.</S> | Reference Offset:  ['15','25'] | Reference Text:  <S sid = 15 ssid = >At the present time, the correla- tion of a lexical meaning with examples in which a word is used to express that meaning must be done by hand.</S><S sid = 25 ssid = >The semantic relations among open-class words include: synonymy and antonymy (which are semantic relations between words and which are found in all four syntactic categories); hyponymy and hypernymy (which are semantic relations between concepts and which organize nouns into a categorical hierarchy); meronymy and holonymy (which represent part-whole relations among noun concepts); and troponymy (manner relations) and entailment relations between verb concepts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H93-1061.txt | Citing Article:  C04-1162.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We are using a subset of the SemCor texts (Miller et al, 1993) - five randomly selected files covering different topics: news, sports, entertainment, law, and debates - as well as the data set provided for the English all words task during SENSEVAL-2.</S> | Reference Offset:  ['45','187'] | Reference Text:  <S sid = 45 ssid = >The task of semantic tagging has provided a useful stimulus to improve both coverage and precision.</S><S sid = 187 ssid = >Miller, G. A. and Fellbaum, C. Semantic networks of English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H93-1061.txt | Citing Article:  W06-2503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We contrast the performance of first sense heuristics i) from SemCor (Miller et al, 1993) and ii) derived automatically from the BNC following (McCarthy et al, 2004) and also iii) an upper-bound first sense heuristic extracted from the test data.</S> | Reference Offset:  ['16','124'] | Reference Text:  <S sid = 16 ssid = >Manual semantic tagging is tedious; it should be done automatically as soon as it is possible to resolve word senses in context automatically.</S><S sid = 124 ssid = >Search only for a specific sense.</S> | Discourse Facet:  NA | Annotator: Automatic


