Citance Number: 1 | Reference Article:  J08-1002.txt | Citing Article:  D09-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These corpora are automatically parsed by Enju 2.3.1 (Miyao and Tsujii, 2008), and the features are extracted from the parsing results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following experiments, we use Enju 2.1 (Tsujii Laboratory 2004), which is a widecoverage HPSG grammar extracted from the Penn Treebank by the method of Miyao, Ninomiya, and Tsujii (2005).</S><S sid = NA ssid = NA>We describe methods for representing HPSG parse trees and predicate–argument structures using feature forests (Miyao, Ninomiya, and Tsujii 2003; Miyao and Tsujii 2003, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J08-1002.txt | Citing Article:  W10-1405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Models based on deep grammars such as CCG (Hockenmaier and Steed man, 2003) and HPSG (Miyao and Tsujii, 2008) could in principle use inflectional morphology, but they currently rely on functional information mainly.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe methods for representing HPSG parse trees and predicate–argument structures using feature forests (Miyao, Ninomiya, and Tsujii 2003; Miyao and Tsujii 2003, 2005).</S><S sid = NA ssid = NA>In all of the following experiments, we use the HPSG grammar developed by the method of Miyao, Ninomiya, and Tsujii (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J08-1002.txt | Citing Article:  W11-1825.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also experimented with the ENJU parses (Miyao and Tsujii, 2008) provided by the shared task organizers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following experiments, we use Enju 2.1 (Tsujii Laboratory 2004), which is a widecoverage HPSG grammar extracted from the Penn Treebank by the method of Miyao, Ninomiya, and Tsujii (2005).</S><S sid = NA ssid = NA>We describe methods for representing HPSG parse trees and predicate–argument structures using feature forests (Miyao, Ninomiya, and Tsujii 2003; Miyao and Tsujii 2003, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J08-1002.txt | Citing Article:  D09-1157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the C & C parser (Clark and Curran, 2007), ENJU (Miyao and Tsujii, 2008), and a variant of ENJU (Hara et al, 2007) adapted for the biomedical domain (i.e., ENJU-Genia); There were a number of practical issues to consider when using parsers for this task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2006; Chun 2007).</S><S sid = NA ssid = NA>The methods we propose here were applied to an English HPSG parser, Enju (Tsujii Laboratory 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J08-1002.txt | Citing Article:  D10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Takashi Ninomiya and Kenji Sagae for their precious support.</S><S sid = NA ssid = NA>Simplified representation of the lexical entry in Figure 10. predicate–argument structure of a phrase/sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J08-1002.txt | Citing Article:  D10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This metric is broadly comparable to the predicate-argument dependencies of CCGBank (Hockenmaier and Steed man, 2007) or of the ENJU grammar (Miyao and Tsujii, 2008), and also somewhat similar to the grammatical relations (GR) of the Briscoe and Carroll (2006) version of DepBank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2006; Chun 2007).</S><S sid = NA ssid = NA>The content of this article is an extended version of our earlier work reported in Miyao and Tsujii (2002, 2003, 2005) and Miyao, Ninomiya, and Tsujii (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J08-1002.txt | Citing Article:  W12-4207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Isozaki et al (2010b) proposed a simple method of Head Finalization, by using an HPSG-based deep parser for English (Miyao and Tsujii, 2008) to obtain phrase structures and head information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recently, the applicability of the HPSG parser to practical applications, such as information extraction and retrieval, has also been demonstrated (Miyao et al. 2006; Yakushiji et al.</S><S sid = NA ssid = NA>We describe methods for representing HPSG parse trees and predicate–argument structures using feature forests (Miyao, Ninomiya, and Tsujii 2003; Miyao and Tsujii 2003, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J08-1002.txt | Citing Article:  P12-2061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Second, input English sentences are parsed by a high-quality parser, Enju (Miyao and Tsujii, 2008), which outputs syntactic heads.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The methods we propose here were applied to an English HPSG parser, Enju (Tsujii Laboratory 2004).</S><S sid = NA ssid = NA>The second and the third features are for the other two relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J08-1002.txt | Citing Article:  P12-2061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used Enju (Miyao and Tsujii, 2008) v2.4.2 for parsing the English side of the training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The methods we propose here were applied to an English HPSG parser, Enju (Tsujii Laboratory 2004).</S><S sid = NA ssid = NA>A method of filtering lexical entries was applied to the parsing of training data (Section 4.4).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J08-1002.txt | Citing Article:  P13-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For this experiment, we choose the C & C parser (Clark and Curran, 2003) for CCG, Enju parser (Miyao and Tsujii, 2008) for HPSG and pipeline automatic annotator (Cahill et al, 2004) with Charniak parser for LFG.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Applications to CCG parsing (Clark and Curran 2003, 2004b) and LFG parsing (Kaplan et al. 2004; Riezler and Vasserman 2004) demonstrated that feature forest models attained higher accuracy than other models.</S><S sid = NA ssid = NA>The methods we propose here were applied to an English HPSG parser, Enju (Tsujii Laboratory 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J08-1002.txt | Citing Article:  W12-2425.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Figure 4 shows an example of text conversion and annotation alignment that are required when the Enju parser (Miyao and Tsujii, 2008) needs to be used for the annotation of protein names.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The figure shows output from the parser.</S><S sid = NA ssid = NA>Figure 3 shows Ω(Φ) of the feature forest in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J08-1002.txt | Citing Article:  D09-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For training, we use the feature forest model (Miyao and Tsujii, 2008), which was originally designed as an efficient algorithm for solving maximum entropy models for data with complex structures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Feature forest models are maximum entropy models defined over feature forests.</S><S sid = NA ssid = NA>Feature forest models are maximum entropy models defined over feature forests.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J08-1002.txt | Citing Article:  W11-1816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The other deep parser used was the HPSG parser Enju by Miyao and Tsujii (2008), also trained on GTB.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The methods we propose here were applied to an English HPSG parser, Enju (Tsujii Laboratory 2004).</S><S sid = NA ssid = NA>In the following experiments, we use Enju 2.1 (Tsujii Laboratory 2004), which is a widecoverage HPSG grammar extracted from the Penn Treebank by the method of Miyao, Ninomiya, and Tsujii (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J08-1002.txt | Citing Article:  P13-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We employed the parser and the supertagger of (Miyao and Tsujii, 2008), specifically, its generalized modules for lexicalized grammars.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The model described in this article was first published in Miyao and Tsujii (2002), and has been applied to probabilistic models for parsing with lexicalized grammars.</S><S sid = NA ssid = NA>Probabilistic modeling of lexicalized grammars is difficult because these grammars exploit complicated data structures, such as typed feature structures.</S> | Discourse Facet:  NA | Annotator: Automatic


