Citance Number: 1 | Reference Article:  P97-1041.txt | Citing Article:  P98-2206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Palmer (1997) conducted a Chinese segmenter which merely made use of a manually segmented corpus (without referring to any lexicon).</S> | Reference Offset:  ['3','52'] | Reference Text:  <S sid = 3 ssid = >As a stand-alone segmenter, we show our algorithm to produce high performance Chinese segmentation.</S><S sid = 52 ssid = >For our experiments, we obtained corpora which had been manually segmented by native or nearnative speakers of Chinese and Thai.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P97-1041.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One may note that the error reductions here are smaller than Palmer (1997)'s error reductions.</S> | Reference Offset:  ['108','109'] | Reference Text:  <S sid = 108 ssid = >Our rule-based algorithm learned a sequence of 731 transformations which improved the score from 48.2 to 63.6, a 29.7% error reduction.</S><S sid = 109 ssid = >While the alphabetic system is obviously harder to segment, we still see a significant reduction in the segmenter error rate using the transformation-based algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P97-1041.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Palmer (1997), the baseline is how well an existing system performs before the rules are run.</S> | Reference Offset:  ['48','101'] | Reference Text:  <S sid = 48 ssid = >In this manner a sequence of rules is built for iteratively improving the initial model.</S><S sid = 101 ssid = >Our rule-based algorithm is thus able to produce an improvement to an existing high-performance system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P97-1041.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If we were to use the same baseline as Palmer (1997), our baseline would be an F of 37.5% for IaB and 52.6% for IaC.</S> | Reference Offset:  ['61','127'] | Reference Text:  <S sid = 61 ssid = >With the above algorithm in place, we can use the training data to produce a rule sequence to augment an initial segmentation approximation in order to obtain a better approximation of the desired segmentation.</S><S sid = 127 ssid = >We can use these resources to provide an informed initial segmentation approximation separate from the greedy algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P97-1041.txt | Citing Article:  W04-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, (Palmer, 1997) developed a Chinese word segmenter using a manually segmented corpus.</S> | Reference Offset:  ['52','147'] | Reference Text:  <S sid = 52 ssid = >For our experiments, we obtained corpora which had been manually segmented by native or nearnative speakers of Chinese and Thai.</S><S sid = 147 ssid = >The rule-based algorithm we developed to improve word segmentation is very effective for segmenting Chinese; in fact, the rule sequences combined with a very simple initial segmentation, such as that from a maximum matching algorithm, produce performance comparable to manually-developed segmenters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P97-1041.txt | Citing Article:  W03-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Palmer (1997) uses transform-based learning (TBL) to correct an initial segmentation.</S> | Reference Offset:  ['40','45'] | Reference Text:  <S sid = 40 ssid = >The learning algorithm also considers the entire training set at all learning steps, rather than decreasing the size of the training data as learning progresses, such as is the case in decision-tree induction (Quinlan, 1986).</S><S sid = 45 ssid = >Word segmentation can easily be cast as a transformation-based problem, which requires an initial model, a goal state into which we wish to transform the initial model (the &quot;gold standard&quot;), and a series of transformations to effect this improvement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P97-1041.txt | Citing Article:  A00-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a later paper, Palmer (1997) presents a transformation-based algorithm, which requires pre-segmented training data.</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >This paper presents a trainable rule-based algorithm for performing word segmentation.</S><S sid = 5 ssid = >This paper presents a trainable rule-based algorithm for performing word segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P97-1041.txt | Citing Article:  P04-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of TBL for Chinese word segmentation was first suggested in Palmer (1997).</S> | Reference Offset:  ['70','127'] | Reference Text:  <S sid = 70 ssid = >A very simple initial segmentation for Chinese is to consider each character a distinct word.</S><S sid = 127 ssid = >We can use these resources to provide an informed initial segmentation approximation separate from the greedy algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


