Citance Number: 1 | Reference Article:  P01-1008.txt | Citing Article:  W02-1411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some works, such as Barzilay and McKeown (2001), have acquired paraphrasing knowledge automatically.</S> | Reference Offset:  ['57','152'] | Reference Text:  <S sid = 57 ssid = >The same question arises with automatically constructed thesauri (Pereira et al., 1993; Lin, 1998).</S><S sid = 152 ssid = >We also observed that for some rules a shorter context works better.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P01-1008.txt | Citing Article:  C10-2037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and McKeown (2001) and Callison Burch et al (2006) extracted paraphrases from monolingual parallel corpus where multiple translations were present for the same source.</S> | Reference Offset:  ['2','64'] | Reference Text:  <S sid = 2 ssid = >We present an unsupervised learning algorithm for identification of paraphrases from a corpus of multiple English translations of the same source text.</S><S sid = 64 ssid = >The corpus we use for identification of paraphrases is a collection of multiple English translations from a foreign source text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P01-1008.txt | Citing Article:  N03-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Jacquemin (1999) and Barzilay and McKeown (2001) identify phrase level paraphrases, while Lin and Pantel (2001) and Shinyama et al (2002) acquire structural paraphrases encoded as templates.</S> | Reference Offset:  ['121','122'] | Reference Text:  <S sid = 121 ssid = >Second, this description is able to capture regularities in phrase level paraphrasing.</S><S sid = 122 ssid = >In fact, a similar representation was used by (Jacquemin et al., 1997) to describe term variations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P01-1008.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and McKeown (2001) extract paraphrases from a monolingual parallel corpus, containing multiple translations of the same source.</S> | Reference Offset:  ['2','64'] | Reference Text:  <S sid = 2 ssid = >We present an unsupervised learning algorithm for identification of paraphrases from a corpus of multiple English translations of the same source text.</S><S sid = 64 ssid = >The corpus we use for identification of paraphrases is a collection of multiple English translations from a foreign source text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P01-1008.txt | Citing Article:  P11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We first verify claim II by comparing our method with that of Barzilay and McKeown (2001) (BM method), Moses7 (Koehn et al, 2007) (SMT method), and that of Murata et al (2004) (Mrt method).</S> | Reference Offset:  ['83','183'] | Reference Text:  <S sid = 83 ssid = >We describe below a method of paraphrase extraction, exploiting these features of our corpus.</S><S sid = 183 ssid = >The recall of our method is a more problematic issue.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P01-1008.txt | Citing Article:  P11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this experiment, following Barzilay and McKeown (2001), K is 10 and N is 1 to 3.</S> | Reference Offset:  ['44','145'] | Reference Text:  <S sid = 44 ssid = >In the following sections, we provide an overview of existing work on paraphrasing, then we describe data used in this work, and detail our paraphrase extraction technique.</S><S sid = 145 ssid = >Following (Collins and Singer, 1999), filtering is based on the strength of the context and its frequency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P01-1008.txt | Citing Article:  P11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and McKeown (2001) induced simple POS-based paraphrase rules from paraphrase instances, which can be a good starting point.</S> | Reference Offset:  ['101','165'] | Reference Text:  <S sid = 101 ssid = >Once we know which contexts are good paraphrase predictors, we can extract paraphrase patterns from our corpus.</S><S sid = 165 ssid = >New paraphrases not only add more positive and negative instances to the contextual classifier, but also revise contextual rules for known instances based on new paraphrase information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P01-1008.txt | Citing Article:  C10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A few unsupervised metrics have been applied to automatic paraphrase identification and extraction (Barzilay and McKeown, 2001) and (Dolan et al, 2004).</S> | Reference Offset:  ['16','30'] | Reference Text:  <S sid = 16 ssid = >This paper presents a corpus-based method for automatic extraction of paraphrases.</S><S sid = 30 ssid = >Based on the specifics of our corpus, we developed an unsupervised learning algorithm for paraphrase extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P01-1008.txt | Citing Article:  N03-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare the paraphrases we collect with paraphrases that are derivable from the same corpus using a co training-based paraphrase extraction algorithm (Barzilay and McKeown, 2001).</S> | Reference Offset:  ['16','30'] | Reference Text:  <S sid = 16 ssid = >This paper presents a corpus-based method for automatic extraction of paraphrases.</S><S sid = 30 ssid = >Based on the specifics of our corpus, we developed an unsupervised learning algorithm for paraphrase extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P01-1008.txt | Citing Article:  N03-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the co-training-based algorithm of Barzilay and McKeown (2001) takes parallel corpus as input, we created out of the MTC corpus 55993 sentence pairs (Each equivalent translation set of cardinality 11 was mapped into (11 2) equivalent translation pairs.).</S> | Reference Offset:  ['69','157'] | Reference Text:  <S sid = 69 ssid = >In total, our corpus contains 11 translations 2.</S><S sid = 157 ssid = >Training of the paraphrasing classifier Context rules extracted in the previous stage are then applied to the corpus to derive a new set of pairs of positive and negative paraphrasing examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P01-1008.txt | Citing Article:  P08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and McKeown (2001) used monolingual parallel corpora for identifying paraphrases.</S> | Reference Offset:  ['25','61'] | Reference Text:  <S sid = 25 ssid = >However, our parallel corpus is far from the clean parallel corpora used in MT.</S><S sid = 61 ssid = >While these rules achieve high accuracy in identifying term paraphrases, the techniques used have not been extended to other types of paraphrasing yet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P01-1008.txt | Citing Article:  P08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We find that most paraphrases extracted using the method of Barzilay and McKeown (2001) are quite short.</S> | Reference Offset:  ['35','58'] | Reference Text:  <S sid = 35 ssid = >In addition to learning lexical paraphrases, the method also learns syntactic paraphrases, by generalizing syntactic patterns of the extracted paraphrases.</S><S sid = 58 ssid = >While the extracted pairs are indeed similar, they are not paraphrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P01-1008.txt | Citing Article:  N07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another thread related to our work includes extracting from text corpora paraphrases (Barzilay and McKeown 2001) and inference rules, e.g. TEASE1 (Szpektor et al 2004) and DIRT (Lin and Pantel 2001).</S> | Reference Offset:  ['0','57'] | Reference Text:  <S sid = 0 ssid = >Extracting Paraphrases From A Parallel Corpus</S><S sid = 57 ssid = >The same question arises with automatically constructed thesauri (Pereira et al., 1993; Lin, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P01-1008.txt | Citing Article:  N10-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To generate dialogue sentences for a corresponding discourse structure we are adapting the approach to paraphrasing of Barzilay and McKeown (2001).</S> | Reference Offset:  ['31','41'] | Reference Text:  <S sid = 31 ssid = >During the preprocessing stage, the corresponding sentences are aligned.</S><S sid = 41 ssid = >Our approach yields a set of paraphrasing patterns by extrapolating the syntactic and morphological structure of extracted paraphrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P01-1008.txt | Citing Article:  P09-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['68','220'] | Reference Text:  <S sid = 68 ssid = >Some of the translations were created during different time periods and in different countries.</S><S sid = 220 ssid = >We thank Noemie Elhadad, Mike Collins, Michael Elhadad and Maria Lapata for useful discussions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P01-1008.txt | Citing Article:  P09-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach in (Barzilay and McKeown, 2001) does not use deep linguistic analysis and therefore is suitable to noisy corpora like ours.</S> | Reference Offset:  ['15','76'] | Reference Text:  <S sid = 15 ssid = >A corpus-based approach can provide insights on this question by revealing paraphrases that people use.</S><S sid = 76 ssid = >This characteristic of our corpus is similar to problems with noisy and comparable corpora (Veronis, 2000), and it prevents us from using methods developed in the MT community based on clean parallel corpora, such as (Brown et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


