Citance Number: 1 | Reference Article:  J95-2003.txt | Citing Article:  P96-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The centering model (Grosz et al, 1995) focuses on the resolution of inter-sentential anaphora.</S> | Reference Offset:  ['10','221'] | Reference Text:  <S sid = 10 ssid = >Centering was proposed as a model that accounted for this phenomenon.</S><S sid = 221 ssid = >The next example illustrates that this effect is 16 These rules and constraints have also been used by others as the basis for pronoun resolution algorithms based on centering.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J95-2003.txt | Citing Article:  P13-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One popular model, the centering model (Grosz et al, 1995), uses a ranking of discourse entities realized in particular sentence sand computes transitions between adjacent sentences to provide insight in the felicity of texts.</S> | Reference Offset:  ['10','46'] | Reference Text:  <S sid = 10 ssid = >Centering was proposed as a model that accounted for this phenomenon.</S><S sid = 46 ssid = >Centering is proposed as a model of the local-level component of attentional state.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J95-2003.txt | Citing Article:  D08-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Linguists have also studied various aspects of text flow like the centering theory (Grosz et al, 1995) among the most influential contributions.</S> | Reference Offset:  ['317','349'] | Reference Text:  <S sid = 317 ssid = >There are several alternative explanations of such examples, involving various accounts of speaker's intentions, mutual belief, and the like.</S><S sid = 349 ssid = >Since Grosz, Joshi, and Weinstein (1986) was first circulated a number of researchers have tested and developed aspects of the theory presented here.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J95-2003.txt | Citing Article:  D08-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most models attempting to capture local coherence between sentences were based on or inspired by centering theory (Grosz et al, 1995), which postulated strong links between the center of attention in comprehension of adjacent sentences and syntactic position and form of reference.</S> | Reference Offset:  ['0','32'] | Reference Text:  <S sid = 0 ssid = >Centering: A Framework For Modeling The Local Coherence Of Discourse</S><S sid = 32 ssid = >Attentional state models the discourse participants' focus of attention at any given point in the discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J95-2003.txt | Citing Article:  P04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, Poesio examined the hypothesis that finding the anchor of a BD involves knowing which entities are the CB and the CP in the sense of Centering (Grosz et al, 1995).</S> | Reference Offset:  ['111','296'] | Reference Text:  <S sid = 111 ssid = >It is commonly accepted, and is a hypothesis under which our work on centering proceeds, that a hearer's determination of noun phrase reference involves some process of inference.</S><S sid = 296 ssid = >Cb(25b) is then the value-free interpretation, and Cb(26b) is the value-loaded one (at the time of the writing of Grosz, Joshi, and Weinstein (1986), George Bush, but now [1995] Al Gore).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J95-2003.txt | Citing Article:  W03-2120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Centering Theory (CT) characterises the local coherence of a text on the basis of the discourse entities in a text and the way in which they are introduced (Grosz et al, 1995).</S> | Reference Offset:  ['0','52'] | Reference Text:  <S sid = 0 ssid = >Centering: A Framework For Modeling The Local Coherence Of Discourse</S><S sid = 52 ssid = >These entities may either have been explicitly introduced into the discourse or sufficiently closely related to such entities to be considered implicitly in focus (Grosz 1981).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J95-2003.txt | Citing Article:  P03-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Centering Theory (CT, Grosz et al 1995) is an entity-based theory of local coherence, which claims that certain entities mentioned in an utterance are more central than others and that this property constrains a speaker's use of certain referring expressions.</S> | Reference Offset:  ['7','9'] | Reference Text:  <S sid = 7 ssid = >The paper examines interactions between local coherence and choice of referring expressions; it argues that differences in coherence correspond in part to the inference demands made by different types of referring expressions, given a particular attentional state.</S><S sid = 9 ssid = >Preface Our original paper (Grosz, Joshi, and Weinstein 1983) on centering claimed that certain entities mentioned in an utterance were more central than others and that this property imposed constraints on a speaker's use of different types of referring expressions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J95-2003.txt | Citing Article:  N06-2017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Centering Theory (Grosz et al, 1995) has been an influential framework for modelling entity coherence in computational linguistics in the last two decades.</S> | Reference Offset:  ['0','69'] | Reference Text:  <S sid = 0 ssid = >Centering: A Framework For Modeling The Local Coherence Of Discourse</S><S sid = 69 ssid = >In Section 4, we state the main properties of the centering framework and the major claims of centering theory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J95-2003.txt | Citing Article:  N06-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Entity-based theories of discourse (e.g., (Grosz et al, 1995)) claim that a coherent text segment tends to focus on a specific entity.</S> | Reference Offset:  ['209','336'] | Reference Text:  <S sid = 209 ssid = >In a locally coherent discourse segment, shifts are followed by a sequence of continuations characterizing another stretch of locally coherent discourse.</S><S sid = 336 ssid = >The difference between these two theories can be seen from the following example (from Sidner [19791): On Sidner's account, Carl is the actor focus after (34b) and Jeff is the discourse focus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J95-2003.txt | Citing Article:  E99-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Summarised below are some issues specific to anaphora resolution in spoken dialogues (see also Byron and Stent (1998) who mention some of these problems in their account of the Centering model (Grosz et al, 1995)).</S> | Reference Offset:  ['48','221'] | Reference Text:  <S sid = 48 ssid = >We describe how the attentional state properties modeled by centering can account for these differences.</S><S sid = 221 ssid = >The next example illustrates that this effect is 16 These rules and constraints have also been used by others as the basis for pronoun resolution algorithms based on centering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J95-2003.txt | Citing Article:  E99-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Byron and Stent (1998) present extensions of the centering model (Grosz et al, 1995) for spoken dialogue and identify several problems with the model.</S> | Reference Offset:  ['10','46'] | Reference Text:  <S sid = 10 ssid = >Centering was proposed as a model that accounted for this phenomenon.</S><S sid = 46 ssid = >Centering is proposed as a model of the local-level component of attentional state.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J95-2003.txt | Citing Article:  C96-2143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['88','353'] | Reference Text:  <S sid = 88 ssid = >Discourses (1) and (2) convey the same information, but in different ways.</S><S sid = 353 ssid = >Partial support for the first author was provided by grants NSF IRI-90-09018 and IRI-93-08173; the second author was partially supported by the ARO Grant DAAL03-89-0031 and ARPA Grant N00014-90+1863.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J95-2003.txt | Citing Article:  W04-2327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The main new aspect of the markup scheme, especially as far as our studies of salience were concerned, are the elements used to annotate potential utterance sin the sense of Centering (Grosz et al, 1995).</S> | Reference Offset:  ['69','340'] | Reference Text:  <S sid = 69 ssid = >In Section 4, we state the main properties of the centering framework and the major claims of centering theory.</S><S sid = 340 ssid = >The type of example Sidner was concerned about would occur if utterance (34c) were replaced by &quot;He thinks he studies too much.&quot; However, the centering rules would still hold in this case.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J95-2003.txt | Citing Article:  P08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our model is inspired by Centering (Grosz et al, 1995) and other entity-based models of coherence (Barzilay and Lapata, 2005) in which an entity is in focus through a sequence of sentences.</S> | Reference Offset:  ['32','76'] | Reference Text:  <S sid = 32 ssid = >Attentional state models the discourse participants' focus of attention at any given point in the discourse.</S><S sid = 76 ssid = >For a sequence of utterances to be a discourse, it must exhibit coherence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J95-2003.txt | Citing Article:  W99-0109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Grosz et al (1995) give the following example of the Am SHIFT pattern.</S> | Reference Offset:  ['86','305'] | Reference Text:  <S sid = 86 ssid = >In either case, in utterance (2c) John seems to be central, requiring a shift from utterance (2b), while the store becomes central again in utterance (2d), requiring yet another shift.</S><S sid = 305 ssid = >For example, the second utterance in the following sequence prefers a VF interpretation but allows for the VL interpretation that is needed in the third utterance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J95-2003.txt | Citing Article:  W99-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Centering's Rule 1 states that if any element of the previous utterance's forward looking center list is realized in the current utterance as a pronoun, then the backward looking center must be realized as a pronoun as well (Grosz et al, 1995).</S> | Reference Offset:  ['199','218'] | Reference Text:  <S sid = 199 ssid = >In particular, this constraint stipulates that no element in an utterance can be realized as a pronoun unless the backward-looking center of the utterance is realized as a pronoun also.'</S><S sid = 218 ssid = >A violation of Rule 1 occurs if a pronoun is not used for the backward-looking center and some other entity is realized by a pronoun.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J95-2003.txt | Citing Article:  P98-2155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >pronouns involve local focusing while full lexical forms involve global focusing (Grosz et al, 1995).</S> | Reference Offset:  ['50','53'] | Reference Text:  <S sid = 50 ssid = >Grosz (1977) defined two levels of focusing in discourse: global and immediate.</S><S sid = 53 ssid = >In contrast, immediate focusing referred to a more local focusing process—one that relates to identifying the entity that an individual utterance most centrally concerns.</S> | Discourse Facet:  NA | Annotator: Automatic


