Citance Number: 1 | Reference Article:  J00-3003.txt | Citing Article:  W13-4047.txt | Citation Marker Offset:  2986-2999 | Citation Marker:  Stolcke et al ... 2000 | Citation Offset:  2985-3264 | Citation Text:  (Stolcke et al., 2000) use HMMs for dialogue modelling, where sequences of observations correspond to sequences of dialogue act types. They also explore the performance with decision trees and neural networks and report their highest accuracy at 65% on the Switchboard corpus | Reference Offset:  ['573','358','392'] | Reference Text:  The importance of the Markov assumption for the discourse grammar is that we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) (Rabiner and Juang 1986). The H M M states correspond to DAs, observations correspond to utterances, transition probabilities are given by the discourse grammar (see Section 4), and observation probabilities are given by the local likelihoods P(Eil Ui) ... We conducted preliminary experiments to assess how neural  ... networks compare to decision trees for the type of data studied here ... Combined utterance classification accuracies ... Bigram ... 65.0 | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |
Citance Number: 5 | Reference Article:  J00-3003.txt | Citing Article:  W13-4011.txt | Citation Marker Offset:  1560-1574 | Citation Marker:  Stolcke et al. ... 2000 | Citation Offset:  1307-1581 | Citation Text:  Conversational feedback is mostly performed through short utterances such as yeah, mh, okay not produced by the main speaker but by one of the other participants of a conversation. Such utterances are among the most frequent in conversational data (Stolcke et al., 2000) | Reference Offset:  ['155','156','158'] | Reference Text:  A backchannel is a short utterance that plays discourse-structuring roles, e.g., indicating that the speaker should go on talking. These are usually referred to in the conversation analysis literature as "continuers" and have been studied extensively ... Table 3 shows the most common realizations of the approximately 300 types (35,827 tokens) of backchannel in our Switchboard subset | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 6 | Reference Article:  J00-3003.txt | Citing Article:  W01-1627-parscit.txt | Citation Marker Offset:  8260-8275 | Citation Marker:  Stolcke et als ... 2000 | Citation Offset:  8189-8329 | Citation Text:  These are similar to some of the Dialogue Act labels used in NLP work: Stolcke et als (2000) agreement, response acknowledgement, summarize | Reference Offset:  ['38','40','46','51'] | Reference Text:  AGREEMENT/ACCEPT That's exactly it ... RESPONSE ACKNOWLEDGMENT Oh, okay ... SUMMARIZE/REFORMULATE Oh, you mean you switched schoolsfor the kids | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 7 | Reference Article:  J00-3003.txt | Citing Article:  N13-1099.txt | Citation Marker Offset:  4079-4093 | Citation Marker:  Stolcke et al. ... 2000 | Citation Offset:  3835-4101 | Citation Text:  Dialog act (DA) annotations and tagging, inspired by the speech act theory of Austin (1975) and Searle (1976), have been used in the NLP community to understand and model dialog. Initial work was done on spoken interactions (see for example (Stolcke et al.,2000)) | Reference Offset:  ['21','22','23','24','26','27'] | Reference Text:  The ability to model and automatically detect discourse structure is an important step toward understanding spontaneous dialogue. While there is hardly consensus on exactly how discourse structure should be described, some agreement exists that a useful first level of analysis involves the identification of dialogue acts (DAs). A DA represents the meaning of an utterance at the level of illocutionary force (Austin 1962). Thus, a DA is approximately the equivalent of the speech act of Searle (1969), the conversational game move of Power (1979), or the adjacency pair part of Schegloff (1968) and Saks, Schegloff, and Jefferson (1974) ... Each utterance is assigned a unique DA label (shown in column 2), drawn from a well-defined set (shown in Table 2). Thus, DAs can be thought of as a tag set that classifies utterances according to a combination of pragmatic, semantic, and syntactic criteria. | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 8 | Reference Article:  J00-3003.txt | Citing Article:  H01-1001.txt | Citation Marker Offset:  15904-15917 | Citation Marker:  Stolcke et al ... 2000 | Citation Offset:  15754-15925 | Citation Text:  dialogue acts such as statements, questions, backchannels, ... are detected using a language model based detector trained on Switchboard similar to Stolcke et al.(2000) | Reference Offset:  ['64','67','81'] | Reference Text: we aim to present a comprehensive framework for modeling and automatic classification of DAs, founded on well-known statistical methods... However,our framework generalizes earlier models, giving us a clean probabilistic approach for performing DA classification from unreliable words and nonlexical evidence... The domain we chose to model is the Switchboard corpus of human-human conversational telephone speech (Godfrey, Holliman, and McDaniel 1992) distributed by the Linguistic Data Consortium | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 9 | Reference Article:  J00-3003.txt | Citing Article:  N06-2021.txt | Citation Marker Offset:  7161-7175 | Citation Marker:  Stolcke et al. ... 2000 | Citation Offset:  7088-7285 | Citation Text:  The HMM has been widely used in many tagging problems. Stolcke et al. (Stolcke et al., 2000) used it for dialog act classification, where each utterance (or dialog act) is used as the observation | Reference Offset:  ['64','66','214','215'] | Reference Text:  we aim to present a comprehensive framework for modeling and automatic classification of DAs ... our model draws on the use of DA n-grams and the hidden Markov models of conversation present in earlier work ... we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) ... The HMM states correspond to DAs, observations correspond to utterances | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 10 | Reference Article:  J00-3003.txt | Citing Article:  W12-1616.txt | Citation Marker Offset:  1768-1781 | Citation Marker:  Stolcke et al ... 2000 | Citation Offset:  1599-1789 | Citation Text:  By representing a higher level intention of utterances during human conversation, dialogue act labels are being used to enrich the information provided by spoken words (Stolcke et al., 2000) | Reference Offset:  ['31','32','33'] | Reference Text:  In related work DAs are used as a first processing step to infer dialogue games (Carlson 1983; Levin and Moore 1977; Levin et al. 1999), a slightly higher level unit that comprises a small number of DAs. Interactional dominance (Linell 1990) might be measured more accurately using DA distributions than with simpler techniques, and could serve as an indicator of the type or genre of discourse at hand. In all these cases, DA labels would enrich the available input for higher-level processing of the spoken words | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


