Citance Number: 1 | Reference Article:  P08-1067.txt | Citing Article:  D08-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe this general framework could also be applied to other problems involving forests or lattices, such as sequence labeling and machine translation.</S><S sid = NA ssid = NA>We also use a refinement called “averaged parameters” where the final weight vector is the average of weight vectors after each sentence in each iteration over the training data.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P08-1067.txt | Citing Article:  W10-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A common objection to re ranking is that the candidate set may not be diverse enough to allow for much improvement unless it is very large; the candidates may be trivial variations that are all very similar to the top-scoring candidate (Huang, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This result confirms that our feature set design is appropriate, and the averaged perceptron learner is a reasonable candidate for reranking.</S><S sid = NA ssid = NA>In n-best reranking, all features are treated equivalently by the decoder, which simply computes the value of each one on each candidate parse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P08-1067.txt | Citing Article:  P13-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>See Huang (2008) for more details.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>” which is an instance of the WordEdges feature (see Figure 2(c) and Section 3.2 for details).</S><S sid = NA ssid = NA>Plus, except for n-best reranking, most discriminative methods require repeated parsing of the training set, which is generally impratical (Petrov and Klein, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1067.txt | Citing Article:  P13-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, Huang (2008) shows that the use of non-local features does in fact contribute substantially to parser performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For both systems, we first use only the local features, and then all the features.</S><S sid = NA ssid = NA>2(b) is non-local.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1067.txt | Citing Article:  P13-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe this general framework could also be applied to other problems involving forests or lattices, such as sequence labeling and machine translation.</S><S sid = NA ssid = NA>We also use a refinement called “averaged parameters” where the final weight vector is the average of weight vectors after each sentence in each iteration over the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1067.txt | Citing Article:  P13-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>With the ability to incorporate non-local phrase-structure parse features (Huang, 2008), we can recognize dependency features of arbitrary order.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For both systems, we first use only the local features, and then all the features.</S><S sid = NA ssid = NA>2(b) is non-local.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1067.txt | Citing Article:  P13-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>That is, not only is phrase+deps better at dependency recovery than its component parts, but phrase+deps+gen is also considerably better on dependency recovery than phrase+gen, which represents the previous state-of-the-art in this vein of research (Huang, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This result is also better than any previously reported systems trained on the Treebank.</S><S sid = NA ssid = NA>Shown in Figure 1, this sentence has (at least) two derivations depending on the attachment of the prep. phrase PP3,6 “with a mirror”: it can either be attached to the verb “saw”, or be attached to “him”, which will be further combined with the verb to form the same VP as above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1067.txt | Citing Article:  P13-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note that our model phrase+gen uses essentially the same features as Huang (2008), so the fact that our phrase+gen is noticeably more accurate on F1 is presumably due to the benefits in reduced feature under-training achieved by the MERT combination strategy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we miss the benefits of non-local features that are not representable here.</S><S sid = NA ssid = NA>The development set and the test set are parsed with a model trained on all 39832 training sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1067.txt | Citing Article:  P13-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe this general framework could also be applied to other problems involving forests or lattices, such as sequence labeling and machine translation.</S><S sid = NA ssid = NA>We also use a refinement called “averaged parameters” where the final weight vector is the average of weight vectors after each sentence in each iteration over the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1067.txt | Citing Article:  E09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Huang (2008) proposed to use a parse forest to incorporate non-local features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For both systems, we first use only the local features, and then all the features.</S><S sid = NA ssid = NA>2(b) is non-local.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1067.txt | Citing Article:  E09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our parser achieved an f-score of 88.4on the test data, which is comparable to the accuracy achieved by recent discriminative approaches such as Finkel et al (2008) and Petrov & Klein (2008), but is not as high as the state-of-the-art accuracy achieved by the parsers that can incorporate global features such as Huang (2008) and Charniak & Johnson (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McClosky et al. (2006) achieved an even higher accuarcy (92.1) by leveraging on much larger unlabelled data.</S><S sid = NA ssid = NA>Plus, except for n-best reranking, most discriminative methods require repeated parsing of the training set, which is generally impratical (Petrov and Klein, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1067.txt | Citing Article:  E09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe this general framework could also be applied to other problems involving forests or lattices, such as sequence labeling and machine translation.</S><S sid = NA ssid = NA>We also use a refinement called “averaged parameters” where the final weight vector is the average of weight vectors after each sentence in each iteration over the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1067.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the second pass, we use the hyper graph reranking algorithm (Huang, 2008) to find promising translations using additional dependency features (i.e., features 810 in the list).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For both systems, we first use only the local features, and then all the features.</S><S sid = NA ssid = NA>Forest Reranking: Discriminative Parsing with Non-Local Features</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1067.txt | Citing Article:  P09-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow Mi and Huang (2008) to estimate the fractional count of a rule extracted from an aligned forest pair.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, the Rule feature in Fig.</S><S sid = NA ssid = NA>More formally, a forest is a pair (V, E), where V is the set of nodes, and E the set of hyperedges.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-1067.txt | Citing Article:  P09-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Then, we ran the Python scripts (Huang, 2008) provided by Liang Huang to output packed forests.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We implemented both n-best and forest reranking systems in Python and ran our experiments on a 64bit Dual-Core Intel Xeon with 3.0GHz CPUs.</S><S sid = NA ssid = NA>We first establish a unified framework for parse reranking with both n-best lists and packed forests.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-1067.txt | Citing Article:  P09-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To prune the packed forests, Huang (2008) uses inside and outside probabilities to compute the distance of the best derivation that traverses a hyper edge away from the globally best derivation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Basically, we use an Inside-Outside algorithm to compute the Viterbi inside cost Q(v) and the Viterbi outside cost a(v) for each node v, and then compute the merit aQ(e) for each hyperedge: Intuitively, this merit is the cost of the best derivation that traverses e, and the difference S(e) = aQ(e) − Q(TOP) can be seen as the distance away from the globally best derivation.</S><S sid = NA ssid = NA>We also use the notation (e, j) to denote the derivation along hyperedge e, using the jith subderivation for tail ui, so (e, 1) is the best derivation along e. The exact decoding algorithm, shown in Pseudocode 2, is an instance of the bottom-up Viterbi algorithm, which traverses the hypergraph in a topological order, and at each node v, calculates its 1-best derivation using each incoming hyperedge e E IN(v).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-1067.txt | Citing Article:  E09-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, consider the probabilistic CKY algorithm as above, but using the cube decoding semiring with the non-local feature functions collectively known as "NGramTree" features (Huang, 2008) that score the string of terminals and nonterminals along the path from word j to word j+1 when two constituents CY, i, j and CZ, j, k are combined.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The cost of e, c(e), is the score of its Pseudocode 2 Exact Decoding with Local Features Pseudocode 3 Cube Pruning for Non-local Features (pre-computed) local features w · fL(e).</S><S sid = NA ssid = NA>For example, one such feature f2000 might be a question “how many times is a VP of length 5 surrounded by the word ‘has’ and the period?</S> | Discourse Facet:  NA | Annotator: Automatic


