Citance Number: 1 | Reference Article:  J91-1002.txt | Citing Article:  E93-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Paradigmatic similarity is based on association data extracted from thesauri [Morris and Hirst, 1991], psychological experiments [Osgood, 1952], and so on.</S> | Reference Offset:  ['174','237'] | Reference Text:  <S sid = 174 ssid = >Of the 16 word association pairs given in Hirst (1987), 14 were found in Roget's Thesaurus (1977).</S><S sid = 237 ssid = >3.2.3 Notation and Data Structures.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J91-1002.txt | Citing Article:  W04-2607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lexical cohesion analysis has been used in such NLP applications as determining the structure of text (Morris and Hirst, 1991) and automatic text summarization (Barzilay and Elhadad, 1999).</S> | Reference Offset:  ['5','47'] | Reference Text:  <S sid = 5 ssid = >Determining the structure of text is an essential step in determining the deep meaning of the text.</S><S sid = 47 ssid = >Section 4 is an analysis of the correspondence between lexical chains and the structure of the text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J91-1002.txt | Citing Article:  W04-2607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Roget's Thesaurus, which was used to form the lexical chains in Morris and Hirst (1991), also gives non classically related word groups.</S> | Reference Offset:  ['139','212'] | Reference Text:  <S sid = 139 ssid = >In Section 3, we will show how a thesaurus can be used to find lexical chains in text.</S><S sid = 212 ssid = >In the first way, if word a is related to word b, and word b is related to word c, then word a is related to word c. In the second way, if word a is related to word b, and word a is related to word c, then word b is related to word c. But lexical chains are calculated only with respect to the text read so far.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J91-1002.txt | Citing Article:  W04-2607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The lexical chains of Morris and Hirst (1991) had no such restriction, and frequently nouns, verbs ,adjectives, adverbs, and verbs were joined together in one chain.</S> | Reference Offset:  ['152','268'] | Reference Text:  <S sid = 152 ssid = >The noun paragraphs are grouped at the start of a category, followed by the paragraphs for The structure of Roget's Thesaurus Index entry for the word lid verbs, adjectives, and so on.</S><S sid = 268 ssid = >By definition, lexical chains are chains of semantically related words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J91-1002.txt | Citing Article:  P11-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, each column of the matrix corresponds to a lexical chain (Morris and Hirst, 1991) for a particular term across the whole text.</S> | Reference Offset:  ['311','375'] | Reference Text:  <S sid = 311 ssid = >}, corresponds to intention 1.1.3.1 (if the unfortunate chain return mentioned in section 3.4.2 is ignored) and chain 4 {conceded, tolerance}, corresponds to intention 1.1.3.2 (expensive houses in Metro Toronto).</S><S sid = 375 ssid = >A boolean matrix is created with words on one axis and categories on the other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J91-1002.txt | Citing Article:  C04-1162.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Global context where the semantic measures are employed to derive lexical chains, which are threads of meaning often drawn throughout an en tire text (Morris and Hirst, 1991).</S> | Reference Offset:  ['2','9'] | Reference Text:  <S sid = 2 ssid = >In text, lexical cohesion is the result of chains of related words that contribute to the continuity of lexical meaning.</S><S sid = 9 ssid = >The lexical chains also provide a semantic context for interpreting words, concepts, and sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J91-1002.txt | Citing Article:  C04-1162.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most closely related method is perhaps the lexical chains algorithm (Morris and Hirst, 1991) where threads of meaning are identified throughout a text.</S> | Reference Offset:  ['2','342'] | Reference Text:  <S sid = 2 ssid = >In text, lexical cohesion is the result of chains of related words that contribute to the continuity of lexical meaning.</S><S sid = 342 ssid = >The lexical chains computed by the algorithm given in Section 3.2.3 correspond closely to the intentional structure produced from the structural analysis method of Grosz and Sidner (1986).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J91-1002.txt | Citing Article:  D08-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Clarke and Lapata (2007) use Centering Theory (Grosz et al, 1995) and Lexical Chains (Morris and Hirst, 1991) to identify which information to prune.</S> | Reference Offset:  ['101','107'] | Reference Text:  <S sid = 101 ssid = >We will show below that lexical cohesion is computationally feasible to identify.</S><S sid = 107 ssid = >Otherwise you could identify it as elaboration.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J91-1002.txt | Citing Article:  C04-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The idea of using lexical chains as indicators of lexical cohesion goes back to Morris and Hirst (1991).</S> | Reference Offset:  ['179','184'] | Reference Text:  <S sid = 179 ssid = >This section details how these lexical chains are formed, using a thesaurus as the main knowledge base.</S><S sid = 184 ssid = >Using our intuition (i.e., common sense and a knowledge of English), we identified the lexical chains in each text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J91-1002.txt | Citing Article:  W09-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two words are WordNet-related if their WordNet distance is less than 4 (this is consistent with works on lexical-cohesion, (Morris and Hirst, 1991)).</S> | Reference Offset:  ['221','359'] | Reference Text:  <S sid = 221 ssid = >The five texts were analyzed with respect to distance between clearly related words.</S><S sid = 359 ssid = >In our work the related words in a chain are seen as indicating structural units of text, and hence distance between words is relevant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J91-1002.txt | Citing Article:  W09-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >WordNet is the main resource for detecting the cohesive relationships between words and their relevance to a given chain (Morris and Hirst, 1991).</S> | Reference Offset:  ['248','276'] | Reference Text:  <S sid = 248 ssid = >The words in chain 6 are cohesive by virtue of being general, but strong, &quot;good&quot; words related by their goodness, rather than by their specific meanings.</S><S sid = 276 ssid = >(The other four texts and their analyses are given in Morris 1988.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J91-1002.txt | Citing Article:  H05-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ever since Morris and Hirst (1991)' s ground breaking paper, topic segmentation has been a steadily growing research area in computational linguistics.</S> | Reference Offset:  ['84','413'] | Reference Text:  <S sid = 84 ssid = >This paper will show that lexical chains are a good indication of the linguistic segmentation.</S><S sid = 413 ssid = >The use of lexical chains for ambiguity resolution is a promising area for further research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J91-1002.txt | Citing Article:  W10-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lexical cohesion techniques include similarity measures between adjacent blocks of text, as in TextTiling (Hearst, 1994, 1997) and lexical chains based on recurrences of a term or related terms, as in Morris and Hirst (1991).</S> | Reference Offset:  ['2','354'] | Reference Text:  <S sid = 2 ssid = >In text, lexical cohesion is the result of chains of related words that contribute to the continuity of lexical meaning.</S><S sid = 354 ssid = >Halliday and Hasan related words back to the first word to which they are tied, rather than forming explicit lexical chains that include the relationships to intermediate words in the chain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J91-1002.txt | Citing Article:  N10-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The relation between entities (noun phrases) in adjacent sentences could be of type center-reference (pronoun reference or reiteration), or based on semantic relatedness (Morris and Hirst,1991).</S> | Reference Offset:  ['13','121'] | Reference Text:  <S sid = 13 ssid = >Cohesion is achieved through back-reference, conjunction, and semantic word relations.</S><S sid = 121 ssid = >Pronominal reference is defined as a type of cohesion (Halliday and Hasan 1976).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J91-1002.txt | Citing Article:  P06-2119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morris and Hirst (1991) suggested building lexical chains is important in the resolution of lexical ambiguity and the determination of coherence and discourse structure.</S> | Reference Offset:  ['192','413'] | Reference Text:  <S sid = 192 ssid = >3.2.2 Building Chains.</S><S sid = 413 ssid = >The use of lexical chains for ambiguity resolution is a promising area for further research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J91-1002.txt | Citing Article:  W06-0205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morris and Hirst (1991) were the first to propose the concept of Lexical Chains to explore the discourse structure of a text.</S> | Reference Offset:  ['47','60'] | Reference Text:  <S sid = 47 ssid = >Section 4 is an analysis of the correspondence between lexical chains and the structure of the text.</S><S sid = 60 ssid = >1.2.2 Cohesion and Discourse Structure.</S> | Discourse Facet:  NA | Annotator: Automatic


