Citance Number: 1 | Reference Article:  P02-1006.txt | Citing Article:  W02-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ravichandran and Hovy (2002) present an alternative ontology for type preference and describe a method for using this alternative ontology to extract particular answers using surface text patterns.</S> | Reference Offset:  ['0','74'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 74 ssid = >Using a named entity tagger and/or an ontology would enable the system to use the knowledge that “background” is not a location.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P02-1006.txt | Citing Article:  P09-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other work such as Ravichandran and Hovy (2002) and Pantel and Pennacchiotti (2006) use the same formalism of learning regular expressions over words and part-of-speech tags to discover patterns indicating a variety of relations.</S> | Reference Offset:  ['15','90'] | Reference Text:  <S sid = 15 ssid = >In this paper we present an approach for automatically learning such regular expressions (along with determining their precision) from the web, for given types of questions.</S><S sid = 90 ssid = >It cannot work for types of question that require multiple words from the question to be in the answer sentence, possibly apart from each other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1006.txt | Citing Article:  N07-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To do so, Espresso uses a slight modification of the state of the art algorithm described in (Ravichandran and Hovy, 2002).</S> | Reference Offset:  ['24','52'] | Reference Text:  <S sid = 24 ssid = >We describe the pattern-learning algorithm with an example.</S><S sid = 52 ssid = >The precision of the patterns obtained from one QA-pair example in algorithm 1 is calculated from the documents obtained in algorithm 2 for other examples of the same question type.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1006.txt | Citing Article:  H05-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ravichandran and Hovy (2002) proposed automatically learning surface text patterns for answer extraction.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 2 ssid = >In order to obtain an optimal set of patterns, we have developed a method for learning such patterns automatically.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1006.txt | Citing Article:  H05-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >But it is almost impossible to learn such surface text patterns following (Ravichandran and Hovy, 2002).</S> | Reference Offset:  ['0','46'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 46 ssid = >To learn from such variations, in step 1 of Algorithm 1 we specify the various ways in which the question term could be specified in the text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1006.txt | Citing Article:  P05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the special case of Rote extractors, a more attractive alternative has been proposed by Brin (1998), Agichtein and Gravano (2000), and Ravichandran and Hovy (2002).</S> | Reference Offset:  ['63','64'] | Reference Text:  <S sid = 63 ssid = >In the first case, the TREC corpus was used as the input source and IR was performed by the IR component of our QA system (Lin, 2002).</S><S sid = 64 ssid = >In the second case, the web was the input source and the IR was performed by the AltaVista search engine.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1006.txt | Citing Article:  P05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['110','111'] | Reference Text:  <S sid = 110 ssid = >Since the answer patterns used in this method are learned using only a small number of manual training terms, one can rapidly learn patterns for new languages, assuming the web search engine is appropriately switched.</S><S sid = 111 ssid = >This work was supported by the Advanced Research and Development Activity (ARDA)'s Advanced Question Answering for Intelligence (AQUAINT) Program under contract number MDA908-02-C-0007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1006.txt | Citing Article:  P11-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most approaches to automatic pattern generation have focused on precision, e.g., Ravichandran and Hovy (2002) report results in the Text Retrieval Conference (TREC) Question Answering track, where extracting one text of a relation instance can be sufficient, rather than detecting all texts.</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 7 ssid = >Using the TREC-10 question set, we report results for two cases: answers determined from the TREC-10 corpus and from the web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P02-1006.txt | Citing Article:  P09-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['110','111'] | Reference Text:  <S sid = 110 ssid = >Since the answer patterns used in this method are learned using only a small number of manual training terms, one can rapidly learn patterns for new languages, assuming the web search engine is appropriately switched.</S><S sid = 111 ssid = >This work was supported by the Advanced Research and Development Activity (ARDA)'s Advanced Question Answering for Intelligence (AQUAINT) Program under contract number MDA908-02-C-0007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P02-1006.txt | Citing Article:  P13-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inference rules for predicates have been identified as an important component in semantic applications, such as Question Answering (QA) (Ravichandran and Hovy, 2002) and Information Extraction (IE) (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['0','63'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 63 ssid = >In the first case, the TREC corpus was used as the input source and IR was performed by the IR component of our QA system (Lin, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P02-1006.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ravichandran and Hovy (2002) focus on scaling relation extraction to the Web.</S> | Reference Offset:  ['17','67'] | Reference Text:  <S sid = 17 ssid = >Similar techniques have been investigated extensively in the field of information extraction (Riloff, 96).</S><S sid = 67 ssid = >The abundance of data on the web makes it easier for the system to locate answers with high precision scores (the system finds many examples of correct answers among the top 20 when using the Web as the input source).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P02-1006.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We chose the state of the art algorithm described in (Ravichandran and Hovy 2002) with the following slight modification.</S> | Reference Offset:  ['25','57'] | Reference Text:  <S sid = 25 ssid = >A table of patterns is constructed for each individual question type by the following procedure (Algorithm 1).</S><S sid = 57 ssid = >Using the patterns to answer a new question we employ the following algorithm:</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P02-1006.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Ravichandran and Hovy 2002), a frequency threshold on the patterns in P is set to select the final patterns.</S> | Reference Offset:  ['2','23'] | Reference Text:  <S sid = 2 ssid = >In order to obtain an optimal set of patterns, we have developed a method for learning such patterns automatically.</S><S sid = 23 ssid = >We then test the patterns learned by our system on new unseen questions from the TREC-10 set and evaluate their results to determine the precision of the patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P02-1006.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >RH02: The algorithm by Ravichandran and Hovy (2002) described in Section 2.</S> | Reference Offset:  ['24','52'] | Reference Text:  <S sid = 24 ssid = >We describe the pattern-learning algorithm with an example.</S><S sid = 52 ssid = >The precision of the patterns obtained from one QA-pair example in algorithm 1 is calculated from the documents obtained in algorithm 2 for other examples of the same question type.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P02-1006.txt | Citing Article:  P03-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These patterns could be manually generated, such as the ones described here, or learned from text, as described in Ravichandran and Hovy (2002).</S> | Reference Offset:  ['0','43'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 43 ssid = >The rather long list of patterns obtained would have been very difficult for any human to come up with manually.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P02-1006.txt | Citing Article:  P08-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ravichandran and Hovy (2002) used seed instances of a relation to automatically obtain surface patterns by querying the web.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Learning Surface Text Patterns For A Question Answering System</S><S sid = 2 ssid = >In order to obtain an optimal set of patterns, we have developed a method for learning such patterns automatically.</S> | Discourse Facet:  NA | Annotator: Automatic


