Citance Number: 1 | Reference Article:  H93-1052.txt | Citing Article:  W97-0119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is well known that polysemous words usually have only one sense when used as part of a collocation or technical term (Yarowsky 1993).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >ONE SENSE PER COLLOCATION David Yarowsky* Department  of  Computer  and In format ion Science Univers i ty of  Pennsy lvania Philadelphia, PA 19104 yarowsky@unagi .c is .upenn.edu ABSTRACT Previous work [Gale, Church and Yarowsky, 1992] showed that with high probability a polysemous word has one sense per discourse.</S><S sid = 1 ssid = >In this paper we show that for certain definitions of collocation, a polysemous word exhibits essentially only one sense per collocation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  H93-1052.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Much of the research in this area has been compromised by the fact that researchers have focussed on lexical ambiguities that are not true word sense distinctions, such as words translated differently across two languages (Gale, Church, and Yarowsky, 1992) or homophones (Yarowsky, 1993).</S> | Reference Offset:  ['189','191'] | Reference Text:  <S sid = 189 ssid = >Gale, W., K. Church, and D. Yarowsky, "One Sense Per Dis- course," Proceedings of the 4th DARPA Speech and Natural Language Workshop, 1992.</S><S sid = 191 ssid = >Gale, W., K. Church, and D. Yarowsky, "A Method for Disam- biguating Word Senses in a Large Corpus," in Computers and the Humanities, 1993.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  H93-1052.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >For a more unbalanced observed istribution, such as 10/0, the probability of seeing the minor sense decreases to 2%, giving a cross-validated ntropy of H(.98,.02) = .14 bits.</S><S sid = 198 ssid = >Yarowsky, David "Word-Sense Disambiguation Using Statisti- cal Models of Rogets Categories Trained on Large Corpora," in Proceedings, COLING-92, Nantes, France, 1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H93-1052.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >For a more unbalanced observed istribution, such as 10/0, the probability of seeing the minor sense decreases to 2%, giving a cross-validated ntropy of H(.98,.02) = .14 bits.</S><S sid = 198 ssid = >Yarowsky, David "Word-Sense Disambiguation Using Statisti- cal Models of Rogets Categories Trained on Large Corpora," in Proceedings, COLING-92, Nantes, France, 1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H93-1052.txt | Citing Article:  A00-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >For a more unbalanced observed istribution, such as 10/0, the probability of seeing the minor sense decreases to 2%, giving a cross-validated ntropy of H(.98,.02) = .14 bits.</S><S sid = 198 ssid = >Yarowsky, David "Word-Sense Disambiguation Using Statisti- cal Models of Rogets Categories Trained on Large Corpora," in Proceedings, COLING-92, Nantes, France, 1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H93-1052.txt | Citing Article:  W00-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Yarowsky (1993), who explicitly addresses the use of collocations in the WSD work, we adopt his definition, adapted to our purpose: A collocation is a co-occurrence of two words in a defined relation.</S> | Reference Offset:  ['39','42'] | Reference Text:  <S sid = 39 ssid = >DEF IN IT IONS OF  COLLOCATION Collocation means the co-occurrence of two words in some defined relationship.</S><S sid = 42 ssid = >It appears that content words (nouns, verbs, adjectives, and adverbs) behave quite differently from function words (other parts of speech); we make use of this distinction in several definitions of collocation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H93-1052.txt | Citing Article:  W99-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >For a more unbalanced observed istribution, such as 10/0, the probability of seeing the minor sense decreases to 2%, giving a cross-validated ntropy of H(.98,.02) = .14 bits.</S><S sid = 198 ssid = >Yarowsky, David "Word-Sense Disambiguation Using Statisti- cal Models of Rogets Categories Trained on Large Corpora," in Proceedings, COLING-92, Nantes, France, 1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H93-1052.txt | Citing Article:  C04-1162.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These methods consist of simple rules that can reliably assign a sense to certain word categories: one sense per collocation (Yarowsky, 1993), and one sense per discourse (Gale et al, 1992).</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >ONE SENSE PER COLLOCATION David Yarowsky* Department  of  Computer  and In format ion Science Univers i ty of  Pennsy lvania Philadelphia, PA 19104 yarowsky@unagi .c is .upenn.edu ABSTRACT Previous work [Gale, Church and Yarowsky, 1992] showed that with high probability a polysemous word has one sense per discourse.</S><S sid = 7 ssid = >More recent work [Brown et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H93-1052.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the early nineties two famous papers claimed that the behavior of word senses in texts adhered to two principles: one sense per discourse (Gale et al, 1992) and one sense per collocation (Yarowsky, 1993).</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >ONE SENSE PER COLLOCATION David Yarowsky* Department  of  Computer  and In format ion Science Univers i ty of  Pennsy lvania Philadelphia, PA 19104 yarowsky@unagi .c is .upenn.edu ABSTRACT Previous work [Gale, Church and Yarowsky, 1992] showed that with high probability a polysemous word has one sense per discourse.</S><S sid = 7 ssid = >More recent work [Brown et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H93-1052.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to analyze and compare the behavior of several kinds of collocations (cf. Section 3), Yarowsky (1993) used a measure of entropy as well as the results obtained when tagging heldout data with the collocations organized as decision lists (cf. Section 4).</S> | Reference Offset:  ['84','111'] | Reference Text:  <S sid = 84 ssid = >The algo- rithm used is based on decision lists [Rivest, 1987], and was discussed in [Sproat, Hirschberg, and Yarowsky 1992].</S><S sid = 111 ssid = >See Section 7.3 for a discussion of the "All Above" result.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H93-1052.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared to Yarowsky (1993), who also took into account grammatical relations, we only share the content-word-to-left and the content-word-to-right collocations.</S> | Reference Offset:  ['116','121'] | Reference Text:  <S sid = 116 ssid = >If we actually build a disambiguation procedure using exclusively the content word to the right as information, such a system performs with 97% precision on new data where a content word appears to the right and for which there is in- formation in the model .3 This is considerably higher than the 3The correlation between these numbers is not a coincidence.</S><S sid = 121 ssid = >On average, the model content- word-to-right could only be applied in 29% of the test samples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H93-1052.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is not clear how the smoothing technique proposed in (Yarowsky, 1993) could be extended to away ambiguities.</S> | Reference Offset:  ['31','95'] | Reference Text:  <S sid = 31 ssid = >As a solution to the data shortages for the above methods, [Gale, Church and Yarowsky 1992b] proposed the use of "pseudo-words," artificial sense ambiguities created by tak- ing two English words with the same part of speech (such as guerilla and reptile), and replacing each instance of both in a corpus with a new polysemous word guerrilla~reptile.</S><S sid = 95 ssid = >For simplicity, in this experiment no secondary smoothing or pruning is done.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H93-1052.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Collocations for fine-gained word-senses are sensibly weaker than those reported by Yarowsky (1993) for two-way ambiguous words.</S> | Reference Offset:  ['105','191'] | Reference Text:  <S sid = 105 ssid = >Results are itemized by the part of speech of the ambiguous word (not of the collocate).</S><S sid = 191 ssid = >Gale, W., K. Church, and D. Yarowsky, "A Method for Disam- biguating Word Senses in a Large Corpus," in Computers and the Humanities, 1993.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H93-1052.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper shows that the one sense per collocation hypothesis is weaker for fine grained word sense distinctions (e.g. those in WordNet): from the 99% precision mentioned for 2-way ambiguities in (Yarowsky, 1993) we drop to 70% figures.</S> | Reference Offset:  ['2','98'] | Reference Text:  <S sid = 2 ssid = >We test his empirical hypothesis for several definitions of sense and collocation, and discover that it holds with 90-99% accuracy for binary ambiguities.</S><S sid = 98 ssid = >One  Sense Per  Co l locat ion For the collocations tudied, it appears that the hypothesis of one sense per collocation holds with high probability for binary ambiguities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H93-1052.txt | Citing Article:  W04-0856.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A well-known issue in the WSD area is the one sense per collocation claim (Yarowsky, 1993) stating that the word meanings are strongly associated with the particular collocation in which the word is located.</S> | Reference Offset:  ['1','183'] | Reference Text:  <S sid = 1 ssid = >In this paper we show that for certain definitions of collocation, a polysemous word exhibits essentially only one sense per collocation.</S><S sid = 183 ssid = >Our ex- periments have shown that for several definitions of sense and collocation, an ambiguous word has only one sense in a given collocation with a probability of 90-99%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H93-1052.txt | Citing Article:  P98-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We admit here that, while we have been aware of the fact for long time, only after the dissemination of the closely related hypotheses of one sense per discourse (Gale, Church and Yarowsky 1992) and one sense per collocation (Yarowsky 1993), we are able to articulate the hypothesis of one tokenization per source.</S> | Reference Offset:  ['0','189'] | Reference Text:  <S sid = 0 ssid = >ONE SENSE PER COLLOCATION David Yarowsky* Department  of  Computer  and In format ion Science Univers i ty of  Pennsy lvania Philadelphia, PA 19104 yarowsky@unagi .c is .upenn.edu ABSTRACT Previous work [Gale, Church and Yarowsky, 1992] showed that with high probability a polysemous word has one sense per discourse.</S><S sid = 189 ssid = >Gale, W., K. Church, and D. Yarowsky, "One Sense Per Dis- course," Proceedings of the 4th DARPA Speech and Natural Language Workshop, 1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H93-1052.txt | Citing Article:  P06-2119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky (1993) indicated that the objects of verbs play a more dominant role than their subjects in WSD and nouns acquire more stable disambiguating information from their noun or adjective modifiers.</S> | Reference Offset:  ['126','129'] | Reference Text:  <S sid = 126 ssid = >Verbs, for example, derive more disambiguating information from their objects (.95) than from their subjects (.90).</S><S sid = 129 ssid = >Verbs appear to be less useful for noun sense disambiguation, although they are relatively better indicators when the noun is their object rather than their subject.</S> | Discourse Facet:  NA | Annotator: Automatic


