Citance Number: 1 | Reference Article:  J96-1001.txt | Citing Article:  W12-3207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This score is used, for instance, in the collocation compiler XTract (Smadja, 1993) and in the lexicon extraction system Champollion (Smadja et al, 1996).</S> | Reference Offset:  ['42','147'] | Reference Text:  <S sid = 42 ssid = >To evaluate Champollion, we used a collocation compiler, XTRACT (Smadja 1993), to automatically produce several lists of source (English) collocations.</S><S sid = 147 ssid = >We use XTRACT (Smadja and McKeown 1990; Smadja 1991a; Smadja 1993), a tool we developed previously, to identify collocations in the source language (task 1).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J96-1001.txt | Citing Article:  W03-0314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Smadja et al (1996) limits to find French translation of English collocation identified by his Xtract system.</S> | Reference Offset:  ['42','579'] | Reference Text:  <S sid = 42 ssid = >To evaluate Champollion, we used a collocation compiler, XTRACT (Smadja 1993), to automatically produce several lists of source (English) collocations.</S><S sid = 579 ssid = >For example, a tagger for French would allow us to run XTRACT on the French part of the corpus, and thus to translate from either French or English as input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J96-1001.txt | Citing Article:  N01-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The relationship between pointwise Mutual Information and the Dice coefficient is also discussed in (Smadja et al, 1996).</S> | Reference Offset:  ['176','211'] | Reference Text:  <S sid = 176 ssid = >On the other hand, in computational linguistics, information-theoretic measures such as mutual information are widely used (e.g., Bahl et al. 1986; Church and Hanks 1990; Church et al.</S><S sid = 211 ssid = >Specific mutual information falls somewhere in between the Dice coefficient and average mutual information: it is not completely symmetric but neither does it ignore 0-0 matches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J96-1001.txt | Citing Article:  W04-1809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A number of corpus-based methods to extract bilingual lexicons have been proposed (Smadja et al,1996).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Translating Collocations For Bilingual Lexicons: A Statistical Approach</S><S sid = 4 ssid = >The algorithm we use is based on statistical methods and produces p-word translations of collocations in which not be the same.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J96-1001.txt | Citing Article:  C02-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['225','658'] | Reference Text:  <S sid = 225 ssid = >Finally, another criterion for selecting a similarity measure is its suitability for testing for a particular outcome, where outcome is determined by the application.</S><S sid = 658 ssid = >We also thank Ofer Wainberg for his excellent work on improving the efficiency of Champollion and for adding the preposition extension, and Ken Church and AT&T Bell Laboratories for providing us with a prealigned Hansards corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J96-1001.txt | Citing Article:  W01-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Commonly used association measures are the Mutual Information (Fano, 1961) and the Dice factor (Smadja et al 1996).</S> | Reference Offset:  ['176','240'] | Reference Text:  <S sid = 176 ssid = >On the other hand, in computational linguistics, information-theoretic measures such as mutual information are widely used (e.g., Bahl et al. 1986; Church and Hanks 1990; Church et al.</S><S sid = 240 ssid = >In our early work on Champollion (Smadja 1992), we used specific mutual information (SI) as a correlation metric.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J96-1001.txt | Citing Article:  W10-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['225','658'] | Reference Text:  <S sid = 225 ssid = >Finally, another criterion for selecting a similarity measure is its suitability for testing for a particular outcome, where outcome is determined by the application.</S><S sid = 658 ssid = >We also thank Ofer Wainberg for his excellent work on improving the efficiency of Champollion and for adding the preposition extension, and Ken Church and AT&T Bell Laboratories for providing us with a prealigned Hansards corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J96-1001.txt | Citing Article:  D09-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our method is similar to that of Smadja et al (1996), except that we incorporate lexical-level information into the association-based method.</S> | Reference Offset:  ['3','13'] | Reference Text:  <S sid = 3 ssid = >Our goal is to provide a tool for compiling bilingual lexical information above the word level in multiple languages, for different domains.</S><S sid = 13 ssid = >Our goal is to provide a tool for compiling bilingual lexical information above the word level in multiple languages, for different domains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J96-1001.txt | Citing Article:  D09-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our MWE translation extraction method is similar to the two-phase approach proposed by Smadja et al (1996).</S> | Reference Offset:  ['367','372'] | Reference Text:  <S sid = 367 ssid = >To achieve efficient processing of the corpus database, Champollion is implemented in two phases: the preparation phase and the actual translation phase.</S><S sid = 372 ssid = >At the translation phase, only the indices are accessed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J96-1001.txt | Citing Article:  D09-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As noted by Smadja et al (1996), this two-step approach drastically reduces the search space.</S> | Reference Offset:  ['307','606'] | Reference Text:  <S sid = 307 ssid = >Stage 1—Step 1: Initialization of the work space.</S><S sid = 606 ssid = >Various thresholds are used in Champollion's algorithm to reduce the search space.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J96-1001.txt | Citing Article:  D09-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, translations of collocated context words in the source word sequence create noisy candidate words, which might cause incorrect extraction of target translations by naive statistical correlation measures, such as the Dice coefficient used by Smadja et al (1996).</S> | Reference Offset:  ['96','409'] | Reference Text:  <S sid = 96 ssid = >Then, Termight identifies candidate translations for each occurrence of a source term by using the word alignment to find the first and last target positions aligned with any words of the source terms.</S><S sid = 409 ssid = >Let 131 be the number of translations with i words that are examined by Champollion, and Si the number of these translations that actually survive the thresholds and will be used to generate the candidate translations with i +1 words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J96-1001.txt | Citing Article:  W01-1412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bound-length N-gram correspondences include (Kupiec, 1993) where NP recognizers are used to extract translation units and (Smadja et al, 1996) which uses the Extract system to extract collocations.</S> | Reference Offset:  ['54','630'] | Reference Text:  <S sid = 54 ssid = >1993).</S><S sid = 630 ssid = >Ultimately, such techniques would be more useful than those currently used, because they would be able to extract knowledge from noisy data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J96-1001.txt | Citing Article:  P06-2092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Aligning parallel text, i.e. automatically setting the sentences or words in one text into correspondence with their equivalents in a translation, is a very useful preprocessing step for a range of applications, including but not limited to machine translation (Brown et al, 1993), cross-language information retrieval (Hiemstra, 1996), dictionary creation (Smadja et al, 1996) and induction of NLP-tools (Kuhn, 2004).</S> | Reference Offset:  ['53','525'] | Reference Text:  <S sid = 53 ssid = >The recent availability of large amounts of bilingual data has attracted interest in several areas, including sentence alignment (Gale and Church 1991b; Brown, Lai, and Mercer 1991; Simard, Foster and Isabelle 1992; Gale and Church 1993; Chen 1993), word alignment (Gale and Church 1991a; Brown et al. 1993; Dagan, Church, and Gale 1993; Fung and McKeown 1994; Fung 1995b), alignment of groups of words (Smadja 1992; Kupiec 1993; van der Eijk 1993), and statistical translation (Brown et al.</S><S sid = 525 ssid = >The most obvious are machine translation and machine-assisted human translation, but other multilingual applications, including information retrieval, summarization, and computational lexicography, also require access to bilingual lexicons.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J96-1001.txt | Citing Article:  C04-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Estimated clues are derived from the parallel data using, for example, measures of co-occurrence (e.g. the Dice coefficient (Smadja et al, 1996)).</S> | Reference Offset:  ['5','176'] | Reference Text:  <S sid = 5 ssid = >For example, .</S><S sid = 176 ssid = >On the other hand, in computational linguistics, information-theoretic measures such as mutual information are widely used (e.g., Bahl et al. 1986; Church and Hanks 1990; Church et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J96-1001.txt | Citing Article:  P04-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Smadja et al (1996) proposed a statistical association measure of the Dice coefficient to deal with the problem of collocation translation.</S> | Reference Offset:  ['253','350'] | Reference Text:  <S sid = 253 ssid = >For each run of Champollion, and for each input collocation, we took the final set of candidate translations of different lengths produced by Champollion (with the intermediate stages driven by the Dice coefficient) and compared the results obtained using both the Dice coefficient and SI at the last stage for selecting the proposed translation.</S><S sid = 350 ssid = >Otherwise, the entry with the highest Dice coefficient with the source collocation is selected as the translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J96-1001.txt | Citing Article:  P06-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some methods make alignment suggestions at an intermediate level between sentence and word 271 and word (Smadja, 1992; Smadja et al, 1996).</S> | Reference Offset:  ['53','147'] | Reference Text:  <S sid = 53 ssid = >The recent availability of large amounts of bilingual data has attracted interest in several areas, including sentence alignment (Gale and Church 1991b; Brown, Lai, and Mercer 1991; Simard, Foster and Isabelle 1992; Gale and Church 1993; Chen 1993), word alignment (Gale and Church 1991a; Brown et al. 1993; Dagan, Church, and Gale 1993; Fung and McKeown 1994; Fung 1995b), alignment of groups of words (Smadja 1992; Kupiec 1993; van der Eijk 1993), and statistical translation (Brown et al.</S><S sid = 147 ssid = >We use XTRACT (Smadja and McKeown 1990; Smadja 1991a; Smadja 1993), a tool we developed previously, to identify collocations in the source language (task 1).</S> | Discourse Facet:  NA | Annotator: Automatic


