Citance Number: 1 | Reference Article:  J99-3001.txt | Citing Article:  P00-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using functional centering (Strube and Hahn, 1999) to rank the CFs led to no improvements, because of the almost perfect correlation in our domain be tween subject hood and being discourse-old.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using these proposals as a point of departure, we shall develop our own proposal—functional centering (Strube and Hahn 1996).</S><S sid = NA ssid = NA>A resolution module for (pro)nominal anaphora (Strube and Hahn 1995) and one for functional anaphora (Hahn, Markert, and Strube 1996) based on this functional centering model has been implemented as part of PARSETALK, a comprehensive text parser for German (Hahn, Schacht, and Broker 1994; Hahn, Neuhaus, and Broker 1997) in our group.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J99-3001.txt | Citing Article:  P04-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, the scripts determine whether CBn is the same as CPn, known as the principle of cheapness (Strube and Hahn, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ordering constraints we supply account for all of the types of anaphora mentioned above, including (pro)nominal anaphora (Strube and Hahn 1995; Hahn and Strube 1996).</S><S sid = NA ssid = NA>A resolution module for (pro)nominal anaphora (Strube and Hahn 1995) and one for functional anaphora (Hahn, Markert, and Strube 1996) based on this functional centering model has been implemented as part of PARSETALK, a comprehensive text parser for German (Hahn, Schacht, and Broker 1994; Hahn, Neuhaus, and Broker 1997) in our group.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J99-3001.txt | Citing Article:  P04-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first author was partially funded by LGFG Baden-Wurttemberg, a post-doctoral grant from DFG (Str 545/1-1) and a post-doctoral fellowship award from the Institute for Research in Cognitive Science at the University of Pennsylvania (NSF SBR 8920230).</S><S sid = NA ssid = NA>Both of them find a correspondence between the Cb and the theme or the topic of an utterance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J99-3001.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Arguably, the free word-order of German arguably leads to a clearer distinction between grammatical function, surface order, and in formation status (Strube and Hahn, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our own work on the centering model' (Strube and Hahn 1996; Hahn and Strube 1996) brings in evidence from German, a free-word-order language in which grammatical role information is far less predictive of the organization of centers than for fixed-word-order languages such as English.</S><S sid = NA ssid = NA>We diverge from this proposal and claim that, at least for languages with relatively free word order (such as German), the functional information structure of the utterance is crucial for the ranking of discourse entities in the Cf list.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J99-3001.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus the size of the annotated data (3,115 personal pronouns1, 2,198 possessive pronouns, 928 demonstrative pronouns) compares favourably with the size of evaluation data in other proposals (619 German pronouns in (Strube and Hahn, 1999), 2,477 English pronouns in (Ge et al, 1998), about 5,400 English co referential expressions in (Ng and Cardie, 2002)) .In the experiments, systems only looked for single NP antecedents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first row gives the number of third person pronouns and possessive pronouns in the data.</S><S sid = NA ssid = NA>5.2.1 Data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J99-3001.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, however, the required knowledge sources are lacking, so they must be hand-coded and can only be applied in restricted domains (Strube and Hahn, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All these modules are fully operational and integrated within the text-understanding backbone of SYNDIK ATE, a large-scale text knowledge acquisition system for the two real-world domains of information technology (Hahn and Schnattinger 1998) and medicine (Hahn, Romacker, and Schulz 1999).</S><S sid = NA ssid = NA>The ordering constraints we supply account for all of the types of anaphora mentioned above, including (pro)nominal anaphora (Strube and Hahn 1995; Hahn and Strube 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J99-3001.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Strube and Hahn (1999) extend the context to more than the last sentence, but switch preference order between the last and the current sentence so that an antecedentes determined in the last sentence, whenever possible.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Furthermore, she distinguishes several types of constructions in order to decide which part of the sentence is relevant for the resolution of an intersentential anaphor in the following sentence.</S><S sid = NA ssid = NA>Based on previous work about Turkish, Hoffman argues that, in this language, the sentence-initial position corresponds to the topic, the position that immediately precedes the verb yields the focus, and the remainder of the sentence is to be considered the (back)ground.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J99-3001.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Strube (1998) and Strube and Hahn (1999) argue that the information status of an antecedent is more important than the grammatical role in which it occurs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our own work on the centering model' (Strube and Hahn 1996; Hahn and Strube 1996) brings in evidence from German, a free-word-order language in which grammatical role information is far less predictive of the organization of centers than for fixed-word-order languages such as English.</S><S sid = NA ssid = NA>The ordering constraints we supply account for all of the types of anaphora mentioned above, including (pro)nominal anaphora (Strube and Hahn 1995; Hahn and Strube 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J99-3001.txt | Citing Article:  P00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, in order to compare our proposal with Centering approach, Functional Centering by Strube and Hahn (1999) has also been implemented.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In any case, they do not compare to the results of the functional approach.</S><S sid = NA ssid = NA>A resolution module for (pro)nominal anaphora (Strube and Hahn 1995) and one for functional anaphora (Hahn, Markert, and Strube 1996) based on this functional centering model has been implemented as part of PARSETALK, a comprehensive text parser for German (Hahn, Schacht, and Broker 1994; Hahn, Neuhaus, and Broker 1997) in our group.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J99-3001.txt | Citing Article:  P04-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, a transition is considered to satisfy the CHEAPNESS constraint (Strube and Hahn, 1999) if Cb (ui)= Cp (ui).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An utterance U1, for instance, which intervenes between Lti_i and /11+1 without any relation to Ui_i does not affect the preference decisions in Ui+2 for FunC, although it does affect them for the BFP algorithm, since the latter cannot assign the Cb(Ui+i).</S><S sid = NA ssid = NA>The most highly ranked element of Cf(DS, LJ) that is finally realized in Ui+i (i.e., is associated with an expression that has a valid interpretation in the underlying semantic representation) is the actual Cb(DS, U,±1).</S> | Discourse Facet:  NA | Annotator: Automatic


