Citance Number: 1 | Reference Article:  E89-1037.txt | Citing Article:  C92-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this section, we will outline the approach to the translation of non-local re-entrances proposed in Kaplan et al (1989).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In other cases there is a non-local dependency between the subcategorizing verb and a dislocated phrase.</S><S sid = NA ssid = NA>In the following sections we outline these basic notions and show how they can be used to deal with certain interesting translation problems in a simple and straightforward way.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  E89-1037.txt | Citing Article:  E93-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kaplan et al (1989) present a framework for translation based on the description and correspondence concepts of Lexical-Functional Grammar (Kaplan and Bresnan, 1982).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As introduced by Kaplan and Bresnan (1982), lexical-functional grammar assigns to every sentence two levels of syntactic representation, a constituent structure (c-structure) and a functional structure (f-structure).</S><S sid = NA ssid = NA>Our approach uses the equality- and description-based mechanisms of Lexical-Functional Grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  E89-1037.txt | Citing Article:  E93-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kaplan et al (1989) suggest that this architecture can provide a formal basis for specifying complex source-target translation relationships in a declarative fashion that builds on monolingual grammars and lexicons that are independently motivated and theoretically justified.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This approach permits the mapping between source and target to depend on information from various levels of linguistic abstraction while still preserving the modularity of linguistic components and of source and target grammars and lexicons.</S><S sid = NA ssid = NA>We also achieve modularity of a more basic sort: our correspondence mechanism permits contrastive transfer rules that depend on but do not duplicate the specifications of independently motivated grammars of the source and target languages (Isabelle and Macklovitch, 1986; Netter and Wedekind, 1986).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  E89-1037.txt | Citing Article:  E93-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kaplan et al (1989) offer several examples to illustrate the effectiveness of this approach to translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will illustrate our proposal with examples that have posed challenges for some other approaches.</S><S sid = NA ssid = NA>We sketch and illustrate an approach to machine translation that exploits the potential of simultaneous correspondences between separate levels of linguistic representation, as in the of codescriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  E89-1037.txt | Citing Article:  E93-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kaplan et al (1989) discussed such differences in embedding and offered two alternative analyses that rely only on codescriptive specifications.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Differences in embedding.</S><S sid = NA ssid = NA>An alternative analysis can handle differences of embedding with completely integrated structures.</S> | Discourse Facet:  NA | Annotator: Automatic


