Citance Number: 1 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['19'] | Citation Marker: Sekine, 2005 | Citation Offset: ['18','19'] | Citation Text: <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['195','204','111'] | Reference Text: <S sid="111" ssid="32">buy - acquire (5) buy - agree (2) buy - purchase (5) buy - acquisition (7) buy - pay (2)* buy - buyout (3) buy - bid (2) acquire - purchase (2) acquire - acquisition (2) acquire - pay (2)* purchase - acquisition (4) purchase - stake (2)* acquisition - stake (2)* unit - subsidiary (2) unit - parent (5) It is clear that these links form two clusters which are mostly correct.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> <S sid="204" ssid="1">We proposed an unsupervised method to discover paraphrases from a large untagged corpus.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari

Citance Number: 5 | Reference Article: I05-5011.xml | Citing Article: E09-1025.xml | Citation Marker Offset: ['27'] | Citation Marker: Sekine, 2005 | Citation Offset: ['27'] | Citation Text: <S sid ="27" ssid = "1">A number of automatically acquired inference rule/paraphrase collections are available, such as (Szpektor et al., 2004), (Sekine, 2005).</S> | Reference Offset: ['128','0','110'] | Reference Text: <S sid="0">Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs</S> <S sid="110" ssid="31">Here a set is represented by the keyword and the number in parentheses indicates the number of shared NE pair instances.</S> <S sid="128" ssid="49">The accuracy is calculated as the ratio of the number of paraphrases to the total number of phrases in the set.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 6 | Reference Article: I05-5011.xml | Citing Article: I08-1070.xml | Citation Marker Offset: ['53'] | Citation Marker: Sekine, 2005 | Citation Offset: ['53'] | Citation Text: <S sid ="53" ssid = "24">To avoid the drawback, several linguistic clues, such as fine-grained classification of named entities and coordinated sentences, have been utilized (Sekine, 2005; Torisawa, 2006).</S> | Reference Offset: ['23','205','3'] | Reference Text: <S sid="3" ssid="3">We focus on phrases which connect two Named Entities (NEs), and proceed in two stages.</S> <S sid="23" ssid="23">We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> <S sid="205" ssid="2">We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 7 | Reference Article: I05-5011.xml | Citing Article: J10-3003.xml | Citation Marker Offset: ['429'] | Citation Marker: 2005 | Citation Offset: ['429'] | Citation Text: <S sid ="429" ssid = "302">As a later reÃŸáṠĠÂnement, Sekine (2005) makes a similar attempt at using distributional similarity over named entity pairs in order to produce a list of fully lexicalized phrasal paraphrases for speciÃŸáṠĠÂc concepts represented by keywords.</S> | Reference Offset: ['167','148','159'] | Reference Text: <S sid="148" ssid="69">The similar explanation applies to the link to the ÃḃÂÂstakeÃḃÂÂ set.</S> <S sid="159" ssid="6">In order to create good-sized vectors for similarity calculation, they had to set a high frequency threshold, 30.</S> <S sid="167" ssid="14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 8 | Reference Article: I05-5011.xml | Citing Article: J12-1003.xml | Citation Marker Offset: ['24'] | Citation Marker: Sekine 2005 | Citation Offset: ['24'] | Citation Text: <S sid ="24" ssid = "24">This has led to active research on broad-scale acquisition of entailment rules for predicates (Lin and Pantel 2001; Sekine 2005; Szpektor and Dagan 2008; Yates and Etzioni 2009; Schoenmackers et al. 2010).</S> | Reference Offset: ['195','111','18'] | Reference Text: <S sid="18" ssid="18">Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks.</S> <S sid="111" ssid="32">buy - acquire (5) buy - agree (2) buy - purchase (5) buy - acquisition (7) buy - pay (2)* buy - buyout (3) buy - bid (2) acquire - purchase (2) acquire - acquisition (2) acquire - pay (2)* purchase - acquisition (4) purchase - stake (2)* acquisition - stake (2)* unit - subsidiary (2) unit - parent (5) It is clear that these links form two clusters which are mostly correct.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: ['Aim_Citation','Method_Citation'] | Annotator: Sweta Kumari


Citance Number: 9 | Reference Article: I05-5011.xml | Citing Article: P06-2094.xml | Citation Marker Offset: ['65'] | Citation Marker: Sekine 05 | Citation Offset: ['65'] | Citation Text: <S sid ="65" ssid = "24">We also proposed a method to find paraphrases in the context of two Named Entity instances in a large un-annotated corpus (Sekine 05).</S> | Reference Offset: ['204','22','2'] | Reference Text: <S sid="2" ssid="2">We propose an unsupervised method to discover paraphrases from a large untagged corpus, without requiring any seed phrase or other cue.</S> <S sid="22" ssid="22">In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus.</S> <S sid="204" ssid="1">We proposed an unsupervised method to discover paraphrases from a large untagged corpus.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 10 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['49'] | Citation Marker: Sekine, 2005 | Citation Offset: ['49'] | Citation Text: <S sid ="49" ssid = "13">Some existing entailment acquisition algorithms can add contextual constraints to the learned rules (Sekine, 2005), but most donÃáẁÃḃÂáṠĠÃḃÂáẁt.</S> | Reference Offset: ['53','195','111'] | Reference Text: <S sid="53" ssid="29">In this section, we will explain the algorithm step by step with examples.</S> <S sid="111" ssid="32">buy - acquire (5) buy - agree (2) buy - purchase (5) buy - acquisition (7) buy - pay (2)* buy - buyout (3) buy - bid (2) acquire - purchase (2) acquire - acquisition (2) acquire - pay (2)* purchase - acquisition (4) purchase - stake (2)* acquisition - stake (2)* unit - subsidiary (2) unit - parent (5) It is clear that these links form two clusters which are mostly correct.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 11 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['57'] | Citation Marker: Sekine, 2005 | Citation Offset: ['57'] | Citation Text: <S sid ="57" ssid = "21">Many methods for automatic acquisition of rules have been suggested in recent years, ranging from distributional similarity to finding shared contexts (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Barzilay and Lee, 2003; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['151','167','24'] | Reference Text: <S sid="24" ssid="24">After tagging a large corpus with an automatic NE tagger, the method tries to find sets of paraphrases automatically without being given a seed phrase or any kinds of cue.</S> <S sid="151" ssid="72">This result suggests the benefit of using the automatic discovery method.</S> <S sid="167" ssid="14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 12 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['67'] | Citation Marker: Sekine, 2005 | Citation Offset: ['67'] | Citation Text: <S sid ="67" ssid = "31">Indeed, the prominent approach for evaluating the quality of rule acquisition algorithms is by human judgment of the learned rules (Lin and Pantel, 2001; Shinyama et al., 2002; Barzilay and Lee, 2003; Pang et al., 2003; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['195','40','53'] | Reference Text: <S sid="40" ssid="16">The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> <S sid="53" ssid="29">In this section, we will explain the algorithm step by step with examples.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: Implication_Citation | Annotator: Sweta Kumari


Citance Number: 13 | Reference Article: I05-5011.xml | Citing Article: P08-1078.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Recently, several algorithms were proposed for automatically learning entailment rules and paraphrases (viewed as bidirectional entailment rules) (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['204','0','22'] | Reference Text: <S sid="0">Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs</S> <S sid="22" ssid="22">In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus.</S> <S sid="204" ssid="1">We proposed an unsupervised method to discover paraphrases from a large untagged corpus.</S> | Discourse Facet: ['Aim_Citation','Method_Citation'] | Annotator: Sweta Kumari


Citance Number: 14 | Reference Article: I05-5011.xml | Citing Article: P09-2063.xml | Citation Marker Offset: ['11'] | Citation Marker: Sekine, 2005 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">Similarly, (Sekine, 2005) improved information retrieval based on pattern recognition by introducing paraphrase generation.</S> | Reference Offset: ['202','178','209'] | Reference Text: <S sid="178" ssid="5">One possibility is to use n-grams based on mutual information.</S> <S sid="202" ssid="29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> <S sid="209" ssid="6">These results are promising and there are several avenues for improving on these results.</S> | Discourse Facet: ['Aim_Citation','Method_Citation'] | Annotator: Sweta Kumari


Citance Number: 15 | Reference Article: I05-5011.xml | Citing Article: P10-1124.xml | Citation Marker Offset: ['11'] | Citation Marker: Sekine, 2005 | Citation Offset: ['10','11'] | Citation Text: <S sid ="10" ssid = "10">This has led to active research on broad-scale acquisition of entailment rules for predicates, e.g.</S><S sid ="11" ssid = "11">(Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008).</S> | Reference Offset: ['195','111','18'] | Reference Text: <S sid="18" ssid="18">Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks.</S> <S sid="111" ssid="32">buy - acquire (5) buy - agree (2) buy - purchase (5) buy - acquisition (7) buy - pay (2)* buy - buyout (3) buy - bid (2) acquire - purchase (2) acquire - acquisition (2) acquire - pay (2)* purchase - acquisition (4) purchase - stake (2)* acquisition - stake (2)* unit - subsidiary (2) unit - parent (5) It is clear that these links form two clusters which are mostly correct.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: ['Aim_Citation','Method_Citation'] | Annotator: Sweta Kumari


Citance Number: 16 | Reference Article: I05-5011.xml | Citing Article: P11-1062.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Thus, acquisition of such knowledge received considerable attention in the last decade (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2009; Schoenmackers et al., 2010).</S> | Reference Offset: ['77','168','111'] | Reference Text: <S sid="77" ssid="53">As can be seen in the example, the first two phrases have a different order of NE names from the last two, so we can determine that the last two phrases represent a reversed relation.</S> <S sid="111" ssid="32">buy - acquire (5) buy - agree (2) buy - purchase (5) buy - acquisition (7) buy - pay (2)* buy - buyout (3) buy - bid (2) acquire - purchase (2) acquire - acquisition (2) acquire - pay (2)* purchase - acquisition (4) purchase - stake (2)* acquisition - stake (2)* unit - subsidiary (2) unit - parent (5) It is clear that these links form two clusters which are mostly correct.</S> <S sid="168" ssid="15">This approach needs a phrase as an initial seed and thus the possible relationships to be extracted are naturally limited.</S> | Discourse Facet: ['Aim_Citation','Method_Citation'] | Annotator: Sweta Kumari


Citance Number: 17 | Reference Article: I05-5011.xml | Citing Article: P11-1109.xml | Citation Marker Offset: ['218'] | Citation Marker: 2005 | Citation Offset: ['218'] | Citation Text: <S sid ="218" ssid = "82">We agree with Sekine (2005) who claims that several different methods are required to discover a wider variety of paraphrases.</S> | Reference Offset: ['197','2','204'] | Reference Text: <S sid="2" ssid="2">We propose an unsupervised method to discover paraphrases from a large untagged corpus, without requiring any seed phrase or other cue.</S> <S sid="197" ssid="24">Rather we believe several methods have to be developed using different heuristics to discover wider variety of paraphrases.</S> <S sid="204" ssid="1">We proposed an unsupervised method to discover paraphrases from a large untagged corpus.</S> | Discourse Facet: Implication_Citation | Annotator: Sweta Kumari


Citance Number: 18 | Reference Article: I05-5011.xml | Citing Article: P12-1013.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Consequently, sub stantial effort has been made to learn such rules (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008; Schoenmackers et al., 2010).</S> | Reference Offset: ['164','195','40'] | Reference Text: <S sid="40" ssid="16">The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> <S sid="164" ssid="11">There have been other kinds of efforts to discover paraphrase automatically from corpora.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: Implication_Citation | Annotator: Sweta Kumari


Citance Number: 19 | Reference Article: I05-5011.xml | Citing Article: P12-2031.xml | Citation Marker Offset: ['9'] | Citation Marker: Sekine, 2005 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">The significance of inference rules has led to substantial effort into developing algorithms that automatically learn inference rules (Lin and Pantel, 2001; Sekine, 2005; Schoenmackers et al., 2010), and generate knowledge resources for inference systems.</S> | Reference Offset: ['195','164','40'] | Reference Text: <S sid="40" ssid="16">The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> <S sid="164" ssid="11">There have been other kinds of efforts to discover paraphrase automatically from corpora.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: Implication_Citation | Annotator: Sweta Kumari


Citance Number: 20 | Reference Article: I05-5011.xml | Citing Article: P12-2031.xml | Citation Marker Offset: ['20'] | Citation Marker: Sekine, 2005 | Citation Offset: ['20'] | Citation Text: <S sid ="20" ssid = "20">Some attempts were made to let annotators judge rule correctness directly, that is by asking them to judge the correctness of a given rule (Shinyama et al., 2002; Sekine, 2005).</S> | Reference Offset: ['195','144','40'] | Reference Text: <S sid="40" ssid="16">The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> <S sid="144" ssid="65">Evaluation of links A link between two sets is considered correct if the majority of phrases in both sets have the same meaning, i.e. if the link indicates paraphrase.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: Implication_Citation | Annotator: Sweta Kumari


Citance Number: 21 | Reference Article: I05-5011.xml | Citing Article: P13-1131.xml | Citation Marker Offset: ['134'] | Citation Marker: 2005 | Citation Offset: ['134'] | Citation Text: <S sid ="134" ssid = "15">Following Sekine (2005), we clustered templates that share their main verb predicate in order to scale down the number of different predicates in the corpus and collect richer word co- occurrence statistics per predicate.</S> | Reference Offset: ['62','86','110'] | Reference Text: <S sid="62" ssid="38">Cluster phrases based on Links We now have a set of phrases which share a keyword.</S> <S sid="86" ssid="7">In this subsection, we will report the results of the experiment, in terms of the number of words, phrases or clusters.</S> <S sid="110" ssid="31">Here a set is represented by the keyword and the number in parentheses indicates the number of shared NE pair instances.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 22 | Reference Article: I05-5011.xml | Citing Article: W12-4006.xml | Citation Marker Offset: ['15'] | Citation Marker: Sekine, 2005 | Citation Offset: ['14','15'] | Citation Text: <S sid ="14" ssid = "14">Some existing paraphrase and entailment acquisition algorithms add constraints to the learned rules (e.g.</S><S sid ="15" ssid = "15">(Sekine, 2005), (CallisonBurch, 2008)), but most do not.</S> | Reference Offset: ['53','195','111'] | Reference Text: <S sid="53" ssid="29">In this section, we will explain the algorithm step by step with examples.</S> <S sid="111" ssid="32">buy - acquire (5) buy - agree (2) buy - purchase (5) buy - acquisition (7) buy - pay (2)* buy - buyout (3) buy - bid (2) acquire - purchase (2) acquire - acquisition (2) acquire - pay (2)* purchase - acquisition (4) purchase - stake (2)* acquisition - stake (2)* unit - subsidiary (2) unit - parent (5) It is clear that these links form two clusters which are mostly correct.</S> <S sid="195" ssid="22">Also, the method of using keywords rules out phrases which donÃḃÂÂt contain popular words in the domain.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 23 | Reference Article: I05-5011.xml | Citing Article: W12-4006.xml | Citation Marker Offset: ['41'] | Citation Marker: Sekine, 2005 | Citation Offset: ['41'] | Citation Text: <S sid ="41" ssid = "11">As for paraphrase, SekineÃáẁÃḃÂáṠĠÃḃÂáẁs Paraphrase Database (Sekine, 2005) is collected using an unsupervised method, and focuses on phrases connecting two Named Entities.</S> | Reference Offset: ['3','23','205'] | Reference Text: <S sid="3" ssid="3">We focus on phrases which connect two Named Entities (NEs), and proceed in two stages.</S> <S sid="23" ssid="23">We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> <S sid="205" ssid="2">We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


