Citance Number: 1 | Reference Article:  J04-1002.txt | Citing Article:  W06-0307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To determine whether semantic restrictions are being violated, domain information from ontologies/thesauri such as WordNet could be used and/or statistical techniques as used by Mason (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet does not use any of WordNet’s information about verbs and ignores regularities in the distribution of noun homonyms that could be used to find some metaphors.</S><S sid = NA ssid = NA>This regularity, detectable with a shallow linguistic analysis, is used to find the metaphorical interconcept mappings, which can then be used to infer the existence of higher-level conventional metaphors.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J04-1002.txt | Citing Article:  W07-0104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By finding semantic differences between the selectional preferences, it can articulate the higher-order structure of conceptual metaphors ((Mason, 2004), p. 24), finding mappings like LIQUID -> MONEY.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By finding sets of co-occuring interconcept mappings (like the above mapping and a mapping from investments to containers, for instance), Cormet can articulate the higher-order structure of conceptual metaphors.</S><S sid = NA ssid = NA>CorMet finds conventional metaphors by finding systematic differences in selectional preferences between domains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J04-1002.txt | Citing Article:  W10-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>CorMet (Mason, 2004) is designed to extract known conventional metaphors from domain-specific textual corpora, which are derived from Google queries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet’s domain-specific corpora are obtained from the Internet.</S><S sid = NA ssid = NA>CorMet obtains documents by submitting queries to the Google search engine.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J04-1002.txt | Citing Article:  W10-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The CMI system described in this paper is informed largely by CorMet (Mason, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet first uses the selectional-preference-learning algorithm described in Resnik (1993), then clustering over the results.</S><S sid = NA ssid = NA>The nodes publication and publisher, for instance, have paper, newspaper, and magazine as common descendants.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J04-1002.txt | Citing Article:  E06-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet demonstrates the viability of a computational, corpus-based approach to conventional metaphor but requires more work before it can constitute a viable NLP tool.</S><S sid = NA ssid = NA>In the MILITARY domain, the object of assault selects strongly for fortification but not social group, whereas the selectional preferences for the object of attack are the opposite.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J04-1002.txt | Citing Article:  E06-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CorMet demonstrates the viability of a computational, corpus-based approach to conventional metaphor but requires more work before it can constitute a viable NLP tool.</S><S sid = NA ssid = NA>In the MILITARY domain, the object of assault selects strongly for fortification but not social group, whereas the selectional preferences for the object of attack are the opposite.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J04-1002.txt | Citing Article:  W07-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our method is different from automated work on metaphor recognition such as (Mason, 2004) and (Gedigian et al, 2006) in that it includes nouns as parts of speech.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Queries for domain-specific documents containing a particular verb are composed of a conjunction of domain-specific terms and a disjunction of forms of the verb that are more likely to be verbs than other parts of speech.</S><S sid = NA ssid = NA>Many source concepts from the MILITARY domain are mapped to body parts.</S> | Discourse Facet:  NA | Annotator: Automatic


