Citance Number: 1 | Reference Article: J96-3004.xml | Citing Article: A00-2032.xml | Citation Marker Offset: ['142'] | Citation Marker: 1996 | Citation Offset: ['141','142'] | Citation Text: <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃÂÃÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃÂÃÂ­ proach.</S> | Reference Offset: ['91','89','76'] | Reference Text: <S sid="76" ssid="14">The most accurate characterization of Chinese writing is that it is morphosyllabic (DeFrancis 1984): each hanzi represents one morpheme lexically and semantically, and one syllable phonologiÃÂ­ cally.</S> <S sid="89" ssid="27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÃÂ­ cal rule-based approaches, and approaches that combine lexical information with staÃÂ­ tistical information.</S> <S sid="91" ssid="29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel

Citance Number: 5 | Reference Article: J96-3004.xml | Citing Article: C02-1049.xml | Citation Marker Offset: ['127'] | Citation Marker: Sproat et al, 1996 | Citation Offset: ['125','126','127'] | Citation Text: <S sid ="124" ssid = "105">Mutu al infor matio n-like statist ics are very often adopt ed in meas uring assoc iation stren gth msi (?)</S><S sid ="127" ssid = "108">dsi +1 () combine (i, i + 1) 1993, Sproat et al, 1996)</S> | Reference Offset: ['365','245','358'] | Reference Text: <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> <S sid="358" ssid="67">However, we have reason to doubt Chang et al.&apos;s performance claims.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 6 | Reference Article: J96-3004.xml | Citing Article: C02-1080.xml | Citation Marker Offset: ['20'] | Citation Marker: Sproat et al. 96 | Citation Offset: ['20'] | Citation Text: <S sid ="20" ssid = "20">Chinese NE recognition is much more difficult than that in English due to two major problems.</S><S sid ="21" ssid = "21">The first is the word segmentation problem (Sproat et al. 96, Palmer 97).</S> | Reference Offset: ['415','137','3'] | Reference Text: <S sid="3" ssid="3">For a language like English, this problem is generally regarded as trivial since words are delimited in English text by whitespace or marks of punctuation.</S> <S sid="137" ssid="1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S> <S sid="415" ssid="18">The major problem for our segÃÂ­ menter, as for all segmenters, remains the problem of unknown words (see Fung and Wu [1994]).</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 7 | Reference Article: J96-3004.xml | Citing Article: C02-1143.xml | Citation Marker Offset: ['107'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['107'] | Citation Text: <S sid ="107" ssid = "48">We used a maximum- matching algorithm and a dictionary compiled from the CTB (Sproat et al., 1996; Xue, 2001) to do segmentation | Reference Offset: ['320','112','168'] | Reference Text: <S sid="112" ssid="50">The simplest version of the maximum matching algorithm effectively deals with ambiguity by ignoring it, since the method is guaranteed to produce only one segmentation.</S> <S sid="168" ssid="32">Word frequencies are estimated by a re-estimation procedure that involves applyÃÂ­ ing the segmentation algorithm presented here to a corpus of 20 million words,8 using 8 Our training corpus was drawn from a larger corpus of mixed-genre text consisting mostly of.</S> <S sid="320" ssid="29">from the subset of the United Informatics corpus not used in the training of the models.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 8 | Reference Article: J96-3004.xml | Citing Article: E09-1063.xml | Citation Marker Offset: ['107'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['107'] | Citation Text: <S sid ="107" ssid = "4">First of all, it is really difficult to build a reliable and objective gold-standard given the fact that there is only 70% agreement between native speakers on this task (Sproat et al., 1996).</S> | Reference Offset: ['221','246','93'] | Reference Text: <S sid="93" ssid="31">Mutual information was shown to be useful in the segmentation task given that one does not have a dictionary.</S> <S sid="221" ssid="85">10 Chinese speakers may object to this form, since the suffix f, menD (PL) is usually restricted to.</S> <S sid="246" ssid="110">First, the model assumes independence between the first and second hanzi of a double given name.</S> | Discourse Facet: ['Implication_Citation','Results_Citation'] | Annotator: Ankita Patel


Citance Number: 9 | Reference Article: J96-3004.xml | Citing Article: I05-3031.xml | Citation Marker Offset: ['7'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['6','7'] | Citation Text: <S sid ="6" ssid = "6">The Chinese word segmentation is a nontrivial task because no explicit delimiters (like spaces in English) are used for word separation.</S><S sid ="7" ssid = "7">As the task is an important precursor to many natural language processing systems, it receives a lot of attentions in the literature for the past decade (Wu and Tseng, 1993; Sproat et al., 1996).</S> | Reference Offset: ['53','93','2'] | Reference Text: <S sid="2" ssid="2">An initial step of any textÃÂ­ analysis task is the tokenization of the input into words.</S> <S sid="53" ssid="14">There are thus some very good reasons why segmentation into words is an important task.</S> <S sid="93" ssid="31">Mutual information was shown to be useful in the segmentation task given that one does not have a dictionary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 10 | Reference Article: J96-3004.xml | Citing Article: J00-3004.xml | Citation Marker Offset: ['42'] | Citation Marker: 1996 | Citation Offset: ['42'] | Citation Text: <S sid ="42" ssid = "42">According to Sproat et al. {1996) and Wu and Fung {1994), experiments show that only about 75% agreement between native speakers is to be expected on the &quot;correct&quot; segmentation, and the figure reduces as more people become involved.</S> | Reference Offset: ['70','181','212'] | Reference Text: <S sid="70" ssid="8">This latter evaluation compares the performance of the system with that of several human judges since, as we shall show, even people do not agree on a single correct way to segment a text.</S> <S sid="181" ssid="45">4.2 A Sample Segmentation Using Only Dictionary Words Figure 4 shows two possible paths from the lattice of possible analyses of the input sentence B X:ÃÄ .:.S:P:l &apos;How do you say octopus in Japanese?&apos; previously shown in Figure 1.</S> <S sid="212" ssid="76">Figure 5 shows how this model is implemented as part of the dictionary WFST.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 11 | Reference Article: J96-3004.xml | Citing Article: J00-3004.xml | Citation Marker Offset: ['96'] | Citation Marker: 1996 | Citation Offset: ['96'] | Citation Text: <S sid ="96" ssid = "41">Sproat et al.</S><S sid ="97" ssid = "42">(1996) implement special recognizers not only for Chinese names and transliterated foreign names, but for components of morphologically obtained words as well.</S> | Reference Offset: ['399','286','281'] | Reference Text: <S sid="281" ssid="145">Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S> <S sid="286" ssid="150">Finally, we model the probability of a new transliterated name as the product of PTN and PTN(hanzi;) for each hanzi; in the putative name.13 The foreign name model is implemented as an WFST, which is then summed with the WFST implementing the dictionary, morpho 13 The current model is too simplistic in several respects.</S> <S sid="399" ssid="2">This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 12 | Reference Article: J96-3004.xml | Citing Article: J04-1004.xml | Citation Marker Offset: ['53'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['53'] | Citation Text: <S sid ="53" ssid = "53">In Chinese text segmentation there are three basic approaches (Sproat et al. 1996): pure heuristic, pure statistical, and a hybrid of the two.</S> | Reference Offset: ['89','91','455'] | Reference Text: <S sid="89" ssid="27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÃÂ­ cal rule-based approaches, and approaches that combine lexical information with staÃÂ­ tistical information.</S> <S sid="91" ssid="29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> <S sid="455" ssid="1">Despite these limitations, a purely finite-state approach to Chinese word segmentation enjoys a number of strong advantages.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 13 | Reference Article: J96-3004.xml | Citing Article: J04-1004.xml | Citation Marker Offset: ['113'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['113'] | Citation Text: <S sid ="113" ssid = "9">There are several commonly used segmentation methods such as forward maximum matching and backward maximum matching(Teahan et al. 2000; Dai, Loh, and Khoo 1999; Sproat et al. 1996).</S> | Reference Offset: ['108','112','307'] | Reference Text: <S sid="108" ssid="46">The most popular approach to dealing with segÃÂ­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S> <S sid="112" ssid="50">The simplest version of the maximum matching algorithm effectively deals with ambiguity by ignoring it, since the method is guaranteed to produce only one segmentation.</S> <S sid="307" ssid="16">An anti-greedy algorithm, AG: instead of the longest match, take the.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 14 | Reference Article: J96-3004.xml | Citing Article: J04-1004.xml | Citation Marker Offset: ['211'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['211'] | Citation Text: <S sid ="211" ssid = "32">In addition, there is no commonly accepted standard for evaluating the performance of word extraction methods, and it is very hard to decide whether a word is meaningful or not (Sproat et al. 1996).</S> | Reference Offset: ['92','129','191'] | Reference Text: <S sid="92" ssid="30">In that work, mutual information was used to decide whether to group adjacent hanzi into two-hanzi words.</S> <S sid="129" ssid="67">However, it is almost universally the case that no clear definition of what constitutes a &quot;correct&quot; segmentation is given, so these performance measures are hard to evaluate.</S> <S sid="191" ssid="55">each word in the lexicon whether or not each string is actually an instance of the word in question.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 15 | Reference Article: J96-3004.xml | Citing Article: J04-1004.xml | Citation Marker Offset: ['321'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['321'] | Citation Text: <S sid ="321" ssid = "7">As even human judges differ when facing the task of segmenting a text into words and test corpora differ from system to system (Sproat et al. 1996), it is very difficult to compare two methods.</S> | Reference Offset: ['133','370','130'] | Reference Text: <S sid="130" ssid="68">Indeed, as we shall show in Section 5, even human judges differ when presented with the task of segmenting a text into words, so a definition of the criteria used to determine that a given segmentation is correct is crucial before one can interpret such measures.</S> <S sid="133" ssid="71">Besides the lack of a clear definition of what constitutes a correct segmentation for a given Chinese sentence, there is the more general issue that the test corpora used in these evaluations differ from system to system, so meaningful comparison between systems is rendered even more difficult.</S> <S sid="370" ssid="79">In these examples, the names identified by the two systems (if any) are underlined; the sentence with the correct segmentation is boxed.19 The differences in performance between the two systems relate directly to three issues, which can be seen as differences in the tuning of the models, rather than repreÃÂ­ senting differences in the capabilities of the model per se.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 16 | Reference Article: J96-3004.xml | Citing Article: J05-4005.xml | Citation Marker Offset: ['88'] | Citation Marker: 1996 | Citation Offset: ['88'] | Citation Text: <S sid ="88" ssid = "24">A previous work along this line is Sproat et al.</S><S sid ="89" ssid = "25">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset: ['398','458','380'] | Reference Text: <S sid="380" ssid="89">set was based on an earlier version of the Chang et a!.</S> <S sid="398" ssid="1">In this paper we have argued that Chinese word segmentation can be modeled efÃÂ­ fectively using weighted finite-state transducers.</S> <S sid="458" ssid="4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 17 | Reference Article: J96-3004.xml | Citing Article: J05-4005.xml | Citation Marker Offset: ['126'] | Citation Marker: 1996 | Citation Offset: ['125','126'] | Citation Text: <S sid ="125" ssid = "61">As shown in Sproat et al.</S><S sid ="126" ssid = "62">(1996), the rate of agreement between two human judges is less than 80%.</S> | Reference Offset: ['325','245','313'] | Reference Text: <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> <S sid="313" ssid="22">For each pair of judges consider one judge as the standard,.</S> <S sid="325" ssid="34">The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15 One can better visualize the precision-recall similarity matrix by producing from that matrix a distance matrix, computing a classical metric multidimensional scaling (Torgerson 1958; Becker, Chambers, Wilks 1988) on that disÃÂ­ tance matrix, and plotting the first two most significant dimensions.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 18 | Reference Article: J96-3004.xml | Citing Article: J05-4005.xml | Citation Marker Offset: ['132'] | Citation Marker: 1996 | Citation Offset: ['131','132'] | Citation Text: <S sid ="131" ssid = "67">Similarly, Sproat et al.</S><S sid ="132" ssid = "68">(1996) also uses multiple human judges.</S> | Reference Offset: ['313','317','350'] | Reference Text: <S sid="313" ssid="22">For each pair of judges consider one judge as the standard,.</S> <S sid="317" ssid="26">For each pair of judges, consider one judge as the standard,.</S> <S sid="350" ssid="59">Under this scheme, n human judges are asked independently to segment a text.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 19 | Reference Article: J96-3004.xml | Citing Article: J05-4005.xml | Citation Marker Offset: ['490'] | Citation Marker: 1996 | Citation Offset: ['489','490'] | Citation Text: <S sid ="489" ssid = "153">The Chinese person-name model is a modified version of that described in Sproat et al.</S><S sid ="490" ssid = "154">(1996).</S> | Reference Offset: ['380','458','245'] | Reference Text: <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> <S sid="380" ssid="89">set was based on an earlier version of the Chang et a!.</S> <S sid="458" ssid="4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 20 | Reference Article: J96-3004.xml | Citing Article: J11-1005.xml | Citation Marker Offset: ['123'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['123'] | Citation Text: <S sid ="123" ssid = "14">Experiments have shown that there is only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al. 1996).</S> | Reference Offset: ['325','18','56'] | Reference Text: <S sid="18" ssid="18">orthographic words are thus only a starting point for further analysis and can only be regarded as a useful hint at the desired division of the sentence into words.</S> <S sid="56" ssid="17">Among these are words derived by various productive processes, including: 1.</S> <S sid="325" ssid="34">The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15 One can better visualize the precision-recall similarity matrix by producing from that matrix a distance matrix, computing a classical metric multidimensional scaling (Torgerson 1958; Becker, Chambers, Wilks 1988) on that disÃÂ­ tance matrix, and plotting the first two most significant dimensions.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 21 | Reference Article: J96-3004.xml | Citing Article: J11-3001.xml | Citation Marker Offset: ['326'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['326'] | Citation Text: <S sid ="326" ssid = "279">Gold standards, however, 435 cannot be uniÃŸáṠĠÂed into a single standard (Fung and Wu 1994; Sproat et al. 1996).</S> | Reference Offset: ['408','318','314'] | Reference Text: <S sid="314" ssid="23">computing the precision of the other&apos;s judgments relative to this standard.</S> <S sid="318" ssid="27">computing the recall of the other&apos;s judgments relative to this standard.</S> <S sid="408" ssid="11">This is not to say that a set of standards by which a particular segmentation would count as correct and another incorrect could not be devised; indeed, such standards have been proposed and include the published PRCNSC (1994) and ROCLING (1993), as well as the unpublished Linguistic Data Consortium standards (ca.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 22 | Reference Article: J96-3004.xml | Citing Article: J96-4004.xml | Citation Marker Offset: ['24'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['24'] | Citation Text: <S sid ="24" ssid = "24">Our ap . proach differs from existing work on Chinese word segmentation (Liang 1983; Wang, Wang, and Bai 1991; Fan and Tsai 1988; Chang, Chen, and Chen 1991; Chiang et al. 1992; Sproat and Shih 1990; Wu and Su 1993; Lua and Gan 1994; Lai et al. 1992; Sproat et al. 1994; Sproat et al. 1996) primarily in that our system performs sentence interÃÂÃÂ­ pretation, in addition to word boundary identification.</S> | Reference Offset: ['360','385','370'] | Reference Text: <S sid="360" ssid="69">The performance of our system on those sentences apÃÂ­ peared rather better than theirs.</S> <S sid="370" ssid="79">In these examples, the names identified by the two systems (if any) are underlined; the sentence with the correct segmentation is boxed.19 The differences in performance between the two systems relate directly to three issues, which can be seen as differences in the tuning of the models, rather than repreÃÂ­ senting differences in the capabilities of the model per se.</S> <S sid="385" ssid="94">Table 4 Differences in performance between our system and Wang, Li, and Chang (1992).</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 23 | Reference Article: J96-3004.xml | Citing Article: J97-4004.xml | Citation Marker Offset: ['9'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">Since in written Chinese there is no explicit word delimiter (equivalent to the blank space in written English), the problem of Chinese sentence tokenization has been the focus of considerable research efforts, and significant advancements have been made (e.g., Bai 1995; Zhang et al. 1994; Chen and Liu 1992; Chiang et al. 1992; Fan and Tsai 1988; Gan 1995; Gan, Palmer, and Lua 1996; Guo 1993; He, Xu, and Sun 1991; Huang 1989; Huang and Xia 1996; Jie 1989; Jie, Liu, and Liang 1991a, 1991b; Jin and Chen 1995; Lai et al. 1992; Li et al. 1995; Liang 1986, 1987, 1990; Liu 1986a, 1986b; Liu, Tan, and Shen 1994; Lua 1990, 1994, and 1995; Ma 1996; Nie, Jin, and Hannan 1994; Sproat and Shih 1990; Sproat et al. 1996;</S> | Reference Offset: ['110','365','245'] | Reference Text: <S sid="110" ssid="48">Papers that use this method or minor variants thereof include Liang (1986), Li et al.</S> <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 24 | Reference Article: J96-3004.xml | Citing Article: J97-4004.xml | Citation Marker Offset: ['515'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['515'] | Citation Text: <S sid ="515" ssid = "92">The three tokenization definitions in this section are essentially descriptive restatements of the corresponding constructive tokenization procedures, which in turn are realizaÃÂÃÂ­ tions of the widely followed principle of maximum tokenization (e.g., Liu 1986; Liang 1986a, 1986b; Wang 1989; Jie 1989; Wang, Su, and Mo 1990; Jie, Liu, and Liang 1991a, b; Yeh and Lee 1991; Webster and Kit 1992; Chen and Liu 1992; Guo 1993; Wu and Su 1993; Nie, Jin, and Hannan 1994; Sproat et al. 1996;</S> | Reference Offset: ['88','111','2'] | Reference Text: <S sid="2" ssid="2">An initial step of any textÃÂ­ analysis task is the tokenization of the input into words.</S> <S sid="88" ssid="26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S> <S sid="111" ssid="49">(1991}, Gu and Mao (1994), and Nie, Jin, and Hannan (1994).</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 25 | Reference Article: J96-3004.xml | Citing Article: J97-4004.xml | Citation Marker Offset: ['613'] | Citation Marker: 1996 | Citation Offset: ['612','613'] | Citation Text: <S sid ="612" ssid = "54">The weighted finite-state transducer model developed by Sproat et al.</S><S sid ="613" ssid = "55">(1996) is another excellent representative example.</S> | Reference Offset: ['398','458','245'] | Reference Text: <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> <S sid="398" ssid="1">In this paper we have argued that Chinese word segmentation can be modeled efÃÂ­ fectively using weighted finite-state transducers.</S> <S sid="458" ssid="4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 26 | Reference Article: J96-3004.xml | Citing Article: J97-4004.xml | Citation Marker Offset: ['621'] | Citation Marker: 1996 | Citation Offset: ['621'] | Citation Text: <S sid ="621" ssid = "63">While it may not be totally impossible to fully incorporate such knowledge and heuristics into the general framework of path evaluation and searching, they are apÃÂÃÂ­ parently employed neither in Sproat et al.</S><S sid ="622" ssid = "64">(1996) nor in Ma (1996).</S> | Reference Offset: ['67','224','365'] | Reference Text: <S sid="67" ssid="5">The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S> <S sid="224" ssid="88">f, nan2gual+men0 &apos;pumpkins&apos; is by no means impossible.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 27 | Reference Article: J96-3004.xml | Citing Article: N10-1068.xml | Citation Marker Offset: ['6'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Many natural language models can be captured by weighted finite-state transducers (Pereira et al., 1994; Sproat et al., 1996; Knight and AlOnaizan, 1998; Clark, 2002; Kolak et al., 2003; Mathias and Byrne, 2006), which offer several benefits:ÃáẁÃḃÂáṠĠÃáẁ WFSTs provide a uniform knowledge represen tation.</S> | Reference Offset: ['67','398','457'] | Reference Text: <S sid="67" ssid="5">The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S> <S sid="398" ssid="1">In this paper we have argued that Chinese word segmentation can be modeled efÃÂ­ fectively using weighted finite-state transducers.</S> <S sid="457" ssid="3">The use of weighted transducers in particular has the attractive property that the model, as it stands, can be straightforwardly interfaced to other modules of a larger speech or natural language system: presumably one does not want to segment Chinese text for its own sake but instead with a larger purpose in mind.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 28 | Reference Article: J96-3004.xml | Citing Article: P03-1035.xml | Citation Marker Offset: ['41'] | Citation Marker: 1996 | Citation Offset: ['41'] | Citation Text: <S sid ="41" ssid = "18">One example of such approaches is Sproat et al.</S><S sid ="42" ssid = "19">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset: ['398','458','380'] | Reference Text: <S sid="380" ssid="89">set was based on an earlier version of the Chang et a!.</S> <S sid="398" ssid="1">In this paper we have argued that Chinese word segmentation can be modeled efÃÂ­ fectively using weighted finite-state transducers.</S> <S sid="458" ssid="4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 29 | Reference Article: J96-3004.xml | Citing Article: P03-1035.xml | Citation Marker Offset: ['122'] | Citation Marker: 1996 | Citation Offset: ['122'] | Citation Text: <S sid ="122" ssid = "27">Because any character strings can be in principle named entities of one or more types, to limit the number of candidates for a more effective search, we generate named entity candidates, given an input string, in two steps: First, for each type, we use a set of constraints (which are compiled by 3 Sproat et al.</S> | Reference Offset: ['2','230','243'] | Reference Text: <S sid="2" ssid="2">An initial step of any textÃÂ­ analysis task is the tokenization of the input into words.</S> <S sid="230" ssid="94">Given names are most commonly two hanzi long, occasionally one hanzi long: there are thus four possible name types, which can be described by a simple set of context-free rewrite rules such as the following: 1.</S> <S sid="243" ssid="107">This model is easily incorporated into the segmenter by building a WFST restrictÃÂ­ ing the names to the four licit types, with costs on the arcs for any particular name summing to an estimate of the cost of that name.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


