Citance Number: 1 | Reference Article:  D10-1001.txt | Citing Article:  D10-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, in other recent work, Rush et al (2010) describe dual decomposition approaches for other NLP problems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This section describes the dual decomposition approach for two inference problems in NLP.</S><S sid = NA ssid = NA>Our work is inspired by dual decomposition methods for inference in Markov random fields (MRFs) (Wainwright et al., 2005a; Komodakis et al., 2007; Globerson and Jaakkola, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  D10-1001.txt | Citing Article:  E12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is becoming popular in the NLP community and has been shown to work effectively on several NLP tasks (Rush et al 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method is a heuristic, but previous work (e.g., Komodakis et al. (2007)) has shown that it is effective in practice; we use it in this paper.</S><S sid = NA ssid = NA>Other work has considered LP or integer linear programming (ILP) formulations of inference in NLP (Martins et al., 2009; Riedel and Clarke, 2006; Roth and Yih, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D10-1001.txt | Citing Article:  E12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To find the minimum value, we can use a subgradient method (Rush et al 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Instead, a standard approach is to use a subgradient method.</S><S sid = NA ssid = NA>This method is a heuristic, but previous work (e.g., Komodakis et al. (2007)) has shown that it is effective in practice; we use it in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D10-1001.txt | Citing Article:  E12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The answer does not always solve the original problem Eq (2), but previous works (e.g., (Rush et al 2010)) has shown that it is effective in practice.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method is a heuristic, but previous work (e.g., Komodakis et al. (2007)) has shown that it is effective in practice; we use it in this paper.</S><S sid = NA ssid = NA>The original optimization problem was to find max(y,z)EQ (y · 0cfg + z · 0tag) (see Eq.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D10-1001.txt | Citing Article:  E12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follows the formulation by Rush et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The benefit of the formulation in Eq.</S><S sid = NA ssid = NA>The structure of this paper is as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D10-1001.txt | Citing Article:  N12-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An example that oscillates can be constructed along lines similar to the one given by Rush et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See Koo et al. (2010) for a similar, but less aggressive step size used to solve a different task.</S><S sid = NA ssid = NA>The constraints are given in figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D10-1001.txt | Citing Article:  P11-1163.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Parsing using dual-decomposition (Rush et al, 2010) seems especially promising in this area.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Koo et al. (2010) describe a dual decomposition approach for non-projective dependency parsing, which makes use of both dynamic programming and spanning tree inference algorithms.</S><S sid = NA ssid = NA>We now describe the dual decomposition approach for integrated parsing and trigram tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D10-1001.txt | Citing Article:  P14-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Alternatively, one can employ dual decomposition (Rush et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Koo et al. (2010) describe a dual decomposition approach for non-projective dependency parsing, which makes use of both dynamic programming and spanning tree inference algorithms.</S><S sid = NA ssid = NA>Our work is inspired by dual decomposition methods for inference in Markov random fields (MRFs) (Wainwright et al., 2005a; Komodakis et al., 2007; Globerson and Jaakkola, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D10-1001.txt | Citing Article:  P13-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>AD resembles the subgradient based algorithm of Rush et al (2010), but it enjoys a faster convergence rate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The complete subgradient algorithm is given in figure 4.</S><S sid = NA ssid = NA>Then we defined αk = α0 * 2−7k, where 77k is the number of times that L(u(k')) > L(u(k'−1)) for k0 < k. This learning rate drops at a rate of 1/21, where t is the number of times that the dual increases from one iteration to the next.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D10-1001.txt | Citing Article:  D12-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dual decomposition is a generic method that has been proposed for handling decoding (i.e. optimization) with such models, by decoupling the problem into two alternating steps that can each be handled by dynamic programming or other polynomial-time algorithms (Rush et al 2010), an approach that has been applied to Statistical Ma chine Translation (phrase-based (Chang and Collins, 1133 2011) and hierarchical (Rush and Collins, 2011)) among others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Koo et al. (2010) describe a dual decomposition approach for non-projective dependency parsing, which makes use of both dynamic programming and spanning tree inference algorithms.</S><S sid = NA ssid = NA>However, these methods, although polynomial time, are substantially less efficient than our algorithms, and are considerably more complex to implement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D10-1001.txt | Citing Article:  P12-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Though Mate scored higher overall, Berkeley's parser was better at recovering longer-distance relations, suggesting that a combined approach could perhaps work better still (Rush et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our second example problem is the integration of a phrase-structure parser with a higher-order dependency parser.</S><S sid = NA ssid = NA>We now turn to the problem of recovering a primal solution of the LP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D10-1001.txt | Citing Article:  P11-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We optimize the values of the u (i, t) variables using the same algorithm as Rush et al (2010) for their tagging and parsing problem (essentially a perceptron update).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The integrated parsing problem is then to find where R = {(y, d) : y ∈ H, d ∈ D, y(i, j) = d(i, j) for all (i, j) ∈ Ifirst} This problem has a very similar structure to the problem of integrated parsing and tagging, and we can derive a similar dual decomposition algorithm.</S><S sid = NA ssid = NA>7 enforce consistency between the µ(i, Y ) variables and rule variables higher in the tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D10-1001.txt | Citing Article:  P11-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, if it does not converge or we stop early, an approximation must be returned: following Rush et al (2010) we used the highest scoring output of the parsing submodel over all iterations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Over 80% of the examples converge in 5 iterations or fewer; over 90% converge in 10 iterations or fewer.</S><S sid = NA ssid = NA>We used the following step size in our experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D10-1001.txt | Citing Article:  P13-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See Koo et al. (2010) for a similar, but less aggressive step size used to solve a different task.</S><S sid = NA ssid = NA>2 is that it makes explicit the idea of maximizing over all pairs (y, z) under a set of agreement constraints y(i, t) = z(i, t)—this concept will be central to the algorithms in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D10-1001.txt | Citing Article:  P11-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, we can employ dual decomposition as an approximate inference technique (Rush et al., 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Koo et al. (2010) describe a dual decomposition approach for non-projective dependency parsing, which makes use of both dynamic programming and spanning tree inference algorithms.</S><S sid = NA ssid = NA>This paper has considered approaches for MAP inference; for closely related methods that compute approximate marginals, see Wainwright et al. (2005b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D10-1001.txt | Citing Article:  P11-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The dual decomposition inference approach allows us to exploit this sub-graph structure (Rush et al., 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Koo et al. (2010) describe a dual decomposition approach for non-projective dependency parsing, which makes use of both dynamic programming and spanning tree inference algorithms.</S><S sid = NA ssid = NA>This section describes the dual decomposition approach for two inference problems in NLP.</S> | Discourse Facet:  NA | Annotator: Automatic


