Citance Number: 1 | Reference Article:  J08-2005.txt | Citing Article:  P09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow the approach in (Punyakanok et al, 2008) in framing the SRL problem as a two-stage pipeline: identification followed by labeling.</S> | Reference Offset:  ['51','242'] | Reference Text:  <S sid = 51 ssid = >As with our full syntactic parse?based SRL system (Koomen et al.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J08-2005.txt | Citing Article:  P14-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These annotations were obtained by automatically semantic role labelling portions of CHILDES with the system of Punyakanok et al (2008) before roughly hand-correcting them (Connor et al, 2008).</S> | Reference Offset:  ['40','242'] | Reference Text:  <S sid = 40 ssid = >based system (Hacioglu et al.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J08-2005.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Punyakanok et al. (2008) and Toutanova et al. (2008) used global inference to ensure that the predictions across all arguments of the same predicate are coherent.</S> | Reference Offset:  ['40','242'] | Reference Text:  <S sid = 40 ssid = >based system (Hacioglu et al.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J08-2005.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We re-implemented the system of Punyakanok et al (2008), which we briefly describe here, to serve as our baseline verb semantic role labeler.</S> | Reference Offset:  ['0','242'] | Reference Text:  <S sid = 0 ssid = >The Importance of Syntactic Parsing and Inference in Semantic Role Labeling Vasin Punyakanok??</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J08-2005.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The verb SRL system of Punyakanok et al (2008) consists of four stages: candidate generation, argument identification, argument classification and inference.</S> | Reference Offset:  ['102','121'] | Reference Text:  <S sid = 102 ssid = >SRL System Architecture Adhering to the most common architecture for SRL systems, our SRL system consists of four stages: pruning, argument identification, argument classification, and inference.</S><S sid = 121 ssid = >3.2 Argument Identification The argument identification stage utilizes binary classification to identify whether a candidate is an argument or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J08-2005.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >ILPs have since been used successfully in many NLP applications involving complex structures - Punyakanok et al. (2008) for semantic role labeling, Riedel and Clarke (2006) and Martins et al. (2009) for dependency parsing and several others.</S> | Reference Offset:  ['40','242'] | Reference Text:  <S sid = 40 ssid = >based system (Hacioglu et al.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J08-2005.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared to the 76.29% F1 score reported by Punyakanok et al (2008) using single parse tree predictions from the parser, our system obtained 76.22% F1 score on section 23 of the Penn Treebank.</S> | Reference Offset:  ['444','514'] | Reference Text:  <S sid = 444 ssid = >0.76 Auto 77.09 75.51 76.29 ?</S><S sid = 514 ssid = >0.79 Charniak?s parser 77.09 75.51 76.29 ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J08-2005.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a technical point, this defines one inference problem per sentence, rather than per predicate as in the verb SRL system of Punyakanok et al (2008).</S> | Reference Offset:  ['242','424'] | Reference Text:  <S sid = 242 ssid = >as introduced by Punyakanok et al.</S><S sid = 424 ssid = >Note that because each verb is processed independently, a sentence is processed once for each verb in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J08-2005.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Das et al (2014) and Punyakanok et al (2008) we use the log-probability of the local classifiers as a score in an integer linear program (ILP) to assign roles subject to hard constraints described in 5.4 and 5.5.</S> | Reference Offset:  ['242','255'] | Reference Text:  <S sid = 242 ssid = >as introduced by Punyakanok et al.</S><S sid = 255 ssid = >An integer linear program is a linear program with integral variables.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J08-2005.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here, too, the embedding model barely misses the performance of the best baseline, but we are at par and sometimes better than the single parser setting of a state-of-the-art SRL system (Punyakanok et al, 2008).</S> | Reference Offset:  ['39','242'] | Reference Text:  <S sid = 39 ssid = >As a result, the performance of the best shallow parsing?</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J08-2005.txt | Citing Article:  N10-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Directed edges link verbs to the head words of semantic role labeling arguments produced by (Punyakanok et al, 2008).</S> | Reference Offset:  ['0','242'] | Reference Text:  <S sid = 0 ssid = >The Importance of Syntactic Parsing and Inference in Semantic Role Labeling Vasin Punyakanok??</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J08-2005.txt | Citing Article:  W11-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Punyakanok et al (2008) formulate a variety of constraints on argument configurations.</S> | Reference Offset:  ['169','242'] | Reference Text:  <S sid = 169 ssid = >By disregarding the chunks, there are four configurations?</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J08-2005.txt | Citing Article:  P11-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It also has been shown to produce state-of-the-art results on many natural language applications (Punyakanok et al, 2008).</S> | Reference Offset:  ['49','242'] | Reference Text:  <S sid = 49 ssid = >The inference procedure is formalized via an Integer Linear Programming framework and is shown to yield state-of-the-art results on this task.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J08-2005.txt | Citing Article:  W11-0327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the joint inference procedure in (Punyakanok et al, 2008), we want to select a label for each argument such that the total score is maximized subject to some constraints.</S> | Reference Offset:  ['55','242'] | Reference Text:  <S sid = 55 ssid = >The combination process is done through a joint inference stage, which takes the output of each individual system as input and generates the best predictions, subject to various structural and linguistic constraints.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J08-2005.txt | Citing Article:  W11-0327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our baseline SRL model is an implementation of (Punyakanok et al, 2008) which was the top performing system in CoNLL 2005 shared task.</S> | Reference Offset:  ['511','533'] | Reference Text:  <S sid = 511 ssid = >Empirical Evaluation?CoNLL Shared Task 2005 In this section, we present the detailed evaluation of our SRL system, in the competi- tion on semantic role labeling?the CoNLL-2005 shared task (Carreras and Ma`rquez 278 Punyakanok, Roth, and Yih Importance of Parsing and Inference in SRL Table 11 The performance of individual and combined SRL systems.</S><S sid = 533 ssid = >Table 12 Overall CoNLL-2005 shared task results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J08-2005.txt | Citing Article:  W11-0327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to space constraints, we omit the details of the system and refer readers to (Punyakanok et al, 2008).</S> | Reference Offset:  ['182','242'] | Reference Text:  <S sid = 182 ssid = >The details of these features are as follows.</S><S sid = 242 ssid = >as introduced by Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


