Citance Number: 1 | Reference Article:  C92-2082.txt | Citing Article:  W99-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hearst (1992) found individual pairs of hypernyms and hyponyms from text using pattern-matching techniques.</S> | Reference Offset:  ['30','157'] | Reference Text:  <S sid = 30 ssid = >The general feeling is that the struc- ture and function of MRDs makes their interpretation amenable to pattern-recognition techniques.</S><S sid = 157 ssid = >Out of these, 152 relations fit tile re- strictions of the experiment, namely that both the hyponyms and the hypernyms are unmodified (with the exceptions mentioned above).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C92-2082.txt | Citing Article:  N07-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Automatically extracted lexico-syntactic patterns have been successfully employed in various term extraction tasks (Hearst, 1992).</S> | Reference Offset:  ['56','59'] | Reference Text:  <S sid = 56 ssid = >In the next section we outline a way to discover these lexico-syntactic patterns as well as illustrate those we have found.</S><S sid = 59 ssid = >2 Lexico-Syntactic Patterns for Hyponymy Since only a subset of the possible instances of the hyponymy relation will appear in a particular form, we need to make use of as many patterns as possi- ble.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C92-2082.txt | Citing Article:  N07-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Phrases such as also known as, is a, part of, is an example of all indicate various of semantic relations. Such indicative phrases have been successfully applied in various tasks such as synonym extraction, hyponym extraction (Hearst, 1992) and fact extraction (Pasca et al, 2006).</S> | Reference Offset:  ['45','194'] | Reference Text:  <S sid = 45 ssid = >Another purpose to which these relations can be applied is the identifi- cation of the general meaning of an unfamiliar noun phrases.</S><S sid = 194 ssid = >We would also like to do some analysis of the noun phrases that are acquired, and to explore the effects of various kinds of modifiers on the appropriateness of the noun phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C92-2082.txt | Citing Article:  P07-3014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The idea of searching a large corpus for specific lexico-syntactic phrases to indicate a semantic relation of interest was first described by Hearst (1992).</S> | Reference Offset:  ['2','36'] | Reference Text:  <S sid = 2 ssid = >We identify a set of lexico-syntactic patterns that are easily rec- ognizable, that occur iYequently and across text genre boundaries, and that indisputably indicate the lexical relation of interest.</S><S sid = 36 ssid = >However, we have identified a set of lexico-syntactic patterns, in- cluding the one shown in (In) above, that indicate the hyponymy relation and that satisfy the following desiderata: (i) They occur frequently and in many text genres.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C92-2082.txt | Citing Article:  P06-2075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hearst (1992) pioneered the use of lexical syntactic patterns for automatic extraction of lexical semantic relationships.</S> | Reference Offset:  ['182','189'] | Reference Text:  <S sid = 182 ssid = >We can then make use of a lexical disambiguation algorithm, e.g., (Hearst 1991), to de- termine which sense of the hypernym is being used iu the sample sentence.</S><S sid = 189 ssid = >4 Conc lus ions We have described a low-cost approach for automatic acquisition of semantic lexical relations from uure- stricted text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C92-2082.txt | Citing Article:  P06-2075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 1: The patterns we used for entailment acquisition based on (Hearst, 1992) and (Pantel et al, 2004).</S> | Reference Offset:  ['20','113'] | Reference Text:  <S sid = 20 ssid = >We use the term hyponym similarly to the sense used in (Miller et el.</S><S sid = 113 ssid = >2 WordNet (Miller et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C92-2082.txt | Citing Article:  W09-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The pioneering work of Hearst (1992) applied fixed patterns like NP1, especially NP2 to derive that NP1 is a hypernym of NP2.</S> | Reference Offset:  ['18','97'] | Reference Text:  <S sid = 18 ssid = >However, the semantics of the lexico-syntactic construction i - dicated by the pattern: (la) NPo ..... h as {NP1, NP2 .</S><S sid = 97 ssid = >2.3 Related Work This section discusses work in acquisition of lexical in- formation from text corpora, although as mentioned earlier, significant work has been done in acquiring lexical information from MRDs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C92-2082.txt | Citing Article:  D09-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work most closely related to ours is that of (Hearst, 1992) who introduced the idea of applying hyponym patterns to text, which explicitly identify a hyponym relation between two terms (e.g., 2The number of ranked concepts that pass CPT changes in each iteration.</S> | Reference Offset:  ['63','97'] | Reference Text:  <S sid = 63 ssid = >~... hyponym( "bruise".</S><S sid = 97 ssid = >2.3 Related Work This section discusses work in acquisition of lexical in- formation from text corpora, although as mentioned earlier, significant work has been done in acquiring lexical information from MRDs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C92-2082.txt | Citing Article:  D09-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They build a classifier using the different hypernym patterns and find among the highest precision patterns those of (Hearst, 1992).</S> | Reference Offset:  ['59','80'] | Reference Text:  <S sid = 59 ssid = >2 Lexico-Syntactic Patterns for Hyponymy Since only a subset of the possible instances of the hyponymy relation will appear in a particular form, we need to make use of as many patterns as possi- ble.</S><S sid = 80 ssid = >Initially we dis- covered patterns (1 ) -  (3) 5y observation, looldug through text and noticing die patterns and tile rela- tionships they indicate, lu order to find new patterns automatical ly, we sketch the following procedure: 1. l)ecide on a lexical relation, R, that is of interest, e.g., "gro up/member"(iu our formulation this is a subset of the hypouylny relation).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C92-2082.txt | Citing Article:  D09-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, (Ritter et al, 2009) reported hypernym learning using (Hearst, 1992) patterns and manually tagged common and proper nouns.</S> | Reference Offset:  ['95','113'] | Reference Text:  <S sid = 95 ssid = >However, we have bad some success at iden- tification of more specific relations, such as patterns that indicate certain types of proper nouns.</S><S sid = 113 ssid = >2 WordNet (Miller et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C92-2082.txt | Citing Article:  P14-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Hearst, 1992) If any pattern matches the structure of the dependency parse tree, the hypernym can be extracted.</S> | Reference Offset:  ['147','153'] | Reference Text:  <S sid = 147 ssid = >Using tile constituent analyzer, it is not necessary to parse the entire sell- tence; instead we look at just enough local context around the iexical items in the pattern to ensure that tile nouns in tile pattern are isolated.</S><S sid = 153 ssid = >We placed the WordNet noun hierarchy into a b-tree data structure for efficient retrieval and update and used a breadth-first-search to search through the transit ive closure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C92-2082.txt | Citing Article:  C10-2094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The procedure uses a collection of Web documents and applies some IsA extraction patterns selected from (Hearst, 1992).</S> | Reference Offset:  ['26','80'] | Reference Text:  <S sid = 26 ssid = >OV COLING-92, NhNTIIS, AUG. 23-28, 1992 (Alshawi 1987), in interpreting LDOCE definitions, uses a hierarchy of patterns which consist mainly of part-of-speech indicators and wildcard characters.</S><S sid = 80 ssid = >Initially we dis- covered patterns (1 ) -  (3) 5y observation, looldug through text and noticing die patterns and tile rela- tionships they indicate, lu order to find new patterns automatical ly, we sketch the following procedure: 1. l)ecide on a lexical relation, R, that is of interest, e.g., "gro up/member"(iu our formulation this is a subset of the hypouylny relation).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C92-2082.txt | Citing Article:  W12-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hearst (1992) was the first to propose a pattern-based approach to this task using lexico-syntactic patterns to automatically extract hyponyms and this technique has frequently been used for ontology learning.</S> | Reference Offset:  ['24','36'] | Reference Text:  <S sid = 24 ssid = >This approach is siml- lar in spirit to the pattern-based interpretation tech- niques being used in MRD processing.</S><S sid = 36 ssid = >However, we have identified a set of lexico-syntactic patterns, in- cluding the one shown in (In) above, that indicate the hyponymy relation and that satisfy the following desiderata: (i) They occur frequently and in many text genres.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C92-2082.txt | Citing Article:  N10-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Initial research on taxonomy learning focused on identifying in a given text lexico-syntactic patterns that suggest hyponymy relations (Hearst, 1992).</S> | Reference Offset:  ['36','59'] | Reference Text:  <S sid = 36 ssid = >However, we have identified a set of lexico-syntactic patterns, in- cluding the one shown in (In) above, that indicate the hyponymy relation and that satisfy the following desiderata: (i) They occur frequently and in many text genres.</S><S sid = 59 ssid = >2 Lexico-Syntactic Patterns for Hyponymy Since only a subset of the possible instances of the hyponymy relation will appear in a particular form, we need to make use of as many patterns as possi- ble.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C92-2082.txt | Citing Article:  E12-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These patterns, as those proposed by Hearst (1992) and used in many projects since, may not be 100% reliable.</S> | Reference Offset:  ['93','182'] | Reference Text:  <S sid = 93 ssid = >The patterns fotu~.d for this relation do not tend to uniquely identify it, but can be used to express other relations as well.</S><S sid = 182 ssid = >We can then make use of a lexical disambiguation algorithm, e.g., (Hearst 1991), to de- termine which sense of the hypernym is being used iu the sample sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C92-2082.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hearst (1992) pioneered using patterns to extract hyponym (is-a) relations.</S> | Reference Offset:  ['28','63'] | Reference Text:  <S sid = 28 ssid = >1986), (Jensen & Binot 1987), and (Nakamura & Nagao 1988) also use pattern recogni- tion to extract semantic relations uch as taxonomy from various dictionaries.</S><S sid = 63 ssid = >~... hyponym( "bruise".</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C92-2082.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) proposed a system for part-of relation extraction, based on the (Hearst 1992) approach.</S> | Reference Offset:  ['24','29'] | Reference Text:  <S sid = 24 ssid = >This approach is siml- lar in spirit to the pattern-based interpretation tech- niques being used in MRD processing.</S><S sid = 29 ssid = >(Ahlswede & Evens I988) compares an approach based on parsing Websters 7th definitions with one based on pattern recognition, and finds that for finding simple semantic relations, pattern recognition [s far more accurate and efficient than parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


