Citance Number: 1 | Reference Article:  J08-1001.txt | Citing Article:  E09-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Barzilay and Lapata (2008) presented early work in investigating the use of discourse to distinguish abridged from original encyclopedia articles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The corpus contains 107 articles from the full version of the encyclopedia and their corresponding simplified articles from Britannica Elementary (214 articles in total).</S><S sid = NA ssid = NA>Our results are presented in Section 4.3.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J08-1001.txt | Citing Article:  W12-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The entity-based coherence model, proposed by Barzilay and Lapata (2008), is one of the most popular statistical models of inter-sentential coherence, and learns coherence properties similar to those employed by Centering Theory (Grosz et al, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This assumption is not arbitrary—some of these regularities have been recognized in Centering Theory (Grosz, Joshi, and Weinstein 1995) and other entity-based theories of discourse (e.g., Givon 1987; Prince 1981).</S><S sid = NA ssid = NA>Similar observations have been made in other work which is closer in spirit to Centering’s claims (Hasler 2004; Karamanis et al. 2004; Poesio et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J08-1001.txt | Citing Article:  W12-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Their local model of discourse coherence is based on the entity-grid (Barzilay and Lapata, 2008), as well as on the lexicalized IBM model (see Section 4.6 above); we have experimented with both, and showed that they have a minimal effect on grading performance with the FCE dataset.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we describe our entity-based representation of discourse.</S><S sid = NA ssid = NA>Barzilay and Lapata Modeling Local Coherence Furthermore, note that discourse-level information is absent from Schwarm and Ostendorf’s (2005) original model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we show in a sentence ordering experiment that topological field information improves the entity grid model of Barzilay and Lapata (2008) more than grammatical role and simple clausal order information do, particularly when manual annotations of this information are not available.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Such information can be expressed in many ways (e.g., using constituent labels or thematic role information).</S><S sid = NA ssid = NA>We present two task-based experiments that put this hypothesis to the test: information ordering (Experiment 1) and summary coherence rating (Experiment 2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Barzilay and Lapata (2008) introduce the entity grid as a method of representing the coherence of a document.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Barzilay and Lapata Modeling Local Coherence coherence score assigned to the original document against each of its permutations.</S><S sid = NA ssid = NA>Then, we introduce our entity-based representation, and define its linguistic properties.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Barzilay and Lapata (2008), an entity grid is constructed for each document, and is represented as a matrix in which each row represents a sentence, and each column represents an entity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Co-occurrence information is collected in a frequency matrix, where each row corresponds to a unique word, and each column represents a given linguistic context (e.g., sentence, document, or paragraph).</S><S sid = NA ssid = NA>A local entity transition is a sequence {S, O, X, –}n that represents entity occurrences and their syntactic roles in n adjacent sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We test a version of the entity grid representation augmented with topological fields in a sentence ordering experiment corresponding to Experiment 1 of Barzilay and Lapata (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present two task-based experiments that put this hypothesis to the test: information ordering (Experiment 1) and summary coherence rating (Experiment 2).</S><S sid = NA ssid = NA>We experimented with two models that yielded good performances in our previous experiments: Coreference+Syntax+Salience+ (see Experiment 1) and Coreference−Syntax+Salience+ (see Experiment 2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This set is larger than the set that was used in Experiment 1 of Barzilay and Lapata (2008), which consists of 400 documents in two English subcorpora on earthquakes and accidents respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Six documents from the training data were used as a development set.</S><S sid = NA ssid = NA>For the latter experiment the training data set was created by randomly sampling 50 Earthquakes and 50 Accidents documents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Barzilay and Lapata (2008) found that grammatical role improves performance in this task for an English corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unfortunately, we could not Barzilay and Lapata Modeling Local Coherence employ Barzilay and Lee’s (2004) content models for the summary ranking task.</S><S sid = NA ssid = NA>We simply record whether an entity is mentioned in the discourse and in what grammatical role.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The results we obtain are higher than the results for the English corpora of Barzilay and Lapata (2008) (87.2% on the Earthquakes corpus and 90.4% on the Accidents corpus), but this is probably due to corpus differences as well as the availability of perfect coreference information in our experiments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments, we built two content models, one for the Accidents corpus and one for the Earthquake corpus.</S><S sid = NA ssid = NA>In fact, inspection of the grids from the Accidents corpus reveals that they have many sequences of the form [X X X], [X − − X], [X X − −], and [− − X X] in common, Two texts from the Earthquakes and Accidents corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J08-1001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Barzilay and Lapata (2008) use the coreference system of Ng and Cardie (2002) to obtain coreference annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments, we employ Ng and Cardie’s (2002) coreference resolution system.</S><S sid = NA ssid = NA>The system we employ (Ng and Cardie 2002) was trained on human-authored newspaper texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J08-1001.txt | Citing Article:  E12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We extend the original entity-based coherence model (Barzilay and Lapata, 2008) by learning from more fine-grained coherence preferences in training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Barzilay and Lapata Modeling Local Coherence An important future direction lies in augmenting our entity-based representation with more fine-grained lexico-semantic knowledge.</S><S sid = NA ssid = NA>Barzilay and Lapata Modeling Local Coherence coherence score assigned to the original document against each of its permutations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J08-1001.txt | Citing Article:  E12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We show that our multiple-rank model outperforms B & L's basic model on two tasks, sentence ordering and summary coherence rating, evaluated on the same datasets as in Barzilay and Lapata (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following sections we evaluate their performance on three tasks: sentence ordering, summary coherence rating, and readability assessment.</S><S sid = NA ssid = NA>Barzilay and Lapata Modeling Local Coherence Summary coherence rating can be also formulated as a ranking learning task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J08-1001.txt | Citing Article:  E12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For entity extraction, Barzilay and Lapata (2008) had two conditions: Coreference + and Coreference -.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Entity Extraction.</S><S sid = NA ssid = NA>On the Earthquakes corpus every model that does not use coreference information (Coreference−Syntax[+/−]Salience[+/−]) performs significantly worse than models augmented with coreference (Coreference+ Syntax[+/−]Salience[+/−]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J08-1001.txt | Citing Article:  E12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Two evaluation tasks for Barzilay and Lapata (2008)'s entity-based model are sentence ordering and summary coherence rating.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following sections we evaluate their performance on three tasks: sentence ordering, summary coherence rating, and readability assessment.</S><S sid = NA ssid = NA>Barzilay and Lapata Modeling Local Coherence Summary coherence rating can be also formulated as a ranking learning task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J08-1001.txt | Citing Article:  E12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Barzilay and Lapata (2008) experimented on two datasets: news articles on the topic of earthquakes (Earthquakes) and narratives on the topic of aviation accidents (Accidents).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first collection consists of Associated Press articles from the North American News Corpus on the topic of earthquakes (Earthquakes).</S><S sid = NA ssid = NA>The second includes narratives from the National Transportation Safety Board’s aviation accident database (Accidents).</S> | Discourse Facet:  NA | Annotator: Automatic


