Citance Number: 1 | Reference Article:  J01-2001.txt | Citing Article:  W02-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldsmith (2001b; 2001a), inspired by de Marcken's (1995) thesis on minimum description length, attempts to provide both a list of morphemes and an analysis of each word in a corpus.</S> | Reference Offset:  ['172','236'] | Reference Text:  <S sid = 172 ssid = >De Marcken describes an unsupervised learning algorithm for the development of a lexicon using a minimum description length framework.</S><S sid = 236 ssid = >The compressed length of the model is the length of the stem list, the suffix list, and the signature list.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J01-2001.txt | Citing Article:  D10-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also experimented with Linguistica (Goldsmith, 2001), training on a large corpus, but results were worse than with Morfessor.</S> | Reference Offset:  ['335','466'] | Reference Text:  <S sid = 335 ssid = >The results in English are typical of the results in the other European languages that I have studied.</S><S sid = 466 ssid = >Goldsmith Unsupervised Learning of the Morphology of a Natural Language posite words are worse than they were, leading to a poorer description (via increased cross-entropy, we might say).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J01-2001.txt | Citing Article:  D09-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unsupervised monolingual segmentation has been studied as a model of language acquisition (Goldwateret al, 2006), and as model of learning morphology in European languages (Goldsmith, 2001).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Learning Of The Morphology Of A Natural Language</S><S sid = 1 ssid = >This study reports the results of using minimum description length (MDL) analysis to model unsupervised learning of the morphological segmentation of European languages, using corpora ranging in size from 5,000 words to 500,000 words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J01-2001.txt | Citing Article:  W04-0106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Goldsmith, 2001) a recursive structure is proposed, such that stems can consist of a sub-stem and a suffix.</S> | Reference Offset:  ['256','320'] | Reference Text:  <S sid = 256 ssid = >Goldsmith Unsupervised Learning of the Morphology of a Natural Language We may distinguish between those words, like work or working, whose immediate analysis involves a stem appearing in the stem list (we may call these WsiMPLE) and those whose analysis, like workings, involves recursive structure (we may call these Wcompux).</S><S sid = 320 ssid = >The presence of a signature rests upon the existence of a structure as in (6), where there are at least two members present in each column, and all combinations indicated in this structure are present in the corpus, and, in addition, each stem is found with no other suffix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J01-2001.txt | Citing Article:  W04-0106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, it performs better than a state-of-the-art morphology learning algorithm, Linguistica (Goldsmith, 2001), when evaluated on Finnish data.</S> | Reference Offset:  ['0','49'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Learning Of The Morphology Of A Natural Language</S><S sid = 49 ssid = >The present morphology learning algorithm is contained in a C++ program called Linguistica that runs on a desktop PC and takes a text file as its input.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J01-2001.txt | Citing Article:  W04-0106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The new category-learning algorithm is compared to two other algorithms, namely the baseline segmentation algorithm presented in (Creutz, 2003), which was also utilized for initializing the segmentation in the category-learning algorithm, and the Linguistica algorithm (Goldsmith, 2001).</S> | Reference Offset:  ['49','430'] | Reference Text:  <S sid = 49 ssid = >The present morphology learning algorithm is contained in a C++ program called Linguistica that runs on a desktop PC and takes a text file as its input.'</S><S sid = 430 ssid = >Goldsmith Unsupervised Learning of the Morphology of a Natural Language for which no analysis was provided by the algorithm, and Spurious Analysis are the cases of words that are not morphologically complex but were analyzed as containing a suffix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J01-2001.txt | Citing Article:  W06-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consider, for instance, the model of morphology described in Goldsmith (2001).</S> | Reference Offset:  ['274','281'] | Reference Text:  <S sid = 274 ssid = >The point to emphasize is that the primary responsibility of the overall morphology is not that of the initial heuristic, but rather of the MDL model described in the previous section.</S><S sid = 281 ssid = >Consider a word such as diplomacy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J01-2001.txt | Citing Article:  P10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Third, we use a morphological representation based on signatures, which are sets of affixes that represent a family of words sharing an inflectional or derivational morphology (Goldsmith, 2001).</S> | Reference Offset:  ['39','211'] | Reference Text:  <S sid = 39 ssid = >The problem, then, involves both the determination of the correct morphological split for individual words, and the establishment of accurate categories of stems based on the range of suffixes that they accept: inflectional suffixes on a word which contains a stem that is followed by two or more inflectional suffixes, and we would like to identify derivational prefixes and suffixes.</S><S sid = 211 ssid = >Since stem, suffix, and signature all begin with s, we opt for using t to represent a stem, f to represent a suffix, and a to represent a signature, while the uppercase T, F, E represent the sets of stems, suffixes, and signatures, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J01-2001.txt | Citing Article:  P10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Then, for each stem, the set of all affixes with which it appears (its signature, (Goldsmith, 2001)) is collected.</S> | Reference Offset:  ['205','312'] | Reference Text:  <S sid = 205 ssid = >Finally, each stem is empirically associated with a set of suffixes (those with which it appears in the corpus); we call this set the stem's signature, and we construct a third list, consisting of the signatures that appear in this corpus.</S><S sid = 312 ssid = >Because each stem is associated with exactly one signature, we will also use the term signature to refer to the set of affixes along with the associated set of stems when no ambiguity arises.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J01-2001.txt | Citing Article:  E09-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dependence on frequency and length is motivated by the observation that less frequent and shorter affixes are more likely to be erroneous (see Goldsmith (2001)).</S> | Reference Offset:  ['273','526'] | Reference Text:  <S sid = 273 ssid = >It seems likely that one could construct a number of additional heuristics of this sort.</S><S sid = 526 ssid = >But I think that such a belief is very likely mistaken.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J01-2001.txt | Citing Article:  E09-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dependence on frequency and length is motivated by the observation that less frequent and shorter affixes are more likely to be erroneous (see Goldsmith (2001)).</S> | Reference Offset:  ['273','526'] | Reference Text:  <S sid = 273 ssid = >It seems likely that one could construct a number of additional heuristics of this sort.</S><S sid = 526 ssid = >But I think that such a belief is very likely mistaken.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J01-2001.txt | Citing Article:  C10-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is time consuming and, as Goldsmith (2001) explains, leaves difficult decisions of what constitutes a morpheme to on-the-fly subjective opinion.</S> | Reference Offset:  ['70','444'] | Reference Text:  <S sid = 70 ssid = >With the exception of Harris's algorithm, the complexity of the algorithms is such as to make implementation for purposes of comparison prohibitively time-consuming.</S><S sid = 444 ssid = >On the whole, the effects are quite good, but by no means as close as one would like to a human's decisions in a certain number of cases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J01-2001.txt | Citing Article:  W08-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The evaluation should also be done with respect to well known systems like Linguistica (Goldsmith, 2001) or the morphological analyzer of Bernhard (2006).</S> | Reference Offset:  ['12','565'] | Reference Text:  <S sid = 12 ssid = >Issues of interface with phonology, traditionally known as morphophonology, and with syntax are not directly addressed.'</S><S sid = 565 ssid = >These notions were rejected as irrelevant by early workers in early generative grammar (Goldsmith 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J01-2001.txt | Citing Article:  W06-3209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare our system with Linguistica (Goldsmith 2001), and discuss the advantages of the probabilistic paradigm over Linguistica's signature representation.</S> | Reference Offset:  ['49','375'] | Reference Text:  <S sid = 49 ssid = >The present morphology learning algorithm is contained in a C++ program called Linguistica that runs on a desktop PC and takes a text file as its input.'</S><S sid = 375 ssid = >We collect all such rules, and compare by frequency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J01-2001.txt | Citing Article:  W06-3209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These models include the signature of (Goldsmith 2001), the conflation set of (Schone and Jurafsky 2001), the paradigm of (Brent et. al. 2002), and the inflectional class of (Monson 2004).</S> | Reference Offset:  ['480','565'] | Reference Text:  <S sid = 480 ssid = >31 In particular, consider a paradigm with a set {0 of suffixes.</S><S sid = 565 ssid = >These notions were rejected as irrelevant by early workers in early generative grammar (Goldsmith 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J01-2001.txt | Citing Article:  W06-3209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare the probabilistic paradigm to the signature model of (Goldsmith 2001).</S> | Reference Offset:  ['375','480'] | Reference Text:  <S sid = 375 ssid = >We collect all such rules, and compare by frequency.</S><S sid = 480 ssid = >31 In particular, consider a paradigm with a set {0 of suffixes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J01-2001.txt | Citing Article:  W06-3209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this section, we compare our system with Linguistica (Goldsmith 2001), a freely available program for unsupervised discovery of morphological structure.</S> | Reference Offset:  ['24','54'] | Reference Text:  <S sid = 24 ssid = >It performs unsupervised learning in the sense that the program's sole input is the corpus; we provide the program with the tools to analyze, but no dictionary and no morphological rules particular to any specific language.</S><S sid = 54 ssid = >In this paper, I will discuss prior work in this area (Section 2), the nature of the MDL model we propose (Section 3), heuristics for the task of the initial splitting of words into stem and affix (Section 4), the resulting signatures (Section 5), use of MDL to search the space of morphologies (Section 6), results (Section 7), the identification of entirely spurious generalizations (section 8), the grouping of signatures into larger units (Section 9), and directions for further improvements (Section 10).</S> | Discourse Facet:  NA | Annotator: Automatic


