Citance Number: 1 | Reference Article:  N06-2015.txt | Citing Article:  P06-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The data we used for our experiments are developed as part of the OntoNotes project (Hovy et al, 2006) and they come from a variety of sources.</S> | Reference Offset:  ['17','47'] | Reference Text:  <S sid = 17 ssid = >To expedite later stages of annotation, we have developed a parsing system (Gabbard et al., 2006) that recovers both of these latter annotations, the first we know of.</S><S sid = 47 ssid = >Omega, which has been used for MT, summarization, and database alignment, has been assembled semi-automatically by merging a variety of sources, including Princeton’s WordNet, New Mexico State University’s Mikrokosmos, and a variety of Upper Models, including DOLCE (Gangemi et al., 2002), SUMO (Niles and Pease, 2001), and ISI’s Upper Model, which are in the process of being reconciled.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N06-2015.txt | Citing Article:  W07-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Overall, however, this data indicates that the approach suggested by (Palmer, 2000) and that is being adopted in the ongoing OntoNotes project (Hovyet al, 2006) does result in higher system performance.</S> | Reference Offset:  ['26','37'] | Reference Text:  <S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S><S sid = 37 ssid = >Training on this new data, Chen and Palmer (2005) report 86.3% accuracy for verbs using a smoothed maximum entropy model and rich linguistic features, which is 10% higher than their earlier, stateof-the art performance on ungrouped, fine-grained senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N06-2015.txt | Citing Article:  D07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this work we focus on two datasets of hand-labeled sense groupings for WordNet: first, a dataset of sense groupings over nouns, verbs, and adjectives provided as part of the SENSEVAL-2 English lexical sample WSD task (Kilgarriff, 2001), and second, a corpus-driven mapping of nouns and verbs in WordNet 2.1 to the Omega Ontology (Philpot et al, 2005), produced as part of the ONTONOTES project (Hovy et al, 2006).</S> | Reference Offset:  ['26','49'] | Reference Text:  <S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S><S sid = 49 ssid = >In work planned for later this year, verb and noun sense groupings will be manually inserted into Omega, replacing the current (primarily WordNet-derived) contents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-2015.txt | Citing Article:  W11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We then merged the word alignment annotation with the TreeBank and PropBank annotation of Ontonotes4.0 (Hovy et al, 2006), which includes a wide array of data sources like broadcast news, news wire, magazine, web text, etc.</S> | Reference Offset:  ['14','26'] | Reference Text:  <S sid = 14 ssid = >Annotation will cover multiple languages (English, Chinese, and Arabic) and multiple genres (newswire, broadcast news, news groups, weblogs, etc.</S><S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-2015.txt | Citing Article:  P12-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Suggestions came from the previous named entity annotation of PERSONs, organizations (GROUP), and LOCATIONs, as well as heuristic lookup in lexical resources - Arabic WordNet entries (Elkateb et al, 2006) mapped to English WordNet, and named entities in OntoNotes (Hovy et al, 2006).</S> | Reference Offset:  ['26','39'] | Reference Text:  <S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S><S sid = 39 ssid = >The same individual who groups WordNet verb senses also creates noun senses, starting with WordNet and other dictionaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-2015.txt | Citing Article:  E12-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Arabic is no exception: the publicly available NER corpora - ACE (Walker et al 2006), ANER (Benajiba et al 2008), and OntoNotes (Hovy et al 2006) - all are in the news domain.</S> | Reference Offset:  ['14','26'] | Reference Text:  <S sid = 14 ssid = >Annotation will cover multiple languages (English, Chinese, and Arabic) and multiple genres (newswire, broadcast news, news groups, weblogs, etc.</S><S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-2015.txt | Citing Article:  E12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In some projects (e.g. OntoNotes (Hovy et al 2006)), the percentage of agreements between two annotators is used, but a number of more complex measures are available (for a comprehensive survey see (Artstein and Poesio, 2008)).</S> | Reference Offset:  ['26','33'] | Reference Text:  <S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S><S sid = 33 ssid = >As part of OntoNotes we are annotating the most frequent noun and verb senses in a 300K subset of the PropBank, and will have this data available for release in early 2007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-2015.txt | Citing Article:  E12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The OntoNotes 90% solution (Hovy et al 2006) actually means such a degree of granularity that enables a 90% IAA.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >OntoNotes: The 90% Solution</S><S sid = 3 ssid = >We describe the OntoNotes methodology and its result, a large multilingual richly-annotated corpus constructed at 90% interannotator agreement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-2015.txt | Citing Article:  W09-2419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The corpus consists of texts of the Wall Street Journal corpus, and is hand-tagged with OntoNotes senses (Hovy et al, 2006).</S> | Reference Offset:  ['21','26'] | Reference Text:  <S sid = 21 ssid = >The 1M word Penn Treebank II Wall Street Journal corpus has been successfully annotated with semantic argument structures for verbs and is now available via the Penn Linguistic Data Consortium as PropBank I (Palmer et al., 2005).</S><S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-2015.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, the performance of our model, trained using the OntoNotes corpus (Hovy et al, 2006), fell short of separate parsing and named entity models trained on larger corpora, annotated with only one type of information.</S> | Reference Offset:  ['6','10'] | Reference Text:  <S sid = 6 ssid = >Until now, however, no such model has been identified that can be annotated dependably and rapidly.</S><S sid = 10 ssid = >Once a substantial and accurate training corpus is available, trained algorithms can be developed to predict these structures in new documents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N06-2015.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used OntoNotes 3.0 (Hovy et al, 2006), and made the same data modifications as (Finkel and Manning, 2009b) to ensure consistency between the parsing and named entity annotations.</S> | Reference Offset:  ['9','17'] | Reference Text:  <S sid = 9 ssid = >Pilot studies have shown that these can all be annotated rapidly and with better than 90% consistency.</S><S sid = 17 ssid = >To expedite later stages of annotation, we have developed a parsing system (Gabbard et al., 2006) that recovers both of these latter annotations, the first we know of.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N06-2015.txt | Citing Article:  P11-2059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Elsewhere, similar, iterative annotation processes have yielded significant improvements in agreement for word sense and coreference (Hovy et al, 2006).</S> | Reference Offset:  ['12','38'] | Reference Text:  <S sid = 12 ssid = >Word sense ambiguities are then resolved, with each word sense also linked to the appropriate node in the Omega ontology.</S><S sid = 38 ssid = >We follow a similar procedure for the annotation of nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N06-2015.txt | Citing Article:  N12-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the English part of the SemEval-2010 CR task data set, a subset of OntoNotes 2.0 (Hovy et al, 2006).</S> | Reference Offset:  ['33','66'] | Reference Text:  <S sid = 33 ssid = >As part of OntoNotes we are annotating the most frequent noun and verb senses in a 300K subset of the PropBank, and will have this data available for release in early 2007.</S><S sid = 66 ssid = >OntoNotes will provide a large amount of new training data for similar efforts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N06-2015.txt | Citing Article:  N12-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turkers were presented sentences from the test portion of the word sense induction task of SemEval-2007 (Agirre and Soroa, 2007), covering 2,559 instances of 35 nouns, expert-annotated with OntoNotes (Hovy et al, 2006) senses.</S> | Reference Offset:  ['2','33'] | Reference Text:  <S sid = 2 ssid = >An initial portion (300K words of English newswire and 250K words of Chinese newswire) will be made available to the community during 2007.</S><S sid = 33 ssid = >As part of OntoNotes we are annotating the most frequent noun and verb senses in a 300K subset of the PropBank, and will have this data available for release in early 2007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N06-2015.txt | Citing Article:  P12-2074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This latter convention recently seems to be gaining ground in data sets like the Google 1T n-gram corpus (LDC# 2006T13) and OntoNotes (Hovy et al, 2006).</S> | Reference Offset:  ['21','66'] | Reference Text:  <S sid = 21 ssid = >The 1M word Penn Treebank II Wall Street Journal corpus has been successfully annotated with semantic argument structures for verbs and is now available via the Penn Linguistic Data Consortium as PropBank I (Palmer et al., 2005).</S><S sid = 66 ssid = >OntoNotes will provide a large amount of new training data for similar efforts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N06-2015.txt | Citing Article:  W11-0409.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the OntoNotes project (Hovy et al., 2006), annotators use small-scale corpus analysis to create sense inventories derived by grouping together WordNet senses, with the procedure restricted to maintain 90% inter-annotator agreement.</S> | Reference Offset:  ['7','26'] | Reference Text:  <S sid = 7 ssid = >We have developed a methodology for producing such a corpus at 90% inter-annotator agreement, and will release completed segments beginning in early 2007.</S><S sid = 26 ssid = >Building on results in grouping fine-grained WordNet senses into more coarse-grained senses that led to improved inter-annotator agreement (ITA) and system performance (Palmer et al., 2004; Palmer et al., 2006), we have developed a process for rapid sense inventory creation and annotation that includes critical links between the grouped word senses and the Omega ontology (Philpot et al., 2005; see Section 5 below).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N06-2015.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For experiments with PropBank, we used the Ontonotes corpus (Hovy et al, 2006), version 4.0, and only made use of the Wall Street Journal documents; we used sections 221 for training, section 24 for development and section 23 for testing.</S> | Reference Offset:  ['10','21'] | Reference Text:  <S sid = 10 ssid = >Once a substantial and accurate training corpus is available, trained algorithms can be developed to predict these structures in new documents.</S><S sid = 21 ssid = >The 1M word Penn Treebank II Wall Street Journal corpus has been successfully annotated with semantic argument structures for verbs and is now available via the Penn Linguistic Data Consortium as PropBank I (Palmer et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


