Citance Number: 1 | Reference Article:  P06-1011.txt | Citing Article:  W08-1911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>HR001106-C-0022.</S><S sid = NA ssid = NA>We use it to estimate the independence of pairs of words which cooccur in our parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P06-1011.txt | Citing Article:  W11-1214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other approaches aim to identify pairs of sentences (Munteanu and Marcu, 2005) or sub sentential fragments (Munteanu and Marcu, 2006) that are parallel within comparable corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On each of our comparable corpora, and using each of our initial parallel corpora, we apply both the fragment extraction and the sentence extraction method of Munteanu and Marcu (2005).</S><S sid = NA ssid = NA>Munteanu and Marcu (2005) analyze sentence pairs in isolation from their context, and classify them as parallel or non-parallel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1011.txt | Citing Article:  P11-2083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>HR001106-C-0022.</S><S sid = NA ssid = NA>We use it to estimate the independence of pairs of words which cooccur in our parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1011.txt | Citing Article:  C10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, Munteanu and Marcu (2006) propose a method to extract sub sentential fragments from non-parallel corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Extracting Parallel Sub-Sentential Fragments From Non-Parallel Corpora</S><S sid = NA ssid = NA>We present a novel method for extracting parallel sub-sentential fragments from comparable, non-parallel bilingual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1011.txt | Citing Article:  W11-1213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>HR001106-C-0022.</S><S sid = NA ssid = NA>We use it to estimate the independence of pairs of words which cooccur in our parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1011.txt | Citing Article:  W10-4217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other approaches aim to identify pairs of sentences (Munteanu and Marcu, 2005) or sub sentential fragments (Munteanu and Marcu, 2006) that are parallel within comparable corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On each of our comparable corpora, and using each of our initial parallel corpora, we apply both the fragment extraction and the sentence extraction method of Munteanu and Marcu (2005).</S><S sid = NA ssid = NA>Munteanu and Marcu (2005) analyze sentence pairs in isolation from their context, and classify them as parallel or non-parallel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1011.txt | Citing Article:  W12-3153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approach that is closest to our work is that of Munteanu and Marcu (2006): They use standard information retrieval together with simple word-based translation for CLIR, and extract phrases from the retrieval results using a clean bilingual lexicon and an averaging filter.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first step of the pipeline identifies document pairs that are similar (and therefore more likely to contain parallel data), using the Lemur information retrieval toolkit' (Ogilvie and Callan, 2001); each document in the source language is translated word-for-word and turned into a query, which is run against the collection of target language documents.</S><S sid = NA ssid = NA>We obtain the filtered signal by applying an averaging filter, which sets the value at each point to be the average of several values surrounding it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1011.txt | Citing Article:  W12-3153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our first technique resembles the technique of Munteanu and Marcu (2006) who also perform phrase extraction by combining clean alignment lexica for initial signals with heuristics to smooth alignments for final fragment extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On each of our comparable corpora, and using each of our initial parallel corpora, we apply both the fragment extraction and the sentence extraction method of Munteanu and Marcu (2005).</S><S sid = NA ssid = NA>In our experiments, we compare our fragment extraction method (which we call FragmentExtract) with the sentence extraction approach of Munteanu and Marcu (2005) (SentenceExtract).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1011.txt | Citing Article:  W11-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first attempt to detect sub-sentential fragments from comparable sentences is (Munteanuand Marcu, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The work of Deng et. al (2006) also deals with sub-sentential fragments.</S><S sid = NA ssid = NA>Extracting Parallel Sub-Sentential Fragments From Non-Parallel Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1011.txt | Citing Article:  N12-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>HR001106-C-0022.</S><S sid = NA ssid = NA>We use it to estimate the independence of pairs of words which cooccur in our parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1011.txt | Citing Article:  D12-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Munteanu and Marcu (2006) extract sub sentential translation pairs from comparable corpora using the log-likelihood-ratio of word translation probability.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On each of our comparable corpora, and using each of our initial parallel corpora, we apply both the fragment extraction and the sentence extraction method of Munteanu and Marcu (2005).</S><S sid = NA ssid = NA>This method enables us to extract useful machine translation training data even from very non-parallel corpora, which contain no parallel sentence pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1011.txt | Citing Article:  D12-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We mainly follow our previous approach (Wang and CallisonBurch, 2011), which is a modified version of an approach by Munteanu and Marcu (2006) on translation fragment extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments, we compare our fragment extraction method (which we call FragmentExtract) with the sentence extraction approach of Munteanu and Marcu (2005) (SentenceExtract).</S><S sid = NA ssid = NA>On each of our comparable corpora, and using each of our initial parallel corpora, we apply both the fragment extraction and the sentence extraction method of Munteanu and Marcu (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1011.txt | Citing Article:  W12-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It also can be quantified as the rate of successful extraction of translation equivalents by automated tools, such as proposed in Munteanu and Marcu (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Therefore, although our subsentence extraction method should produce useful data from this corpus, we expect the sentence extraction method to be more successful.</S><S sid = NA ssid = NA>On each of our comparable corpora, and using each of our initial parallel corpora, we apply both the fragment extraction and the sentence extraction method of Munteanu and Marcu (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1011.txt | Citing Article:  P08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At last, the goal that we aim to exploit monolingual corpora to help MT is in-spirit similar to the goal of using non-parallel corpora to help MT as aimed in a large amount of work (see Munteanu and Marcu (2006) and references therein).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is the aim of our work.</S><S sid = NA ssid = NA>All extracted datasets are evaluated by using them as additional MT training data and measuring their impact on the performance of the MT system.</S> | Discourse Facet:  NA | Annotator: Automatic


