Citance Number: 1 | Reference Article:  W03-1810.txt | Citing Article:  W03-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McCarthy et al (2003) also targeted verb-particles for a study on compositionality, and judged compositionality according to the degree of overlap in the N most similar words to the verb particle and head verb ,e.g., to determine compositionality.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bannard et al. (2003) are investigating compositionality by looking at the contribution of the verb, and the particle to the semantics of the verb and particle combination; this follows on from Bannard's earlier work (2002) where he showed that compositionality judgements correlate with human judgements of similarity between the head verb and the verb and particle combination.</S><S sid = NA ssid = NA>Baldwin et al. (2003) are also exploring empirical models of compositionality using LSA with nounnoun compounds and verb-particle constructions.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W03-1810.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McCarthy, Keller and Caroll (McCarthy et al,2003) judge compositionality according to the degree of overlap in the set of most similar words to the verb-particle and head verb.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bannard et al. (2003) are investigating compositionality by looking at the contribution of the verb, and the particle to the semantics of the verb and particle combination; this follows on from Bannard's earlier work (2002) where he showed that compositionality judgements correlate with human judgements of similarity between the head verb and the verb and particle combination.</S><S sid = NA ssid = NA>Baldwin et al. (2003) are also exploring empirical models of compositionality using LSA with nounnoun compounds and verb-particle constructions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W03-1810.txt | Citing Article:  W06-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(1993) and Rooth et al (1999) referring to a direct object noun for describing verbs), or used any syn tactic relationship detected by a chunker or a parser (such as Lin (1998) and McCarthy et al (2003)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also look at the relation between these judgements and appearance of the candidates in gold-standard resources such as WordNet (Miller et al., 1993) or the ANLT lexicon (Grover et al., 1993), on the premise that non-compositional phrases are more likely to be listed as multiwords in man-made resources.</S><S sid = NA ssid = NA>Both Lin (1999) and Schone and Jurafsky (2001) have used distributional similarity to detect compositionality in multiwords.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W03-1810.txt | Citing Article:  W06-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are grateful to Timothy Baldwin and Colin Bannard for their helpful comments and useful references.</S><S sid = NA ssid = NA>Schone and Jurafsky used measures on the vectors representing the multiword candidates compared to measures for the words that the multiword contains but this failed to improve performance, using WordNet and other machine readable resources as gold-standards for evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W03-1810.txt | Citing Article:  C04-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on the observation (Haspelmath, 2002) that compositional collocations tend to be hyponyms of their head constituent, they propose a model which considers the semantic similarity between a collocation and its constituent words.McCarthy et al (2003) also investigate several tests for compositionality including one (simplex score) based on the observation that compositional collocations tend to be similar inmeaning to their constituent parts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bannard et al. (2003) point out that Lin's method of using substitution of component words in a multiword with semantic neighbours is a good indication of productivity, but not necessarily of compositionality, since an institutionalised non-productive combination, such as frying pan would not have near neighbour substitutes, but would nevertheless be compositional.</S><S sid = NA ssid = NA>In their study, they compare the similarities of the component words with WordNet based similarity scores and demonstrate a moderate correlation, lower for noun-noun compounds.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W03-1810.txt | Citing Article:  C04-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 5 shows the results of using different similarity measures with the simplex score test and data of McCarthy et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These two measures correlated well together (T., = -0.51, z = -5.37) and both are significantly correlated (using the Mann Whitney U test) with whether the candidate is found in either WordNet or ANLT, see table 3, although the relationship using the automatic thesaurus is slightly higher.</S><S sid = NA ssid = NA>It also could be useful to use the measures to tell whether the meaning comes from the verb or the particle or both, as Bannard et al. (2003) do, because if the verb contributes its meaning then data for selectional preference acquisition might be amalgamated with those of the simplex counterpart.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W03-1810.txt | Citing Article:  W05-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McCarthy et al (2003) determine a continuum of compositionality of VPCs, but do not distinguish the contribution of the individual components.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Detecting A Continuum Of Compositionality In Phrasal Verbs</S><S sid = NA ssid = NA>Bannard et al. (2003) are investigating compositionality by looking at the contribution of the verb, and the particle to the semantics of the verb and particle combination; this follows on from Bannard's earlier work (2002) where he showed that compositionality judgements correlate with human judgements of similarity between the head verb and the verb and particle combination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W03-1810.txt | Citing Article:  W06-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McCarthy et al (2003) evaluate the precision of Rasp at identifying VPCs to be 87.6% and the recall to be 49.4%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Baldwin and Villavicencio (2002) demonstrated that combining syntactic evidence using automatic PoS taggers and statistical chunkers, and feeding evidence from a number of tokens into a memory based-learner gave high precision and recall, using marked up WSJ text to gauge precision, and phrasals listed in the Alvey Natural Language Tools (ANLT) (Grover et al., 1993) attested in the same corpus for recall.</S><S sid = NA ssid = NA>In this paper we are not concerned with evaluation of precision and recall of the extraction of phrasal verbs from a parser, although we have done some preliminary experiments in this direction on the Wall Street Journal (wsJ), see section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W03-1810.txt | Citing Article:  W06-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, other than the re ported results of McCarthy et al (2003) targeting VPCs vs. all other analyses, we had no a priori sense of RASP? s ability to distinguish VPCs and verb-PPs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Baldwin et al. (2003) are also exploring empirical models of compositionality using LSA with nounnoun compounds and verb-particle constructions.</S><S sid = NA ssid = NA>Bannard et al. (2003) are investigating compositionality by looking at the contribution of the verb, and the particle to the semantics of the verb and particle combination; this follows on from Bannard's earlier work (2002) where he showed that compositionality judgements correlate with human judgements of similarity between the head verb and the verb and particle combination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W03-1810.txt | Citing Article:  W06-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also, we ignore the ambiguity between particles and adverbs, which is the principal reason for our evaluation being much higher than that reported by McCarthy et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also, those constructions judged to be phrasals tended to have higher ranks (higher opaqueness and relatedness) than prepositional verb particle constructions.</S><S sid = NA ssid = NA>Baldwin et al. (2003) are also exploring empirical models of compositionality using LSA with nounnoun compounds and verb-particle constructions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W03-1810.txt | Citing Article:  W06-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to get a clearer sense of the impact of selectional preferences on the results, we investigated the relative performance over VPCs of varying semantic compositionality, based on 117 VPCs (f? 1) attested in the data set of McCarthy et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As well as having idiosyncratic semantics, phrasals also display specific syntactic behaviour such as permitting particle movement when used in the transitive; for example: Jo ate up her food Jo ate her food up We are interested in phrasal verbs because we want to acquire predicate selectional preferences for word sense disambiguation (McCarthy et al., 2001).</S><S sid = NA ssid = NA>It also could be useful to use the measures to tell whether the meaning comes from the verb or the particle or both, as Bannard et al. (2003) do, because if the verb contributes its meaning then data for selectional preference acquisition might be amalgamated with those of the simplex counterpart.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W03-1810.txt | Citing Article:  W06-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McCarthy et al (2003) provides compositionality judgements from three human judges, which we take the average of and bin into 11 categories (with 0= non-compositional and 10= fully compositional).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments we asked human judges to rank phrasal verb candidates as to how compositional they are.</S><S sid = NA ssid = NA>Whilst statistics are useful indicators of noncompositionality, there are compositional multiwords which have low values for these statistics, yet are highly non-compositional.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W03-1810.txt | Citing Article:  W06-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The algorithm is evaluated both on 89 manually ranked MWEs and on McCarthy et als (2003) manually ranked phrasal verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>He evaluated this manually on a sample.</S><S sid = NA ssid = NA>In this first column, we also indicate how many of the top ranked neighbours were used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W03-1810.txt | Citing Article:  W06-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McCarthy et al (2003) suggested that compositional phrasal verbs should have similar neighbours as for their simplex verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The intuition is that the neighbours of the simplex verb should be similar to those of the phrasal where the phrasal has a compositional meaning, and that the phrasal neighbours should include phrasal candidates with the same particle.</S><S sid = NA ssid = NA>Detecting A Continuum Of Compositionality In Phrasal Verbs</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W03-1810.txt | Citing Article:  W06-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to evaluate our algorithm in comparison with previous work, we also tested it on the manual ranking list created by McCarthy et al (2003) .</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This only removed a total of 5 items, leaving a ranking from all 3 judges on 111 candidates.</S><S sid = NA ssid = NA>There has been a lot of recent work on extraction of multiwords from corpora we focus specifically on work involving multiword verbs, and detecting compositionality of multiwords.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W03-1810.txt | Citing Article:  W06-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This result is comparable with or better than most measures reported by McCarthy et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It also could be useful to use the measures to tell whether the meaning comes from the verb or the particle or both, as Bannard et al. (2003) do, because if the verb contributes its meaning then data for selectional preference acquisition might be amalgamated with those of the simplex counterpart.</S><S sid = NA ssid = NA>Baldwin et al. (2003) are also exploring empirical models of compositionality using LSA with nounnoun compounds and verb-particle constructions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W03-1810.txt | Citing Article:  W08-2107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are grateful to Timothy Baldwin and Colin Bannard for their helpful comments and useful references.</S><S sid = NA ssid = NA>Schone and Jurafsky used measures on the vectors representing the multiword candidates compared to measures for the words that the multiword contains but this failed to improve performance, using WordNet and other machine readable resources as gold-standards for evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


