Citance Number: 1 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to two reviewers for useful comments.</S><S sid = NA ssid = NA>934 Attributes Tokens FORM LEMMA CPOSTAG POSTAG FEATS DEPREL S: Top + + + + + + S: Top?1 + I: Next + + + + + I: Next+1 + + I: Next+2 + I: Next+3 + G: Head of Top + G: Leftmost dependent of Top + G: Rightmost dependent of Top + G: Leftmost dependent of Next + Figure 1: Baseline feature model (S = Stack, I = Input, G = Graph).</S> | Discourse Facet:  NA | Annotator: Automatic

Citance Number: 5 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This model is used by Marinov (2007) and in component parsers of the Nilsson ensemble system (Hall et al, 2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S><S sid = NA ssid = NA>Thus, the six component parsers for each language were instances of the following: 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most extreme case is the top performing Nilsson system (Hall et al, 2007a), which reached rank 1 for five languages and rank 2 for two more languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S><S sid = NA ssid = NA>et al, 2004), Basque (Aduriz et al, 2003), Catalan, (Mart??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, Hall et al (2007a) point out that the official results for Chinese contained a bug, and the true performance of their system was actually much higher.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2007), Chinese (Chen et al, 2003), Czech (Bo?hmova?</S><S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1097.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to two reviewers for useful comments.</S><S sid = NA ssid = NA>934 Attributes Tokens FORM LEMMA CPOSTAG POSTAG FEATS DEPREL S: Top + + + + + + S: Top?1 + I: Next + + + + + I: Next+1 + + I: Next+2 + I: Next+3 + G: Head of Top + G: Leftmost dependent of Top + G: Rightmost dependent of Top + G: Leftmost dependent of Next + Figure 1: Baseline feature model (S = Stack, I = Input, G = Graph).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1097.txt | Citing Article:  P14-2106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The same technique was also used by the winning team of the CoNLL 2007 Shared Task (Hall et al, 2007), combining six transition-based parsers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S><S sid = NA ssid = NA>We describe a two-stage optimization of the MaltParser system for the ten languages in the multilingual track of the CoNLL 2007 shared task on dependency parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1097.txt | Citing Article:  D08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An existing method to combine multiple parsing algorithms is the ensemble approach (Sagae and Lavie, 2006a), which was reported to be useful in improving dependency parsing (Halletal., 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Blended parser is an ensemble system based on the methodology proposed by Sagae and Lavie (2006).</S><S sid = NA ssid = NA>We describe a two-stage optimization of the MaltParser system for the ten languages in the multilingual track of the CoNLL 2007 shared task on dependency parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1097.txt | Citing Article:  D08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both Hall et al (2007) and Nivre and McDonald (2008) can be seen as methods to combine separately defined models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S><S sid = NA ssid = NA>et al, 2007), Chinese (Chen et al, 2003), Czech (Bo?hmova?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1097.txt | Citing Article:  W08-2127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We implement a left-to-right arc-eager parsing model in a way that the parser scan through an input sequence from left to right and the right dependents are attached to their heads as soon as possible (Hall et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Arc-eager projective right-to-left.</S><S sid = NA ssid = NA>Arc-eager projective left-to-right.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1097.txt | Citing Article:  W08-2127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Only one model was used for syntactic parsing in our system, in contrast to the existing work using an ensemble technique for further performance enhancement, e.g., (Hall et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S><S sid = NA ssid = NA>et al, 2007), Chinese (Chen et al, 2003), Czech (Bo?hmova?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1097.txt | Citing Article:  N10-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to two reviewers for useful comments.</S><S sid = NA ssid = NA>934 Attributes Tokens FORM LEMMA CPOSTAG POSTAG FEATS DEPREL S: Top + + + + + + S: Top?1 + I: Next + + + + + I: Next+1 + + I: Next+2 + I: Next+3 + G: Head of Top + G: Leftmost dependent of Top + G: Rightmost dependent of Top + G: Leftmost dependent of Next + Figure 1: Baseline feature model (S = Stack, I = Input, G = Graph).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1097.txt | Citing Article:  I08-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This model is simple and works very well in the shared-tasks of CoNLL2006 (Nivre et al, 2006) and CoNLL2007 (Hall et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S><S sid = NA ssid = NA>et al, 2007), Chinese (Chen et al, 2003), Czech (Bo?hmova?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1097.txt | Citing Article:  P09-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this work, we adopt a left-to-right arc-eager parsing model, that means that the parser scans the input sequence from left to right and right dependents are attached to their heads as soon as possible (Hall et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Arc-eager projective right-to-left.</S><S sid = NA ssid = NA>Arc-eager projective left-to-right.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1097.txt | Citing Article:  C10-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to two reviewers for useful comments.</S><S sid = NA ssid = NA>934 Attributes Tokens FORM LEMMA CPOSTAG POSTAG FEATS DEPREL S: Top + + + + + + S: Top?1 + I: Next + + + + + I: Next+1 + + I: Next+2 + I: Next+3 + G: Head of Top + G: Leftmost dependent of Top + G: Rightmost dependent of Top + G: Leftmost dependent of Next + Figure 1: Baseline feature model (S = Stack, I = Input, G = Graph).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1097.txt | Citing Article:  W08-2136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the final system, feature models and training parameters were adapted from Hall et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S><S sid = NA ssid = NA>et al, 2007), Chinese (Chen et al, 2003), Czech (Bo?hmova?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1097.txt | Citing Article:  W08-2136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The single parses were blended following the procedure of Hall et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>et al, 2007), Chinese (Chen et al, 2003), Czech (Bo?hmova?</S><S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1097.txt | Citing Article:  W08-2136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>system for English described in Hall et al (2007) was used as a baseline, and then optimized for this new task, focusing on feature selection.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>selection.</S><S sid = NA ssid = NA>et al, 2003), English (Marcus et al, 1993; Johansson and Nugues, 2007), Greek (Prokopidis et al, 2005), Hungarian (Csendes et al, 2005), Italian (Montemagni et al, 2003), and Turkish (Oflazer et al, 2003).1 Our contribution is a study in multilingual parser optimization using the freely available MaltParser system, which performs 1For more information about the task and the data sets, see Nivre et al (2007).deterministic, classifier-based parsing with history based feature models and discriminative learning, and which was one of the top performing systems in the CoNLL 2006 shared task (Nivre et al, 2006).In order to maximize parsing accuracy, optimiza tion has been carried out in two stages, leading to two different, but related parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


