Citance Number: 1 | Reference Article:  P94-1019.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We leave scaling up the system to future work.</S><S sid = NA ssid = NA>But that is only part of the difficulty in translation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P94-1019.txt | Citing Article:  W05-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Wu and Palmer (Wu and Palmer, 1994) similarity metric measures the depth of the two concepts in the WordNet taxonomy, and the depth of the least common subsumer (LCS), and combines these figures into a similarity score.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>After defining the similarity measure in one domain, the similarity between two verb meanings, e. g, a target verb and a source verb, can be defined as a summation of weighted similarities between pairs of simpler concepts in each of the domains the two verbs are projected onto.</S><S sid = NA ssid = NA>The conceptual domains for English and Chinese are merged to form interlingua conceptual domains used for similarity measures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P94-1019.txt | Citing Article:  W06-1659.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Figure 2: A bipartite graph representing patterns and tuples 504 measure described in (Wu and Palmer, 1994) which finds the path length to the root node from the least common subsumer (LCS) of the two word senses which is the most specific word sense they share as an ancestor.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>N3 is the number of nodes on the path from C3 to root.</S><S sid = NA ssid = NA>So the system can choose the break sense loss of functionality over all the other break senses as the most probable one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P94-1019.txt | Citing Article:  S12-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(4) reported by (Wu and Palmer, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The grammatical analysis can be found in (Wu, 1991).</S><S sid = NA ssid = NA>We leave scaling up the system to future work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P94-1019.txt | Citing Article:  W08-2114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Wu and Palmer, 1994) uses the path length from the root to the lowest common subsumer (LCS) of two concepts scaled by the distance from the LCS to each concept.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>N3 is the number of nodes on the path from C3 to root.</S><S sid = NA ssid = NA>T; ROOT ci The conceptual similarity between Cl and C2 is: C3 is the least common superconcept of Cl and C2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P94-1019.txt | Citing Article:  W08-2114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We leave scaling up the system to future work.</S><S sid = NA ssid = NA>But that is only part of the difficulty in translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P94-1019.txt | Citing Article:  W11-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The synset similarity metric defined by Wu and Palmer (1994) combines the path length and synset depth intuitions into a single numeric score that is defined as follows: 2? depth (lca (synset1, synset2)) depth (synset1)+ depth (synset2) (12) In Equation 12 ,lca returns the lowest common ancestor of the two synsets within the WordNet is-a hierarchy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Within one conceptual domain, the similarity of two concepts is defined by how closely they are related in the hierarchy, i.e., their structural relations.</S><S sid = NA ssid = NA>Not any single character verb or single character adjective can be composed to form a VA type verb compound.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P94-1019.txt | Citing Article:  S12-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Wu and Palmer, 1994) combines the depth of the LCS of two concepts into a similarity score.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>After defining the similarity measure in one domain, the similarity between two verb meanings, e. g, a target verb and a source verb, can be defined as a summation of weighted similarities between pairs of simpler concepts in each of the domains the two verbs are projected onto.</S><S sid = NA ssid = NA>Within one conceptual domain, the similarity of two concepts is defined by how closely they are related in the hierarchy, i.e., their structural relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P94-1019.txt | Citing Article:  P08-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The semantic similarity between words is computed based on Wu and Palmer's measure (Wu and Palmer,1994) using WordNet (Fellbaum, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If words can be defined with concepts in a hierarchical structure, it is possible to measure the meaning similarity between words with an information measure based on WordNet (Resnik, 1993), or structure level information based on a thesaurus (Kurohashi and Nagao, 1992).</S><S sid = NA ssid = NA>The grammatical analysis can be found in (Wu, 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P94-1019.txt | Citing Article:  E09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We leave scaling up the system to future work.</S><S sid = NA ssid = NA>But that is only part of the difficulty in translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P94-1019.txt | Citing Article:  N10-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wu and Palmer (1994) proposed to scale the depth of the two synset nodes (depthc1 and depthc2) by the depth of their LCS (depth(lcsc1,c2)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>N2 is the number of nodes on the path from C2 to C3.</S><S sid = NA ssid = NA>T; ROOT ci The conceptual similarity between Cl and C2 is: C3 is the least common superconcept of Cl and C2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P94-1019.txt | Citing Article:  W09-1706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the Wu and Palmermea sure (Wu and Palmer, 1994) applied to Dutch EWN for computing the semantic similarity between two words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The grammatical analysis can be found in (Wu, 1991).</S><S sid = NA ssid = NA>If words can be defined with concepts in a hierarchical structure, it is possible to measure the meaning similarity between words with an information measure based on WordNet (Resnik, 1993), or structure level information based on a thesaurus (Kurohashi and Nagao, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P94-1019.txt | Citing Article:  W10-1755.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ATEC is equipped with these two modules as well, and furthermore, with two measures for word similarity, including a WordNet-based (Wu and Palmer, 1994) and a corpus-based measure (Landauer et al, 1998) for matching word pairs of similar meanings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If words can be defined with concepts in a hierarchical structure, it is possible to measure the meaning similarity between words with an information measure based on WordNet (Resnik, 1993), or structure level information based on a thesaurus (Kurohashi and Nagao, 1992).</S><S sid = NA ssid = NA>This representation scheme not only takes care of the semantic-syntactic correspondence, but also provides similarity measures for the system for the performance of inexact matches based on verb meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P94-1019.txt | Citing Article:  D11-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wu and Palmer (1994) proposed a concept similarity measure between two concepts c1 and c2 as :sim (c1 ,c2)= 2 ?dep (c )len (c1, c) +len (c2, c) +2 ?dep (c) (1) where c is the lowest common subsumer (LCS) of c1 and c2, and len (?,?) is the number of edges between two nodes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>T; ROOT ci The conceptual similarity between Cl and C2 is: C3 is the least common superconcept of Cl and C2.</S><S sid = NA ssid = NA>N2 is the number of nodes on the path from C2 to C3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P94-1019.txt | Citing Article:  D11-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The two similarity measures we experiment with are that of Wu and Palmer (1994) and Jiang and Conrath (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The conceptual domains for English and Chinese are merged to form interlingua conceptual domains used for similarity measures.</S><S sid = NA ssid = NA>This representation scheme not only takes care of the semantic-syntactic correspondence, but also provides similarity measures for the system for the performance of inexact matches based on verb meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P94-1019.txt | Citing Article:  D11-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We leave scaling up the system to future work.</S><S sid = NA ssid = NA>But that is only part of the difficulty in translation.</S> | Discourse Facet:  NA | Annotator: Automatic


