Citance Number: 1 | Reference Article:  P92-1008.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Results of testing the first stage of this model, the lexical pattern matcher, are reported in (Bear et al, 1992): 309 of 406 utterance containing nontrivial  repairs in their 10,718 utterance corpus were correctly identified, while 191 fluent utterances were incorrectly identified as containing repairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, out of the 10,517 sentence corpus (10,718 — 201 trivial), it incorrectly hypothesized that an additional 191 contained repairs.</S><S sid = NA ssid = NA>The pattern-matching component reported on here looks for identical sequences of words, and simple syntactic anomalies, such as &quot;a the&quot; or &quot;to from.&quot; Of the 406 sentences containing nontrivial repairs, the program successfully found 309.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P92-1008.txt | Citing Article:  N04-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bear et al (1992) explored pattern matching, parsing and acoustic cues and concluded that multiple sources of information would be needed to detect edit dis fluencies.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We analyzed a subset of 607 sentences containing repairs and concluded that certain simple pattern-matching techniques could successfully detect a number of them.</S><S sid = NA ssid = NA>Table 1 shows examples of the notation used, which is described fully in Bear et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P92-1008.txt | Citing Article:  P94-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The SRI group (Bear et al, 1992) employed simple pattern matching techniques for detecting and correcting modification repairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, we describe ways in which pattern matching, syntactic and semantic a.nalysis, and acoustic analysis can be helpful in detecting and correcting these repairs.</S><S sid = NA ssid = NA>Table 1 shows examples of the notation used, which is described fully in Bear et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P92-1008.txt | Citing Article:  P99-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Hindle, 1983) and (Bear et al., 1992) performed speech repair identification in their parsers, and removed the corrected material (reparandum) from consideration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 1 shows examples of the notation used, which is described fully in Bear et al. (1992).</S><S sid = NA ssid = NA>Of these it successfully corrected 177.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P92-1008.txt | Citing Article:  P99-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This approach is similar to an experiment in (Bear et al, 1992) except that Bear et al were more interested in reducing false alarms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 1 shows examples of the notation used, which is described fully in Bear et al. (1992).</S><S sid = NA ssid = NA>Our approach is most similar to that of Hindle.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P92-1008.txt | Citing Article:  W05-1519.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Robin Lickley for his feedback on the acoustics section, Elizabeth Wade for assistance with the statistics, and Mark Gawron for work on the Gemini grammar.</S><S sid = NA ssid = NA>Numbers in parentheses indicate the number of occurrences, and probabilities represent the likelihood that the phrase was actually a repair and not a false positive.</S> | Discourse Facet:  NA | Annotator: Automatic


