Citance Number: 1 | Reference Article:  P08-1109.txt | Citing Article:  D08-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper is based on work funded in part by the Defense Advanced Research Projects Agency through IBM, by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT) through Broad Agency Announcement (BAA) N61339-06R-0034, and by a Scottish Enterprise EdinburghStanford Link grant (R37588), as part of the EASIE project.</S><S sid = NA ssid = NA>Note that there exists a grammar in this class which is weakly equivalent with any arbitrary CFG.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P08-1109.txt | Citing Article:  P12-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper is based on work funded in part by the Defense Advanced Research Projects Agency through IBM, by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT) through Broad Agency Announcement (BAA) N61339-06R-0034, and by a Scottish Enterprise EdinburghStanford Link grant (R37588), as part of the EASIE project.</S><S sid = NA ssid = NA>Note that there exists a grammar in this class which is weakly equivalent with any arbitrary CFG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P08-1109.txt | Citing Article:  P11-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We found that the SGD parameters described by Finkel et al (2008) worked equally well for our models, and, on the baseline, produced similar results to L-BFGS.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also show that the use of SGD for training CRFs performs as well as L-BFGS in a fraction of the time.</S><S sid = NA ssid = NA>The most recent similar research is (Petrov et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1109.txt | Citing Article:  W10-2925.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Typically, distributed online learning has been done in a synchronous setting, meaning that a mini-batch of data is divided among multiple CPUs, and the model is updated when they have all completed processing (Finkel et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Taskar et al. (2004) took a large margin approach to discriminative learning, but achieved only small gains.</S><S sid = NA ssid = NA>Lastly, we iterate through the data multiple times, so if we can compute this information just once, we will save time on all subsequent iterations on that sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1109.txt | Citing Article:  W10-2925.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We directly compare asynchronous algorithms with multiprocessor synchronous mini-batch algorithms (e.g., Finkel et al, 2008) and traditional batch algorithms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper extends the third thread of work, where joint inference via dynamic programming algorithms is used to train models and to attempt to find the globally best parse.</S><S sid = NA ssid = NA>We found that an initial gain of η0 = 0.1 and batch size between 15 and 30 was optimal for this application.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1109.txt | Citing Article:  W10-2925.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel et al (2008) used this approach to speed up training of a log-linear model for parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Taskar et al. (2004) took a large margin approach to discriminative learning, but achieved only small gains.</S><S sid = NA ssid = NA>This is further supported by Johnson (2001), who saw no parsing gains when switching from generative to discriminative training, and by Petrov et al. (2007) who saw only small gains of around 0.7% for their final model when switching training methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1109.txt | Citing Article:  N10-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As such, its training can easily be distributed through the gradient or sub-gradient computations (Finkel et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The stochastic gradient, �L (D(i) b ;e), is then simply the derivative of the stochastic function value.</S><S sid = NA ssid = NA>Unlike (Taskar et al., 2004), our algorithm has the advantage of being easily parallelized (see footnote 7 in their paper).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1109.txt | Citing Article:  E09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel et al (2008) incorporated rich local features into a tree CRF model and built a competitive parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this work, we provide just such a framework for training a feature-rich discriminative parser.</S><S sid = NA ssid = NA>For both WSJ15 and WSJ40, we trained a generative model; a discriminative model, which used lexicon features, but no grammar features other than the rules themselves; and a feature-based model which had access to all features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1109.txt | Citing Article:  E09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our parser achieved an f-score of 88.4 on the test data, which is comparable to the accuracy achieved by recent discriminative approaches such as Finkel et al (2008) and Petrov & Klein (2008), but is not as high as the state-of-the-art accuracy achieved by the parsers that can incorporate global features such as Huang (2008) and Charniak & Johnson (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Taskar et al. (2004) took a large margin approach to discriminative learning, but achieved only small gains.</S><S sid = NA ssid = NA>In our experiments SGD converged to a lower objective function value than L-BFGS, however it required far fewer iterations (see Figure 2) and achieved comparable test set performance to L-BFGS in a fraction of the time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1109.txt | Citing Article:  E09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper is based on work funded in part by the Defense Advanced Research Projects Agency through IBM, by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT) through Broad Agency Announcement (BAA) N61339-06R-0034, and by a Scottish Enterprise EdinburghStanford Link grant (R37588), as part of the EASIE project.</S><S sid = NA ssid = NA>Note that there exists a grammar in this class which is weakly equivalent with any arbitrary CFG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1109.txt | Citing Article:  P09-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The model can be used for tasks like syntactic parsing (Finkel et al, 2008) and semantic role labeling (Cohn and Blunsom, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our parsing model is based on a conditional random field model, however, unlike previous TreeCRF work, e.g., (Cohn and Blunsom, 2005; Jousse et al., 2006), we do not assume a particular tree structure, and instead find the most likely structure and labeling.</S><S sid = NA ssid = NA>Because they were focusing on grammar splitting they, like (Johnson, 2001), did not employ any features, and, like (Taskar et al., 2004), they saw only small gains from switching from generative to discriminative training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1109.txt | Citing Article:  P11-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In an important contrast, Koo et al (2008) smooth the sparseness of lexical features in a discriminative dependency parser by using cluster based word-senses as intermediate abstractions in addition to POS tags (also see Finkel et al (2008)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recent is the work of (Turian and Melamed, 2006; Turian et al., 2007), which improved both the training time and accuracy of (Taskar et al., 2004).</S><S sid = NA ssid = NA>The most recent similar research is (Petrov et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1109.txt | Citing Article:  D12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Online structured learning algorithms were demonstrated to be effective for training, such as stochastic optimization (Finkel et al., 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Stochastic optimization methods have proven to be extremely efficient for the training of models involving computationally expensive objective functions like those encountered with our task (Vishwanathan et al., 2006) and, in fact, the on-line backpropagation learning used in the neural network parser of Henderson (2004) is a form of stochastic gradient descent.</S><S sid = NA ssid = NA>Utilization of stochastic optimization routines requires the implementation of a stochastic objective function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1109.txt | Citing Article:  W09-1214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, CRF using tree structures were used in (Finkel et al, 2008) in the case of parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The partition function Zs, which makes the probability of all possible parses sum to unity, is defined over all structures as well as all labelings of those structures.</S><S sid = NA ssid = NA>We then define a conditional probability distribution over entire trees, using the standard CRF distribution, shown in (1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-1109.txt | Citing Article:  D12-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, there has been an explosion of interest in Conditional Random Fields (CRFs) (Lafferty et al., 2001) for solving structured output classification problems, with many successful applications in NLP including syntactic parsing (Finkel et al2008), syntactic chunking (Sha and Pereira, 2003) and discourse chunking (Ghosh et al2011) in Penn Discourse Treebank (Prasad et al2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For all experiments, we trained and tested on the Penn treebank (PTB) (Marcus et al., 1993).</S><S sid = NA ssid = NA>For example, in (Lafferty et al., 2001), when switching from a generatively trained hidden Markov model (HMM) to a discriminatively trained, linear chain, conditional random field (CRF) for part-of-speech tagging, their error drops from 5.7% to 5.6%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-1109.txt | Citing Article:  N09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One sees this clear trend in the supervised NLP literature examples include the Perceptron algorithm for tagging (Collins, 2002), MIRA for dependency parsing (McDonald et al, 2005), exponentiated gradient algorithms (Collins et al, 2008), stochastic gradient for constituency parsing (Finkel et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The stochastic gradient, �L (D(i) b ;e), is then simply the derivative of the stochastic function value.</S><S sid = NA ssid = NA>More recent is the work of (Turian and Melamed, 2006; Turian et al., 2007), which improved both the training time and accuracy of (Taskar et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-1109.txt | Citing Article:  D09-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Once we have converted our sentences into parse trees, we train a discriminative constituency parser similar to that of (Finkelet al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Figure 3 we show for an example from section 22 the parse trees produced by our generative model and our feature-based discriminative model, and the correct parse.</S><S sid = NA ssid = NA>We have presented a new, feature-rich, dynamic programming based discriminative parser which is simpler, more effective, and faster to train and test than previous work, giving us new state-of-the-art performance when training and testing on sentences of length < 15 and the first results for such a parser trained and tested on sentences of length < 40.</S> | Discourse Facet:  NA | Annotator: Automatic


