Citance Number: 1 | Reference Article:  P07-1059.txt | Citing Article:  I08-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently (Riezler et al, 2007) used statistical machine translation for query expansion and took a step towards bridging the lexical gap between questions and answers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present an approach to query expansion in answer retrieval that uses Statistical Machine Translation (SMT) techniques to bridge the lexical gap between questions and answers.</S><S sid = NA ssid = NA>Statistical Machine Translation for Query Expansion in Answer Retrieval</S> | Discourse Facet:  NA | Annotator: Automatic

Citance Number: 5 | Reference Article:  P07-1059.txt | Citing Article:  P09-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar work has also been performed in the area of query expansion using training data consisting of FAQ pages (Riezler et al, 2007) or queries and clicked snippets from query logs (Riezler et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A similar picture emerges for query expansion in QA: Mixed results have been reported for wordby-word expansion based on WordNet (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001).</S><S sid = NA ssid = NA>For example, syntactic information has been deployed to reformulate questions (Hermjakob et al., 2002) or to replace questions by syntactically similar ones (Lin and Pantel, 2001); lexical ontologies such as Wordnet1 have been used to find synonyms for question words (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001), and statistical machine translation (SMT) models trained on question-answer pairs have been used to rank candidate answers according to their translation probabilities (Berger et al., 2000; Echihabi and Marcu, 2003; Soricut and Brill, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P07-1059.txt | Citing Article:  W10-3222.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Riezler et al, 2007) adopted an SMT-based method to query expansion in answer retrieval.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We presented two techniques for query expansion in answer retrieval that are based on SMT technology.</S><S sid = NA ssid = NA>A similar picture emerges for query expansion in QA: Mixed results have been reported for wordby-word expansion based on WordNet (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1059.txt | Citing Article:  P08-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our work is also related to that of Riezler et al (2007) where SMT-based query expansion methods are used on data from FAQ pages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A similar picture emerges for query expansion in QA: Mixed results have been reported for wordby-word expansion based on WordNet (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001).</S><S sid = NA ssid = NA>We present two approaches to SMT-based query expansion, both of which are implemented in the framework of phrase-based SMT (Och and Ney, 2004; Koehn et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1059.txt | Citing Article:  D08-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riezler et al (2007) demonstrate the advantages of translation-based approach to answer retrieval by utilizing a more complex translation model also trained from a large amount of data extracted from FAQs on the Web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our method for question-answer translation uses a large corpus of question-answer pairs extracted from FAQ pages to learn a translation model from questions to answers.</S><S sid = NA ssid = NA>For example, syntactic information has been deployed to reformulate questions (Hermjakob et al., 2002) or to replace questions by syntactically similar ones (Lin and Pantel, 2001); lexical ontologies such as Wordnet1 have been used to find synonyms for question words (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001), and statistical machine translation (SMT) models trained on question-answer pairs have been used to rank candidate answers according to their translation probabilities (Berger et al., 2000; Echihabi and Marcu, 2003; Soricut and Brill, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1059.txt | Citing Article:  P13-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Besides, Riezler et al (2007) and Zhou et al (2011) proposed the phrase-based translation models for question and answer retrieval.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, syntactic information has been deployed to reformulate questions (Hermjakob et al., 2002) or to replace questions by syntactically similar ones (Lin and Pantel, 2001); lexical ontologies such as Wordnet1 have been used to find synonyms for question words (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001), and statistical machine translation (SMT) models trained on question-answer pairs have been used to rank candidate answers according to their translation probabilities (Berger et al., 2000; Echihabi and Marcu, 2003; Soricut and Brill, 2006).</S><S sid = NA ssid = NA>A similar picture emerges for query expansion in QA: Mixed results have been reported for wordby-word expansion based on WordNet (Burke et al., 1997; Hovy et al., 2000; Prager et al., 2001; Harabagiu et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


