Citance Number: 1 | Reference Article:  C96-2141.txt | Citing Article:  W01-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This would be more difficult in the HMM alignment model (Vogel et al., 1996).</S> | Reference Offset:  ['21','44'] | Reference Text:  <S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S><S sid = 44 ssid = >a.2 Al ignment w i th HMM We now propose all HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C96-2141.txt | Citing Article:  W12-3124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Extensions of the last two are included in this study together with alignments based on hidden Markov model (HMM) (Vogel et al, 1996) and inversion transduction grammars (ITG) (Wu, 1997).</S> | Reference Offset:  ['21','44'] | Reference Text:  <S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S><S sid = 44 ssid = >a.2 Al ignment w i th HMM We now propose all HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C96-2141.txt | Citing Article:  W10-0704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >GIZA++ (Och and Ney, 2003) is the most widely used implementation of IBM models and HMM (Vogel et al, 1996) where EM algorithm is employed to estimate the model parameters.</S> | Reference Offset:  ['7','21'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C96-2141.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Any aligner such as (Al-Onaizan et al, 1999) or (Vogel et al, 1996) can be used to obtain word alignments.</S> | Reference Offset:  ['7','127'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 127 ssid = >(confer model 4 in (Brown et al, 1990)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C96-2141.txt | Citing Article:  P11-2074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For each sentence in the training, three types of word alignments are created: maximum entropy alignment (Ittycheriah and Roukos, 2005), GIZA++ alignment (Och and Ney, 2000), and HMM alignment (Vogel et al, 1996).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >HMM-Based Word Alignment In Statistical Translation</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C96-2141.txt | Citing Article:  P06-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They model operations that are meaningful at a syntax level, like re-ordering children, but ignore features that have proven useful in IBM models, such as the preference to align words with similar positions, and the HMM preference for links to appear near one another (Vogel et al, 1996).</S> | Reference Offset:  ['7','118'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 118 ssid = >Align.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C96-2141.txt | Citing Article:  W10-1747.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the IBM Model 1 (Brown et al, 1993) and the Hidden Markov Model (HMM, (Vogel et al, 1996)) to estimate the alignment model.</S> | Reference Offset:  ['7','21'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C96-2141.txt | Citing Article:  D10-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Over the years, there have been many proposals to improve these reordering models, most notably Vogel et al (1996), which adds a first-order dependency.</S> | Reference Offset:  ['7','123'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 123 ssid = >For the HMM- based model this, however, requires a second- order rather than a first-order model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C96-2141.txt | Citing Article:  W05-0814.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The starting point is the final alignment generated using GIZA++'s implementation of IBM Model 1 and the Aachen HMM model (Vogel et al, 1996).</S> | Reference Offset:  ['21','44'] | Reference Text:  <S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S><S sid = 44 ssid = >a.2 Al ignment w i th HMM We now propose all HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C96-2141.txt | Citing Article:  W10-3813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Generative word alignment models including IBM models (Brown et al, 1993) and HMM word alignment models (Vogel et al, 1996) have been widely used in various types of Statistical Machine Translation (SMT) systems.</S> | Reference Offset:  ['0','19'] | Reference Text:  <S sid = 0 ssid = >HMM-Based Word Alignment In Statistical Translation</S><S sid = 19 ssid = >Models describ- ing these types of dependencies are referred to as alignment models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C96-2141.txt | Citing Article:  D09-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Because such approaches directly learn a generative model over phrase pairs, they are theoretically preferable to the standard heuristics for extracting the phrase pairs from the many-to-one word-level alignments produced by the IBM series models (Brown et al, 1993) or the Hidden Markov Model (HMM) (Vogel et al,1996).</S> | Reference Offset:  ['7','127'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 127 ssid = >(confer model 4 in (Brown et al, 1990)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C96-2141.txt | Citing Article:  P12-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inspired by HMM word alignment (Vogel et al, 1996), our second distance measure is based on jump width.</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >HMM-Based Word Alignment In Statistical Translation</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C96-2141.txt | Citing Article:  P06-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Starting with the IBM models (Brown et al,1993), researchers have developed various statistical word alignment systems based on different models, such as hidden Markov models (HMM) (Vogel et al, 1996), log-linear models (OchandNey, 2003), and similarity-based heuristic methods (Melamed, 2000).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >HMM-Based Word Alignment In Statistical Translation</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C96-2141.txt | Citing Article:  P11-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One class of particularly useful features assesses the goodness of the alignment path through the source sentence (Vogel et al., 1996).</S> | Reference Offset:  ['7','120'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 120 ssid = >The assumption that every word in the source language is aligned to a word in the target language breaks down for many sentence pairs, resulting in poor alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C96-2141.txt | Citing Article:  P11-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While classical approaches for word alignment are based on generative models (e.g., IBM models (Brown et al, 1993) and HMM (Vogel et al, 1996)), word alignment can also be viewed as a matching problem, where each word pair is associated with a score reflecting the desirability of aligning that pair, and the alignment is then the highest scored matching under some constraints.</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >HMM-Based Word Alignment In Statistical Translation</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C96-2141.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This data is used to train a word alignment model, such as IBM Model 1 (Brown et al, 1993) or HMM-based word alignment (Vogel et al, 1996).</S> | Reference Offset:  ['7','21'] | Reference Text:  <S sid = 7 ssid = >In the recent years, there have been a number of papers con- sidering this or similar problems: (Brown et al, 1990), (Dagan et al, 1993), (Kay et al, 1993), (Fung et al, 1993).</S><S sid = 21 ssid = >a mixture-based alignment model, which was introduced in (Brown et al, 1990); ? an HMM-based alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


