Citance Number: 1 | Reference Article:  C94-2174.txt | Citing Article:  C00-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Karlgren and Cutting (1994) use a combination of structural markers (e.g., noun count), lexical markers (e.g., it count), and token-level markers (e.g., words per sentence average ,type/token ratio, etc.).</S> | Reference Offset:  ['46','98'] | Reference Text:  <S sid = 46 ssid = >we used the Browu corpus of English text sn,i, )hs of uuifolnt length, ca.l,cgorized ht se,cral cal.cgorh~s I07/ Variable Range Adverb count 19 - 157 Character  count 7601 12143 ],ong word count (> 6 chars) 168 - 838 Preposit ion count 151 433 Seeond person pronoun count 0 - 89 "Therefore" count 0 -  11 Words per sentence average 8.2 - 5a.2 Chars / sentence average 34.6 266.3 First person pronoun count 0 - 156 "Me" count 0 3(1 Present part iciple count 6 - 1(11 Sentence count 40 236 Type / token rat io 14.3 - 53.0 "I" count 0 120 Character  per word average 3.8 - 5.8 "It" count 1 - 53 Noun count 243 -- 75:l Present verb count 0 - 79 "That"  count :1 72 "Which" count 0 -- 40 Fable 2: Parameters  for l ) i sc r iminant  Ana lys i s Category  I tems Er rors [.</S><S sid = 98 ssid = >word length, sentence length, and different derivatives of these two parameters.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C94-2174.txt | Citing Article:  P10-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In one experiment in (Karlgren and Cutting, 1994) the sub genres under fiction are grouped together, leading to 10 gen res to classify. Results on 10-genre Brown Corpus.</S> | Reference Offset:  ['3','35'] | Reference Text:  <S sid = 3 ssid = >SI)(1 cific for a. certain corpus or inlormation stream, and combine I.henl into ~t small tmmber ol + functions, wiLh t.he pa.ram(:i(:rs weighted oil basis of how usehd they ;u:e for discritniml.t ing text genres.</S><S sid = 35 ssid = >Fiction K. (,eneral "ietion I,.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C94-2174.txt | Citing Article:  P10-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The result is also significantly better than prior work on the Browncor pus in (Karlgren and Cutting, 1994) (who use the whole corpus as test as well as training data).</S> | Reference Offset:  ['45','79'] | Reference Text:  <S sid = 45 ssid = >Evaluat ion "or data.</S><S sid = 79 ssid = >We did not use a test set disjoint from I, he training set, and we do not claiul I;hat the functions we had the method extract fi:onl the data are useful iu theulselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C94-2174.txt | Citing Article:  P10-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','145'] | Reference Text:  <S sid = 36 ssid = >Mystery - - N. Adv.</S><S sid = 145 ssid = >The ,5/,5.b Ib:[ercncc (;~+id+:, (.qdca+go: ,qP,q5 I I IC+ 7075</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C94-2174.txt | Citing Article:  P10-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, we improve on the training accuracy of 52% reported in (Karlgren and Cutting, 1994). We are also interested in structural accuracy (S Acc) to see whether the structural SVMs make fewer& quot; big& quot; mistakes.</S> | Reference Offset:  ['79','102'] | Reference Text:  <S sid = 79 ssid = >We did not use a test set disjoint from I, he training set, and we do not claiul I;hat the functions we had the method extract fi:onl the data are useful iu theulselves.</S><S sid = 102 ssid = >The technique denionstrated above has au obvious application in in- formatiol~ retrieval, for l)ieking out interesting texts, if (cutest  based methods select a too large set for easy nlanipulation and browning (Cutting c/ al, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C94-2174.txt | Citing Article:  W01-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both works dispensed with the more complex features proposed by Karlgren and Cutting (1994) which showed promising results.</S> | Reference Offset:  ['50','102'] | Reference Text:  <S sid = 50 ssid = >We ran d i sc r iminant  ana lys i s  on the texts  in the cor l )us us ing seve.ral d i f ferent features as seen in tab le  2.</S><S sid = 102 ssid = >The technique denionstrated above has au obvious application in in- formatiol~ retrieval, for l)ieking out interesting texts, if (cutest  based methods select a too large set for easy nlanipulation and browning (Cutting c/ al, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C94-2174.txt | Citing Article:  C10-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The simplest kind of formality measure is based on word length, which is often used directly as an indicator of formality for applications such as genre classification (Karlgren and Cutting, 1994).</S> | Reference Offset:  ['98','102'] | Reference Text:  <S sid = 98 ssid = >word length, sentence length, and different derivatives of these two parameters.</S><S sid = 102 ssid = >The technique denionstrated above has au obvious application in in- formatiol~ retrieval, for l)ieking out interesting texts, if (cutest  based methods select a too large set for easy nlanipulation and browning (Cutting c/ al, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


