Citance Number: 1 | Reference Article:  P93-1001.txt | Citing Article:  W93-0301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The program takes the output of char_align (Church, 1993), a robust alternative to sentence-based alignment programs, and applies word-level constraints using a version of Brown el al.'s Model 2 (Brown et al, 1993), modified and extended to deal with robustness issues.</S> | Reference Offset:  ['1','61'] | Reference Text:  <S sid = 1 ssid = >have been a number of recent papers on aligning parallel texts at the sentence level, e.g., Brown al and Church (to appear), Isabelle (1992), Kay and Rosenschein (to appear), Simard al Warwick— Armstrong and Russell (1990).</S><S sid = 61 ssid = >Because of the noise issues, we decided to look for an alternative to paragraph—based alignment methods.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P93-1001.txt | Citing Article:  P00-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using lexical information, Kenneth Church (1993) showed that cheap alignment of text segments was still possible exploiting orthographic cognates (Michel Simard et al, 1992), instead of sentence delimiters.</S> | Reference Offset:  ['1','62'] | Reference Text:  <S sid = 1 ssid = >have been a number of recent papers on aligning parallel texts at the sentence level, e.g., Brown al and Church (to appear), Isabelle (1992), Kay and Rosenschein (to appear), Simard al Warwick— Armstrong and Russell (1990).</S><S sid = 62 ssid = >The resulting program, char_align, works at the character level using an approach inspired by the cognate method proposed in Simard et al (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P93-1001.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the text Dotplotting representation by (Church, 1993) and plot the cosine similarity scores between every pair of sentences in the text.</S> | Reference Offset:  ['69','97'] | Reference Text:  <S sid = 69 ssid = >Figure 4 illustrates this use of the residuals for the European Parliamentary text presented in Figure 1.</S><S sid = 97 ssid = >The upper—left quadrant and the lower—right quadrant are darker than the other two quadrants because the source text and the target text are more themselves than either is like the other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P93-1001.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Simard and Plamondon (Simard and Plamondon, 1998) used a composite method in which the first pass does alignment at the level of characters asin (Church, 1993) (itself based on cognate matching) and the second pass uses IBM Model-1, following Chen (Chen, 1993).</S> | Reference Offset:  ['4','62'] | Reference Text:  <S sid = 4 ssid = >This paper describes a new program, aligns texts at the level rather than at the sentence/paragraph level, based on the cognate approach proposed by Simard al.</S><S sid = 62 ssid = >The resulting program, char_align, works at the character level using an approach inspired by the cognate method proposed in Simard et al (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P93-1001.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','150'] | Reference Text:  <S sid = 55 ssid = >— Je pense que vous venez de parler de quatre urgences en une seule.</S><S sid = 150 ssid = >Char_align has succeeded in meeting many of these goals because it works at the character level and does not depend on finding sentence and/or paragraph boundaries which are surprisingly elusive in realistic applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P93-1001.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In previous work (Church et al 1993), we have reported some preliminary success in aligning the English and Japanese versions of the AWK manual (Aho, Kernighan, Weinberger (1980)), using char align (Church, 1993), a method that looks for character sequences that are the same in both the source and target.</S> | Reference Offset:  ['0','84'] | Reference Text:  <S sid = 0 ssid = >Char Align: A Program For Aligning Parallel Texts At The Character Level</S><S sid = 84 ssid = >We have found that it can even work on some texts in English and Japanese such as the AWK manual, because many of the technical terms (e.g., awk, BEGIN, END, getline, print, printf) are the same in both texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P93-1001.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Canadian Hansards that has been used in a number of other studies: Church (1993) and Simard et al (1992).</S> | Reference Offset:  ['1','62'] | Reference Text:  <S sid = 1 ssid = >have been a number of recent papers on aligning parallel texts at the sentence level, e.g., Brown al and Church (to appear), Isabelle (1992), Kay and Rosenschein (to appear), Simard al Warwick— Armstrong and Russell (1990).</S><S sid = 62 ssid = >The resulting program, char_align, works at the character level using an approach inspired by the cognate method proposed in Simard et al (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P93-1001.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This algorithm was applied to a fragment of the Canadian Hansards that has been used in a number of other studies: Church (1993) and Simard et al (1992).</S> | Reference Offset:  ['1','62'] | Reference Text:  <S sid = 1 ssid = >have been a number of recent papers on aligning parallel texts at the sentence level, e.g., Brown al and Church (to appear), Isabelle (1992), Kay and Rosenschein (to appear), Simard al Warwick— Armstrong and Russell (1990).</S><S sid = 62 ssid = >The resulting program, char_align, works at the character level using an approach inspired by the cognate method proposed in Simard et al (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P93-1001.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Currently ,word_align depends on char align (Church, 1993) to generate a starting point, which limits its applicability to European languages since char_align was designed for language pairs that share a common alphabet.</S> | Reference Offset:  ['83','145'] | Reference Text:  <S sid = 83 ssid = >This is especially true for historically related language pairs such as English and French, which share quite a number of cognates, e.g., government and gouvernement, though it also holds fairly well for almost any language pair that makes use of the Roman alphabet since there will usually be a fair number of proper nouns (e.g., surnames, company names, place names) and numbers (e.g., dates, times) that will be nearly the same in the two texts.</S><S sid = 145 ssid = >The performance of char align is encouraging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P93-1001.txt | Citing Article:  P97-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Church (1993) observes that reliably distinguishing sentence boundaries for a noisy bi text obtained from an OCR device is quite difficult.</S> | Reference Offset:  ['3','13'] | Reference Text:  <S sid = 3 ssid = >Unfortunately, if the input is noisy (due to OCR and/or unknown markup conventions), then these methods tend to break down because the noise can make it difficult to find boundaries, let alone sentences.</S><S sid = 13 ssid = >We have found it so difficult to find paragraph boundaries in texts that have been OCRed that we have decided to abandon the paragraph/sentence approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P93-1001.txt | Citing Article:  W12-4212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The method uses length balance based alignment algorithm i.e. GaleChurch (Gale and Church, 1993), for the data collecting.</S> | Reference Offset:  ['61','146'] | Reference Text:  <S sid = 61 ssid = >Because of the noise issues, we decided to look for an alternative to paragraph—based alignment methods.</S><S sid = 146 ssid = >The error rates are often very small, usually well within the length of a sentence or the length of a concordance line.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P93-1001.txt | Citing Article:  W12-4212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gale and Church (1993) describe a method for aligning sentences based on a simple statistical model of sentence lengths measured in number of characters.</S> | Reference Offset:  ['1','96'] | Reference Text:  <S sid = 1 ssid = >have been a number of recent papers on aligning parallel texts at the sentence level, e.g., Brown al and Church (to appear), Isabelle (1992), Kay and Rosenschein (to appear), Simard al Warwick— Armstrong and Russell (1990).</S><S sid = 96 ssid = >The squares have a very simple explanation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P93-1001.txt | Citing Article:  W12-4212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Levenshtein measure (Levenshtein, 1966) Church (1993) employs a method that induces sentence alignment by employing cognates (words that are spelled similarly across languages).</S> | Reference Offset:  ['93','134'] | Reference Text:  <S sid = 93 ssid = >Figure 8 shows a dotplot of 3 years of Canadian Hansards (37 million words) in English and French, tokenized by words.</S><S sid = 134 ssid = >Thus, low frequency tokens (e.g., content words) contribute more to the dotplot than high frequency tokens (e.g., function words).</S> | Discourse Facet:  NA | Annotator: Automatic


