Citance Number: 1 | Reference Article:  J98-2002.txt | Citing Article:  W99-0631.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['102','327'] | Reference Text:  <S sid = 102 ssid = >Recall that P(n) is obtained by MLE, namely, by normalizing the frequencies: where f(C) denotes the total frequency of nouns in class C in the sample S. and F is a tree cut.</S><S sid = 327 ssid = >We acknowledge the ACL for providing the ACL/DCI CD-ROM, LDC of the University of Pennsylvania for providing the Penn Treebank corpus data, and Princeton University for providing WordNet, and E. Brill and P. Resnik for providing their PP-attachment disambiguation program.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J98-2002.txt | Citing Article:  W01-0511.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li and Abe (1998) use a minimum description length-based algorithm to find an optimal tree cut over WordNet for each classification problem, finding improvements over both lexical association (Hindle and Rooth, 1993) and conceptual association, and equaling the transformation-based results.</S> | Reference Offset:  ['116','210'] | Reference Text:  <S sid = 116 ssid = >The algorithm: Find-MDL. simple and efficient algorithm based on dynamic programming, which is guaranteed to find a model with the minimum description length.</S><S sid = 210 ssid = >Hindle and Rooth (1991) proposed the use of the lexical association measure calculated based on such doubles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J98-2002.txt | Citing Article:  W01-0511.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >W ealso plan to compare the results to the tree cut algorithm reported in (Li and Abe, 1998), which allows different levels to be identified for different subtrees.</S> | Reference Offset:  ['281','312'] | Reference Text:  <S sid = 281 ssid = >Abe and Li [1996]).</S><S sid = 312 ssid = >(This allows us to use the same recursive algorithm, Find-MDL, in all cases.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J98-2002.txt | Citing Article:  P08-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our selectional preference model relies on Li and Abe (1998), applying the MDL principle to determine selectional preferences of verbs and their arguments, by means of a concept hierarchy ordered by hypernym/hyponym relations.</S> | Reference Offset:  ['255','281'] | Reference Text:  <S sid = 255 ssid = >Next, we tested the method of applying a default rule after applying each method.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J98-2002.txt | Citing Article:  W07-0606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li and Abe (1998) model selectional preferences of a verb (for an argument position) as a set of nodes in the semantic class hierarchy with a probability distribution over them.</S> | Reference Offset:  ['65','281'] | Reference Text:  <S sid = 65 ssid = >A cut in a tree is any set of nodes in the tree that defines a partition of the leaf nodes, viewing each node as representing the set of all leaf nodes it dominates.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J98-2002.txt | Citing Article:  P08-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['102','327'] | Reference Text:  <S sid = 102 ssid = >Recall that P(n) is obtained by MLE, namely, by normalizing the frequencies: where f(C) denotes the total frequency of nouns in class C in the sample S. and F is a tree cut.</S><S sid = 327 ssid = >We acknowledge the ACL for providing the ACL/DCI CD-ROM, LDC of the University of Pennsylvania for providing the Penn Treebank corpus data, and Princeton University for providing WordNet, and E. Brill and P. Resnik for providing their PP-attachment disambiguation program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J98-2002.txt | Citing Article:  H05-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['102','327'] | Reference Text:  <S sid = 102 ssid = >Recall that P(n) is obtained by MLE, namely, by normalizing the frequencies: where f(C) denotes the total frequency of nouns in class C in the sample S. and F is a tree cut.</S><S sid = 327 ssid = >We acknowledge the ACL for providing the ACL/DCI CD-ROM, LDC of the University of Pennsylvania for providing the Penn Treebank corpus data, and Princeton University for providing WordNet, and E. Brill and P. Resnik for providing their PP-attachment disambiguation program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J98-2002.txt | Citing Article:  E09-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In their work on determining selectional preferences, both Resnik (1997) and Li and Abe (1998) relied on uniformly distributing observed frequencies for a given word across all its senses, an approach later followed by Pantel et al (2007).</S> | Reference Offset:  ['59','281'] | Reference Text:  <S sid = 59 ssid = >We therefore leave this issue as a future topic, and employ a simple heuristic of equally distributing each word occurrence in the data to all of its potential word senses in our experiments.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J98-2002.txt | Citing Article:  E09-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Initially our project began as an application of the closely related MDL approach of Li and Abe (1998), but was hindered by sparse data.</S> | Reference Offset:  ['120','281'] | Reference Text:  <S sid = 120 ssid = >Note in the above algorithm that the parameter description length is calculated as An example application of Find-MDL. entire tree and when it is a proper subtree.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J98-2002.txt | Citing Article:  E09-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li and Abe (1998) used a tree cut model over WordNet, based on the principle of MinimumDescription Length (MDL).</S> | Reference Offset:  ['111','281'] | Reference Text:  <S sid = 111 ssid = >In generalizing values of a case frame slot using MDL, we could, in principle, calculate the description length of every possible tree cut model and output a model with the minimum description length as the generalization result, if computation time were of no concern.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J98-2002.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['102','327'] | Reference Text:  <S sid = 102 ssid = >Recall that P(n) is obtained by MLE, namely, by normalizing the frequencies: where f(C) denotes the total frequency of nouns in class C in the sample S. and F is a tree cut.</S><S sid = 327 ssid = >We acknowledge the ACL for providing the ACL/DCI CD-ROM, LDC of the University of Pennsylvania for providing the Penn Treebank corpus data, and Princeton University for providing WordNet, and E. Brill and P. Resnik for providing their PP-attachment disambiguation program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J98-2002.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McCarthy determines the sense profile of a verb/slot pair using a minimum description length tree cut model over the frequency-populated hierarchy (Li and Abe, 1998).</S> | Reference Offset:  ['27','111'] | Reference Text:  <S sid = 27 ssid = >We then give an efficient algorithm that provably obtains the optimal tree cut model for the given frequency data of a case slot, in the sense of MDL.</S><S sid = 111 ssid = >In generalizing values of a case frame slot using MDL, we could, in principle, calculate the description length of every possible tree cut model and output a model with the minimum description length as the generalization result, if computation time were of no concern.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J98-2002.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We suspect the problem is two-fold, arising from the dependence of her method on tree cut models (Li and Abe, 1998).</S> | Reference Offset:  ['77','281'] | Reference Text:  <S sid = 77 ssid = >We have thus formalized the problem of generalizing values of a case frame slot as that of estimating a model from the class of tree cut models for some fixed thesaurus tree; namely, selecting a model that best explains the data from among the class of tree cut models.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J98-2002.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The method addresses conceptual problems of an earlier measure proposed by McCarthy (2000), which was limited to tree cut models (Li and Abe, 1998) and failed to distinguish detailed semantic differences between them.</S> | Reference Offset:  ['77','281'] | Reference Text:  <S sid = 77 ssid = >We have thus formalized the problem of generalizing values of a case frame slot as that of estimating a model from the class of tree cut models for some fixed thesaurus tree; namely, selecting a model that best explains the data from among the class of tree cut models.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J98-2002.txt | Citing Article:  P08-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The MDL-based tree cut model was originally introduced for handling the problem of generalizing case frames using a thesaurus (Li and Abe, 1998).</S> | Reference Offset:  ['0','295'] | Reference Text:  <S sid = 0 ssid = >Generalizing Case Frames Using A Thesaurus And The MDL Principle</S><S sid = 295 ssid = >We proposed a new method of generalizing case frames.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J98-2002.txt | Citing Article:  S12-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This leads to the notion of "cutting" the hierarchy at one or more positions (Li and Abe, 1998).</S> | Reference Offset:  ['239','281'] | Reference Text:  <S sid = 239 ssid = >11 The experimental results obtained here are better than those obtained in our preliminary experiment (Li and Abe 1995), in part because we only adopted rule (1) in the past.</S><S sid = 281 ssid = >Abe and Li [1996]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J98-2002.txt | Citing Article:  S12-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li and Abe (1998) propose a model in which the appropriate cut c is selected according to the Minimum Description Length principle; this principle explicitly accounts for the trade-off between generalisation and accuracy by minimising a sum of model description length and data description length.</S> | Reference Offset:  ['80','93'] | Reference Text:  <S sid = 80 ssid = >The former is the model description length and the latter the data description length.</S><S sid = 93 ssid = >The total description length L(M, S) of the tree cut model kl and the sample S observed through M is computed as the sum of the model description length L(F), parameter description length L(e I r), and data description length L(S I Note that we sometimes refer to L(F) + L(e I n as the model description length.</S> | Discourse Facet:  NA | Annotator: Automatic


