Citance Number: 1 | Reference Article:  P05-1066.txt | Citing Article:  W05-0820.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B: at that time was clear that we actually enlargement within the framework able to cope with the eu budget, the drawn.</S><S sid = NA ssid = NA>In summary, phrase-based systems have relatively limited potential to model word-order differences between different languages.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P05-1066.txt | Citing Article:  W09-0429.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We parse the input using the Collins parser (Collins, 1997) and apply a set of reordering rules to re-arrange the German sentence so that it corresponds more closely English word order (Collins et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As a first step in the reordering process, we parse the sentence using the parser described in (Dubey and Keller, 2003).</S><S sid = NA ssid = NA>In our approach we reorder the constituents in a parse of the German sentence to give the following word order, which is much closer to the target English word order (words which have been “moved” are underlined): We applied our approach to translation from German to English in the Europarl corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-1066.txt | Citing Article:  D08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We are aware of two methods that have been proposed for significance testing with BLUE: bootstrap resampling (Koehn, 2004b; Zhang et al, 2004) and the sign test (Collins et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Reranking methods have also been proposed as a method for using syntactic information (Koehn and Knight, 2003; Och et al., 2004; Shen et al., 2004).</S><S sid = NA ssid = NA>More recently, phrase-based models (Och et al., 1999; Marcu and Wong, 2002; Koehn et al., 2003) have been proposed as a highly successful alternative to the IBM models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-1066.txt | Citing Article:  D08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>But Collins et al (2005) note that it is not clear whether the conditions required by bootstrap resampling are met in the case of BLUE, and recommend the sign test instead.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used the sign test (e.g., see page 166 of (Lehmann, 1986)) to test the statistical significance of our results.</S><S sid = NA ssid = NA>Given a sample of test points ,the sign test depends on calculation of the following counts: , , and ,where is the cardinality of the set .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-1066.txt | Citing Article:  P10-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All results are statistically significant with p= 0.05 using the sign-test described in (Collins et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Results using the method show an improvement from 25.2% Bleu score to 26.8% Bleu score (a statistically significant improvement), using a phrase-based system (Koehn et al., 2003) which has been shown in the past to be a highly competitive SMT system.</S><S sid = NA ssid = NA>We used the sign test (e.g., see page 166 of (Lehmann, 1986)) to test the statistical significance of our results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-1066.txt | Citing Article:  W11-2150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Clause restructuring performed with hand-crafted reordering rules for German-to-English and Chinese-to-English tasks are presented in (Collins et al, 2005) and (Wang et al, 2007), respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our current approach is based on hand-crafted rules, which are based on our linguistic knowledge of how German and English syntax differs.</S><S sid = NA ssid = NA>Clause Restructuring For Statistical Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-1066.txt | Citing Article:  W11-2150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At the same time, many reorderings can be performed more efficiently based on fixed (hand-crafted) rules (as it is done in (Collins et al, 2005)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our current approach is based on hand-crafted rules, which are based on our linguistic knowledge of how German and English syntax differs.</S><S sid = NA ssid = NA>Our baseline is the phrase-based MT system of (Koehn et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P05-1066.txt | Citing Article:  W06-1626.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We followed the approximation described in (Collins et al, 2005) to get around this problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In general the lack of per-sentence scores makes it challenging to apply significance tests to Bleu scores.2 To get around this problem, we make the following approximation.</S><S sid = NA ssid = NA>Another class of approaches make use of syntactic information in the target language alone, effectively transforming the translation problem into a parsing problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P05-1066.txt | Citing Article:  W12-4203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Collins et al (2005) approach the problem of properly translating negation in their general reordering setting.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are clearly some advantages to learning reordering rules automatically, as in Xia et. al’s approach.</S><S sid = NA ssid = NA>In general the lack of per-sentence scores makes it challenging to apply significance tests to Bleu scores.2 To get around this problem, we make the following approximation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P05-1066.txt | Citing Article:  W11-2147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To make the word order of German input sentences more English-like a version of the rules of (Collins et al, 2005) were partially implemented using tagged output from the RFTagger.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The German word order in this case is substantially different from the word order that would be seen in English.</S><S sid = NA ssid = NA>German has substantially freer word order than English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P05-1066.txt | Citing Article:  P11-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bold numbers are not significantly different from the best result according to the sign test (p= 0.05) (Collins et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have seen in the last section that German syntax has several characteristics that lead to significantly different word order from that of English.</S><S sid = NA ssid = NA>We used the sign test (e.g., see page 166 of (Lehmann, 1986)) to test the statistical significance of our results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P05-1066.txt | Citing Article:  W06-1628.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The test data for the experiments consisted of 2,000 sentences, and was the same test set as that used by Collins et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Source language sentences are reordered in test data, and also in training data that is used by the underlying phrasebased system.</S><S sid = NA ssid = NA>We applied our reordering method to both the training and test data, and retrained the system on the reordered training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P05-1066.txt | Citing Article:  P11-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B: at that time was clear that we actually enlargement within the framework able to cope with the eu budget, the drawn.</S><S sid = NA ssid = NA>In summary, phrase-based systems have relatively limited potential to model word-order differences between different languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P05-1066.txt | Citing Article:  P11-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Collins et al (2005) address this problem by reordering German sentences to more closely parallel English word order, prior to translation by a PSMT system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The German word order in this case is substantially different from the word order that would be seen in English.</S><S sid = NA ssid = NA>We now describe the method we use for reordering German sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P05-1066.txt | Citing Article:  P11-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Collins et al (2005) (German-to-English) use six hand-crafted reordering rules targeting the placement of verbs, subjects, particles and negation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our current approach is based on hand-crafted rules, which are based on our linguistic knowledge of how German and English syntax differs.</S><S sid = NA ssid = NA>[6] Negation As a final step, we move negative particles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P05-1066.txt | Citing Article:  P11-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zwarts and Dras (2007) implement six rules for Dutch-to-English translation, analogous to those of Collins et al (2005), as part of an exploration of dependency distance in syntax-augmented PSMT.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our current approach is based on hand-crafted rules, which are based on our linguistic knowledge of how German and English syntax differs.</S><S sid = NA ssid = NA>We have seen in the last section that German syntax has several characteristics that lead to significantly different word order from that of English.</S> | Discourse Facet:  NA | Annotator: Automatic


