Citance Number: 1 | Reference Article:  J08-2002.txt | Citing Article:  D09-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Toutanova et al (2008) presented a re-ranking model to jointly learn the semantic roles of multiple constituents in the SRL task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S><S sid = NA ssid = NA>As discussed in Section 3, multiple constituents can be part of the same semantic argument as specified by Propbank.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J08-2002.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Learning from richer linguistic descriptions of more complex structures is proposed in (Toutanova et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Other methods have also been proposed, as we discussed in Section 2 (M`arquez et al. 2005; Pradhan, Ward et al.</S><S sid = NA ssid = NA>However, this is not impossible and systems which are more robust to parser error have been proposed (Pradhan et al. 2005; M`arquez et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J08-2002.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Toutanova et al, 2008) a SRL model over Propbank that effectively exploits the semantic argument frame as a joint structure, is presented.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a model for semantic role labeling that effectively captures the linguistic intuition that a semantic argument frame is a joint structure, with strong dependencies among the arguments.</S><S sid = NA ssid = NA>We present a model for semantic role labeling that effectively captures the linguistic intuition that a semantic argument frame is a joint structure, with strong dependencies among the arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J08-2002.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This approach effectively introduces a new step in SRL, also called Joint Re-ranking, (RR), e.g. (Toutanova et al., 2008) or (Moschitti et al., 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S><S sid = NA ssid = NA>Other methods have also been proposed, as we discussed in Section 2 (M`arquez et al. 2005; Pradhan, Ward et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J08-2002.txt | Citing Article:  P10-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Toutanova et al (2008), Johansson and Nugues (2008), and Bjorkelund et al (2009) presented importance of capturing non-local dependencies of core arguments in predicate-argument structure analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S><S sid = NA ssid = NA>Other methods have also been proposed, as we discussed in Section 2 (M`arquez et al. 2005; Pradhan, Ward et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J08-2002.txt | Citing Article:  W10-0901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While there are a number of existing tools for performing these tasks based on the linguistic context (e.g., Toutanova et al, 2008, Erk and Pado, 2006), their performance is only moderate (e.g., Agirre et al 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S><S sid = NA ssid = NA>Other methods have also been proposed, as we discussed in Section 2 (M`arquez et al. 2005; Pradhan, Ward et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J08-2002.txt | Citing Article:  P12-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Supervised SRL systems have mostly used local classifiers that assign a role to each constituent independently of others, and only modeled limited correlations among roles in a sequence (Toutanova et al., 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Even though previous work has modeled some correlations between the labels of parse tree nodes (see Section 2), many important phenomena have not been modeled.</S><S sid = NA ssid = NA>Most of this work relies heavily on local classifiers: ones that decide the semantic role of each phrase independently of the roles of other phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J08-2002.txt | Citing Article:  P12-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to Toutanova et al (2008), we propose to use global role ordering preferences but in a generative model in contrast to their discriminative one.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Global Joint Model for Semantic Role Labeling</S><S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J08-2002.txt | Citing Article:  P10-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Toutanova et al (2008) currently have the best performing SRL system on the Brown corpus test set with an F1 score of 68.81 (80.8 for the WSJtest).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The other test set is from the Brown corpus (Test Brown).</S><S sid = NA ssid = NA>For the Brown Test set, our submitted version had an F-Measure of 67.71, the winning system had 67.75, and our current system has 68.81.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J08-2002.txt | Citing Article:  P10-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Indeed, when SRL systems use gold standard parses, they tend to perform extremely well (Toutanova et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For both gold-standard and automatic parses we use one evaluation measure, which we call argument-based evaluation.</S><S sid = NA ssid = NA>However, this is not impossible and systems which are more robust to parser error have been proposed (Pradhan et al. 2005; M`arquez et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J08-2002.txt | Citing Article:  P10-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported in part by the Disruptive Technology Organization (DTO)’s Advanced Question Answering for Intelligence (AQUAINT) Program.</S><S sid = NA ssid = NA>Moreover, a joint model for semantic role labeling optimizes Whole Frame Accuracy more directly than a local model does.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J08-2002.txt | Citing Article:  P10-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported in part by the Disruptive Technology Organization (DTO)’s Advanced Question Answering for Intelligence (AQUAINT) Program.</S><S sid = NA ssid = NA>Moreover, a joint model for semantic role labeling optimizes Whole Frame Accuracy more directly than a local model does.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J08-2002.txt | Citing Article:  P11-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These approaches have been shown to be successful for tasks such as parsing and named entity recognition in newswire data (Finkel and Manning, 2009) or semantic role labeling in the Penn Treebank and Brown corpus (Toutanova et al,2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The other test set is from the Brown corpus (Test Brown).</S><S sid = NA ssid = NA>Toutanova, Haghighi, and Manning A Global Joint Model for SRL labelings shown in Figure 2(c).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J08-2002.txt | Citing Article:  C10-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Toutanova et al (2008) and Punyakanok et al (2008) presented a re-ranking model and an integer linear programming model respectively to jointly learn a global optimal semantic roles assignment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S><S sid = NA ssid = NA>Other methods have also been proposed, as we discussed in Section 2 (M`arquez et al. 2005; Pradhan, Ward et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J08-2002.txt | Citing Article:  D12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Reranking has become a popular technique for solving various structured prediction tasks, such as phrase-structure (Collins, 2000) and dependency parsing (Hall, 2007), semantic role labeling (Toutanova et al 2008) and machine translation (Shen et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S><S sid = NA ssid = NA>Other methods have also been proposed, as we discussed in Section 2 (M`arquez et al. 2005; Pradhan, Ward et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J08-2002.txt | Citing Article:  P10-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, the confusion matrix in (Toutanova et al, 2008) indicates that their model scores 99.5% accuracy on this task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The F-Measure obtained was 99.0.</S><S sid = NA ssid = NA>The second confusion matrix concentrates on confusions among modifying arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


