Citance Number: 1 | Reference Article:  P07-1028.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We build on a recent selectional preference model (Erk, 2007) that bases its generalisations on word similarity in a vector space.</S> | Reference Offset:  ['104','155'] | Reference Text:  <S sid = 104 ssid = >Since the flexibility of similarity-based models extends to the vector space for computing similarities, one obvious remedy to the coverage problem would be the use of a less sparse vector space.</S><S sid = 155 ssid = >The most probable reason for this is the sparsity of the underlying vector space.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P07-1028.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have demonstrated that the successful evaluation of the model in Erk (2007) on the coarse-grained pseudo-word disambiguation task carries over to the prediction of human plausibility judgments which requires relatively fine-grained, relation-based distinctions.</S> | Reference Offset:  ['19','153'] | Reference Text:  <S sid = 19 ssid = >In the evaluation, the similarity-model shows lower error rates than both Resnik's WordNet-based model and the EM-based clustering model.</S><S sid = 153 ssid = >In a pseudo-disambiguation task the similarity-based model showed error rates down to 0.16, far lower than both EM-based clustering and Resnik's WordNet model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P07-1028.txt | Citing Article:  P14-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such models have engendered improvements in diverse applications such as selectional preference modeling (Erk, 2007), word-sense discrimination (McCarthy and Carroll, 2003), automatic dictionary building (Curran, 2003), and information retrieval (Manning et al, 2008).</S> | Reference Offset:  ['5','31'] | Reference Text:  <S sid = 5 ssid = >They have been used for example for syntactic disambiguation (Hindle and Rooth, 1993), word sense disambiguation (WSD) (McCarthy and Carroll, 2003) and semantic role labeling (SRL) (Gildea and Jurafsky, 2002).</S><S sid = 31 ssid = >Brockmann and Lapata (2003) perform a comparison of WordNet-based models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1028.txt | Citing Article:  E12-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Erk (2007) and Erk et al (2010) modeled the contexts of a word as the distribution of words that co-occur with it.</S> | Reference Offset:  ['13','32'] | Reference Text:  <S sid = 13 ssid = >The argument positions for which we compute selectional preferences will be semantic roles in the FrameNet (Baker et al., 1998) paradigm, and the predicates we consider will be semantic classes of words rather than individual words (which means that different preferences will be learned for different senses of a predicate word).</S><S sid = 32 ssid = >Rooth et al. (1999) generalize over seen headwords using EM-based clustering rather than WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1028.txt | Citing Article:  E12-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['158','159'] | Reference Text:  <S sid = 158 ssid = >This is especially relevant in view of the domain-dependence problem that SRL faces.</S><S sid = 159 ssid = >Acknowledgements Many thanks to Jason Baldridge, Razvan Bunescu, Stefan Evert, Ray Mooney, Ulrike and Sebastian Pad6, and Sabine Schulte im Walde for helpful discussions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1028.txt | Citing Article:  C10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Selectional preferences are computed as in Erk (2007).</S> | Reference Offset:  ['0','80'] | Reference Text:  <S sid = 0 ssid = >A Simple Similarity-based Model for Selectional Preferences</S><S sid = 80 ssid = >The first five models are similarity-based, computed with uniform weights.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1028.txt | Citing Article:  P09-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Erk, 2007) a distributional similarity based model for selectional preferences is introduced, reminiscent of that of Pantel and Lin (2000).</S> | Reference Offset:  ['0','147'] | Reference Text:  <S sid = 0 ssid = >A Simple Similarity-based Model for Selectional Preferences</S><S sid = 147 ssid = >We have introduced the similarity-based model for inducing selectional preferences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1028.txt | Citing Article:  P10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bergsma et al. (2008) test pairs that fall below a mutual information threshold (might include some seen pairs), and Erk (2007) selects a subset of roles in FrameNet (Baker et al, 1998) to test and uses all labeled instances within this subset (unclear what portion of subset of data is seen).</S> | Reference Offset:  ['32','56'] | Reference Text:  <S sid = 32 ssid = >Rooth et al. (1999) generalize over seen headwords using EM-based clustering rather than WordNet.</S><S sid = 56 ssid = >We use FrameNet (Baker et al., 1998), a semantic lexicon for English that groups words in semantic classes called frames and lists semantic roles for each frame.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1028.txt | Citing Article:  P10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We implemented the current state-of-the-art smoothing model of Erk (2007).</S> | Reference Offset:  ['14','35'] | Reference Text:  <S sid = 14 ssid = >In SRL, the two most pressing issues today are (1) the development of strong semantic features to complement the current mostly syntacticallybased systems, and (2) the problem of the domain dependence (Carreras and Marquez, 2005).</S><S sid = 35 ssid = >While there have been no isolated comparisons of the two generalization paradigms that we are aware of, Gildea and Jurafsky's (2002) task-based evaluation has found clusteringbased approaches to have better coverage than WordNet generalization, that is, for a given role there are more words for which they can state a preference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1028.txt | Citing Article:  P10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Train size is approximately the same size used in Erk (2007), although on a different corpus.</S> | Reference Offset:  ['131','132'] | Reference Text:  <S sid = 131 ssid = >Line (c) looks at the size of like(S).</S><S sid = 132 ssid = >Since we are using a cutoff of 500 similar words computed per word in S, the size of like(S) can only vary if the same word is suggested as similar for several seen headwords in S. This way, the size of like(S) functions as an indicator of the degree of uniformity or similarity that a similarity metric “perceives” among the members of S. To facilitate comparison across frequency bands, line (c) normalizes by the size of S, showwe see that Cosine seems to “perceive” considerably less similarity among the seen headwords than any of the other metrics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1028.txt | Citing Article:  P10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These results appear consistent with Erk (2007) because that work used the BNC corpus (the same size as one year of our data) and Erk chose confounders randomly within a broad frequency range.</S> | Reference Offset:  ['61','70'] | Reference Text:  <S sid = 61 ssid = >Our generalization corpus is the BNC.</S><S sid = 70 ssid = >In a test set of pairs (rp, w), each headword w is paired with a confounder w' chosen randomly from the BNC according to its frequency4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P07-1028.txt | Citing Article:  S12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to Erk (2007), we used an adapted version which we computed for semantic roles by means of the FN database rather than for verb argument positions.</S> | Reference Offset:  ['13','52'] | Reference Text:  <S sid = 13 ssid = >The argument positions for which we compute selectional preferences will be semantic roles in the FrameNet (Baker et al., 1998) paradigm, and the predicates we consider will be semantic classes of words rather than individual words (which means that different preferences will be learned for different senses of a predicate word).</S><S sid = 52 ssid = >Our primary corpus will consist of manually semantically annotated data, and we will use semantic verb classes as predicates and semantic roles as arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P07-1028.txt | Citing Article:  W11-0607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Erk et al (2010) propose the Exemplar-Based Model of Selectional Preferences, in turn based on Erk (2007).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >A Simple Similarity-based Model for Selectional Preferences</S><S sid = 1 ssid = >We propose a new, simple model for the automatic induction of selectional preferences, using corpus-based semantic similarity metrics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P07-1028.txt | Citing Article:  N10-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Erk, 2007) a number of SP models are tested in a pseudo-task related to SRL.</S> | Reference Offset:  ['107','119'] | Reference Text:  <S sid = 107 ssid = >Besides the similarity metric itself, which we discuss below, parameters of the similarity-based models include the number of seen headwords, the weighting scheme, and the number of similar words for each headword.</S><S sid = 119 ssid = >So similarity-based models seem not overly sensitive to the weighting scheme used, the number of seen headwords, or the number of similar words per seen headword.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P07-1028.txt | Citing Article:  D09-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['158','159'] | Reference Text:  <S sid = 158 ssid = >This is especially relevant in view of the domain-dependence problem that SRL faces.</S><S sid = 159 ssid = >Acknowledgements Many thanks to Jason Baldridge, Razvan Bunescu, Stefan Evert, Ray Mooney, Ulrike and Sebastian Pad6, and Sabine Schulte im Walde for helpful discussions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P07-1028.txt | Citing Article:  E12-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['158','159'] | Reference Text:  <S sid = 158 ssid = >This is especially relevant in view of the domain-dependence problem that SRL faces.</S><S sid = 159 ssid = >Acknowledgements Many thanks to Jason Baldridge, Razvan Bunescu, Stefan Evert, Ray Mooney, Ulrike and Sebastian Pad6, and Sabine Schulte im Walde for helpful discussions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P07-1028.txt | Citing Article:  P10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The notion of selectional preference is not restricted to surface-level predicates such as verbs and modifiers, but also extends to semantic frames (Erk, 2007) and inference rules (Pantel et al, 2007).</S> | Reference Offset:  ['56','69'] | Reference Text:  <S sid = 56 ssid = >We use FrameNet (Baker et al., 1998), a semantic lexicon for English that groups words in semantic classes called frames and lists semantic roles for each frame.</S><S sid = 69 ssid = >Like Rooth et al. (1999) we evaluate selectional preference induction approaches in a pseudodisambiguation task.</S> | Discourse Facet:  NA | Annotator: Automatic


