Citance Number: 1 | Reference Article:  J09-3003.txt | Citing Article:  P10-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The authors later explored the difference between prior and contextual polarity (Wilson et al, 2009): words that lose polarity in context, or whose polarity is reversed because of context.</S> | Reference Offset:  ['4','39'] | Reference Text:  <S sid = 4 ssid = >Also, quite often words that are positive or negative out of context are neutral in context, meaning they are not even being used to express a sentiment.</S><S sid = 39 ssid = >Out of context, we would consider both of these words to be positive.1 In context, the word reason is being negated, changing its polarity from positive to negative.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J09-3003.txt | Citing Article:  C10-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wilson et al (2009) proposed a two-step approach to classify word polarity out of context firstly, and then to classify word polarity in context with a wide variety of features.</S> | Reference Offset:  ['43','375'] | Reference Text:  <S sid = 43 ssid = >We call the polarity that would be listed for a word in a lexicon the word’s prior polarity, and we call the polarity of the expression in which a word appears, considering the context of the sentence and document, the word’s contextual polarity.</S><S sid = 375 ssid = >For the second step of recognizing contextual polarity, we classify the polarity of all clue instances identified as polar in step one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J09-3003.txt | Citing Article:  P11-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Domain: Following (Wilson et al, 2009), we apply a feature indicating the domain of the document to which a sentence belongs.</S> | Reference Offset:  ['80','261'] | Reference Text:  <S sid = 80 ssid = >Contextual polarity may also be influenced by the domain or topic.</S><S sid = 261 ssid = >Document Feature There is one document feature representing the topic or domain of the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J09-3003.txt | Citing Article:  C10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is significantly different from the previous input structure methods, which consider the linguistic structure as heuristic rules (Ding and Liu, 2007) or input features for classification (Wilson et al 2009).</S> | Reference Offset:  ['506','519'] | Reference Text:  <S sid = 506 ssid = >Morinaga et al. only consider the positive or negative clue instance in each sentence that is closest to some target reference; Kim and Hovy, Hu and Liu, and Grefenstette et al. multiply or count the prior polarities of clue instances in the sentence.</S><S sid = 519 ssid = >Gamon (2004) achieves his best results for document classification using a wide variety of features, including rich linguistic features, such as features that capture constituent structure, features that combine part-of-speech and semantic relations (e.g., sentence subject or negated context), and features that capture tense information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J09-3003.txt | Citing Article:  P10-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Currently, our input sentiment list exists only of prior sentiment values, however work by Wilson et al (2009) has advanced the notion of contextual polarity lists.</S> | Reference Offset:  ['493','517'] | Reference Text:  <S sid = 493 ssid = >To make the relationship between that task and ours clearer, some word lists that are used to evaluate methods for recognizing prior polarity (positive and negative word lists from the General Inquirer [Stone et al. 1966] and lists of positive and negative adjectives created for evaluation by Hatzivassiloglou and McKeown [1997]) are included in the prior-polarity lexicon used in our experiments.</S><S sid = 517 ssid = >Bai et al. (2005) argue that dependencies among key sentiment terms are important for classifying document sentiment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J09-3003.txt | Citing Article:  P11-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the task of classifying the polarity of a given expression, there has been fairly extensive work on suitable classification features (Wilson et al, 2009).</S> | Reference Offset:  ['186','515'] | Reference Text:  <S sid = 186 ssid = >However, determining which clue instances are part of the same expression and identifying expression boundaries are not the focus of this work.</S><S sid = 515 ssid = >Classifying the sentiment of documents is a very different task than recognizing the contextual polarity of words and phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J09-3003.txt | Citing Article:  P11-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first part of each pipeline extracts opinion expressions, and this is followed by a multiclass classifier assigning a polarity to a given opinion expression, similar to that described by Wilson et al (2009).</S> | Reference Offset:  ['49','398'] | Reference Text:  <S sid = 49 ssid = >We begin by presenting an annotation scheme for marking sentiment expressions and their contextual polarity in the Multi-perspective Question Answering (MPQA) opinion corpus.</S><S sid = 398 ssid = >For each algorithm, we give the results for the two baseline classifiers, followed by the results for the classifier trained using all the polarity features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J09-3003.txt | Citing Article:  P11-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The problem of polarity classification has been studied in detail by Wilson et al (2009), who used a set of carefully devised linguistic features.</S> | Reference Offset:  ['32','389'] | Reference Text:  <S sid = 32 ssid = >However, what the polarity of a given word or phrase is when it is used in a particular context is another problem entirely.</S><S sid = 389 ssid = >First, we investigate the performance of the polarity features used together for polarity classification under condition 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J09-3003.txt | Citing Article:  P10-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['184','540'] | Reference Text:  <S sid = 184 ssid = >Either way, this provides strong evidence of the need to be able to disambiguate the contextual polarity of subjectivity and sentiment clues.</S><S sid = 540 ssid = >This work was supported in part by an Andrew Mellow Predoctoral Fellowship, by the NSF under grant IIS-0208798, by the Advanced Research and Development Activity (ARDA), and by the European IST Programme through the AMIDA Integrated Project FP6-0033812.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J09-3003.txt | Citing Article:  W12-3802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wilson et al (2009) show that modalities as well as negations are good cues for opinion identification.</S> | Reference Offset:  ['74','249'] | Reference Text:  <S sid = 74 ssid = >Negation may be local (e.g., not good), or involve longer-distance dependencies such as the negation of the proposition (e.g., does not look very good) or the negation of the subject (e.g., no one thinks that it’s good).</S><S sid = 249 ssid = >The words good and evil are in a conjunction together; thus the conj polarity feature is negative for good and positive for evil.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J09-3003.txt | Citing Article:  W12-3802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wilson et al (2009) also consider negators and in addition distinguish between positive polarity shifters and negative polarity shifters since they only reverse a particular polarity type.</S> | Reference Offset:  ['280','281'] | Reference Text:  <S sid = 280 ssid = >General polarity shifters reverse polarity (e.g., little truth, little threat).</S><S sid = 281 ssid = >Negative polarity shifters typically make the polarity of an expression negative (e.g., lack of understanding).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J09-3003.txt | Citing Article:  W12-3802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Among the few research efforts in this direction, Wilson et al (2009) use a list of modal words.</S> | Reference Offset:  ['480','534'] | Reference Text:  <S sid = 480 ssid = >Our work also differs from other research in the variety of features that we use.</S><S sid = 534 ssid = >Another direction for future work will be to expand our lexicon using existing techniques for acquiring the prior polarity of words and phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J09-3003.txt | Citing Article:  W12-3802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our treatment of negation goes beyond the approaches of (Wilson et al, 2009) (Taboada et al., 2011) and (Liu and Seneff, 2009) since we propose a specific treatment for negative polarity items and for multiple negatives.</S> | Reference Offset:  ['502','506'] | Reference Text:  <S sid = 502 ssid = >Morinaga et al. (2002), Yu and Hatzivassiloglou (2003), Kim and Hovy (2004), Hu and Liu (2004), and Grefenstette et al.</S><S sid = 506 ssid = >Morinaga et al. only consider the positive or negative clue instance in each sentence that is closest to some target reference; Kim and Hovy, Hu and Liu, and Grefenstette et al. multiply or count the prior polarities of clue instances in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J09-3003.txt | Citing Article:  P11-3015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Features previously found to be useful for detecting phrase-level contextual polarity (Wilson et al, 2009) are also included.</S> | Reference Offset:  ['0','259'] | Reference Text:  <S sid = 0 ssid = >Articles: Recognizing Contextual Polarity: An Exploration of Features for Phrase-Level Sentiment Analysis</S><S sid = 259 ssid = >Sentence Features These are features that previously were found useful for sentence-level subjectivity classification (Wiebe, Bruce, and O’Hara 1999; Wiebe and Riloff 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J09-3003.txt | Citing Article:  P13-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The polarity of each word in arguments is derived from Multi-perspective Question Answering Opinion Corpus (MPQA) (Wilson et al, 2009).</S> | Reference Offset:  ['49','91'] | Reference Text:  <S sid = 49 ssid = >We begin by presenting an annotation scheme for marking sentiment expressions and their contextual polarity in the Multi-perspective Question Answering (MPQA) opinion corpus.</S><S sid = 91 ssid = >Rather than building a corpus from scratch, we chose to add contextual polarity annotations to the existing annotations in the Multi-perspective Question Answering (MPQA) opinion corpus2 (Wiebe, Wilson, and Cardie 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J09-3003.txt | Citing Article:  W12-0513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The task has been extended to allow sentences to be annotated as displaying both positive and negative sentiment (Wilson et al, 2009) or indicating the degree of intensity (Thelwall et al, 2010).</S> | Reference Offset:  ['502','506'] | Reference Text:  <S sid = 502 ssid = >Morinaga et al. (2002), Yu and Hatzivassiloglou (2003), Kim and Hovy (2004), Hu and Liu (2004), and Grefenstette et al.</S><S sid = 506 ssid = >Morinaga et al. only consider the positive or negative clue instance in each sentence that is closest to some target reference; Kim and Hovy, Hu and Liu, and Grefenstette et al. multiply or count the prior polarities of clue instances in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J09-3003.txt | Citing Article:  C10-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Wilson et al (2009) distinguish prior and contextual polarity, and thus describe a method to phrase-level sentiment analysis.</S> | Reference Offset:  ['0','72'] | Reference Text:  <S sid = 0 ssid = >Articles: Recognizing Contextual Polarity: An Exploration of Features for Phrase-Level Sentiment Analysis</S><S sid = 72 ssid = >Phrase-level sentiment analysis is not a simple problem.</S> | Discourse Facet:  NA | Annotator: Automatic


