Citance Number: 1 | Reference Article:  W11-1902.txt | Citing Article:  D12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, the Stanford coreference resolver (Lee et al 2011), which won the CoNLL-2011 shared task on coreference resolution, adopts the once-popular rule-based approach, resolving pronouns simply with rules that encode the aforementioned traditional linguistic constraints on coreference, such as the Binding constraints and gender and number agreement. The infrequency of occurrences of difficult pronouns in these standard evaluation corpora by no means undermines their significance, however.</S> | Reference Offset:  ['1','6'] | Reference Text:  <S sid = 1 ssid = >This paper details the coreference resolution system submitted by Stanford at the CoNLL- 2011 shared task.</S><S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W11-1902.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >After obtaining all the extracted noun phrases, we also use a rule-based method to remove some erroneous candidates based on previous studies (e.g. Lee et al (2011), Uryupina et al (2011)).</S> | Reference Offset:  ['6','36'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 36 ssid = >Each sieve uses syntactic parse trees, identified named entity mentions, and a few manually written patterns based on heuristics and OntoNotes specifications (Hovy et al., 2006; Pradhan et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W11-1902.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They also outperform the learning-based systems of Sapena et al (2011) and Chang et al (2011), and perform competitively with Lee's system (Lee et al 2011).</S> | Reference Offset:  ['6','52'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 52 ssid = >Please see (Raghunathan et al., 2010) for more details.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W11-1902.txt | Citing Article:  W12-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we have chosen two coreference resolution systems: Stanford's Multi-Pass Sieve Coreference Resolution System (Lee et al, 2011) (henceforth, Stanforddcoref) and ARKref (O'Connor and Heilman, 2011).</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >Stanfordâ€™s Multi-Pass Sieve Coreference Resolution System at the CoNLL-2011 Shared Task</S><S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W11-1902.txt | Citing Article:  W12-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >which, along with the absence of Froggy in the name gazetteer for the system (Lee et al, 2011), would lead to both precision and recall errors for Froggy, as we observed.</S> | Reference Offset:  ['97','99'] | Reference Text:  <S sid = 97 ssid = >Parsing errors often introduce incorrect mention boundaries, which yield both recall and precision errors.</S><S sid = 99 ssid = >Due to this boundary mismatch, all mentions found to be coreferent with this predicted mention are counted as precision errors, and all mentions in the same coreference cluster with the gold mention are counted as recall errors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W11-1902.txt | Citing Article:  W12-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >attributes and features such as ANIMACY in the 2 According to Lee et al (2011), Stanforddcoref correctly.</S> | Reference Offset:  ['6','50'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 50 ssid = >Specifically, mentions in a cluster share their attributes (e.g., number, gender, animacy) between them so coreference decision are better informed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W11-1902.txt | Citing Article:  W12-2903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Stanford tools perform part of speech tagging (Toutanova et al, 2003), constituent and dependency parsing (Klein and Manning, 2003), named entity recognition (Finkel et al, 2005), and coreference resolution (Lee et al, 2011).</S> | Reference Offset:  ['6','36'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 36 ssid = >Each sieve uses syntactic parse trees, identified named entity mentions, and a few manually written patterns based on heuristics and OntoNotes specifications (Hovy et al., 2006; Pradhan et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W11-1902.txt | Citing Article:  D12-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the part-of speech (POS) tagger, the named-entity recognizer, the parser (Klein and Manning, 2003), and the coreference resolution system (Leeetal., 2011).</S> | Reference Offset:  ['6','81'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 81 ssid = >To increase the precision of the above two sieves, we use additional constraints before two mentions can match: attribute agreement (number, gender, animacy, named entity labels), no i-within-i, no location or numeric mismatches (as in Section 2.3.1), and we do not use the abstract entity synset in WordNet, except in chains that include ‘organization’.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W11-1902.txt | Citing Article:  W12-4514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system is an extension of Stanford's multi-passsieve system, (Raghunathan et al,2010) and (Lee et al, 2011), by adding novel constraints and sieves.</S> | Reference Offset:  ['52','53'] | Reference Text:  <S sid = 52 ssid = >Please see (Raghunathan et al., 2010) for more details.</S><S sid = 53 ssid = >The core of our coreference resolution system is an incremental extension of the system described in Raghunathan et al. (2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W11-1902.txt | Citing Article:  W12-4514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another example which omits today in the phrase for the predicted mention is mentioned in (Lee et al, 2011) and this boundary mismatch also accounts for precision and recall errors.</S> | Reference Offset:  ['97','99'] | Reference Text:  <S sid = 97 ssid = >Parsing errors often introduce incorrect mention boundaries, which yield both recall and precision errors.</S><S sid = 99 ssid = >Due to this boundary mismatch, all mentions found to be coreferent with this predicted mention are counted as precision errors, and all mentions in the same coreference cluster with the gold mention are counted as recall errors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W11-1902.txt | Citing Article:  W12-4514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For Proper HeadWordMatch mentioned in (Lee et al, 2011), the Pronoun distance which indicates sentence distance limit between a pronoun and its antecedent.</S> | Reference Offset:  ['37','63'] | Reference Text:  <S sid = 37 ssid = >In the first and highest recall sieve, we mark all noun phrase (NP), possessive pronoun, and named entity mentions in each sentence as candidate mentions.</S><S sid = 63 ssid = >Pronoun distance - sentence distance between a pronoun and its antecedent cannot be larger than 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W11-1902.txt | Citing Article:  W12-4514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','132'] | Reference Text:  <S sid = 48 ssid = >All sieves traverse the candidate list until they find a coreferent antecedent according to their criteria or reach the end of the list.</S><S sid = 132 ssid = >Any opinions, findings, and conclusion or recommendations expressed in this material are those of the authors and do not necessarily reflect the view of the Air Force Research Laboratory (AFRL).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W11-1902.txt | Citing Article:  N12-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this purpose, existing work on coreference resolution (Lee et al, 2011) may prove to be useful.</S> | Reference Offset:  ['6','123'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 123 ssid = >In this work we showed how a competitive end-toend coreference resolution system can be built using only deterministic models (or sieves).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W11-1902.txt | Citing Article:  W12-4502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We filter arcs by simply adapting the sieves method proposed in (Lee et al, 2011).</S> | Reference Offset:  ['6','52'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 52 ssid = >Please see (Raghunathan et al., 2010) for more details.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W11-1902.txt | Citing Article:  W12-4502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sieves 2 to 7 are obtained from (Lee et al, 2011).</S> | Reference Offset:  ['6','52'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 52 ssid = >Please see (Raghunathan et al., 2010) for more details.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W11-1902.txt | Citing Article:  E12-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that this and several other rules rely on coreference information, which we obtain from two sources: (1) chains generated automatically using the Stanford Deterministic Coreference Resolution System (Lee et al 2011) 5, and (2) manually identified coreference chains taken directly from the annotated Switchboard dialogues.</S> | Reference Offset:  ['6','115'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 115 ssid = >This clearly indicates that pipeline architectures where mentions are identified first are inadequate for this task, and that coreference resolution might benefit from the joint modeling of mentions and coreference chains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W11-1902.txt | Citing Article:  S12-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, the top performing system in the CoNLL 2011 shared task (Pradhan et al, 2011) is a multi-pass system that applies tiers of deterministic co reference sieves from highest to lowest precision (Lee et al, 2011).</S> | Reference Offset:  ['6','7'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 7 ssid = >Our system extends the multi-pass sieve system of Raghunathan et al. (2010), which applies tiers of deterministic coreference models one at a time from highest to lowest precision.</S> | Discourse Facet:  NA | Annotator: Automatic


