Citance Number: 1 | Reference Article:  W10-2903.txt | Citing Article:  D11-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Clarke et al (2010) and Liang et al (2011) replace semantic annotations in the training set with target answers which are more easily available.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several recent works (Chen and Mooney, 2008; Liang et al., 2009; Branavan et al., 2009) explore using an external world context as a supervision signal for semantic interpretation.</S><S sid = NA ssid = NA>The WordNet metric measures similarity based on synonymy, hyponymy and meronymy (Do et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W10-2903.txt | Citing Article:  P13-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To handle syntax-semantics mismatch, GUSP introduces a novel dependency-based meaning representation Clarke et al (2010) and Liang et al (2011) used the annotated logical forms to compute answers for their experiments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several recent works (Chen and Mooney, 2008; Liang et al., 2009; Branavan et al., 2009) explore using an external world context as a supervision signal for semantic interpretation.</S><S sid = NA ssid = NA>The WordNet metric measures similarity based on synonymy, hyponymy and meronymy (Do et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W10-2903.txt | Citing Article:  P13-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Due to space consideration, we provide a brief description (see (Clarke et al, 2010) for more details).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Due to space limitations we refer the reader to (Zelle and Mooney, 1996) for a detailed description of the Geoquery domain.</S><S sid = NA ssid = NA>The WordNet metric measures similarity based on synonymy, hyponymy and meronymy (Do et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W10-2903.txt | Citing Article:  P13-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We restrict the possible assignments to the decision variables, forcing the resulting output formula to be syntactically legal, for example by restricting active variables to be type consistent, and forcing the resulting functional composition to be acyclic and fully connected (we refer the reader to (Clarke et al, 2010) for more details).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, given that Qcs,dt is active, the corresponding αvariables αcs and αdt must also be active.</S><S sid = NA ssid = NA>We frame the inference problem as an Integer Linear Programming (ILP) problem (Equation (2)) in which the first-order decisions are governed by αcs, a binary decision variable indicating that constituent c is aligned with logical symbol s. And Qcs,dt capture the second-order decisions indicating the symbol t (associated with constituent d) is an argument to function s (associated with conIt is clear that there are dependencies between the α-variables and Q-variables.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W10-2903.txt | Citing Article:  P13-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, when trained using the noisy supervision, our method achieves substantially more accurate translations than a state-of-the-art semantic parser (Clarke et al, 2010) (specifically, 80.0% in F-Score compared to an F-Score of 66.7%).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, whether next to and state forms next to(state(·)) or state(next to(·)).</S><S sid = NA ssid = NA>Several recent works (Chen and Mooney, 2008; Liang et al., 2009; Branavan et al., 2009) explore using an external world context as a supervision signal for semantic interpretation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W10-2903.txt | Citing Article:  P13-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It continues sampling a specification tree for each text specification until it finds one which successfully reads all of the input examples. The second baseline Aggressive is a state-of the-art semantic parsing framework (Clarke et al, 2010). The framework repeatedly predicts hidden structures (specification trees in our case) using a structure learner, and trains the structure learner based on the execution feedback of its predictions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When a structure is found with positive feedback it is added to the training pool for a structured learner.</S><S sid = NA ssid = NA>Although our framework can also be applied in these settings we do not assume that the text can be grounded in a world state.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W10-2903.txt | Citing Article:  P11-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As in Clarke et al (2010), we obviate the need for annotated logical forms by considering the end-to-end problem of mapping questions to answers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Current approaches to semantic parsing, the task of converting text to a formal meaning representation, rely on annotated training data mapping sentences to logical forms.</S><S sid = NA ssid = NA>Note that for all possible logical forms and alignments there exists a one-to-one mapping to these decisions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W10-2903.txt | Citing Article:  P11-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At the same time, representations such as FunQL (Kate et al, 2005), which was used in Clarke et al (2010), are simpler but lack the full expressive power of lambda calculus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several recent works (Chen and Mooney, 2008; Liang et al., 2009; Branavan et al., 2009) explore using an external world context as a supervision signal for semantic interpretation.</S><S sid = NA ssid = NA>The WordNet metric measures similarity based on synonymy, hyponymy and meronymy (Do et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W10-2903.txt | Citing Article:  P11-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We first compare our system with Clarke et al (2010) (henceforth, SEMRESP), which also learns a semantic parser from question-answer pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To answer the second question, we compare a supervised version of our model to existing semantic parsers.</S><S sid = NA ssid = NA>Our experiments are designed to answer three questions: We first compare how well our model performs under four different learning regimes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W10-2903.txt | Citing Article:  D12-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One line of work eliminates the need for an annotated logical form, instead using only the correct answer for a database query (Liangetal2011) or even a binary correct/incorrect signal (Clarke et al2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We consider scenarios where the feedback is provided as a binary signal, correct +1 or incorrect −1.</S><S sid = NA ssid = NA>Analysis over the training data shows that in 66.8% examples both approaches predict a logical form that gives the correct answer.</S> | Discourse Facet:  NA | Annotator: Automatic


