Citance Number: 1 | Reference Article:  P03-1003.txt | Citing Article:  P14-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Echihabi and Marcu (2003) have developed a noisy-channel model for QA, which explains how a sentence containing an answer to a given question can be rewritten into that question through a sequence of stochastic operations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This model explains how a given sentence SA that contains an answer sub-string A to a question Q can be rewritten into Q through a sequence of stochastic operations.</S><S sid = NA ssid = NA>A Noisy-Channel Approach To Question Answering</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1003.txt | Citing Article:  W12-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approach of Echihabi and Marcu (2003) that uses translation probabilities to rank the answers achieves higher results on the same data set (an MRR of 0.325 versus our 0.141).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Hence we We evaluate the results by generating automatically the mean reciprocal rank (MRR) using the TREC 2002 patterns and QuizZone original answers when testing on TREC 2002 and QuizZone test sets respectively.</S><S sid = NA ssid = NA>We call this data set TREC9-10Web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1003.txt | Citing Article:  W04-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Echihabi and Marcu, 2003) another form of combining strategies for advanced QA is proposed: (1) a knowledge-based Q/A implementation based on syntactic/semantic processing is combined using a maximum-entropy framework with (2) a statistical noisy-channel algorithm for Q/A and (3) a pattern-based approach that learn from Web data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Lin (2002) showed through his federated approach that 47% of TREC-2001 questions could be answered using Web-based knowledge sources.</S><S sid = NA ssid = NA>The noisy channel framework we proposed in this paper can approximate the reasoning mechanism employed by LCC and accommodate the exploitation of gloss- and synonymy-based relations found in WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1003.txt | Citing Article:  W04-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We propose to study and develop several kernel methods that can operate in Support Vector Machines for determining the optimal strategies and compare the results with the Maximum Entropy combinations reported in (Echihabi and Marcu, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>And systems such as those developed by IBM and BBN map questions and answers into feature sets and compute the similarity between them using maximum entropy models that are trained on question-answer corpora.</S><S sid = NA ssid = NA>The empirical results we obtained are extremely encouraging: our noisy-channel system is already outperforming a state-of-the-art rule-based system that took many person years to develop.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1003.txt | Citing Article:  P13-1171.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As any QA system can virtually be decomposed into two major high-level components, retrieval and selection (Echihabi and Marcu, 2003), the answer selection problem is clearly critical.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also hope that our paper will reduce the high barrier to entry that is explained by the complexity of current QA systems and increase the number of researchers working in this field: because our QA system uses only publicly available software components (an IR engine; a parser; and a statistical MT system), it can be easily reproduced by other researchers.</S><S sid = NA ssid = NA>In this paper, we propose a new approach to QA in which the contribution of various resources and components can be easily assessed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1003.txt | Citing Article:  W04-2505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Echihabi and Marcu, 2003) a noisy channel model for Q/A was introduced.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Section 2, we first present the noisy-channel model that we propose for this task.</S><S sid = NA ssid = NA>A Noisy-Channel Approach To Question Answering</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1003.txt | Citing Article:  W04-2505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the experiments, we used PropBank (www.cis.upenn.edu/? ace) along with Penn TreeBank3 2 (www.cis.upenn.edu/? tree bank) (Echihabi and Marcu, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(iii) The third data set consists of 2381 question/answer pairs collected from http://www.quiz-zone.co.uk.</S><S sid = NA ssid = NA>The first set consists of the 500 questions used at TREC 2002; the second set consists of 500 questions that were randomly selected from the Knowledge Master (KM) repository (http://www.greatauk.com).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1003.txt | Citing Article:  P13-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Echihabi and Marcu (2003) align all paths in questions with trees for heuristically pruned answers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the LCC framework, questions and answers are first mapped into logical forms.</S><S sid = NA ssid = NA>From this perspective then, the fundamental problem of question answering is that of finding spaces where the distance between questions and sentences that contain correct answers is small and where the distance between questions and sentences that contain incorrect answers is large.</S> | Discourse Facet:  NA | Annotator: Automatic


