Citance Number: 1 | Reference Article:  W08-2123.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >From the results of CoNLL-2008 shared task, the top system by (Johansson and Nugues, 2008) also used two 30 different subsystems to handle verbal and nominal predicates, respectively.</S> | Reference Offset:  ['192','193'] | Reference Text:  <S sid = 192 ssid = >The CoNLL?2008 shared task on joint parsing of syntactic and semantic de- pendencies.</S><S sid = 193 ssid = >In Proceedings of CoNLL?2008.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W08-2123.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is worth noting that our system actually competes with two independent sub-systems of (Johansson and Nugues, 2008), one for verbal predicates, the other for nominal predicates.</S> | Reference Offset:  ['67','75'] | Reference Text:  <S sid = 67 ssid = >We trained one set of classifiers for verb predicates and another for noun predicates.</S><S sid = 75 ssid = >In the tables, the features used by the classifiers for noun and verb predicates are indicated by N and V, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W08-2123.txt | Citing Article:  S12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Each sentence was parsed by the LTH dependency parser (Johansson and Nugues, 2008a), which we trained on a Swedish tree bank (Nilsson et al, 2005).</S> | Reference Offset:  ['21','122'] | Reference Text:  <S sid = 21 ssid = >2 Syntactic Submodel We model the process of syntactic parsing of a sentence x as finding the parse tree y?</S><S sid = 122 ssid = >3.3 Global SRL Model Toutanova et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W08-2123.txt | Citing Article:  S12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantic role classifiers rely heavily on lexical features (Johansson and Nugues, 2008b), and this may lead to brittleness; in order to increase robustness, we added features based on hierarchical clusters constructed using the Brown algorithm (Brown et al, 1992).</S> | Reference Offset:  ['69','74'] | Reference Text:  <S sid = 69 ssid = >All classifiers in the pipeline were L2-regularized linear logistic regres- sion classifiers, implemented using the efficient LIBLINEAR package (Lin et al., 2008).</S><S sid = 74 ssid = >The features used by the classifiers are listed in Tables 1 and 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W08-2123.txt | Citing Article:  C10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dependency parser of this demonstration is a further development of Carreras (2007) and Johansson and Nugues (2008).</S> | Reference Offset:  ['41','171'] | Reference Text:  <S sid = 41 ssid = >is a second-order edge- factored representation (McDonald and Pereira, 2006; Carreras, 2007).</S><S sid = 171 ssid = >References Carreras, Xavier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W08-2123.txt | Citing Article:  C10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the predicate identification, we used the features suggested by Johansson and Nugues (2008).</S> | Reference Offset:  ['79','88'] | Reference Text:  <S sid = 79 ssid = >Features Used in Predicate Identification and Disambiguation PREDWORD, PREDLEMMA.</S><S sid = 88 ssid = >Features Used in Argument Identification and Classification PREDLEMMASENSE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W08-2123.txt | Citing Article:  P10-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Toutanova et al (2008), Johansson and Nugues (2008), and Bjorkelund et al (2009) presented importance of capturing non-local dependencies of core arguments in predicate-argument structure analysis.</S> | Reference Offset:  ['0','122'] | Reference Text:  <S sid = 0 ssid = >CoNLL 2008: Proceedings of the 12th Conference on Computational Natural Language Learning, pages 183?187 Manchester, August 2008 Dependency-based Syntactic?Semantic Analysis with PropBank and NomBank Richard Johansson and Pierre Nugues Lund University, Sweden {richard, pierre}@cs.lth.se Abstract This paper presents our contribution in the closed track of the 2008 CoNLL Shared Task (Surdeanu et al., 2008).</S><S sid = 122 ssid = >3.3 Global SRL Model Toutanova et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >SRL based on FrameNet is thus not a novel task, although very few systems are known capable of completing a general frame-based annotation process over raw texts, noticeable exceptions being discussed for example in (Erk and Pado, 2006), (Johansson and Nugues, 2008b) and (Coppola et al., 2009).</S> | Reference Offset:  ['28','122'] | Reference Text:  <S sid = 28 ssid = >A widely used framework for fitting the weight vector is the max-margin model (Taskar et al., 2003), which is a generalization of the well- known support vector machines to general cost- based prediction problems.</S><S sid = 122 ssid = >3.3 Global SRL Model Toutanova et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most of the employed learning algorithms are based on complex sets of syntagmatic features, as deeply investigated in (Johansson and Nugues, 2008b).</S> | Reference Offset:  ['12','52'] | Reference Text:  <S sid = 12 ssid = >To be able to use complex syntactic features c ?</S><S sid = 52 ssid = >Nonprojectivity cannot be handled by span-based dynamic programming algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, the-state-of-art frame-based semantic role labeling system discussed in (Johansson and Nugues, 2008b) reports a 19% drop in accuracy for the argument classification task when a different test domain is targeted (i.e. NTI corpus).</S> | Reference Offset:  ['88','198'] | Reference Text:  <S sid = 88 ssid = >Features Used in Argument Identification and Classification PREDLEMMASENSE.</S><S sid = 198 ssid = >Joint learning improves semantic role label- ing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['62','200'] | Reference Text:  <S sid = 62 ssid = >A global classifier that rescores the predicate?</S><S sid = 200 ssid = >1Our system is freely available for download at http://nlp.cs.lth.se/lth_srl.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Johansson and Nugues, 2008b) the impact of different grammatical representations on the task of frame-based shallow semantic parsing is studied and the poor lexical generalization problem is outlined.</S> | Reference Offset:  ['16','192'] | Reference Text:  <S sid = 16 ssid = >This is true even with simpler feature representations ?</S><S sid = 192 ssid = >The CoNLL?2008 shared task on joint parsing of syntactic and semantic de- pendencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In all experiments, the FrameNet 1.3 version and the dependency based system using the LTH parser (Johansson and Nugues, 2008a) have been employed.</S> | Reference Offset:  ['32','172'] | Reference Text:  <S sid = 32 ssid = >The algorithm is a margin-based variant of the per- ceptron (preliminary experiments show that it out- performs the ordinary perceptron on this task).</S><S sid = 172 ssid = >Experiments with a higher-order pro- jective dependency parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the evaluation of the AC task, accuracy is computed over the nodes of the dependency graph, in line with (Johansson and Nugues, 2008b) or (Coppola et al, 2009).</S> | Reference Offset:  ['8','122'] | Reference Text:  <S sid = 8 ssid = >syn and a semantic graph y?</S><S sid = 122 ssid = >3.3 Global SRL Model Toutanova et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An interesting result is that a per-node accuracy of 86.3 (i.e. only 3 points under the state of-the art on the same data set, (Johansson and Nugues, 2008b)) is achieved.</S> | Reference Offset:  ['94','167'] | Reference Text:  <S sid = 94 ssid = >Lexical form and part-of-speech tag of the argument node.</S><S sid = 167 ssid = >Crucial to our success was the high performance of the syntactic parser, which achieved a high accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The above empirical findings are relevant if compared with the outcome of a similar test on the NTI collection, discussed in (Johansson and Nugues,2008b).</S> | Reference Offset:  ['142','145'] | Reference Text:  <S sid = 142 ssid = >5 Results The submitted results on the development and test corpora are presented in the upper part of Table 3.</S><S sid = 145 ssid = >Corpus Syn acc Sem F1 Macro F1 Development 88.47 80.80 84.66 Test WSJ 90.13 81.75 85.95 Test Brown 82.81 69.06 75.95 Test WSJ + Brown 89.32 80.37 84.86 Development 88.47 81.86 85.17 Test WSJ 90.13 83.75 86.61 Test Brown 82.84 69.85 76.34 Test WSJ + Brown 89.32 81.65 85.49 Table 3: Results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W08-2123.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Notice that in this paper only the training portion of the NTI data set is employed as reported in Table 2 and results are not directly comparable to (Johansson and Nugues, 2008b).</S> | Reference Offset:  ['155','162'] | Reference Text:  <S sid = 155 ssid = >Table 6 shows the results.</S><S sid = 162 ssid = >Table 7 shows the results on the development set.</S> | Discourse Facet:  NA | Annotator: Automatic


