Citance Number: 1 | Reference Article:  W07-2018.txt | Citing Article:  D08-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Therefore, there is nowadays a pressing need to adopt learning approaches to extend the coverage of the FrameNet lexicon by automatically acquiring new LUs, a task we call LU induction, as recently proposed at SemEval-2007 (Baker et al, 2007).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 12 ssid = >systems labeled three new texts automatically.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W07-2018.txt | Citing Article:  W10-2802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >LU induction has been integrated at SemEval-2007 as part of the Frame Semantic Structure Extraction shared task (Baker et al, 2007), where systems are requested to assign the correct frame to a given LU, even when the LU is not yet present in FrameNet.</S> | Reference Offset:  ['0','81'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 81 ssid = >In principle, the deci sion as to what frame to add a new LU to should be helped by the same criteria that are used to assign polysemous lemmas to existing frames.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W07-2018.txt | Citing Article:  S12-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our experiments, we use FrameNet 1.5, which contains a lexicon of 877 frames and 1,068 role labels, and 78 documents with multiple predicate argument annotations (a superset of the SemEval shared task dataset; Baker et al, 2007).</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 11 ssid = >After training on FN annotations, the participants?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W07-2018.txt | Citing Article:  E09-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We will also use our measures in applications, to check their effectiveness in supporting various tasks, e.g. in mapping frames across Text and Hypothesis in RTE, in linking related frames in discourse, or in inducing frames for LU which are not in FrameNet (Baker et al, 2007).</S> | Reference Offset:  ['13','79'] | Reference Text:  <S sid = 13 ssid = >The evaluation measured precision and recall for frames and frame elements, with partial credit for incorrect but closely related frames.</S><S sid = 79 ssid = >5.1 Partial credit for related frames.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W07-2018.txt | Citing Article:  W09-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They used the mapping in the Semeval-2007 task on frame-semantic structure extraction (Baker et al, 2007) in order to find target words in open text and assign frames. Crespo and Buitelaar (2008) carried out an automatic mapping of medical-oriented frames to WordNet synsets applying a Statistical Hypothesis Testing to select synsets attached to a lexical unit that were statistically significant using a given reference corpus.</S> | Reference Offset:  ['0','81'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 81 ssid = >In principle, the deci sion as to what frame to add a new LU to should be helped by the same criteria that are used to assign polysemous lemmas to existing frames.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W07-2018.txt | Citing Article:  N10-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our parser achieves the best published results to date on the SemEval 07 FrameNet task (Baker et al, 2007).</S> | Reference Offset:  ['0','51'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 51 ssid = >The major part of the training data for the task con sisted of the current data release from FrameNet(Release 1.3), described in Sec.2 This was supple mented by additional training data made availablethrough SemEval to participants in this task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W07-2018.txt | Citing Article:  N10-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More details can be found in Baker et al (2007).</S> | Reference Offset:  ['72','104'] | Reference Text:  <S sid = 72 ssid = >Please consult the separate system papers for details about the features used.</S><S sid = 104 ssid = >(Scheffczyk et al., 2006; Frank and Semecky, 2004; Sinha and Narayanan, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W07-2018.txt | Citing Article:  N10-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work on frame-semantic parsing in which sentences may contain multiple frames to be recognized along with their arguments has used the SemEval 07 data (Baker et al, 2007).</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 2 ssid = >The train ing data was FN annotated sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W07-2018.txt | Citing Article:  W09-1321.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Domain-oriented semantic structures are valuable assets because their representation suits information needs in the domain; however, the extraction of such structures is difficult due to the large gap between the text and these structures. On the other hand, the extraction of linguistically oriented semantics from text has long been studied in computational linguistics, and has recently been formalized as Semantic Role Labeling (Gildea and Jurafsky, 2002), and semantic structure extraction (Baker et al, 2007) (Surdeanu et al, 2008).</S> | Reference Offset:  ['0','59'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 59 ssid = >The other NTI text, ?Work Advances?, while in the same domain, was shorter and closer to newspaper style than the rest of the NTI texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W07-2018.txt | Citing Article:  D09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A variety of methods have been developed for semantic role labeling with reasonably good performance (F 1 measures in the low 80s on standard test collections for English; we refer the interested reader to the proceedings of the SemEval-2007 shared task (Baker et al, 2007) for an overview of the state-of-the-art).</S> | Reference Offset:  ['0','5'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 5 ssid = >The task of labeling frame-evoking words with ap propriate frames is similar to WSD, while the task of assigning frame elements is called Semantic Role Labeling (SRL), and has been the subject of several shared tasks at ACL and CoNLL.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W07-2018.txt | Citing Article:  D09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Considering how the performance of supervised systems degrades on out-of-domain data (Bakeret al, 2007), not to mention unseen events, semi supervised or unsupervised methods seem to offer the primary near-term hope for broad coverage semantic role labeling.</S> | Reference Offset:  ['5','100'] | Reference Text:  <S sid = 5 ssid = >The task of labeling frame-evoking words with ap propriate frames is similar to WSD, while the task of assigning frame elements is called Semantic Role Labeling (SRL), and has been the subject of several shared tasks at ACL and CoNLL.</S><S sid = 100 ssid = >This task is a more advanced and realistic version of the Automatic Semantic Role Labeling task of Senseval-3 (Litkowski, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W07-2018.txt | Citing Article:  D09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We extracted features from dependency parses corresponding to those routinely used in the semantic role labeling literature (see Baker et al (2007) for an overview).</S> | Reference Offset:  ['43','72'] | Reference Text:  <S sid = 43 ssid = >2.2 Semantic dependency graphs.</S><S sid = 72 ssid = >Please consult the separate system papers for details about the features used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W07-2018.txt | Citing Article:  D11-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A variety of other systems have focused on FrameNet-based (1998) SRL instead, including those that participated in the SemEval-2007 Task 19 (Baker et al, 2007) and work by Das et al (2010).</S> | Reference Offset:  ['0','24'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 24 ssid = >The Berkeley FrameNet project (hereafter FN) (Fillmore et al, 2003) is creating a computer- and human-readable lexical resource for English, based on the theory of frame semantics and supported by corpus evidence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W07-2018.txt | Citing Article:  E09-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approaches are too numerous to list; we refer the interested reader to the proceedings of the SemEval-2007 shared task (Baker et al, 2007) for an overview of the state of-the-art.</S> | Reference Offset:  ['0','37'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = 37 ssid = >by any interested party.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W07-2018.txt | Citing Article:  E09-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We extracted features from dependency parses corresponding to those routinely used in the semantic role labeling literature (see Baker et al (2007) for an overview). SVM classifiers were trained to identify the arguments and label them with appropriate roles.</S> | Reference Offset:  ['70','72'] | Reference Text:  <S sid = 70 ssid = >The LTH system used only SVM classifiers, while the UTD-SRL system used a combination of SVM and ME classifiers, determined experimentally.</S><S sid = 72 ssid = >Please consult the separate system papers for details about the features used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W07-2018.txt | Citing Article:  P11-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, since the release of full-text annotations in SemEval 07 (Baker et al, 2007), there has been work on identifying multiple frames and their corresponding sets of arguments in a sentence.</S> | Reference Offset:  ['11','27'] | Reference Text:  <S sid = 11 ssid = >After training on FN annotations, the participants?</S><S sid = 27 ssid = >The remainder are from full-text annotation in which each sentence isannotated for all predicators; 1,700 sentences are annotated in the full-text portion of the database, ac counting for roughly 11,700 annotation sets, or 6.8 predicators (=annotation sets) per sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


