Citance Number: 1 | Reference Article:  P93-1002.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['95','192'] | Reference Text:  <S sid = 95 ssid = >To model 1:0 sentence beads, we use a similar equation except that we only use 1:0 word beads, and we do not need to sum over beadings since there is only one word beading consistent with a 1:0 sentence bead.</S><S sid = 192 ssid = >However, substantially greater computing power is required before these approaches can become practical, and there is not much room for further improvements in accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P93-1002.txt | Citing Article:  W01-1406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(The problem of aligning parallel corpora at the sentence level has been addressed by Meyers (1998b) Chen (1993) and others and is beyond the scope of this paper).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >In this paper, we describe a fast algorithm for aligning sentences with their translations in a bilingual corpus.</S><S sid = 7 ssid = >In this paper, we describe an algorithm for aligning sentences with their translations in a bilingual corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P93-1002.txt | Citing Article:  D08-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >By adopting the IBM model 1, (Chen 1993) used word translation probabilities, which he showed gives better accuracy than the sentence length based method.</S> | Reference Offset:  ['87','191'] | Reference Text:  <S sid = 87 ssid = >However, modeling word order under translation is notoriously difficult (Brown ei al., 1993), and it is unclear how much improvement in accuracy a good model of word order would provide.</S><S sid = 191 ssid = >The natural next step in sentence alignment is to account for word ordering in the translation model, e.g., the models described in (Brown et al., 1993) could be used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P93-1002.txt | Citing Article:  D08-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Simard and Plamondon 1996) used a two-pass approach, where the first pass performs length-based alignment at the character level as in (Gale and Church 1993) and the second pass uses IBM Model 1, following (Chen 1993).</S> | Reference Offset:  ['124','126'] | Reference Text:  <S sid = 124 ssid = >In the incremental version of the EM algorithm we use, instead of re-estimating parameters after each complete pass through the corpus, we re-estimate parameters after each sentence.</S><S sid = 126 ssid = >We can align a corpus with only a single pass, simultaneously producing alignments and updating the model as we proceed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P93-1002.txt | Citing Article:  D08-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Each type of the web page sentence aligner makes use of three conventional sentence alignment models, one is the length based model following (Brown 1991), one is the lexicon based model following (Chen 1993), and the other one is the hybrid model presented in (Zhao 2002).</S> | Reference Offset:  ['95','191'] | Reference Text:  <S sid = 95 ssid = >To model 1:0 sentence beads, we use a similar equation except that we only use 1:0 word beads, and we do not need to sum over beadings since there is only one word beading consistent with a 1:0 sentence bead.</S><S sid = 191 ssid = >The natural next step in sentence alignment is to account for word ordering in the translation model, e.g., the models described in (Brown et al., 1993) could be used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P93-1002.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['95','192'] | Reference Text:  <S sid = 95 ssid = >To model 1:0 sentence beads, we use a similar equation except that we only use 1:0 word beads, and we do not need to sum over beadings since there is only one word beading consistent with a 1:0 sentence bead.</S><S sid = 192 ssid = >However, substantially greater computing power is required before these approaches can become practical, and there is not much room for further improvements in accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P93-1002.txt | Citing Article:  W05-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other examples of lexical methods are Warwick et al (1989), Mayers et al (1998), Chen (1993) and Haruno and Yamazaki (1996).</S> | Reference Offset:  ['8','33'] | Reference Text:  <S sid = 8 ssid = >Aligned bilingual corpora have proved useful in many tasks, including machine translation (Brown et al., 1990; Sadler, 1989), sense disambiguation (Brown et al., 1991a; Dagan et al., 1991; Gale et al., 1992), and bilingual lexicography (Klavans and Tzoukermann, 1990; Warwick and Russell, 1990).</S><S sid = 33 ssid = >Previous work includes (Kay, 1991) and (Catizone et al., 1989).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P93-1002.txt | Citing Article:  W05-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chen (1993) constructs a simple word-to-word translation model and then takes the alignment that maximizes the likelihood of generating the corpus given the translation model.</S> | Reference Offset:  ['4','37'] | Reference Text:  <S sid = 4 ssid = >We find the alignment that maximizes the probability of generating the corpus with this translation model.</S><S sid = 37 ssid = >We find the alignment that maximizes the probability of generating the corpus with this translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P93-1002.txt | Citing Article:  W11-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another case study of sentence alignment that we will present here is that of Chen (1993).</S> | Reference Offset:  ['99','161'] | Reference Text:  <S sid = 99 ssid = >We present its most significant characteristics in this section; for a more complete discussion please refer to (Chen, 1993).</S><S sid = 161 ssid = >In each case, we first bootstrapped the translation model by training on 100 previously aligned sentence pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P93-1002.txt | Citing Article:  W11-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >EMACC finds only 1:1 textual units alignments in its present form but a document pair can be easily extended to a document bead following the example from (Chen, 1993).</S> | Reference Offset:  ['54','99'] | Reference Text:  <S sid = 54 ssid = >For example, the correct alignment of the bilingual corpus in Figure 2 consists of the sentence bead [Ei.</S><S sid = 99 ssid = >We present its most significant characteristics in this section; for a more complete discussion please refer to (Chen, 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P93-1002.txt | Citing Article:  C10-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Asshown in (Chen, 1993) the accuracy of sentence length based methods decreases drastically when aligning texts containing small deletions or free translations.</S> | Reference Offset:  ['7','26'] | Reference Text:  <S sid = 7 ssid = >In this paper, we describe an algorithm for aligning sentences with their translations in a bilingual corpus.</S><S sid = 26 ssid = >These algorithms are not robust with respect to non-literal translations and small deletions; they can easily misalign small passages because they ignore word identities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P93-1002.txt | Citing Article:  C10-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approaches by (Chen, 1993), (Ceausu et al, 2006) or (Fattah et al, 2007) need manually aligned pairs of sentences in order to train the used alignment models.</S> | Reference Offset:  ['8','191'] | Reference Text:  <S sid = 8 ssid = >Aligned bilingual corpora have proved useful in many tasks, including machine translation (Brown et al., 1990; Sadler, 1989), sense disambiguation (Brown et al., 1991a; Dagan et al., 1991; Gale et al., 1992), and bilingual lexicography (Klavans and Tzoukermann, 1990; Warwick and Russell, 1990).</S><S sid = 191 ssid = >The natural next step in sentence alignment is to account for word ordering in the translation model, e.g., the models described in (Brown et al., 1993) could be used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P93-1002.txt | Citing Article:  W02-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are basically three kinds of approaches on sentence alignment: the length-based approach (Gale and Church 1991 and Brown et al 1991), the lexical approach (Roscheisen 1993), and the combination of them (Chen 1993, Wu 1994 and Langlais 1998, etc.).</S> | Reference Offset:  ['2','13'] | Reference Text:  <S sid = 2 ssid = >Existing efficient algorithms ignore word identities and only consider sentence (Brown al., Gale and Church, 1991).</S><S sid = 13 ssid = >Previous work includes (Brown et al., 1991b) and (Gale and Church, 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P93-1002.txt | Citing Article:  W02-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chen (1993) combines the length-based approach and lexicon-based approach together.</S> | Reference Offset:  ['28','180'] | Reference Text:  <S sid = 28 ssid = >With length-based alignment algorithms, these passages may well be misaligned by an even number of sentences if one of the corpora contains a deletion.</S><S sid = 180 ssid = >Because length-based alignment algorithms ignore lexical information, their errors can be of a more spectacular nature.</S> | Discourse Facet:  NA | Annotator: Automatic


