Citance Number: 1 | Reference Article:  J93-2002.txt | Citing Article:  P06-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since Brent (1993) a considerable amount of research focusing on large-scaled automatic acquisition of subcategorization frames (SCF) has met with some success not only in English but also in many other languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a study in the automatic acquisition of lexical syntax from naturally occurring English text.</S><S sid = NA ssid = NA>The scenario outlined above is adopted in this paper as a framework for basic research in computational language acquisition.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J93-2002.txt | Citing Article:  C04-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Brent 1993) estimated pe according to the acquisition system's performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each row shows the performance of the hypothesis-testing procedure for a different estimate p_s of the error-rate 7r_s.</S><S sid = NA ssid = NA>In fact, the estimated error rate for infinitives produces a better classification than any of those shown in Table 7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-2002.txt | Citing Article:  W99-0503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For easy reference by frame, all the symbols for a given frame are aligned in one column.</S><S sid = NA ssid = NA>The first column, titled V, represents the total number of times the word occurs in positions where it could be functioning as a verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-2002.txt | Citing Article:  P04-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For easy reference by frame, all the symbols for a given frame are aligned in one column.</S><S sid = NA ssid = NA>The first column, titled V, represents the total number of times the word occurs in positions where it could be functioning as a verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-2002.txt | Citing Article:  P08-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following studies on automatic SCF extraction (Brent, 1993), we apply a statistical test (Binomial Hypothesis Test) to the unfiltered-Levin-SCF to filter out noisy SCFs, and denote the resulting SCF set as filtered-Levin SCF.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Common verbs are more likely to be included in the test sample than rare verbs, but no verb is included more than once.</S><S sid = NA ssid = NA>3.1.1 Binomial Frequency Data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-2002.txt | Citing Article:  W98-1239.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other works describe systems that induce structures from corpora, but they use tagged corpora (Brill, 1993), or grammatical informations (Brent, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most work on corpora of naturally occurring language either uses no a priori grammatical knowledge (Brill and Marcus 1992; Ellison 1991; Finch and Chater 1992; Pereira and Schabes 1992), or else it relies on a large and complex grammar (Hindle 1990, 1991).</S><S sid = NA ssid = NA>Moving from coins to verbs, the procedure works as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-2002.txt | Citing Article:  P06-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our evaluator has two parts: the Binomial Hypothesis Test (Brent, 1993) and a back-off algorithm (Sarkar and Zeman, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3.1.1 Binomial Frequency Data.</S><S sid = NA ssid = NA>The basic approach is hypothesis testing on binomial frequency data (Kalbfleisch 1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J93-2002.txt | Citing Article:  W97-0116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The final component assesses the frames encountered by the parser by using the same model as (Brent, 1993), with the error rate set empirically.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather, it seems that significant lexical syntactic information can be recovered using a few approximate cues along with statistical inference based on a simple model of the cues' error distributions.</S><S sid = NA ssid = NA>As a result, using the -ed forms would have complicated the statistical model substantially.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J93-2002.txt | Citing Article:  P04-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Brent, 1993) relies on local morphosyntactic cues (such as the -ing suffix, except where such a word follows a determiner or a preposition other than to) in the untagged Brown Corpus as probabilistic indicators of six different predefined subcategorisation frames.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Method The cues described in Section 2 were applied to the Brown Corpus (untagged version).</S><S sid = NA ssid = NA>Second, treat these cues as probabilistic rather than absolute indicators of syntactic structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J93-2002.txt | Citing Article:  P04-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Briscoe and Carroll, 1997) observe that in the work of (Brent, 1993), (Manning, 1993) and (Ushioda et al, 1993), the maximum number of distinct sub categorization classes recognized is sixteen, and only Ushioda et al attempt to derive relative subcategorization frequency for individual predicates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>How can easily recognized, surface grammatical facts be used to extract from a corpus as much syntactic information as possible about individual words?</S><S sid = NA ssid = NA>How can easily recognized, surface grammatical facts be used to extract from a corpus as much syntactic information as possible about individual words?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J93-2002.txt | Citing Article:  C10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In his seminal work, Brent (1993) already pointed out that the cues occur in contexts that were not aimed at.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the cues are not perfect, such verbs do occur with cues for S. The problem is to determine when a verb occurs with cues for S often enough that all those occurrences are unlikely to be errors.</S><S sid = NA ssid = NA>Further, these cues occur fairly often in structures other than those they are designed to detect.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J93-2002.txt | Citing Article:  P07-3016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Brent, 1993) uses regular patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar characteristic patterns exist for words that occur primarily as adjectives.</S><S sid = NA ssid = NA>Use a statistical model to determine whether the cooccurrence of a verb with cues for a frame is too regular to be explained by randomly distributed exceptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J93-2002.txt | Citing Article:  C02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus, Brent (1993) only creates hypotheses on the basis of instances of verb frames that are reliably and unambiguously cued by closed class items (such as pronouns) so there can be no other attachment possibilities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If sentences cannot be parsed completely and reliably then the syntactic frames used in them cannot be determined reliably.</S><S sid = NA ssid = NA>Because pronouns like him almost never take relative clauses, and because pronouns are known at the outset, Lerner concludes that the clause beginning with that the is probably an argument of the verb tell.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J93-2002.txt | Citing Article:  W10-1612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The foundational work of (Brent, 1993) was based on plain text (2.6 million words of the Wall StreetJournal (WSJ, 1994)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper describes an approach based on two principles.</S><S sid = NA ssid = NA>This paper describes an approach based on two principles.</S> | Discourse Facet:  NA | Annotator: Automatic


