Citance Number: 1 | Reference Article:  W96-0102.txt | Citing Article:  E12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first four lines show the token-level accuracy for standard POS tagging tools trained and evaluated on the BulTreeBank:2 TreeTagger (Schmid, 1994), which uses decision trees, TnT (Brants, 2000), which uses a hidden Markov model, SVMtool (Gimenez and Ma`rquez, 2004), which is based on support vector machines, and ACOPOST (Schroder, 2002), implementing the memory-based model of Daelemans et al (1996).</S> | Reference Offset:  ['15','177'] | Reference Text:  <S sid = 15 ssid = >Most work on statistical methods has used n-gram models or Hidden Markov Model-based taggers (e.g.</S><S sid = 177 ssid = >An approach based on k-nn methods (such as memory-based and case-based methods) is a statistical approach, but it uses a different kind of statistics than Markov model-based approaches.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W96-0102.txt | Citing Article:  W03-0433.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The English data was automatically labeled with part-of-speech and chunk tags from the memory-based tagger and chunker (Daelemans et al, 1996), and the German data was labelled with the decision-tree-based TreeTagger (Schmidt, 1994).</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W96-0102.txt | Citing Article:  W05-0611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Direct feedback loops that copy a predicted output label to the input representation of the next example have been used in symbolic machine-learning architectures such as the the maximum-entropy tagger described by Ratnaparkhi (1996) and the memory-based tagger (MBT) proposed by Daelemans et al (1996).</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W96-0102.txt | Citing Article:  W05-0611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Comparison of generalization performances in terms of F-score of MBL on the three test sets, with and without a feedback loop, and the error reduction attained by the feedback-loop method, the F-score of the trigram-class method, and the F-score of the combination of the two methods. approach was proposed in the context of memory based learning for part-of-speech tagging as MBT (Daelemans et al, 1996).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 1 ssid = >We introduce a memory-based approach to part of speech tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W96-0102.txt | Citing Article:  W02-0814.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the part of speech tagging, the memory-based tagger MBT (Daelemans et al, 1996), trained on the Wall Street Journal corpus2, was used.</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W96-0102.txt | Citing Article:  W06-1616.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CoNLL data differs slightly from the original Alpino tree bank as the corpus has been part-of-speech tagged using a Memory-Based-Tagger (Daelemans et al, 1996).</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W96-0102.txt | Citing Article:  W02-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The annotator has followed the MITRE and SAIC guidelines for named entity recognition (Chinchor et al, 1999) as well as possible. The data consists of words, entity tags and part of-speech tags which have been derived by a Dutch part-of-speech tagger (Daelemans et al, 1996).</S> | Reference Offset:  ['47','71'] | Reference Text:  <S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S><S sid = 71 ssid = >For a detailed discussion, see Daelemans et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W96-0102.txt | Citing Article:  W02-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the provided POS annotation in Dutch (Daelemans et al, 1996) and a minimally supervised tagger (Yarowsky and Cucerzan, 2002) for Spanish to restrict the space of words accepted by the discriminators (e.g .is_B_candidate rejects prepositions, conjunctions, pronouns, adverbs, and those determiners that are the first word in the sentence).</S> | Reference Offset:  ['71','90'] | Reference Text:  <S sid = 71 ssid = >For a detailed discussion, see Daelemans et al. (1996).</S><S sid = 90 ssid = >E.g. once would get a new tag, representing the category of words which can be both adverbs and prepositions/conjunctions (RB-IN).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W96-0102.txt | Citing Article:  W05-0701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We employ MBT, a memory-based tagger-generator and tagger (Daelemans et al, 1996) to produce apart-of-speech (PoS) tagger based on the ATB1corpus2.</S> | Reference Offset:  ['0','5'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 5 ssid = >Based on such a corpus, the tagger-generator automatically builds a tagger which is able to tag new text the same way, diminishing development time for the construction of a tagger considerably.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W96-0102.txt | Citing Article:  W05-0701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A particular instantiation, MBT, was proposed in (Daelemans et al, 1996).</S> | Reference Offset:  ['47','71'] | Reference Text:  <S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S><S sid = 71 ssid = >For a detailed discussion, see Daelemans et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W96-0102.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the Memory-Based Tagger (Daelemans et al, 1996) trained on the Brown corpus to compute the part-of speech tags.</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W96-0102.txt | Citing Article:  P11-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Memory-based learning has been applied to a wide range of natural language processing tasks including part-of-speech tagging (Daelemans et al, 1996), dependency parsing (Nivre, 2003) and word sense disambiguation (Kubler and Zhekova, 2009).</S> | Reference Offset:  ['1','47'] | Reference Text:  <S sid = 1 ssid = >We introduce a memory-based approach to part of speech tagging.</S><S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W96-0102.txt | Citing Article:  E99-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This fact prohibits the feeding of the training algorithms with patterns that have the form: (Tagi_2, Tagi_b Tagi, Tagi.~, Manual_Tagi), which is the ease for similar systems that learn POS disambiguation (e.g., Daelemans et al, 1996).</S> | Reference Offset:  ['47','71'] | Reference Text:  <S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S><S sid = 71 ssid = >For a detailed discussion, see Daelemans et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W96-0102.txt | Citing Article:  E99-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Comparing our tree-induction algorithm and IGTREE, the algorithm used in MBT (Daelemans et al, 1996), their main difference is that IGTREE produces oblivious decision trees by supplying an a priori ordered list of best features instead of re-computing the best feature during each branching, which is our case.</S> | Reference Offset:  ['48','86'] | Reference Text:  <S sid = 48 ssid = >IGTree is a heuristic approximation of the IB-IG algorithm.</S><S sid = 86 ssid = >In each case, output is a best guess of the category for the word in its current context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W96-0102.txt | Citing Article:  I05-2046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The MBT POS tagger (Daelemans et al, 1996) is used to provide POS information.</S> | Reference Offset:  ['47','71'] | Reference Text:  <S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S><S sid = 71 ssid = >For a detailed discussion, see Daelemans et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W96-0102.txt | Citing Article:  W04-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This material was POS-tagged using MBT (Memory Based Tagger) (Daelemans et al,1996).</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W96-0102.txt | Citing Article:  W06-2920.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Its original PoS tag set is very coarse and the PoS and the word stem information is not very reliable. We therefore decided to retag the tree bank automatically using the Memory-Based Tagger (MBT) (Daelemans et al, 1996) which uses a very fine-grained tag set.</S> | Reference Offset:  ['18','79'] | Reference Text:  <S sid = 18 ssid = >In rule-based approaches, words are assigned a tag based on a set of rules and a lexicon.</S><S sid = 79 ssid = >The architecture takes the form of a tagger generator given a corpus tagged with the desired tag set, a POS tagger is generated which maps the words of new text to tags in this tag set according to the same systematicity.</S> | Discourse Facet:  NA | Annotator: Automatic


