Citance Number: 1 | Reference Article:  D07-1096.txt | Citing Article:  P10-3018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we want to thank the following people,who in different ways assisted us in the organi zation of the CoNLL 2007 shared task: Giuseppe Attardi, Eckhard Bick, Matthias Buch-Kromann,Xavier Carreras, Tomaz Erjavec, Svetoslav Mari nov, Wolfgang Menzel, Xue Nianwen, Gertjan van Noord, Petya Osenova, Florian Schiel, Kiril Simov, Zdenka Uresova, and Heike Zinsmeister.</S><S sid = NA ssid = NA>Furthermore, the annotation scheme for gaps and traces was made consistent with the Penn Treebank wherever possible.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D07-1096.txt | Citing Article:  D07-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The CoNLL-2007 shared tasks include two tracks: the Multilingual Track and Domain AdaptationTrack (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Tables 2 and 3 give the scores for the multilingual track in the CoNLL 2007 shared task.</S><S sid = NA ssid = NA>There are four languages which were included inthe shared tasks on multilingual dependency parsing both at CoNLL 2006 and at CoNLL 2007: Arabic, Chinese, Czech, and Turkish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D07-1096.txt | Citing Article:  W09-1212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our second-order parser still does not reproduce the state-of-the art results presented by similar systems (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thistype of scoring function is often referred to as a first order model.8 Several systems participating in this year?s shared task used first-order models (Schiehlen and Spranger, 2007; Nguyen et al, 2007; Shimizu and Nakagawa, 2007; Hall et al, 2007b).</S><S sid = NA ssid = NA>To train these classifiers and probabilitistic models several approaches were used: SVMs (Duan et al, 2007; Hall et al, 2007a; Sagae and Tsujii, 2007), modified finite Newton SVMs (Wu et al, 2007), maximum entropy models (Sagae and Tsujii, 2007), multiclassaveraged perceptron (Attardi et al, 2007) and max imum likelihood estimation (Watson and Briscoe, 2007).In order to calculate a global score or probabil ity for a transition sequence, two systems used a Markov chain approach (Duan et al, 2007; Sagae and Tsujii, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1096.txt | Citing Article:  W08-2135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some dependency parsing systems prefer two-stage architecture: unlabeled parsing and dependency classification (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>Onesystem (Hall et al, 2007b) extends this two-stage ap proach to a three-stage architecture where the parser and labeler generate an n-best list of parses which in turn is reranked.6 In ensemble-based systems several base parsers provide parsing decisions, which are added together for a combined score for each potential dependencyarc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1096.txt | Citing Article:  W08-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Data-driven dependency parsing has recently received extensive attention in the parsing community and impressive results have been obtained for a range of languages (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>The multilingual track of the shared task was organized in the same way as the 2006 task, with an notated training and test data from a wide range of languages to be processed with one and the same parsing system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1096.txt | Citing Article:  N12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The CoNLL-X (Buchholz and Marsi, 2006) and CoNLL 2007 (Nivre et al, 2007) shared tasks focused on multilingual dependency parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>There are four languages which were included inthe shared tasks on multilingual dependency parsing both at CoNLL 2006 and at CoNLL 2007: Arabic, Chinese, Czech, and Turkish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1096.txt | Citing Article:  N12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The organizers of the CoNLL 2007 shared task noted that languages with free word order and high morphological complexity are the most difficult for dependency parsing (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>The most difficult languages are those that combinea relatively free word order with a high degree of in flection.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1096.txt | Citing Article:  W12-3407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Morphologically rich languages present new challenges, as the use of state of the art parsers for more configurational and non-inflected languages like English does not reach similar performance levels in languages like Basque, Greek or Turkish (Nivre et al, 2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The selection of languages should be typolog ically varied and include both new languages and old languages (compared to 2006).</S><S sid = NA ssid = NA>Additionally, the highest PNW can be found in Hungarian and Turkish, which reach higherscores than Arabic, Basque, and Greek.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1096.txt | Citing Article:  W12-3407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we want to thank the following people,who in different ways assisted us in the organi zation of the CoNLL 2007 shared task: Giuseppe Attardi, Eckhard Bick, Matthias Buch-Kromann,Xavier Carreras, Tomaz Erjavec, Svetoslav Mari nov, Wolfgang Menzel, Xue Nianwen, Gertjan van Noord, Petya Osenova, Florian Schiel, Kiril Simov, Zdenka Uresova, and Heike Zinsmeister.</S><S sid = NA ssid = NA>Furthermore, the annotation scheme for gaps and traces was made consistent with the Penn Treebank wherever possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1096.txt | Citing Article:  W12-3407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we want to thank the following people,who in different ways assisted us in the organi zation of the CoNLL 2007 shared task: Giuseppe Attardi, Eckhard Bick, Matthias Buch-Kromann,Xavier Carreras, Tomaz Erjavec, Svetoslav Mari nov, Wolfgang Menzel, Xue Nianwen, Gertjan van Noord, Petya Osenova, Florian Schiel, Kiril Simov, Zdenka Uresova, and Heike Zinsmeister.</S><S sid = NA ssid = NA>Furthermore, the annotation scheme for gaps and traces was made consistent with the Penn Treebank wherever possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1096.txt | Citing Article:  P11-2123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the experiments, we used the best configuration for English at the CoNLL 2007 Shared Task on Dependency Parsing (Nivre et al, 2007) as our baseline.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>This type of model is used by the majority of transition-based parsers (Attardi et al, 2007; Duan et al, 2007; Hallet al, 2007a; Johansson and Nugues, 2007b; Man nem, 2007; Titov and Henderson, 2007; Wu et al, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1096.txt | Citing Article:  P12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We'll use a simple example sentence to illustrate how our feature sets are extracted from CONLL formatted data (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>which the data sets were extracted are described in section 3.</S><S sid = NA ssid = NA>sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1096.txt | Citing Article:  D07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we investigate the impact of using different flavours of Covington's algorithm (Covington, 2001) for non projective dependency parsing on the ten different languages provided for CoNLL-X Shared Task (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>In 2006 the shared task was multilingual dependency parsing, where participants had to train a single parser on data from thirteen different languages, which enabled a comparison not only of parsing and learning methods, but also of the performance that can be achieved for different languages (Buchholz and Marsi, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1096.txt | Citing Article:  D07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this paper we showed the performance of three flavours of Covington's algorithm for non-projective dependency parsing on the ten languages provided for the CoNLL-X Shared Task (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>There are four languages which were included inthe shared tasks on multilingual dependency parsing both at CoNLL 2006 and at CoNLL 2007: Arabic, Chinese, Czech, and Turkish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1096.txt | Citing Article:  D07-1124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluated our system using the standard evaluation script provided by the organizers (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This type of model is used by the majority of transition-based parsers (Attardi et al, 2007; Duan et al, 2007; Hallet al, 2007a; Johansson and Nugues, 2007b; Man nem, 2007; Titov and Henderson, 2007; Wu et al, 2007).</S><S sid = NA ssid = NA>are both described in Duan et al (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1096.txt | Citing Article:  P10-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The DS representation is taken from the conversion procedure used in the CoNLL 2007 Shared Task on dependency parsing (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>This type of model is used by the majority of transition-based parsers (Attardi et al, 2007; Duan et al, 2007; Hallet al, 2007a; Johansson and Nugues, 2007b; Man nem, 2007; Titov and Henderson, 2007; Wu et al, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1096.txt | Citing Article:  D12-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dependency trees are representations of the syntactic structure of a sentence (Nivre et al 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In dependency-based syntactic parsing, the task is to derive a syntactic structure for an input sentence by identifying the syntactic head of each word in the sentence.</S><S sid = NA ssid = NA>sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


