Citance Number: 1 | Reference Article:  P87-1015.txt | Citing Article:  P01-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach that Vijay-Shanker et al (1987) and Weir (1988) take, elaborated on by Becker et al (1992), is to identify a very general class of formalisms, which they call linear context free rewriting systems (CFRSs), and define for this class a large space of structural descriptions which serves as a common ground in which the strong generative capacities of these formalisms can be compared.</S> | Reference Offset:  ['4','92'] | Reference Text:  <S sid = 4 ssid = >Little attention, however, has been paid to the structural descriptions that these formalisms can assign to strings, i.e. their strong generative capacity.</S><S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P87-1015.txt | Citing Article:  P09-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following this line, (Vijay-Shanker et al, 1987) have introduced a formalism called linear context-free rewriting systems (LCFRSs) that has received much attention in later years by the community.</S> | Reference Offset:  ['92','207'] | Reference Text:  <S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S><S sid = 207 ssid = >We outlined the definition of a family of constrained grammatical formalisms, called Linear Context-Free Rewriting Systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P87-1015.txt | Citing Article:  P09-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We briefly summarize here the terminology and notation that we adopt for LCFRS; for detailed definitions, see (Vijay-Shanker et al, 1987).</S> | Reference Offset:  ['221','222'] | Reference Text:  <S sid = 221 ssid = >Members of LCFRS whose operations have this property can be translated into the ILFP notation (Rounds, 1985).</S><S sid = 222 ssid = >However, in order to capture the properties of various grammatical systems under consideration, our notation is more restrictive that ILFP, which was designed as a general logical notation to characterize the complete class of languages that are recognizable in polynomial time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P87-1015.txt | Citing Article:  P07-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Linear Context-Free Rewriting Systems Gap-restricted dependency languages are closely related to Linear Context-Free Rewriting Systems (lcfrs) (Vijay-Shanker et al, 1987), a class of formal systems that generalizes several mildly context-sensitive grammar formalisms.</S> | Reference Offset:  ['92','118'] | Reference Text:  <S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S><S sid = 118 ssid = >In the remainder of the paper, we outline how a class of Linear Context-Free Rewriting Systems (LCFRS's) may be defined and sketch how semilinearity and polynomial recognition of these systems follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P87-1015.txt | Citing Article:  N09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we present an algorithm that computes optimal decompositions of rules in the formalism of Linear Context-Free Rewriting Systems (LCFRS) (Vijay-Shanker et al, 1987).</S> | Reference Offset:  ['92','118'] | Reference Text:  <S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S><S sid = 118 ssid = >In the remainder of the paper, we outline how a class of Linear Context-Free Rewriting Systems (LCFRS's) may be defined and sketch how semilinearity and polynomial recognition of these systems follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P87-1015.txt | Citing Article:  N09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We briefly summarize the terminology and notation that we adopt for LCFRS; for detailed definitions, see Vijay-Shanker et al (1987).</S> | Reference Offset:  ['221','222'] | Reference Text:  <S sid = 221 ssid = >Members of LCFRS whose operations have this property can be translated into the ILFP notation (Rounds, 1985).</S><S sid = 222 ssid = >However, in order to capture the properties of various grammatical systems under consideration, our notation is more restrictive that ILFP, which was designed as a general logical notation to characterize the complete class of languages that are recognizable in polynomial time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P87-1015.txt | Citing Article:  W10-1407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >LCFRS (Vijay-Shanker et al, 1987) are a natural extension of CFG in which a single nonterminal node can dominate more than one continuous span of terminals.</S> | Reference Offset:  ['41','74'] | Reference Text:  <S sid = 41 ssid = >If 7 is an elementary tree, the derivation tree consists of a single node labeled 7.</S><S sid = 74 ssid = >An extension of the TAG system was introduced by Joshi et al. (1975) and later redefined by Joshi (1987) in which the adjunction operation is defined on sets of elementary trees rather than single trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P87-1015.txt | Citing Article:  W10-1407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A LCFRS ( Vijay-Shanker et al, 1987) is a tuple G= (N, T, V, P, S) where N is a finite set of non-terminals with a function dim: N? N that determines the fan-out of each A? N.</S> | Reference Offset:  ['75','88'] | Reference Text:  <S sid = 75 ssid = >A multicomponent Tree Adjoining Grammar (MCTAG) consists of a finite set of finite elementary tree sets.</S><S sid = 88 ssid = >The number of paths that can be dependent is bounded by the grammar (in fact the maximum cardinality of a tree set determines this bound).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P87-1015.txt | Citing Article:  E09-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, we cast new light on the relationship between CCG and other mildly context-sensitive formalisms such as Tree-Adjoining Grammar (TAG; Joshi and Schabes (1997)) and Linear Context-Free Rewrite Systems (LCFRS; Vijay-Shanker et al (1987)).</S> | Reference Offset:  ['92','214'] | Reference Text:  <S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S><S sid = 214 ssid = >LCFRS's share several properties possessed by the class of mildly context-sensitive formalisms discussed by Joshi (1983/85).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P87-1015.txt | Citing Article:  E09-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >By this result, CCG falls in line with context-free grammars, TAG, and LCFRS, whose sets of derivational structures are all regular (Vijay-Shanker et al., 1987).</S> | Reference Offset:  ['8','19'] | Reference Text:  <S sid = 8 ssid = >We consider properties of the tree sets generated by CFG's, Tree Adjoining Grammars (TAG's), Head Grammars (HG's), Categorial Grammars (CG's), and IG's.</S><S sid = 19 ssid = >It can be easily shown from Thatcher's result that the path set of every local set is a regular set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P87-1015.txt | Citing Article:  E09-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is important to note that while CCG derivations themselves can be seen as trees as well, they do not always form regular tree languages (Vijay-Shanker et al, 1987).</S> | Reference Offset:  ['74','179'] | Reference Text:  <S sid = 74 ssid = >An extension of the TAG system was introduced by Joshi et al. (1975) and later redefined by Joshi (1987) in which the adjunction operation is defined on sets of elementary trees rather than single trees.</S><S sid = 179 ssid = >It can be seen that M performs a top-down recognition of the input al ... nin logspace.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P87-1015.txt | Citing Article:  N10-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On this line of investigation, mildly context-sensitive grammar formalisms have been introduced (Joshi,1985), including, among several others, the tree ad joining grammars (TAGs) of Joshi et al (1975). Linear context-free rewriting system (LCFRS), introduced by Vijay-Shanker et al (1987), is a mildly context-sensitive formalism that allows the derivation of tuples of strings, i.e., discontinuous phrases.</S> | Reference Offset:  ['74','214'] | Reference Text:  <S sid = 74 ssid = >An extension of the TAG system was introduced by Joshi et al. (1975) and later redefined by Joshi (1987) in which the adjunction operation is defined on sets of elementary trees rather than single trees.</S><S sid = 214 ssid = >LCFRS's share several properties possessed by the class of mildly context-sensitive formalisms discussed by Joshi (1983/85).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P87-1015.txt | Citing Article:  P12-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CFTG are weakly equivalent to the simple macro grammars of Fischer (1968), which are a notational variant of the well-nested linear context-free rewriting systems (LCFRS) of Vijay-Shanker et al (1987) and the well-nested multiple context-free grammars (MCFG) of Seki et al (1991).</S> | Reference Offset:  ['92','134'] | Reference Text:  <S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S><S sid = 134 ssid = >These systems are similar to those described by Pollard (1984) as Generalized Context-Free Grammars (GCFG's).</S> | Discourse Facet:  NA | Annotator: Automatic


