Citance Number: 1 | Reference Article:  C04-1089.xml | Citing Article:  C10-1070.xml | Citation Marker Offset:  ['79'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['78','79'] | Citation Text:  <S sid ="78" ssid = "38">To our knowledge, this association measure has not been used yet in translation spotting.</S><S sid ="79" ssid = "39">It is computed as: (O11 + 1 )(O22 + 1 ) scribed in (Shao and Ng, 2004).</S> | Reference Offset:  ['53','61'] | Reference Text:  <S sid ="53" ssid = "30">In our translation problem, C(c) is viewed as the query and C(e) is viewed as a document.</S><S sid ="61" ssid = "7">We use backoff and linear interpolation for probability estimation:</S>  | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gahlot |

Citance Number: 5 | Reference Article:  C04-1089.xml | Citing Article:  D12-1003.xml | Citation Marker Offset:  ['68'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['68'] | Citation Text:  <S sid ="68" ssid = "37">Various clues have been considered when computing the similarities: concept class information obtained from a multilingual thesaurus (DeÂ´jean et al., 2002), co-occurrence models generated from aligned documents (Prochasson and Fung, 2011), and transliteration information (Shao and Ng, 2004).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Aakansha Gahlot |


Citance Number: 6 | Reference Article:  C04-1089.xml | Citing Article:  N09-1048.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "15">The other is multilingual parallel and comparable corpora (e.g., Wikipedia1), wherein features such as co- occurrence frequency and context are popularly employed (Cheng et al., 2004; Shao and Ng, 2004; Cao et al., 2007; Lin et al., 2008).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Aakansha Gahlot |


Citance Number: 7 | Reference Article:  C04-1089.xml | Citing Article:  N09-1048.xml | Citation Marker Offset:  ['50'] | Citation Marker:  2004 | Citation Offset:  ['50'] | Citation Text:  <S sid ="50" ssid = "10">Shao and Ng (2004) presented a method to mine new translations from Chinese and English news documents of the same period from different news agencies, combining both transliteration and context information.</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Aakansha Gahlot |


Citance Number: 8 | Reference Article:  C04-1089.xml | Citing Article:  P06-1011.xml | Citation Marker Offset:  ['147'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['147'] | Citation Text:  <S sid ="147" ssid = "1">Much of the work involving comparable corpora has focused on extracting word translations (Fung and Yee, 1998; Rapp, 1999; Diab and Finch, 2000; Koehn and Knight, 2000; Gaussier et al., 2004; Shao and Ng, 2004; Shinyama and Sekine, 2004).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Aakansha Gahlot |


Citance Number: 9 | Reference Article:  C04-1089.xml | Citing Article:  P13-1059.xml | Citation Marker Offset:  ['208'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['208'] | Citation Text:  <S sid ="208" ssid = "17">Some recent research used comparable corpora to mine name translation pairs (Feng et al., 2004; Kutsumi et al., 2004; Udupa et al., 2009; Ji, 2009; Fung and Yee, 1998; Rapp, 1999; Shao and Ng, 2004; Lu and Zhao, 2006; Hassan et al., 2007).</S> | Reference Offset:  ['90'] | Reference Text:  <S sid ="90" ssid = "18">We used a list of 1,580 ChineseEnglish name pairs as training data for the EM algorithm.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gahlot |


Citance Number: 10 | Reference Article:  C04-1089.xml | Citing Article:  P13-1062.xml | Citation Marker Offset:  ['164'] | Citation Marker:  2004 | Citation Offset:  ['163','164'] | Citation Text:  <S sid ="163" ssid = "3">Evaluation E C We processed news articles for an entire year in tion of maximum bipartite matching (West, 1999) on a bipartite graph GB = (VB = (Si , Sj ), EB ) 2008 by Xinhua news who publishes news in E C both English and Chinese, which were also used with edge weights that are defined by TS . The maximum bipartite matching finds a subset of by Kim et al.</S><S sid ="164" ssid = "4">(2011) and Shao and Ng (2004).</S> | Reference Offset:  ['30'] | Reference Text:  <S sid ="30" ssid = "7">So we use the the context of c , we are likely to retrieve the context of e when we use the context of c as query C(c) to retrieve a document C (e* ) that * the query and try to retrieve the most similar best matches the query.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gahlot |


Citance Number: 12 | Reference Article:  C04-1089.xml | Citing Article:  P13-2036.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Recently, holistic approaches combining such similarities have been studied (Shao and Ng, 2004; You et al., 2010; Kim et al., 2011).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Aakansha Gahlot |


Citance Number: 13 | Reference Article:  C04-1089.xml | Citing Article:  P13-2036.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">(Shao and Ng, 2004) rank translation candidates using PH and CX independently and return results with the highest average rank.</S> | Reference Offset:  ['107'] | Reference Text:  <S sid ="107" ssid = "35">Finally, the English candidate word with the smallest average rank position and that appears within the top M positions of both ranked lists is the chosen English translation (as described in Section 2).</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gahlot |


Citance Number: 14 | Reference Article:  C04-1089.xml | Citing Article:  W11-1215.xml | Citation Marker Offset:  ['38'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['38'] | Citation Text:  <S sid ="38" ssid = "16">Some recent research used comparable corpora to re-score name transliterations (Sproat et al., 2006; Klementiev and Roth, 2006) or mine new word translations (Fung and Yee, 1998; Rapp, 1999; Shao and Ng, 2004; Tao and Zhai, 2005; Hassan et al., 2007; Udupa et al., 2009; Ji, 2009).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Aakansha Gahlot |


Citance Number: 16 | Reference Article:  C04-1089.xml | Citing Article:  W13-2501.xml | Citation Marker Offset:  ['23'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['23'] | Citation Text:  <S sid ="23" ssid = "1">The traditional approch to translation extraction from comparable corpora and most of its extensions (Fung, 1998; Rapp, 1999; Shao and Ng, 2004; Otero, 2007; Yu and Tsujii, 2009; Marsi and Krahmer, 2010) presuppose the availability of a bilingual lexicon for translating source vectors into the target language.</S> | Reference Offset:  ['7'] | Reference Text:  <S sid ="7" ssid = "7">In order for a machine translation system to translate these new words correctly, its bilingual lexicon needs to be constantly updated with new word translations.</S> | Discourse Facet:  Implication_Citation | Annotator:  Aakansha Gahlot |


Citance Number: 17 | Reference Article:  C04-1089.xml | Citing Article:  W13-2512.xml | Citation Marker Offset:  ['66'] | Citation Marker:  Shao and Ng, 2004 | Citation Offset:  ['66'] | Citation Text:  <S sid ="66" ssid = "18">Hybrid methods exploit that a term or a named entity can be translated in various ways across languages (Shao and Ng, 2004; Feng et al., 2004; Lu and Zhao, 2006).</S> | Reference Offset:  ['135'] | Reference Text:  <S sid ="135" ssid = "63">To investigate the effect of the two individual sources of information (context and transliteration), we checked how many translations could be found using only one source of information (i.e., context alone or transliteration alone), on those Chinese words that have translations in the English part of the comparable corpus.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gahlot |


