Citance Number: 1 | Reference Article:  P96-1027.txt | Citing Article:  C96-2155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The method is an extension of the chart based generation algorithm described in Kay (1996).</S> | Reference Offset:  ['0','113'] | Reference Text:  <S sid = 0 ssid = >Chart Generation</S><S sid = 113 ssid = >The algorithm schema.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P96-1027.txt | Citing Article:  N07-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kay (1996) identified parsing charts as such an architecture, which led to the development of various chart generation algorithms: Carroll et al (1999) for HPSG, Bangalore et al (2000) for LTAG, Moore (2002) for unification grammars, White and Baldridge (2003) for CCG.</S> | Reference Offset:  ['2','104'] | Reference Text:  <S sid = 2 ssid = >1 Charts Shieber (1988) showed that parsing charts can be also used in generation and raised the question, which we take up again here, of whether they constitute a natural uniform architecture for parsing and generation.</S><S sid = 104 ssid = >Shieber (1988) showed that parsing charts can be also used in generation and raised the question, which we take up again here, of whether they constitute a natural uniform architecture for parsing and generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P96-1027.txt | Citing Article:  W11-1609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the chart realization tradition (Kay, 1996), the OpenCCG realizer takes logical forms as input and produces strings by combining signs for lexical items.</S> | Reference Offset:  ['20','130'] | Reference Text:  <S sid = 20 ssid = >2 Generation A parser is a transducer from strings to structures or logical forms.</S><S sid = 130 ssid = >A parser is a transducer from strings to structures or logical forms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P96-1027.txt | Citing Article:  W05-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We followed two partial solutions to this problem by Kay (1996).</S> | Reference Offset:  ['111','112'] | Reference Text:  <S sid = 111 ssid = >New phrases of whatever size can be built by considering existing edges pair-wise if provision is made for partial phrases.</S><S sid = 112 ssid = >Partial phrases are collected into edges that are said to be active because they can be thought of as actively seeking material to complete them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P96-1027.txt | Citing Article:  D07-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The baseline generation algorithm, following Kay (1996)'s work on chart generation, already contains the hard constraint that when combining two chart edges they must cover disjoint sets of words.</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Chart Generation</S><S sid = 18 ssid = >Interesting interactions occur between pairs of edges whose bit vectors have empty intersections, indicating that they cover disjoint sets of words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P96-1027.txt | Citing Article:  W05-1605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is a bottom up, tabular algorithm [Kay, 1996] optimised for TAGs.</S> | Reference Offset:  ['35','113'] | Reference Text:  <S sid = 35 ssid = >3 The Algorithm Schema The entries in (2), with their variables suitably instantiated, become the initial entries of an agenda and we begin to move them to the chart in accordance with the algorithm schema, say in the order given.</S><S sid = 113 ssid = >The algorithm schema.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P96-1027.txt | Citing Article:  P02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Stone and Doran (1997) and Kay (1996), we enhance this TAG grammar with a syntax-semantics interface in which nonterminal nodes of the elementary trees are equipped with index variables, which can be bound to individuals in the semantic input.</S> | Reference Offset:  ['36','146'] | Reference Text:  <S sid = 36 ssid = >The variables in the 'Cat' and 'Semantics' columns of (2) provide the essential link between syntax and semantics.</S><S sid = 146 ssid = >The variables in the 'Cat' and 'Semantics' columns of (2) provide the essential link between syntax and semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P96-1027.txt | Citing Article:  W06-1404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow a bottom-up chart generation approach (Kay, 1996) for production systems similar to (Varges, 2005).</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >Chart Generation</S><S sid = 47 ssid = >This would be similar to allowing a given word to be covered by overlapping phrases in free word-order parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P96-1027.txt | Citing Article:  C10-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, (Kay, 1996) proposes to reduce the number of constituents built during realisation by only considering for combination constituents with non overlapping semantics and compatible indices.</S> | Reference Offset:  ['37','147'] | Reference Text:  <S sid = 37 ssid = >The predicates that represent the semantics of a phrase will simply be the union of those representing the constituents.</S><S sid = 147 ssid = >The predicates that represent the semantics of a phrase will simply be the union of those representing the constituents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P96-1027.txt | Citing Article:  C10-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The tree combining algorithm used after filtering has taken place, is a bottom-up tabular algorithm (Kay, 1996) optimised for TAGs.</S> | Reference Offset:  ['113','118'] | Reference Text:  <S sid = 113 ssid = >The algorithm schema.</S><S sid = 118 ssid = >The positions in the string at which phrases begin and end can be used to index edges so that the algorithm schema need consider interactions only between adjacent pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P96-1027.txt | Citing Article:  P01-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The standard solution to this problem (cf. (Kay, 1996)) is to index edges with semantic indices (for instance, the edge with category N/x: dog (x) will be indexed with x) and to restrict edge combination to these edges which have compatible indices.</S> | Reference Offset:  ['88','190'] | Reference Text:  <S sid = 88 ssid = >In these labels, (variables representing) the first, or distinassociated with B and C. By analogy with parsing charts, an inactive edge labeled B(b ...) can be of as from means simply it is efficiently accessible through the index active ...) be thought of as incident from, or through, the index key property of this scheme is that active and inactive edges interact by virtue of indices that they share and, by letting vertices correspond to indices, we collect together sets of edges that could interact.</S><S sid = 190 ssid = >An active edge A(...)IC(c ...) should be thought of as incident from, or accessible through, the index c. The key property of this scheme is that active and inactive edges interact by virtue of indices that they share and, by letting vertices correspond to indices, we collect together sets of edges that could interact.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P96-1027.txt | Citing Article:  C10-2039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Carroll and Oepen (2005) present a perfor 1As first noted by Brew (1992) and Kay (1996), given a set of n modifiers all modifying the same structure, all possible intermediate structures will be constructed, i.e., 2n+1.</S> | Reference Offset:  ['10','120'] | Reference Text:  <S sid = 10 ssid = >Regardless of the number of alternative structures for a particular string that a given phrase participates in, it will be constructed once and only once.</S><S sid = 120 ssid = >Regardless of the number of alternative structures for a particular string that a given phrase participates in, it will be constructed once and only once.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P96-1027.txt | Citing Article:  P98-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work in Kay (1996) and the extension to ambiguous input in Shemtov (1996) and Shemtov (1997) describes a chart based generation process which takes packed representations as input and generates all paraphrases without expanding first into disjunctive normal form.</S> | Reference Offset:  ['0','185'] | Reference Text:  <S sid = 0 ssid = >Chart Generation</S><S sid = 185 ssid = >They cannot fill this role in generation because they are not natural properties of the semantic expressions that are the input to the process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P96-1027.txt | Citing Article:  P07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The basic surface realisation algorithm used is a bot tom up, tabular realisation algorithm (Kay, 1996) optimised for TAGs.</S> | Reference Offset:  ['113','118'] | Reference Text:  <S sid = 113 ssid = >The algorithm schema.</S><S sid = 118 ssid = >The positions in the string at which phrases begin and end can be used to index edges so that the algorithm schema need consider interactions only between adjacent pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P96-1027.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The generation algorithm is based on chart generation as first introduced by Kay (1996) with Viterbi-pruning.</S> | Reference Offset:  ['0','168'] | Reference Text:  <S sid = 0 ssid = >Chart Generation</S><S sid = 168 ssid = >The exponential factor in the computational complexity of our generation algorithm is apparent in an example like (8).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P96-1027.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This results in efficiently treating the well known problem originally described in Kay (1996), where one unnecessarily retains sub-optimal strings.</S> | Reference Offset:  ['97','196'] | Reference Text:  <S sid = 97 ssid = >The first interacts with the active edge originally introduced by the verb &quot;saw&quot; producing the fourth entry in (17).</S><S sid = 196 ssid = >The first interacts with the active edge originally introduced by the verb &quot;saw&quot; producing the fourth entry in (17).</S> | Discourse Facet:  NA | Annotator: Automatic


