Citance Number: 1 | Reference Article:  P88-1015.txt | Citing Article:  P97-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Whittaker and Stenton (1988) devised rules for allocating dialogue control based on utterance types, and Walker and Whittaker (1990) utilized these rules for an analytical study on discourse segmentation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We devised several rules to determine the location of control in the dialogues.</S><S sid = NA ssid = NA>In cases where a turn consisted of several utterances, the control rules were only applied to the final utterance.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P88-1015.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Whittaker and Stenton (1988) looked at the correlation of control boundaries to discourse markers, and Walker and Whittaker (1990) looked at anaphoric reference.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also looked at when no signal was given (interruptions).</S><S sid = NA ssid = NA>We also looked at more general aspects of control within and between topics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P88-1015.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our study, the first author coded initiative using the annotation scheme of Whittaker and Stenton (1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using this parameter we identified three levels of structure in the dialogues: (a) control phases; (b) topic; and (c) global organisation.</S><S sid = NA ssid = NA>This study therefore takes a different approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P88-1015.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Whittaker and Stenton (1988) assigned initiative to the speaker of statements, except when it was the answer to a question, in which case it belonged to the speaker asking the question.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each of these rules related control to utterance type: (a) For questions, the speaker was defined as being in control unless the question directly followed a question or command by the other conversant.</S><S sid = NA ssid = NA>(b) For assertions, the speaker was defined as being in control unless the assertion was made in response to a question, for the same reasons as those given for questions; an assertion which is a response to a question could not be said to be controlling the discourse; (c) For commands, the speaker was defined as controlling the conversation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P88-1015.txt | Citing Article:  N07-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Whittaker and Stenton (1988) proposed rules for tracking initiative based on utterance types; for example, statements, proposals, and questions show initiative, while answers and acknowledgements do not.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The reason for this is that questions uttered following questions or commands are normally attempts to clarify the preceding utterance and as such are elicited by the previous speaker's utterance rather than directing the conversation in their own right.</S><S sid = NA ssid = NA>Each of these rules related control to utterance type: (a) For questions, the speaker was defined as being in control unless the question directly followed a question or command by the other conversant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P88-1015.txt | Citing Article:  N07-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Whittaker and Stenton (1988), we use utterance tags to determine whether an utterance shows initiative: forward functions show initiative while others do not.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The reason for this is that questions uttered following questions or commands are normally attempts to clarify the preceding utterance and as such are elicited by the previous speaker's utterance rather than directing the conversation in their own right.</S><S sid = NA ssid = NA>We devised several rules to determine the location of control in the dialogues.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P88-1015.txt | Citing Article:  W01-1607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After experimenting with several tagging methods, we concluded that the approach presented in Walker and Whittaker (1990) adopted from (Whittaker and Stenton, 1988) best captured the aspects of the dialogue we were interested in and, as with the DAs, could be tagged reliably on our data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also looked at more general aspects of control within and between topics.</S><S sid = NA ssid = NA>This study therefore takes a different approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P88-1015.txt | Citing Article:  P11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Constructs such as Initiative and Control (Whittaker and Stenton, 1988), which attempt to operationalize the authority over a discourse's structure, fall under the umbrella of positioning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We applied control criteria to four dialogues and identified 3 levels of discourse structure.</S><S sid = NA ssid = NA>We conducted an empirical analysis into the relation between control and discourse structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P88-1015.txt | Citing Article:  P11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A speaker who begins a discourse segment is said to have initiative, while control accounts for which speaker is being addressed in a dialogue (Whittaker and Stenton, 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We applied the control rules and found that control did not alternate from speaker to speaker on a turn by turn basis, but that there were long sequences of turns in which control remained with one speaker.</S><S sid = NA ssid = NA>As we might expect, the point at which the expert begins to have control over more turns per topic is also the point at which the expert begins to initiate new topics.</S> | Discourse Facet:  NA | Annotator: Automatic


