Citance Number: 1 | Reference Article:  N06-1041.txt | Citing Article:  P07-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi and Klein (2006) use a small list of labeled prototypes and no dictionary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The best comparison is to Smith and Eisner (2005) who use a partial tagging dictionary.</S><S sid = NA ssid = NA>Our general approach is to use distributional similarity to link any given word to similar prototypes.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N06-1041.txt | Citing Article:  D09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the same feature processing as Haghighi and Klein (2006), with the addition of context features in a window of 3.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>4Details of distributional similarity features: To extract context vectors, we used a window of size 2 in either direction and use the first 250 singular vectors.</S><S sid = NA ssid = NA>Nonetheless, the addition of distributional similarity features does reduce the error rate by 35% from BASE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-1041.txt | Citing Article:  D09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The 74.6% final accuracy on apartments is higher than any result obtained by Haghighi and Klein (2006) (the highest is 74.1%), higher than the supervised HMM results reported by Grenager et al (2005) (74.4%), and matches the results of Mann and McCallum (2008) with GE with more accurate sampled label distributions and 10 labeled examples.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Furthermore, our PROTO+SIM+BOUND model comes close to the supervised HMM accuracy of 74.4% reported in Grenager et al. (2005).</S><S sid = NA ssid = NA>On the test set of (Grenager et al., 2005), BASE scored an accuracy of 46.4%, comparable to Grenager et al. (2005)’s unsupervised HMM baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-1041.txt | Citing Article:  W10-4109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another interesting idea is to select some exemplars (Haghighi and Klein, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The underlying linguistic idea is that replacing a word with another word of the same syntactic category should preserve syntactic well-formedness (Radford, 1988).</S><S sid = NA ssid = NA>As a result, learning an MRF is slightly harder than learning a CRF; we discuss this issue in section 4.4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-1041.txt | Citing Article:  D12-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Haghighi and Klein, 2006) exploits prototype words (e.g., close, near, shoping for the NEIGHBORHOOD attribute) in an unsupervised setting.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, rare words with a single prototype feature are almost always given that prototype’s label.</S><S sid = NA ssid = NA>It appears as though the prototype information is not spreading to non-prototype words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-1041.txt | Citing Article:  N09-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi and Klein (2006) ask the user to suggest a few prototypes (examples) for each class and use those as features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our general approach is to use distributional similarity to link any given word to similar prototypes.</S><S sid = NA ssid = NA>We limited each word to have similarity features for its top 5 most similar prototypes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-1041.txt | Citing Article:  P07-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For comparison, Haghighi and Klein (2006) report an unsupervised baseline of 41.3%, and a best result of 80.5% from using hand-labeled prototypes and distributional similarity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, on English part-of-speech tagging with three prototypes per tag, adding prototype features to the baseline raises per-position accuracy from 41.3% to 80.5%.</S><S sid = NA ssid = NA>The best comparison is to Smith and Eisner (2005) who use a partial tagging dictionary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-1041.txt | Citing Article:  W11-2205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the same spirit, Christodoulopoulos et al (2010) used the output of a number of unsupervised PoS tagging methods to extract seeds for the prototype-driven model of Haghighi and Klein (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe the performance for Chinese POS tagging is not as high as English for two reasons: the general difficulty of Chinese POS tagging (Tseng et al., 2005) and the lack of a larger segmented corpus from which to build distributional models.</S><S sid = NA ssid = NA>We tested our framework on the CLASSIFIEDS data described in Grenager et al. (2005) under conditions similar to POS tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-1041.txt | Citing Article:  W11-2205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approach of Christodoulopoulos et al. (2010) falls between pre-processing and data exploration, as the clusters of tokens produced are semi-automatically processed in order to produce seeds which were then used by the prototype-driven model of Haghighi and Klein (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The starred tokens are the results of collapsing of basic entities during pre-processing as is done in (Grenager et al., 2005) ments the model learns to segment with a reasonable match to the target structure.</S><S sid = NA ssid = NA>In particular, we argue for a certain kind of semi-supervised learning, which we call prototype-driven learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N06-1041.txt | Citing Article:  I08-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Still, however, such techniques often require "seeds", or "prototypes" (c.f., (Haghighi and Klein, 2006)) which are used to prune search spaces or direct learners.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since we have a log-linear formulation, we instead use a gradientbased search.</S><S sid = NA ssid = NA>Both of these works require specification of the legal tags for each word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N06-1041.txt | Citing Article:  I08-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi and Klein (2006) showed that adding a small set of prototypes to the unlabeled data can improve tagging accuracy significantly.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, on English part-of-speech tagging with three prototypes per tag, adding prototype features to the baseline raises per-position accuracy from 41.3% to 80.5%.</S><S sid = NA ssid = NA>Given enough refinement set of the CLASSIFIEDS data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N06-1041.txt | Citing Article:  I08-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, the frequency collected from the data can be used to bias initial transition and emission probabilities in an HMM model; the tagged words in IGT can be used to label the resulting clusters produced by the word clustering approach; the frequent and unambiguous words in the target lines can serve as prototype examples in the prototype-driven approach (Haghighi and Klein, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, rare words with a single prototype feature are almost always given that prototype’s label.</S><S sid = NA ssid = NA>In prototype-driven learning, we specify prototypical examples for each target label or label configuration, but do not necessarily label any documents or sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N06-1041.txt | Citing Article:  W11-2208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the monolingual setting, Smith and Eisner (2005) showed similarly that a POS induction model can be improved with spelling features (prefixes and suffixes of words), and Haghighi and Klein (2006) describe an MRF-based monolingual POS induction model that uses features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also tested our POS induction system on the Chinese POS data in the Chinese Treebank (Ircs, 2002).</S><S sid = NA ssid = NA>We used a trigram tagger of the model form outlined in section 4.1 with the same set of spelling features reported in Smith and Eisner (2005): exact word type, character suffixes of length up to 3, initial-capital, contains-hyphen, and contains-digit.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N06-1041.txt | Citing Article:  W11-2208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Monolingual MRF tag model (Haghighi and Klein, 2006) of automatically distorted training examples which are compactly represented in WFSTs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, we can achieve an English part-of-speech tagging accuracy of 80.5% using only three examples of each tag and no dictionary constraints.</S><S sid = NA ssid = NA>For example, when learning a model for Penn treebank-style part-of-speech tagging in English, we may list the 45 target tags and a few examples of each tag (see figure 4 for a concrete prototype list for this task).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N06-1041.txt | Citing Article:  D11-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Specifically we use the features described in Haghighiand Klein (2006), namely initial-capital, contains hyphen, contains-digit and we add an extra feature contains-punctuation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used a trigram tagger of the model form outlined in section 4.1 with the same set of spelling features reported in Smith and Eisner (2005): exact word type, character suffixes of length up to 3, initial-capital, contains-hyphen, and contains-digit.</S><S sid = NA ssid = NA>Of course in a realistic, iterative design setting, we could have altered the prototype list to include a contains-digit prototype for CD and corrected this confusion.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N06-1041.txt | Citing Article:  D11-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We can clearly see that morphological features are helpful in both languages; however the extended features of Haghighi and Klein (2006) seem to help only on the English data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The model is wholly unmodified from the English version except that the suffix features are removed since, in Chinese, suffixes are not a reliable indicator of part-of-speech as in English (Tseng et al., 2005).</S><S sid = NA ssid = NA>For example, on English part-of-speech tagging with three prototypes per tag, adding prototype features to the baseline raises per-position accuracy from 41.3% to 80.5%.</S> | Discourse Facet:  NA | Annotator: Automatic


