Citance Number: 1 | Reference Article:  W06-1606.txt | Citing Article:  D07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Galley et al.(2006) propose one solution to this problem and Marcu et al (2006) propose another, both of which we explore in Sections 5.1 and 5.2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>In contrast, in the work of Galley et al. (2004; 2006), a rule is defined to be minimal when it is necessary in order to explain a (7r, F, A) tuple.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W06-1606.txt | Citing Article:  P08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike previous work, our solution neither requires larger applicability contexts (Galley et al, 2006), nor depends on pseudo nodes (Marcu et al, 2006) or auxiliary rules (Liu et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast, in the work of Galley et al. (2004; 2006), a rule is defined to be minimal when it is necessary in order to explain a (7r, F, A) tuple.</S><S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W06-1606.txt | Citing Article:  P08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We restrict the target side to the so called well formed dependency structures, in order to cover a large set of non-constituent transfer rules (Marcu et al., 2006), and enable efficient decoding through dynamic programming.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To obtain the non-lexicalized xRS rules, we compute the set of all minimal rules (lexicalized and non-lexicalized) by applying the algorithm proposed by Galley et al. (2006) and then remove the lexicalized rules.</S><S sid = NA ssid = NA>Our translation models rely upon and naturally exploit submodels (feature functions) that have been initially developed in phrase-based systems for choosing target translations of source language phrases, and use new, syntax-based translation and target language submodels for assembling target phrases into well-formed, grammatical outputs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W06-1606.txt | Citing Article:  P08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rule Coverage Marcu et al (2006) showed that many useful phrasal rules can not be represented as hierarchical rules with the existing representation methods, even with composed transfer rules (Galley et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The decoder uses a binarized representation of the rules, which is obtained via a syncronous binarization procedure (Zhang et al., 2006).</S><S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W06-1606.txt | Citing Article:  P08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Marcu et al, 2006) and (Galley et al, 2006) introduced artificial constituent nodes dominating the phrase of interest.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>In contrast, in the work of Galley et al. (2004; 2006), a rule is defined to be minimal when it is necessary in order to explain a (7r, F, A) tuple.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W06-1606.txt | Citing Article:  E12-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Inside the Moses toolkit, three different statistical approaches have been implemented: phrase based statistical machine translation (PB SMT) (Koehn et al 2003), hierarchical phrase based statistical machine translation (Chiang,2007) and syntax-based statistical machine translation (Marcu et al 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SPMT: Statistical Machine Translation With Syntactified Target Language Phrases</S><S sid = NA ssid = NA>During the last four years, various implementations and extentions to phrase-based statistical models (Marcu and Wong, 2002; Koehn et al., 2003; Och and Ney, 2004) have led to significant increases in machine translation accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W06-1606.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, syntax-based approaches often suffer from the rule coverage problem since syntactic constraints rule out a large portion of non syntactic phrase pairs, which might help decoders generalize well to unseen data (Marcu et al,2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The process creates one xRS rule that is headed by a pseudo, non-syntactic nonterminal symbol that subsumes the target phrase and corresponding multi-headed syntactic structure; and one sibling xRS rule that explains how the non-syntactic nonterminal symbol can be combined with other genuine nonterminals in order to obtain genuine parse trees.</S><S sid = NA ssid = NA>To test our hypothesis, we modify our rule extraction algorithm so that for every foreign phrase FZ , we extract not only a minimally syntactified, lexicalized xRS rule, but also one composed rule.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W06-1606.txt | Citing Article:  D09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Syntactic analysis of texts (such as Part-OfSpeech tagging and syntactic parsing) is an ex ample of such a generic analysis, and has proved useful in applications ranging from machine translation (Marcu et al, 2006) to text mining in the bio-medical domain (Cohen and Hersh, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recent models that exploit syntactic information of the source language (Quirk et al., 2005) have been shown to produce better outputs than phrase-based systems when evaluated on relatively small scale, domain specific corpora.</S><S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W06-1606.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Exploiting the syntactic information encoded in translation rules, syntax-based systems have shown to achieve comparable performance with phrase-based systems, even out perform them in some cases (Marcu et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recent models that exploit syntactic information of the source language (Quirk et al., 2005) have been shown to produce better outputs than phrase-based systems when evaluated on relatively small scale, domain specific corpora.</S><S sid = NA ssid = NA>On a 1 to 5 quality scale, the difference between the phrase-based and syntax-based systems was, on average, between 0.2 and 0.3 points.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W06-1606.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Galley et al (2006)' s work, Marcu et al (2006) proposed SPMT models to improve the coverage of phrasal rules, and demonstrated that the system performance could be further improved by using their proposed models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>Also, the SPMT models yield significantly fewer rules that the model of Galley et al. In contrast with the model proposed by Chiang, the SPMT models introduced in this paper are fully grounded in syntax; this makes them good candidates for exploring the impact that syntaxbased language models could have on translation performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W06-1606.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As shown in the following parts of this paper, it works very well with the existing techniques, such as rule com posing (Galley et al, 2006), SPMT models (Marcu et al, 2006) and rule extraction with k best parses (Venugopal et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>In contrast, in the work of Galley et al. (2004; 2006), a rule is defined to be minimal when it is necessary in order to explain a (7r, F, A) tuple.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W06-1606.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to GHKM extraction, the SPMT models (Marcu et al., 2006) are employed to obtain phrasal rules that are not covered by GHKM extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>To obtain the non-lexicalized xRS rules, we compute the set of all minimal rules (lexicalized and non-lexicalized) by applying the algorithm proposed by Galley et al. (2006) and then remove the lexicalized rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W06-1606.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this system, both of minimal GHKM (Galley et al, 2004) and SPMT rules (Marcu et al., 2006) are extracted from the bilingual corpus, and the composed rules are generated by com posing two or three minimal GHKM and SPMT rules.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast, in the work of Galley et al. (2004; 2006), a rule is defined to be minimal when it is necessary in order to explain a (7r, F, A) tuple.</S><S sid = NA ssid = NA>Our intuition is that composed rules that involve the application of more than two minimal rules are not reliable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W06-1606.txt | Citing Article:  P11-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chiang (2005) describes a procedure to extract PSCFG rules from word-aligned (Brown et al, 1993) corpora, where all nonterminals share the same generic label X. InGalley et al (2004) and Marcu et al (2006), tar get language parse trees are used to identify rules and label their nonterminal symbols, while Liu et al (2006) use source language parse trees instead.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>The xRS formalism utilized by Galley et al. (2006) allows for the use of translation rules that have multi-level target tree annotations and discontinuous source language phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W06-1606.txt | Citing Article:  P11-2073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The base feature set used for all systems is similar to that used in (Marcu et al 2006), including 14 base features in total such as 5-gram language model, bidirectional lexical and phrase based translation probabilities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We compare these two probabilities across the submodels and we scale all model probabilities to be compatible with those of Model 2 composed.</S><S sid = NA ssid = NA>As test data, we used the 2003 NIST test set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W06-1606.txt | Citing Article:  P11-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zollmann and Venugopal (2006) and Marcu et al (2006) used broken syntactic fragments to augment their grammars to increase the rule coverage.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>Combining multiple MT outputs to increase performance is, in general, a difficult task (Matusov et al., 2006) when significantly different engines compete for producing the best outputs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W06-1606.txt | Citing Article:  W10-1715.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We build two translation systems: One using tree-based models without additional linguistic annotation, which are known as hierarchical phrase based models (Chiang, 2005), and another system that uses linguistic annotation on the target side, which are known under many names such as string-to-tree models or syntactified target models (Marcu et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>Because our approach uses translation rules with Syntactified target language Phrases (see Figure 1), we call it SPMT.</S> | Discourse Facet:  NA | Annotator: Automatic


