Citance Number: 1 | Reference Article:  P06-1038.txt | Citing Article:  N07-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['56','226'] | Reference Text:  <S sid = 56 ssid = >Again, that paper uses syntactic information.</S><S sid = 226 ssid = >We are planning an evaluation according to this measure after improving the merge stage.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P06-1038.txt | Citing Article:  P08-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike (Davidov and Rappoport, 2006), we consider all punctuation characters as HFWs.</S> | Reference Offset:  ['64','158'] | Reference Text:  <S sid = 64 ssid = >Now define a meta-pattern as any sequence of HFWs and CWs.</S><S sid = 158 ssid = >Additional patterns include ‘from x to y’, ‘x and/or y’ (punctuation is treated here as white space), ‘x and a y’, and ‘neither x nor y’.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1038.txt | Citing Article:  P08-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To specify patterns, following (Davidov and Rappoport, 2006) we classify words into high frequency words (HFWs) and content words (CWs).</S> | Reference Offset:  ['0','65'] | Reference Text:  <S sid = 0 ssid = >Efficient Unsupervised Discovery Of Word Categories Using Symmetric Patterns And High Frequency Words</S><S sid = 65 ssid = >In this paper we require that meta-patterns obey the following constraints: (1) at most 4 words; (2) exactly two content words; (3) no two consecutive CWs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1038.txt | Citing Article:  P08-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We discover such words by scanning our corpora and querying the web for symmetric patterns (obtained automatically from the corpus as in (Davidov and Rappoport, 2006)) that contain w1 or w2.</S> | Reference Offset:  ['18','44'] | Reference Text:  <S sid = 18 ssid = >Our approach is based on patterns, and utilizes the following stages: We performed a thorough evaluation on two English corpora (the BNC and a 68GB web corpus) and on a 33GB Russian corpus, and a sanity-check test on smaller Danish, Irish and Portuguese corpora.</S><S sid = 44 ssid = >Hearst (1992) uses a manually prepared set of initial lexical patterns in order to discover hierarchical categories, and utilizes those categories in order to automatically discover additional patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1038.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Davidov and Rappoport (2006) developed a framework which discovers concepts based on high frequency words and symmetry-based pattern graph properties.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Efficient Unsupervised Discovery Of Word Categories Using Symmetric Patterns And High Frequency Words</S><S sid = 3 ssid = >Symmetric patterns are then identified using graph-based measures, and word categories are created based on graph clique sets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1038.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our algorithm is based on the concept acquisition method of (Davidov and Rappoport, 2006).</S> | Reference Offset:  ['4','215'] | Reference Text:  <S sid = 4 ssid = >Our method is the first pattern-based method that requires no corpus annotation or manually provided seed patterns or words.</S><S sid = 215 ssid = >It is the first pattern-based lexical acquisition method that is fully unsupervised, requiring no corpus annotation or manually provided patterns or words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1038.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['56','226'] | Reference Text:  <S sid = 56 ssid = >Again, that paper uses syntactic information.</S><S sid = 226 ssid = >We are planning an evaluation according to this measure after improving the merge stage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1038.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our basic comparison was to (Davidov and Rappoport, 2006) (we have obtained their data and utilized their algorithm), where we can estimate if incorporation of parser data can solve some fundamental weaknesses of their framework.</S> | Reference Offset:  ['76','137'] | Reference Text:  <S sid = 76 ssid = >We will eventually combine data from several patterns and from different corpus windows (Section 4.)</S><S sid = 137 ssid = >In the automatic part, we followed as closely as possible the methodology and data used in previous work, so that meaningful comparisons could be made.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1038.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Russian corpus (Davidov and Rappoport, 2006) was assembled from web-based Russian repositories, to yield 33GB and 4G words.</S> | Reference Offset:  ['18','141'] | Reference Text:  <S sid = 18 ssid = >Our approach is based on patterns, and utilizes the following stages: We performed a thorough evaluation on two English corpora (the BNC and a 68GB web corpus) and on a 33GB Russian corpus, and a sanity-check test on smaller Danish, Irish and Portuguese corpora.</S><S sid = 141 ssid = >The Russian corpus was assembled from many web sites and carefully filtered for duplicates, to yield 33GB and 4G words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1038.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All of these corpora were also used by (Davidov and Rappoport, 2006) and BNC was used in similar settings by (Widdows and Dorow, 2002).</S> | Reference Offset:  ['148','205'] | Reference Text:  <S sid = 148 ssid = >We used 5%.)</S><S sid = 205 ssid = >The (uncorrected) precision is the only metric given in (Widdows and Dorow, 2002), who reported 82% (for the BNC.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1038.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have improved the evaluation framework for Russian by using the Russian WordNet (Gelfenbeyn and et al, 2003) instead of back-translations as done in (Davidov and Rappoport, 2006).</S> | Reference Offset:  ['138','197'] | Reference Text:  <S sid = 138 ssid = >We performed in-depth evaluation on two languages, English and Russian, using three corpora, two for English and one for Russian.</S><S sid = 197 ssid = >The Russian evaluation posed a bit of a problem because the Russian WordNet is not readily available and its coverage is rather small.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1038.txt | Citing Article:  P07-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We do this as follows, essentially implementing a simplified version of the method of Davidov and Rappoport (2006).</S> | Reference Offset:  ['87','188'] | Reference Text:  <S sid = 87 ssid = >We use the three measures as follows.</S><S sid = 188 ssid = >The evaluation method is as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1038.txt | Citing Article:  P07-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It was shown in (Davidov and Rappoport, 2006) that pairs of words that often appear together in such symmetric patterns tend to belong to the same class (that is, they share some notable aspect of their semantics).</S> | Reference Offset:  ['12','13'] | Reference Text:  <S sid = 12 ssid = >A lexical category is a set of words that share a significant aspect of their meaning, e.g., sets of words denoting vehicles, types of food, tool names, etc.</S><S sid = 13 ssid = >A word can obviously belong to more than a single category.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1038.txt | Citing Article:  P07-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that our method differs from that of Davidov and Rappoport (2006) in that here we provide an initial seed pair, representing our target concept, while there the goal is grouping of as many words as possible into concept classes.</S> | Reference Offset:  ['4','113'] | Reference Text:  <S sid = 4 ssid = >Our method is the first pattern-based method that requires no corpus annotation or manually provided seed patterns or words.</S><S sid = 113 ssid = >Note that a pair of nodes connected by a symmetric arc can appear in more than a single category.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-1038.txt | Citing Article:  C10-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For automated extraction of patterns, we followed the pattern definitions given in (Davidov and Rappoport, 2006).</S> | Reference Offset:  ['50','178'] | Reference Text:  <S sid = 50 ssid = >Many Information Extraction papers discover relationships between words using syntactic patterns (Riloff and Jones, 1999).</S><S sid = 178 ssid = >Results are given in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-1038.txt | Citing Article:  C10-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike (Davidov and Rappoport, 2006), we consider all single punctuation characters or consecutive sequences of punctuation characters as HFWs.</S> | Reference Offset:  ['64','158'] | Reference Text:  <S sid = 64 ssid = >Now define a meta-pattern as any sequence of HFWs and CWs.</S><S sid = 158 ssid = >Additional patterns include ‘from x to y’, ‘x and/or y’ (punctuation is treated here as white space), ‘x and a y’, and ‘neither x nor y’.</S> | Discourse Facet:  NA | Annotator: Automatic


