Citance Number: 1 | Reference Article:  P08-1043.txt | Citing Article:  C10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, we note that simple weighting gives nearly a 2% F1 improvement, whereas Goldberg and Tsarfaty (2008) found that unweighted lattices were more effective for Hebrew.</S> | Reference Offset:  ['86','99'] | Reference Text:  <S sid = 86 ssid = >A morphological analyzer M : W—* L is a function mapping sentences in Hebrew (W E W) to their corresponding lattices (M(W) = L E L).</S><S sid = 99 ssid = >This is done using a simple PCFG which is lexemebased.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P08-1043.txt | Citing Article:  W10-1404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldberg and Tsarfaty (2008) concluded that an integrated model of morphological disambiguation and syntactic parsing in Hebrew Treebank parsing improves the results of a pipelined approach.</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 4 ssid = >Using a treebank grammar, a data-driven lexicon, and a linguistically motivated unknown-tokens handling technique our model outperforms previous pipelined, integrated or factorized systems for Hebrew morphological and syntactic processing, yielding an error reduction of 12% over the best published results so far.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P08-1043.txt | Citing Article:  P11-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldberg and Tsarfaty (2008) demonstrated the effectiveness of lattice parsing for jointly performing segmentation and parsing of Hebrew text.</S> | Reference Offset:  ['0','49'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 49 ssid = >Tsarfaty and Sima’an (2007) have reported state-of-the-art results on Hebrew unlexicalized parsing (74.41%) albeit assuming oracle morphological segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1043.txt | Citing Article:  P11-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Goldberg and Tsarfaty, 2008) we deal with the ambiguous affixation patterns in Hebrew by encoding the input sentence as a segmentation lattice.</S> | Reference Offset:  ['14','94'] | Reference Text:  <S sid = 14 ssid = >The input for the segmentation task is however highly ambiguous for Semitic languages, and surface forms (tokens) may admit multiple possible analyses as in (BarHaim et al., 2007; Adler and Elhadad, 2006).</S><S sid = 94 ssid = >Our use of an unweighted lattice reflects our belief that all the segmentations of the given input sentence are a-priori equally likely; the only reason to prefer one segmentation over the another is due to the overall syntactic context which is modeled via the PCFG derivations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1043.txt | Citing Article:  P12-2002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The complete set of analyses for this word is provided in Goldberg and Tsarfaty (2008).</S> | Reference Offset:  ['33','85'] | Reference Text:  <S sid = 33 ssid = >The current work treats both segmental and super-segmental phenomena, yet we note that there may be more adequate ways to treat supersegmental phenomena assuming Word-Based morphology as we explore in (Tsarfaty and Goldberg, 2008).</S><S sid = 85 ssid = >The Input The set of analyses for a token is thus represented as a lattice in which every arc corresponds to a specific lexeme l, as shown in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1043.txt | Citing Article:  D12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A study that is closely related to ours is (Goldberg and Tsarfaty, 2008), where a single generative model was proposed for joint morphological segmentation and syntactic parsing for Hebrew.</S> | Reference Offset:  ['0','19'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 19 ssid = >Here we push the single-framework conjecture across the board and present a single model that performs morphological segmentation and syntactic disambiguation in a fully generative framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1043.txt | Citing Article:  D12-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Models that in addition incorporate morphological analysis and segmentation have been explored by Tsarfaty (2006), Cohen and Smith (2007), and Goldberg and Tsarfaty (2008) with special reference to Hebrew parsing.</S> | Reference Offset:  ['50','179'] | Reference Text:  <S sid = 50 ssid = >The joint morphological and syntactic hypothesis was first discussed in (Tsarfaty, 2006; Tsarfaty and Sima’an, 2004) and empirically explored in (Tsarfaty, 2006).</S><S sid = 179 ssid = >On the surface, our model may seem as a special case of Cohen and Smith in which α = 0.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1043.txt | Citing Article:  E09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Parsing and segmentation are handled jointly by the parser (Goldberg and Tsarfaty, 2008).</S> | Reference Offset:  ['0','193'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 193 ssid = >(Levinger et al., 1995; Goldberg et al., ; Adler et al., 2008)) will make the parser more robust and suitable for use in more realistic scenarios.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1043.txt | Citing Article:  E09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is the same grammar as described in (Goldberg and Tsarfaty, 2008).</S> | Reference Offset:  ['50','136'] | Reference Text:  <S sid = 50 ssid = >The joint morphological and syntactic hypothesis was first discussed in (Tsarfaty, 2006; Tsarfaty and Sima’an, 2004) and empirically explored in (Tsarfaty, 2006).</S><S sid = 136 ssid = >Lexicon and OOV Handling Our data-driven morphological-analyzer proposes analyses for unknown tokens as described in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1043.txt | Citing Article:  E09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','197'] | Reference Text:  <S sid = 73 ssid = >We use double-circles to indicate the space-delimited token boundaries.</S><S sid = 197 ssid = >The work of the second author as well as collaboration visits to Israel was financed by NWO, grant number 017.001.271.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1043.txt | Citing Article:  E09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most recent of which is Goldberg and Tsarfaty (2008), who presented a model based on unweighted lattice parsing for performing the joint task.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 3 ssid = >Here we propose a single joint model for performing both morphological segmentation and syntactic disambiguation which bypasses the associated circularity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1043.txt | Citing Article:  E09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldberg and Tsarfaty (2008) use a data-driven morphological analyzer derived from the tree bank.</S> | Reference Offset:  ['134','136'] | Reference Text:  <S sid = 134 ssid = >Such resources exist for Hebrew (Itai et al., 2006), but unfortunately use a tagging scheme which is incompatible with the one of the Hebrew Treebank.s For this reason, we use a data-driven morphological analyzer derived from the training data similar to (Cohen and Smith, 2007).</S><S sid = 136 ssid = >Lexicon and OOV Handling Our data-driven morphological-analyzer proposes analyses for unknown tokens as described in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1043.txt | Citing Article:  E09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The model of Goldberg and Tsarfaty (2008) uses a morphological analyzer to constructs a lattice for each input token.</S> | Reference Offset:  ['85','133'] | Reference Text:  <S sid = 85 ssid = >The Input The set of analyses for a token is thus represented as a lattice in which every arc corresponds to a specific lexeme l, as shown in Figure 1.</S><S sid = 133 ssid = >Morphological Analyzer Ideally, we would use an of-the-shelf morphological analyzer for mapping each input token to its possible analyses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1043.txt | Citing Article:  E09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, we use the evaluation measure of (Tsarfaty, 2006), also used in (Goldberg and Tsarfaty, 2008), which is an adaptation of parseval to use characters instead of space-delimited tokens as its basic units.</S> | Reference Offset:  ['73','149'] | Reference Text:  <S sid = 73 ssid = >We use double-circles to indicate the space-delimited token boundaries.</S><S sid = 149 ssid = >We use a patched version of BitPar allowing for direct input of probabilities instead of counts.</S> | Discourse Facet:  NA | Annotator: Automatic


