Citance Number: 1 | Reference Article:  P04-1056.txt | Citing Article:  P05-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also provide the results from Bunescu and Mooney (2004) for comparison.</S> | Reference Offset:  ['59','85'] | Reference Text:  <S sid = 59 ssid = >However this second approach has the advantage of creating fewer potential nodes in the document factor graph, which results in faster inference.</S><S sid = 85 ssid = >The second dataset is Aimed2 which has been previously used for training the protein interaction extraction systems in (Bunescu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P04-1056.txt | Citing Article:  P06-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The simplicity of our approach makes it easy to incorporate dependencies across the whole corpus, which would be relatively much harder to incorporate in approaches like (Bunescu and Mooney, 2004) and (Finkel et al, 2005).</S> | Reference Offset:  ['9','85'] | Reference Text:  <S sid = 9 ssid = >One of the current best empirical approaches to IE is conditional random fields (CRF's) (Lafferty et al., 2001).</S><S sid = 85 ssid = >The second dataset is Aimed2 which has been previously used for training the protein interaction extraction systems in (Bunescu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P04-1056.txt | Citing Article:  P06-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['26','105'] | Reference Text:  <S sid = 26 ssid = >The set of edges is created by matching clique templates against the entire set of entities d.E.</S><S sid = 105 ssid = >This work was partially supported by grants IIS-0117308 and IIS-0325116 from the NSF.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1056.txt | Citing Article:  P06-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also compare our performance against (Bunescu and Mooney, 2004) and (Finkel et al, 2005) and find that we manage higher relative improvement than existing work despite starting from a very competitive baseline CRF.</S> | Reference Offset:  ['89','100'] | Reference Text:  <S sid = 89 ssid = >We used the CRF implementation from (McCallum, 2002) with the set of tags and features used by the MaximumEntropy tagger described in (Bunescu et al., 2004).</S><S sid = 100 ssid = >Regarding future work, a richer set of features for the local templates would likely improve performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1056.txt | Citing Article:  P06-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work looking to directly model non-local dependencies and do approximate inference are that of Bunescu and Mooney (2004), who use a Relational Markov Network (RMN) (Taskar et al., 2002) to explicitly model long-distance dependencies, Sutton and McCallum (2004), who introduce skip-chain CRFs, which add additional non-local edges to the underlying CRF sequence model (which Bunescu and Mooney (2004) lack) and Finkel et al (2005) who hand-set penalties for inconsistency in labels based on the training data and then use Gibbs Sampling for doing approximate inference where the goal is to obtain the label sequence that maximizes the product of the CRF objective function and their penalty.</S> | Reference Offset:  ['89','102'] | Reference Text:  <S sid = 89 ssid = >We used the CRF implementation from (McCallum, 2002) with the set of tags and features used by the MaximumEntropy tagger described in (Bunescu et al., 2004).</S><S sid = 102 ssid = >Another limitation is the approximate inference used by both RMN methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1056.txt | Citing Article:  P08-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the following experiments, we used AImed (Bunescu and Mooney, 2004), which is a popular corpus for the evaluation of PPI extraction systems. The corpus consists of 225 biomedical paper abstracts (1970 sentences), which are sentence-split, tokenized, and annotated with proteins and PPIs.We use gold protein annotations given in the corpus.</S> | Reference Offset:  ['19','86'] | Reference Text:  <S sid = 19 ssid = >Experiments on human protein tagging demonstrate the advantages of collective extraction on several annotated corpora of Medline abstracts.</S><S sid = 86 ssid = >It consists of 225 Medline abstracts, of which 200 are known to describe interactions between human proteins, while the other 25 do not refer to any interaction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1056.txt | Citing Article:  W06-1651.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fortunately, research in machine learning has produced methods for global inference and joint classification that can help to address this deficiency (e.g. Bunescu and Mooney (2004), Roth and Yih (2004)).</S> | Reference Offset:  ['11','102'] | Reference Text:  <S sid = 11 ssid = >In a recent follow-up to previously published experiments comparing a large variety of IE-learning methods (including HMM, SVM, MaxEnt, and rule-based methods) on the task of tagging references to human proteins in Medline abstracts (Bunescu et al., 2004), CRF's were found to significantly out-perform competing techniques.</S><S sid = 102 ssid = >Another limitation is the approximate inference used by both RMN methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1056.txt | Citing Article:  I08-4013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the first approach, heuristic rules are used to find the dependencies (Bunescu and Mooney, 2004) or penalties for label inconsistency are required to handset ad-hoc (Finkel et al, 2005).</S> | Reference Offset:  ['85','89'] | Reference Text:  <S sid = 85 ssid = >The second dataset is Aimed2 which has been previously used for training the protein interaction extraction systems in (Bunescu et al., 2004).</S><S sid = 89 ssid = >We used the CRF implementation from (McCallum, 2002) with the set of tags and features used by the MaximumEntropy tagger described in (Bunescu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1056.txt | Citing Article:  W06-1634.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, Table 1 shows that the word distance is long between interacting protein names annotated on the AImed corpus (Bunescu and Mooney, 2004), and we have to treat long-distance relations for information like protein-protein interactions.</S> | Reference Offset:  ['14','49'] | Reference Text:  <S sid = 14 ssid = >For example, in our protein-tagging task, repeated references to the same protein are common.</S><S sid = 49 ssid = >Repeat Template (RT): If multiple entities in the same document are repetitions of the same name, their labels tend to have the same value (i.e. most of them are protein names, or most of them are not protein names).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1056.txt | Citing Article:  C10-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Bunescu and Mooney (2004) and Loeliger (2004) for a detailed introduction to factor graphs.</S> | Reference Offset:  ['45','103'] | Reference Text:  <S sid = 45 ssid = >There are cases where different factor graphs may yield the same underlying RMN graph, which makes the factor graph representation preferable.</S><S sid = 103 ssid = >The number of factor graphs for which the sum-product algorithm did not converge was non-negligible, and our approach stopped after a fix number of iterations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1056.txt | Citing Article:  D09-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['26','105'] | Reference Text:  <S sid = 26 ssid = >The set of edges is created by matching clique templates against the entire set of entities d.E.</S><S sid = 105 ssid = >This work was partially supported by grants IIS-0117308 and IIS-0325116 from the NSF.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P04-1056.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Skip-chain CRFs and collective inference have been applied to problems in IE, and RMNs to named entity recognition (NER) (Bunescu and Mooney, 2004).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Collective Information Extraction With Relational Markov Networks</S><S sid = 12 ssid = >As typically applied, CRF's, like almost all IE methods, assume separate extractions are independent and treat each potential extraction in isolation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P04-1056.txt | Citing Article:  D09-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Supervised approaches (McCallum and Li 2003, Bunescu and Mooney 2004) rely on large sets of labeled examples, perform targeted extraction and employ a variety of sentence and corpus-level features.</S> | Reference Offset:  ['11','89'] | Reference Text:  <S sid = 11 ssid = >In a recent follow-up to previously published experiments comparing a large variety of IE-learning methods (including HMM, SVM, MaxEnt, and rule-based methods) on the task of tagging references to human proteins in Medline abstracts (Bunescu et al., 2004), CRF's were found to significantly out-perform competing techniques.</S><S sid = 89 ssid = >We used the CRF implementation from (McCallum, 2002) with the set of tags and features used by the MaximumEntropy tagger described in (Bunescu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P04-1056.txt | Citing Article:  D07-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples of classifier-based IE systems are SRV (Freitag, 1998), HMM approaches (Freitag and McCallum, 2000), ALICE (Chieu et al, 2003), and Relational Markov Networks (Bunescu and Mooney, 2004).</S> | Reference Offset:  ['0','85'] | Reference Text:  <S sid = 0 ssid = >Collective Information Extraction With Relational Markov Networks</S><S sid = 85 ssid = >The second dataset is Aimed2 which has been previously used for training the protein interaction extraction systems in (Bunescu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


