Citance Number: 1 | Reference Article:  C08-1018.txt | Citing Article:  P09-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Different from prior research, Cohn and Lapata (2008) achieved sentence compression using a combination of several operations including word deletion, substitution, insertion, and reordering based on a statistical model, which is similar to our paraphrase generation process.</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Sentence Compression Beyond Word Deletion</S><S sid = 18 ssid = >There are many rewrite operations that could compress a sentence, besides deletion, including reordering, substitution, and inser tion.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C08-1018.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, models developed for sentence compression have been mostly designed with one rewrite operation in mind, namely word deletion, and are thus unable to model consistent syntactic effects such as reordering, sentence splitting, changes in non-terminal categories, and lexical substitution (but see Cohn and Lapata 2008 and Zhao et al 2009 for notable exceptions).</S> | Reference Offset:  ['0','93'] | Reference Text:  <S sid = 0 ssid = >Sentence Compression Beyond Word Deletion</S><S sid = 93 ssid = >Firstly, the synchronous grammar provides expressive power to model consistent syntactic effects such as reordering, changes in nonterminal categories and lexical substitution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C08-1018.txt | Citing Article:  N10-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although abstractive methods have also been proposed (Cohn and Lapata, 2008), and they may shed more light on how people compress sentences, they do not always manage to outperform extractive methods (Nomoto, 2009).</S> | Reference Offset:  ['33','235'] | Reference Text:  <S sid = 33 ssid = >Specifi cally, we generalise the model of Cohn and Lapata (2007) to our abstractive task.</S><S sid = 235 ssid = >Instead, we use Cohn and Lapata?s (2007) extractive model as a baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C08-1018.txt | Citing Article:  N10-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cohn and Lapata (2008) have also developed an abstractive version of T3, which was reported to outperform the original, extractive T3 in meaning preservation; there was no statistically significant difference in grammaticality. Finally, Nomoto (2009) presented a two-stage extractive method.</S> | Reference Offset:  ['235','255'] | Reference Text:  <S sid = 235 ssid = >Instead, we use Cohn and Lapata?s (2007) extractive model as a baseline.</S><S sid = 255 ssid = >We may, however, want to re tain the meaning of the sequence while rendering the sentence shorter, and this is precisely what our model can achieve, e.g., by allowing substitutions.As far as grammaticality is concerned, our abstractive model is numerically better than the extrac tive baseline but the difference is not statistically significant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C08-1018.txt | Citing Article:  D11-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our approach follows Cohn and Lapata (2008), who expand the task to include substitutions, insertions and reorderings that are automatically learned from parallel texts.</S> | Reference Offset:  ['243','280'] | Reference Text:  <S sid = 243 ssid = >sentences were compressed automatically by our model and the baseline.</S><S sid = 280 ssid = >Deletions accounted for 67% of rewrite operations, substitutions for 27%, and insertions for 6%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C08-1018.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compared the Gibbs sampling compressor (GS) against a version of maximum a posteriori EM (with Dirichlet parameter greater than 1) and a discriminative STSG based on SVM training (Cohn and Lapata, 2008) (SVM).</S> | Reference Offset:  ['89','132'] | Reference Text:  <S sid = 89 ssid = >Each grammar rule is assigned a weight, and these weights are learnt in discriminative training.</S><S sid = 132 ssid = >Training The model is trained using SVM struct , a large margin method for structured output problems (Joachims, 2005; Tsochantaridis et al, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C08-1018.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The comparison system described by Cohn and Lapata (2008) attempts to solve a more general problem than ours, abstractive sentence compression.</S> | Reference Offset:  ['20','212'] | Reference Text:  <S sid = 20 ssid = >Therefore, in this paper we consider sentence compression from a more general perspective and generate abstracts rather than extracts.</S><S sid = 212 ssid = >From this we extracted grammar rules following the technique described in Cohn and Lapata (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C08-1018.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our experiments with the publicly available SVM system we used all except para phrasal rules extracted from bilingual corpora (Cohn and Lapata, 2008).</S> | Reference Offset:  ['56','212'] | Reference Text:  <S sid = 56 ssid = >All our experiments used the data from this annotator.</S><S sid = 212 ssid = >From this we extracted grammar rules following the technique described in Cohn and Lapata (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C08-1018.txt | Citing Article:  P13-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, a different compression model could incorporate rewriting rules to enable compressions that go beyond word deletion, as in Cohn and Lapata (2008).</S> | Reference Offset:  ['0','39'] | Reference Text:  <S sid = 0 ssid = >Sentence Compression Beyond Word Deletion</S><S sid = 39 ssid = >Unfortunately,none of these data sources are suited to our problem since they have been produced with a single rewriting operation, namely word deletion.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C08-1018.txt | Citing Article:  W09-1801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another future direction is to extend our ILP formulations to more sophisticated models that go beyond word deletion, like the ones proposed by Cohn and Lapata (2008).</S> | Reference Offset:  ['0','66'] | Reference Text:  <S sid = 0 ssid = >Sentence Compression Beyond Word Deletion</S><S sid = 66 ssid = >The future of the nation is in your hands.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C08-1018.txt | Citing Article:  W11-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['103','303'] | Reference Text:  <S sid = 103 ssid = >?he, he?</S><S sid = 303 ssid = >Special thanks to Phil Blunsom, James Clarke and Miles Osborne for their insightful suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C08-1018.txt | Citing Article:  W09-2807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Abstractive techniques in text summarization include sentence compression (Cohn and Lapata, 2008), headline generation (Soricut and Marcu, 2007), and canned-based generation (Oakes and Paice, 2001).</S> | Reference Offset:  ['7','33'] | Reference Text:  <S sid = 7 ssid = >Examples include the generation of sub titles from spoken transcripts (Vandeghinste and Pan, 2004), the display of text on small screens such as mobile phones or PDAs (Corston-Oliver, 2001), and, notably, summarisation (Jing, 2000; Lin, 2003).</S><S sid = 33 ssid = >Specifi cally, we generalise the model of Cohn and Lapata (2007) to our abstractive task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C08-1018.txt | Citing Article:  W11-2701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first abstractive compression method was proposed by Cohn and Lapata (2008).</S> | Reference Offset:  ['33','91'] | Reference Text:  <S sid = 33 ssid = >Specifi cally, we generalise the model of Cohn and Lapata (2007) to our abstractive task.</S><S sid = 91 ssid = >Cohn and Lapata apply this model to ex tractive compression with state-of-the-art results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C08-1018.txt | Citing Article:  W11-2701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dataset that Cohn and Lapata (2008) used to learn transduction rules consists of 570 pairs of source sentences and abstractive compressions.</S> | Reference Offset:  ['33','118'] | Reference Text:  <S sid = 33 ssid = >Specifi cally, we generalise the model of Cohn and Lapata (2007) to our abstractive task.</S><S sid = 118 ssid = >Cohn and Lapata (2007) extract a STSG froma parsed, word-aligned corpus of source and target sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C08-1018.txt | Citing Article:  W11-2701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We did not use source sentences from the other 30 documents, because they were used by Cohn and Lapata (2008) to build their abstractive dataset (Section 2), from which we drew source sentences for our dataset.</S> | Reference Offset:  ['118','245'] | Reference Text:  <S sid = 118 ssid = >Cohn and Lapata (2007) extract a STSG froma parsed, word-aligned corpus of source and target sentences.</S><S sid = 245 ssid = >Our materials thus con sisted of 90 (30 ? 3) source-target sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C08-1018.txt | Citing Article:  D09-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This work introduces a model free approach to sentence compression, which grew out of ideas from Nomoto (2008), and examines how it com pares to a state-of-art model intensive approach known as Tree-to-Tree Transducer, or T3 (Cohn and Lapata, 2008).</S> | Reference Offset:  ['31','91'] | Reference Text:  <S sid = 31 ssid = >We then present a tree-to-tree transducer capable of transforming an input parse tree into a compressed parse tree.</S><S sid = 91 ssid = >Cohn and Lapata apply this model to ex tractive compression with state-of-the-art results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C08-1018.txt | Citing Article:  W11-1611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['103','303'] | Reference Text:  <S sid = 103 ssid = >?he, he?</S><S sid = 303 ssid = >Special thanks to Phil Blunsom, James Clarke and Miles Osborne for their insightful suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


