Citance Number: 1 | Reference Article:  C08-1109.txt | Citing Article:  C10-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The accuracy of the choice classifier, the part of the system to which the work at hand is most similar, is 62.32% when tested on text from Encarta and Reuters news. Tetreault and Chodorow (2008a) present a system for detecting preposition errors in learner text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Classifier performance is poor in such cases because the classifier was trained on well-edited text, i.e., without misspelled words.</S><S sid = NA ssid = NA>It is interesting to note that the most common usage errors by learners overwhelmingly involved the ten most frequently occurring prepositions in native text.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C08-1109.txt | Citing Article:  W10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, (Tetreault and Chodorow, 2008b) found kappa between two raters averaged 0.630. Because there is no gold standard for the error detection task, kappa was used to compare Turker responses to those of three trained annotators.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The kappa of 0.630 shows the difficulty of this task and also shows how two highly trained raters can produce very different judgments.</S><S sid = NA ssid = NA>Despite the rigorous training regimen, kappa ranged from 0.411 to 0.786, with an overall combined value of 0.630.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C08-1109.txt | Citing Article:  W10-4236.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is already existing work that addresses specific problems in this area (see, for ex ample, (Tetreault and Chodorow, 2008)), but to be genuinely useful, we require a solution to the writing problem as a whole, integrating existing solutions to sub-problems with new solutions for problems as yet unexplored.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>c ? 2008.</S><S sid = NA ssid = NA>In analyzing the contexts, we used only tagging and heuris tic phrase-chunking, rather than parsing, so as to avoid problems that a parser might encounter with ill-formed non-native text 1 . In test mode, the clas-.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C08-1109.txt | Citing Article:  W10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In example 1, the context requires a definite article, and the definite article, in turn, calls for the 4Our error classification was inspired by the classification developed for the annotation of preposition errors (Tetreault and Chodorow, 2008a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3.1 Annotation.</S><S sid = NA ssid = NA>Details on our annotation and human judgment experiments can be found in (Tetreault and Chodorow, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C08-1109.txt | Citing Article:  W10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tetreault and Chodorow (Tetreault and Chodorow, 2008a) show that agreement between two native speakers on a cloze test targeting prepositions is about 76%, which demonstrates that there are many contexts that license multiple prepositions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>prepositions.</S><S sid = NA ssid = NA>Finally, the raters suggested prepositions that would best fit the context, even if there were no error (some contexts can license multiple prepositions).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C08-1109.txt | Citing Article:  W10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The latter is complicated by the fact that native speakers differ widely with respect to what constitutes acceptable usage (Tetreault and Chodorow, 2008a). To date, a common approach to annotating non native text has been to use one rater (Gamon et al, Source Errors Errors Mistakes by error type language total per 100 Repl.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Usage errors involving prepositions are among the most common types seen in thewriting of non-native English speakers.</S><S sid = NA ssid = NA>What is responsiblefor making preposition usage so difficult for non native speakers?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C08-1109.txt | Citing Article:  W11-1422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some recent work includes Chodorow et al (2007), De Felice and Pulman (2008), Gamon (2010), Han et al (2010), Izumi et al (2004), Tetreault and Chodorow (2008), Rozovskaya and Roth (2010a, 2010b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To date, single human annotation has typically been the gold standard for grammatical error detection, such as in the work of (Izumi et al, 2004), (Han et al, 2006), (Nagata et al, 2006), (Eeg-Olofsson and Knuttson, 2003) 2 .Another method for evaluation is verification ((Ga mon et al, 2008), where a human rater checks over a system?s output.</S><S sid = NA ssid = NA>This is a tactic also used for determiner selection in (Nagata et al, 2006) and (Han et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C08-1109.txt | Citing Article:  W11-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The usage feature detects errors related to articles (Han et al, 2006), prepositions (Tetreault and Chodorow, 2008) and collocations (Futagi et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is a tactic also used for determiner selection in (Nagata et al, 2006) and (Han et al, 2006).</S><S sid = NA ssid = NA>To date, single human annotation has typically been the gold standard for grammatical error detection, such as in the work of (Izumi et al, 2004), (Han et al, 2006), (Nagata et al, 2006), (Eeg-Olofsson and Knuttson, 2003) 2 .Another method for evaluation is verification ((Ga mon et al, 2008), where a human rater checks over a system?s output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C08-1109.txt | Citing Article:  D10-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some researchers (Tetreault and Chodorow, 2008) exploited syntactic information and n-gram features to represent verb usage context.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>which represent richer contextual struc ture in the form of syntactic patterns.Table 1 (first column) illustrates the four com bination features used for the example context ?take our place in the line?.</S><S sid = NA ssid = NA>c ? 2008.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C08-1109.txt | Citing Article:  W10-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Typically, data-driven approaches to learner errors use a classifier trained on contextual information such as tokens and part-of-speech tags within a window of the preposition/article (Gamon et al 2008, 2010, DeFelice and Pulman 2007, 2008, Han et al 2006, Chodorow et al 2007, Tetreault and Chodorow 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To date, single human annotation has typically been the gold standard for grammatical error detection, such as in the work of (Izumi et al, 2004), (Han et al, 2006), (Nagata et al, 2006), (Eeg-Olofsson and Knuttson, 2003) 2 .Another method for evaluation is verification ((Ga mon et al, 2008), where a human rater checks over a system?s output.</S><S sid = NA ssid = NA>This is a tactic also used for determiner selection in (Nagata et al, 2006) and (Han et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C08-1109.txt | Citing Article:  W10-1502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We wouldalso like to acknowledge the three anonymous reviewers and Derrick Higgins for their helpful com ments and feedback.</S><S sid = NA ssid = NA>We compared 867 Class Components Combo:word Features Combo:tag Features p-N FH line NN N-p-N PN-FH place-line NN-NN V-p-N PV-PN take-line VB-NN V-N-p-N PV-PN-FH take-place-line VB-NN-NN Table 1: Feature Examples for take our place in the line different models: the baseline model of 25 features and baseline with combination features added.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C08-1109.txt | Citing Article:  W10-1502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example Tetreault and Chodorow (2008) use a maximum entropy classifier to build a model of correct preposition usage, with 7 million instances in their training set, and Lee and Knutsson (2008) use memory-based learning ,with10 million sentences in their training set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>c ? 2008.</S><S sid = NA ssid = NA>We have used a Maximum Entropy (ME) classi fier (Ratnaparkhi, 1998) to build a model of correctpreposition usage for 34 common English prepo sitions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C08-1109.txt | Citing Article:  W10-2921.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For further perspective on these results, note Chodorow et al (2007) achieved 69% with 7M training examples, while Tetreault and Chodorow (2008) found the human performance was around 75%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Results The baseline system (described in(Chodorow et al, 2007)) performed at 79.8% precision and 11.7% recall.</S><S sid = NA ssid = NA>Details on our annotation and human judgment experiments can be found in (Tetreault and Chodorow, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C08-1109.txt | Citing Article:  W12-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We adopt the features from previous work by Han et al (2006), Tetreault and Chodorow (2008), and Rozovskaya et al (2011) for our system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is a tactic also used for determiner selection in (Nagata et al, 2006) and (Han et al, 2006).</S><S sid = NA ssid = NA>To date, single human annotation has typically been the gold standard for grammatical error detection, such as in the work of (Izumi et al, 2004), (Han et al, 2006), (Nagata et al, 2006), (Eeg-Olofsson and Knuttson, 2003) 2 .Another method for evaluation is verification ((Ga mon et al, 2008), where a human rater checks over a system?s output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C08-1109.txt | Citing Article:  P10-2065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We recreate a state-of-the-art preposition usage system (Tetreault and Chodorow (2008), henceforth T& amp; C08) originally trained with lexical features and augment it with parser output features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.3 Combination Features.</S><S sid = NA ssid = NA>c ? 2008.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C08-1109.txt | Citing Article:  P10-2065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The prepositions were judged by two trained annotators and checked by the authors using the preposition annotation scheme described in Tetreault and Chodorow (2008b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Of the prepositions that Rater 1 judged to be errors, Rater 2 judged 30.2% to be acceptable.</S><S sid = NA ssid = NA>3.1 Annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


