Citance Number: 1 | Reference Article:  H05-1115.xml | Citing Article:  P09-1083.xml | Citation Marker Offset:  ['60'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['60'] | Citation Text:  <S sid ="60" ssid = "6">Considering Question Topic: We first introduce how to incorporate the question topic into the Markov Random Walk model, which is similar as the Topic-sensitive LexRank (Otterbacher et al., 2005).</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |
Citance Number: 6 | Reference Article:  H05-1115.xml | Citing Article:  C10-2049.xml | Citation Marker Offset:  ['113'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['113'] | Citation Text:  <S sid ="113" ssid = "31">Component relevance scores are calculated using Term Frequency × Inverse Sentence Frequency (TF×ISF) (Otterbacher et al., 2005):quiring a specific strategy.</S> | Reference Offset:  ['56'] | Reference Text:  <S sid ="56" ssid = "13">In topic-sensitive LexRank, we first stem all of thesentences in a set of articles and compute word IDFsby the following formula: idfw = log (N + 1 0.5 + sfw )(1) whereN is the total number of sentences in the cluster, and sfw is the number of sentences that the wordw appears in.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 7 | Reference Article:  H05-1115.xml | Citing Article:  D08-1032.xml | Citation Marker Offset:  ['24'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['24','25'] | Citation Text:  <S sid ="24" ssid = "3">A topic-sensitiveLexRank is proposed in (Otterbacher et al., 2005).As in LexRank, the set of sentences in a documentcluster is represented as a graph, where nodes aresentences and links between the nodes are inducedby a similarity relation between the sentences.</S><S sid ="25" ssid = "4">Thenthe system ranked the sentences according to a random walk model defined in terms of both the inter-sentence similarities and the similarities of the sentences to the topic description or question.</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 8 | Reference Article:  H05-1115.xml | Citing Article:  D08-1032.xml | Citation Marker Offset:  ['94'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['94'] | Citation Text:  <S sid ="94" ssid = "73">To apply LexRank to query-focused context, a topic-sensitive version of LexRank isproposed in (Otterbacher et al., 2005).</S> | Reference Offset:  ['36', '40', '41', '46', '47', '48', '49'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S><S sid ="40" ssid = "5">The output of our system, a ranked list of sentences relevant to the user’s question, can be subsequently used as input to an answer selection system in order to find specific answers from the extracted sentences.</S><S sid ="41" ssid = "6">Alternatively, the sentences canbe returned to the user as a question-focused summary.</S><S sid ="46" ssid = "3">To apply LexRank, a similarity graph is producedfor the sentences in an input document set.</S><S sid ="47" ssid = "4">In thegraph, each node represents a sentence.</S><S sid ="48" ssid = "5">There areedges between nodes for which the cosine similarity between the respective pair of sentences exceedsa given threshold.</S><S sid ="49" ssid = "6">The degree of a given node isan indication of how much information the respective sentence has in common with other sentences.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 9 | Reference Article:  H05-1115.xml | Citing Article:  P08-2003.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">A topic- sensitive LexRank is proposed in (Otterbacher et al., 2005).</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 10 | Reference Article:  H05-1115.xml | Citing Article:  P08-2003.xml | Citation Marker Offset:  ['22'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['22'] | Citation Text:  <S sid ="22" ssid = "5">To apply LexRank to query-focused context, a topic-sensitive version of LexRank is proposed in (Otterbacher et al., 2005).</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 11 | Reference Article:  H05-1115.xml | Citing Article:  P10-2055.xml | Citation Marker Offset:  ['108'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['104','108'] | Citation Text:  <S sid ="104" ssid = "36">Afterwards, our approach is evaluated against two existing approaches, which rely on the conventional semantic network and are able to capture binary relations only.</S><S sid ="108" ssid = "40">The other one is based on topic-sensitive LexRank (Otterbacher et al., 2005), called title-sensitive PageRank here.</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


