Citance Number: 1 | Reference Article:  W10-1703.txt | Citing Article:  P11-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The data for French, German, and Spanish are from the 2010 Workshop on Statistical Machine Translation (Callison-Burch et al, 2010).</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation</S><S sid = 16 ssid = >The workshop examined translation between English and four other languages: German, Spanish, French, and Czech.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W10-1703.txt | Citing Article:  W11-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Machine Learning methods over previously released evaluation data have been already used for tuning complex statistical evaluation metrics (e.g. SVM-Rank in Callison-Burch et al (2010)).</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation</S><S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W10-1703.txt | Citing Article:  W11-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >With coefficients?= 0.60 and?= 0.23, our metric performs relatively low compared to the other metrics of WMT10 (indicatively iBLEU:?= 0.95,?= 0.39 according to Callison-Burch et al (2010). Though, it still has a position in the list, scoring better than several other reference-aware metrics (e.g.of?= 0.47 and?= 0.12 respectively) for the particular language pair.</S> | Reference Offset:  ['6','149'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 149 ssid = >Metric developers submitted metrics for installation at NIST; they were also asked to submit metric scores on the WMT10 test set along with their metrics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W10-1703.txt | Citing Article:  W11-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We should note that we are not capable of fully investigating this case based on the current set of experiments, because all of the systems in our data sets have shown acceptable scores (11-25 BLEU and 0.58-0.78 TERp according to Callison-Burch et al (2010)), when evaluated against reference translations.</S> | Reference Offset:  ['6','98'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 98 ssid = >In addition to edited translations, unedited items that were either marked as acceptable or as incomprehensible were also shown.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W10-1703.txt | Citing Article:  D11-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >According to the system-level correlation with human judgments (Tables 1 and 2), it ranks top for the out-of-English task and very close to the top for the into-English task (Callison-Burch et al, 2010).</S> | Reference Offset:  ['6','174'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 174 ssid = >We compare the human ranks to the ranks as determined by a metric.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W10-1703.txt | Citing Article:  W11-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Spearman's rank correlation coefficients on the document (system) level between all the metric sand the human ranking are computed on the English, French, Spanish, German and Czech texts generated by various translation systems in the framework of the third (Callison-Burch et al, 2008), fourth (Callison-Burch et al, 2009) and fifth (Callison-Burch et al, 2010) shared translation tasks.</S> | Reference Offset:  ['6','16'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 16 ssid = >The workshop examined translation between English and four other languages: German, Spanish, French, and Czech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W10-1703.txt | Citing Article:  W11-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['92','271'] | Reference Text:  <S sid = 92 ssid = >If you cannot understand the sentence well enough to correct it, select Unable to correct.</S><S sid = 271 ssid = >HR0011-06-C0022, and the US National Science Foundation under grant IIS-0713448.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W10-1703.txt | Citing Article:  W12-2603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To train them we use the freely available corpora: Europarl (Koehn, 2005), JRC-Acquis (Steinberger et al., 2006), CzEng0.9 (Bojar and? Zabokrtsky?, 2009), Opus (Tiedemann, 2009), DGT-TM5 and News Corpus (Callison-Burch et al, 2010), which results in more than 4 million sentence pairs for each model.</S> | Reference Offset:  ['6','24'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 24 ssid = >To lower the barrier of entry for newcomers to the field, we provided two open source toolkits for phrase-based and parsing-based statistical machine translation (Koehn et al., 2007; Li et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W10-1703.txt | Citing Article:  W12-2603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system was tested on the News test set (Callison-Burch et al, 2010) released by the organizers of the 2010 Workshop on Statistical Machine Translation.</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation</S><S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W10-1703.txt | Citing Article:  W12-4206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['92','271'] | Reference Text:  <S sid = 92 ssid = >If you cannot understand the sentence well enough to correct it, select Unable to correct.</S><S sid = 271 ssid = >HR0011-06-C0022, and the US National Science Foundation under grant IIS-0713448.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W10-1703.txt | Citing Article:  E12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, the corpora made available for recent machine translation evaluations are in the order of 1 billion running words (Callison-Burch et al 2010).</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation</S><S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W10-1703.txt | Citing Article:  E12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Experiments were carried out on two corpora: TED (Paul et al 2010) and News Commentary (NC) (Callison-Burch et al 2010).</S> | Reference Offset:  ['6','24'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 24 ssid = >To lower the barrier of entry for newcomers to the field, we provided two open source toolkits for phrase-based and parsing-based statistical machine translation (Koehn et al., 2007; Li et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W10-1703.txt | Citing Article:  W11-2113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Training data used for ROSE is from WMT10 (Callison-Burch et al, 2010) human judged sentences.</S> | Reference Offset:  ['6','93'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 93 ssid = >The sentences are all from the same article.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W10-1703.txt | Citing Article:  S12-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The synonym matching is computed using WordNet (Fellbaum, 1998) and the paraphrase matching is computed using paraphrase tables (Callison-Burch et al, 2010).</S> | Reference Offset:  ['6','144'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 144 ssid = >A variety of transformations are performed to allow flexible matching so that words and syntactic constructions conveying similar content in different manners may be matched.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W10-1703.txt | Citing Article:  W11-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Spearman's rank correlation coefficients on the document (system) level between the IBM1 metrics and the human ranking are computed on the English, French, Spanish, German and Czech texts generated by various translation systems in the framework of the third (Callison-Burch et al, 2008), fourth (Callison Burch et al, 2009) and fifth (Callison-Burch et al, 2010) shared translation tasks.</S> | Reference Offset:  ['6','16'] | Reference Text:  <S sid = 6 ssid = >This builds on four previous WMT workshops (Koehn and Monz, 2006; Callison-Burch et al., 2007; Callison-Burch et al., 2008; Callison-Burch et al., 2009), and one previous MetricsMATR meeting (Przybocki et al., 2008).</S><S sid = 16 ssid = >The workshop examined translation between English and four other languages: German, Spanish, French, and Czech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W10-1703.txt | Citing Article:  P11-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >1249 Experiments were carried out for the system combination task of the fifth workshop on statistical machine translation (WMT10) in four directions,{Czech, French, German, Spanish} -to English (Callison-Burch et al, 2010), and we found comparable performance to the conventional confusion network based system combination in two language pairs, and statistically significant improvements in the others.</S> | Reference Offset:  ['16','157'] | Reference Text:  <S sid = 16 ssid = >The workshop examined translation between English and four other languages: German, Spanish, French, and Czech.</S><S sid = 157 ssid = >These first four tables present scores for translations out of English into Czech, French, German and Spanish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W10-1703.txt | Citing Article:  P11-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We ran our experiments for the WMT10 system combination task using e four language pairs, {Czech, French, German, Spanish} -to-English (Callison-Burch et al, 2010).</S> | Reference Offset:  ['16','157'] | Reference Text:  <S sid = 16 ssid = >The workshop examined translation between English and four other languages: German, Spanish, French, and Czech.</S><S sid = 157 ssid = >These first four tables present scores for translations out of English into Czech, French, German and Spanish.</S> | Discourse Facet:  NA | Annotator: Automatic


